property,month,kernel,gamma,C,epsilon,E_In,E_Out,E_In_%,E_Out_%,No_of_Support_Vectors,Train_data_size,Test_data_size
AP2,JAN,rbf,scale,1,0.0009699,1.36,3.37,0.07,0.11,51,204,53
AP2,FEB,rbf,scale,1,0.001,0.93,3.44,0.06,0.11,51,204,53
AP2,MAR,rbf,scale,1,0.0009,0.95,3.47,0.07,0.11,62,204,53
AP2,APR,rbf,scale,1,0.0009,0.99,3.42,0.07,0.1,62,204,53
AP2,MAY,rbf,scale,1,0.000971,1.08,3.36,0.07,0.11,59,204,53
AP2,JUN,rbf,scale,1,0.0008,1.05,41.06,0.07,0.21,75,204,53
AP2,JUL,rbf,scale,1,0.0008,1.01,3.91,0.07,0.12,80,204,53
AP2,AUG,rbf,scale,1,0.0008,0.98,3.91,0.07,0.12,71,204,53
AP2,SEP,rbf,scale,1,0.0008,0.91,3.84,0.07,0.12,65,204,53
AP2,OCT,rbf,scale,1,0.0008,0.87,3.18,0.06,0.1,57,204,53
AP2,NOV,rbf,scale,1,0.0005,0.67,3.05,0.05,0.1,78,204,53
AP2,DEC,rbf,scale,1,0.0007,0.85,2.72,0.06,0.1,66,204,53
