property,month,kernel,gamma,C,epsilon,E_In,E_Out,E_In_%,E_Out_%,No_of_Support_Vectors,Train_data_size,Test_data_size
AP1,JAN,rbf,scale,1,0.0016,1.51,3.18,0.09,0.12,42,207,54
AP1,FEB,rbf,scale,1,0.0015,1.42,2.63,0.09,0.1,44,207,54
AP1,MAR,rbf,scale,1,0.0012,1.51,2.68,0.08,0.09,47,207,54
AP1,APR,rbf,scale,1,0.0011,1.18,2.96,0.08,0.1,50,207,54
AP1,MAY,rbf,scale,1,0.00097,1.24,2.72,0.08,0.11,66,207,54
AP1,JUN,rbf,scale,1,0.0013,1.61,3.18,0.09,0.12,55,207,54
AP1,JUL,rbf,scale,1,0.0012,1.43,3.3,0.09,0.12,62,207,54
AP1,AUG,rbf,scale,1,0.0011,1.33,3.41,0.08,0.11,58,207,54
AP1,SEP,rbf,scale,1,0.0009701,1.19,3.2,0.08,0.11,61,207,54
AP1,OCT,rbf,scale,1,0.0013,1.88,2.96,0.09,0.11,45,207,54
AP1,NOV,rbf,scale,11.5,0.0015,1.35,2.26,0.1,0.12,52,207,54
AP1,DEC,rbf,scale,5.5,0.0013,1.16,3.57,0.08,0.12,53,207,54
