property,month,kernel,gamma,C,epsilon,E_In,E_Out,E_In_%,E_Out_%,No_of_Support_Vectors,Train_data_size,Test_data_size
DT2,JAN,rbf,scale,1.09,0.00099,0.67,0.89,0.19,0.24,150,216,56
DT2,FEB,rbf,scale,1.13,0.001,0.67,0.85,0.19,0.23,145,216,56
DT2,MAR,rbf,scale,1.08,0.00097,1.03,0.79,0.21,0.21,145,216,56
DT2,APR,rbf,scale,1.11,0.0009695,1.18,0.98,0.22,0.23,153,216,56
DT2,MAY,rbf,scale,1.1,0.00097015,0.88,1.04,0.21,0.25,154,216,56
DT2,JUN,rbf,scale,1.13,0.0011,0.72,1.37,0.2,0.28,137,216,56
DT2,JUL,rbf,scale,1.14,0.00097,0.64,1.16,0.18,0.25,138,216,56
DT2,AUG,rbf,scale,1.12,0.0011,0.59,1,0.18,0.24,135,216,56
DT2,SEP,rbf,scale,1.14,0.0009702,0.32,0.59,0.14,0.2,130,216,56
DT2,OCT,rbf,scale,1.12,0.00099,3.33,0.9,0.19,0.21,139,216,56
DT2,NOV,rbf,scale,1.14,0.0009701,0.43,0.96,0.16,0.23,146,216,56
DT2,DEC,rbf,scale,1.13,0.00098,0.54,0.9,0.19,0.24,160,216,56
