property,month,kernel,gamma,C,epsilon,E_In,E_Out,E_In_%,E_Out_%,No_of_Support_Vectors,Train_data_size,Test_data_size
DT1,JAN,rbf,scale,1.1,0.00097,1.27,1.74,0.29,0.33,187,220,57
DT1,FEB,rbf,scale,1,0.0009695,1.02,1.64,0.26,0.34,180,220,57
DT1,MAR,rbf,scale,1.12,0.0009701,0.73,1.29,0.21,0.29,155,220,57
DT1,APR,rbf,scale,1.1,0.00097015,0.66,0.82,0.19,0.23,154,220,57
DT1,MAY,rbf,scale,1.09,0.00097015,0.61,0.78,0.18,0.21,144,220,57
DT1,JUN,rbf,scale,1.13,0.00097,0.61,0.7,0.19,0.2,148,220,57
DT1,JUL,rbf,scale,1,0.00098,0.97,0.53,0.18,0.17,145,220,57
DT1,AUG,rbf,scale,1.13,0.000985,0.34,0.54,0.14,0.17,125,220,57
DT1,SEP,rbf,scale,1.09,0.0009701,0.27,0.6,0.12,0.17,117,220,57
DT1,OCT,rbf,scale,1.11,0.00097015,0.49,0.95,0.17,0.23,142,220,57
DT1,NOV,rbf,scale,1.1,0.00097,0.97,4.64,0.24,0.4,165,220,57
DT1,DEC,rbf,scale,1.14,0.00098,1.38,3.45,0.29,0.4,188,220,57
