property,month,kernel,gamma,C,epsilon,E_In,E_Out,E_In_%,E_Out_%,No_of_Support_Vectors,Train_data_size,Test_data_size
HTM,JAN,rbf,scale,1.1,0.00097,1.13,2.27,0.22,0.32,151,215,56
HTM,FEB,rbf,scale,6.5,0.0009702,0.84,16.18,0.21,0.43,163,215,56
HTM,MAR,rbf,scale,1.12,0.00099,1.32,1.39,0.24,0.26,151,215,56
HTM,APR,rbf,scale,1.114,0.0011,1.84,1.84,0.3,0.32,163,215,56
HTM,MAY,rbf,scale,1.15,0.0014,2.2,2.59,0.32,0.35,143,215,56
HTM,JUN,rbf,scale,1.16,0.001,9.18,2.4,0.35,0.34,154,215,56
HTM,JUL,rbf,scale,1.18,0.001,1.56,2.36,0.26,0.35,154,215,56
HTM,AUG,rbf,scale,1.17,0.00098,1.26,1.98,0.24,0.32,154,215,56
HTM,SEP,rbf,scale,1.113,0.00098,0.97,1.29,0.22,0.28,156,215,56
HTM,OCT,rbf,scale,1.09,0.0013,0.67,1.39,0.18,0.24,123,215,56
HTM,NOV,rbf,scale,1.117,0.0009701,0.48,0.77,0.16,0.2,135,215,56
HTM,DEC,rbf,scale,1.09,0.0009702,0.72,1.87,0.2,0.3,160,215,56
