property,month,kernel,gamma,C,epsilon,E_In,E_Out,E_In_%,E_Out_%,No_of_Support_Vectors,Train_data_size,Test_data_size
RH2,JAN,rbf,scale,4,0.0006,5.78,6.25,7.89,8.45,217,218,57
RH2,FEB,rbf,scale,1,0.0009699,6.65,6.65,10.67,10.35,216,218,57
RH2,MAR,rbf,scale,21,0.1,7.53,6.82,14.97,15.01,54,218,57
RH2,APR,rbf,scale,4,0.0001,7.28,7,13.64,15.61,218,218,57
RH2,MAY,rbf,scale,57,0.0011,5.48,6.37,8.5,12.29,213,218,57
RH2,JUN,rbf,scale,23,0.0005,4.94,6.14,5.76,7.38,217,218,57
RH2,JUL,rbf,scale,23,0.0018,4.64,5.51,4.49,5.56,209,218,57
RH2,AUG,rbf,scale,21,0.0012,6.41,5.38,9.42,5.34,215,218,57
RH2,SEP,rbf,scale,15,0.000971,3.96,4.58,3.94,4.98,215,218,57
RH2,OCT,rbf,scale,1,0.002,5.47,5.45,6.74,6.52,212,218,57
RH2,NOV,rbf,scale,1,0.001,5.46,5.09,7.49,7.24,216,218,57
RH2,DEC,rbf,scale,1,0.002,5.6,5.5,7.7,7.6,209,218,57
