property,month,kernel,gamma,C,epsilon,E_In,E_Out,E_In_%,E_Out_%,No_of_Support_Vectors,Train_data_size,Test_data_size
WSD,JAN,rbf,scale,16,0.057,4.2461,7.1192,38.34,41.93,81,121,32
WSD,FEB,rbf,scale,5,0.09,4.2202,6.0702,36.2,36.9,74,121,32
WSD,MAR,rbf,scale,8.9,0.29,5.9993,5.1172,38.86,28.92,9,121,32
WSD,APR,rbf,scale,7,0.095,6.7326,8.4479,32.2,37.08,70,121,32
WSD,MAY,rbf,scale,4.5,0.0805,9.6399,9.046,31.36,30.85,71,121,32
WSD,JUN,rbf,scale,24.5,0.13965,10.8325,19.8715,35.14,41.78,54,121,32
WSD,JUL,rbf,scale,48.5,0.1,10.6478,20.6639,36.05,38.31,55,121,32
WSD,AUG,rbf,scale,1.25,0.092,12.7376,15.2715,67.53,32.27,67,121,32
WSD,SEP,rbf,scale,28.5,0.13779,5.1741,7.9055,35.93,34.35,43,121,32
WSD,OCT,rbf,scale,134.6,0.0985,2.3676,4.8763,30.47,35.84,62,121,32
WSD,NOV,rbf,scale,15,0.1456,3.3711,4.7661,43.03,37.95,46,121,32
WSD,DEC,rbf,scale,14,0.1456,5.1613,8.4355,71.05,44.49,33,121,32
