Latitude,Longitude,PTrain_AC1
24.6,72.72,1.16
10.33,79.38,3.64
23.88,91.25,1.18
10.85,72.47,2.65
27.17,78.03,1.79
13.5,75.1,2.09
23.07,72.63,0.7
19.08,74.8,0.76
26.45,74.62,1.66
20.7,77.03,0.8
20.7,77.07,0.82
9.55,76.42,3.54
18.63,72.87,0.92
27.88,78.07,1.92
22.28,74.4,0.67
25.45,81.73,1.59
27.5,76.58,1.9
30.38,76.77,2.42
23.17,83.25,1.58
11.12,72.73,2.6
20.93,77.78,0.95
21.6,71.22,0.47
31.63,74.87,2.7
14.68,77.62,1.54
20.83,85.1,1.24
11.17,79.0,3.01
13.53,78.5,2.28
19.88,75.33,0.74
19.85,75.4,0.75
22.3,86.93,1.28
12.99,80.2,2.86
10.35,79.4,3.64
30.08,78.72,2.43
18.18,72.99,0.98
22.03,73.67,0.69
12.88,80.15,2.88
17.05,75.78,1.01
24.07,78.06,1.33
16.57,76.47,1.09
24.95,71.53,0.86
27.14,79.28,1.73
23.6,72.95,0.72
22.38,93.15,1.87
16.67,74.9,1.04
24.53,78.72,1.43
26.85,79.08,1.69
29.96,78.61,2.41
11.47,77.88,2.53
24.77,84.18,1.47
26.35,75.03,1.62
21.17,73.18,0.73
8.87,77.5,3.83
12.89,80.11,2.85
17.83,80.48,1.21
17.1,76.22,0.96
17.17,74.53,0.96
10.02,78.78,3.54
28.75,79.72,2.02
25.03,86.9,1.35
26.35,74.12,1.53
28.27,72.85,1.96
21.38,71.05,0.45
18.73,76.38,0.98
20.13,73.03,0.73
22.41,88.3,1.43
26.67,90.6,1.77
16.07,75.95,1.21
25.97,93.5,1.65
14.47,79.72,2.23
21.98,72.9,0.8
23.65,91.62,1.24
24.53,87.57,1.25
27.54,79.6,1.78
18.42,83.9,1.76
29.93,78.53,2.4
16.15,76.38,1.2
25.62,94.53,2.56
23.4,85.52,1.45
8.67,76.77,3.92
12.02,76.3,2.65
25.09,78.86,1.48
26.06,78.21,1.62
29.19,73.21,2.15
25.05,78.86,1.47
13.53,80.07,2.62
28.47,95.52,3.23
15.68,78.97,1.63
17.75,74.05,0.88
9.87,76.35,3.43
24.23,87.28,1.24
24.48,76.33,1.2
28.57,74.51,2.07
23.05,72.97,0.72
24.57,78.88,1.42
17.23,76.48,0.96
11.08,76.58,3.02
12.05,78.78,2.7
19.88,75.33,0.74
27.24,79.89,1.71
9.97,76.25,3.43
33.12,75.32,3.62
16.7,75.25,1.03
22.98,88.37,1.26
22.63,77.98,1.08
27.57,81.6,1.94
18.58,81.23,1.67
21.52,86.93,1.52
13.37,75.45,2.17
25.75,84.17,1.69
25.22,88.78,1.35
25.47,80.37,1.41
12.97,77.58,2.49
12.95,77.63,2.48
33.5,75.17,3.87
23.23,87.07,1.2
23.55,74.45,0.78
15.9,80.47,2.09
18.15,74.58,0.79
28.37,79.4,1.95
