Latitude,Longitude,PTrain_AC1
24.6,72.72,1.37
10.33,79.38,3.31
23.88,91.25,1.87
10.85,72.47,2.79
27.17,78.03,1.45
13.5,75.1,1.62
23.07,72.63,0.8
19.08,74.8,0.7
26.45,74.62,1.57
20.7,77.03,0.86
20.7,77.07,0.88
9.55,76.42,3.49
18.63,72.87,0.93
27.88,78.07,1.6
22.28,74.4,0.69
25.45,81.73,1.32
27.5,76.58,1.63
30.38,76.77,2.26
23.17,83.25,1.53
11.12,72.73,2.7
20.93,77.78,0.99
21.6,71.22,0.57
31.63,74.87,2.58
14.68,77.62,1.84
20.83,85.1,1.42
11.17,79.0,3.01
13.53,78.5,2.04
19.88,75.33,0.75
19.85,75.4,0.76
22.3,86.93,1.66
12.99,80.2,2.54
10.35,79.4,3.31
30.08,78.72,2.83
18.18,72.99,0.98
22.03,73.67,0.77
12.88,80.15,2.55
17.05,75.78,1.11
24.07,78.06,1.15
16.57,76.47,1.32
24.95,71.53,0.83
27.14,79.28,1.4
23.6,72.95,0.77
22.38,93.15,2.27
16.67,74.9,0.99
24.53,78.72,1.23
26.85,79.08,1.35
29.96,78.61,2.68
11.47,77.88,2.91
24.77,84.18,1.36
26.35,75.03,1.45
21.17,73.18,0.81
8.87,77.5,3.74
12.89,80.11,2.54
17.83,80.48,1.29
17.1,76.22,1.19
17.17,74.53,0.85
10.02,78.78,3.39
28.75,79.72,1.75
25.03,86.9,1.45
26.35,74.12,1.37
28.27,72.85,1.71
21.38,71.05,0.54
18.73,76.38,1.05
20.13,73.03,0.78
22.41,88.3,1.98
26.67,90.6,2.07
16.07,75.95,1.29
25.97,93.5,2.23
14.47,79.72,2.05
21.98,72.9,0.91
23.65,91.62,1.97
24.53,87.57,1.48
27.54,79.6,1.46
18.42,83.9,1.79
29.93,78.53,2.72
16.15,76.38,1.37
25.62,94.53,3.26
23.4,85.52,1.54
8.67,76.77,3.84
12.02,76.3,2.22
25.09,78.86,1.23
26.06,78.21,1.32
29.19,73.21,1.91
25.05,78.86,1.22
13.53,80.07,2.37
28.47,95.52,4.39
15.68,78.97,1.58
17.75,74.05,0.71
9.87,76.35,3.37
24.23,87.28,1.49
