Latitude,Longitude,PTrain_AC1
24.6,72.72,1.18
10.33,79.38,3.2
23.88,91.25,2.08
10.85,72.47,2.9
27.17,78.03,1.52
13.5,75.1,2.01
23.07,72.63,1.2
19.08,74.8,1.05
26.45,74.62,1.49
20.7,77.03,0.93
20.7,77.07,0.93
9.55,76.42,3.29
18.63,72.87,1.48
27.88,78.07,1.63
22.28,74.4,1.11
25.45,81.73,1.3
27.5,76.58,1.63
30.38,76.77,2.19
23.17,83.25,1.32
11.12,72.73,2.84
20.93,77.78,0.88
21.6,71.22,1.11
31.63,74.87,2.5
14.68,77.62,1.6
20.83,85.1,1.62
11.17,79.0,2.8
13.53,78.5,1.86
19.88,75.33,0.99
19.85,75.4,0.99
22.3,86.93,1.8
12.99,80.2,2.62
10.35,79.4,3.19
30.08,78.72,3.04
18.18,72.99,1.53
22.03,73.67,1.21
12.88,80.15,2.64
17.05,75.78,1.18
24.07,78.06,1.13
16.57,76.47,1.21
24.95,71.53,1.24
27.14,79.28,1.45
23.6,72.95,1.17
22.38,93.15,1.91
16.67,74.9,1.33
24.53,78.72,1.15
26.85,79.08,1.41
29.96,78.61,2.66
11.47,77.88,2.38
24.77,84.18,1.54
26.35,75.03,1.47
21.17,73.18,1.26
8.87,77.5,3.38
12.89,80.11,2.62
17.83,80.48,1.47
17.1,76.22,1.15
17.17,74.53,1.28
10.02,78.78,3.16
28.75,79.72,1.75
25.03,86.9,1.81
26.35,74.12,1.45
28.27,72.85,1.76
21.38,71.05,1.09
18.73,76.38,0.96
20.13,73.03,1.29
22.41,88.3,1.95
26.67,90.6,2.17
16.07,75.95,1.33
25.97,93.5,2.22
14.47,79.72,2.21
21.98,72.9,1.27
23.65,91.62,2.09
24.53,87.57,1.83
27.54,79.6,1.5
18.42,83.9,1.89
29.93,78.53,2.71
16.15,76.38,1.29
25.62,94.53,2.26
23.4,85.52,1.54
8.67,76.77,3.53
12.02,76.3,2.27
25.09,78.86,1.2
26.06,78.21,1.36
29.19,73.21,1.93
25.05,78.86,1.2
13.53,80.07,2.48
28.47,95.52,2.82
15.68,78.97,1.76
17.75,74.05,1.24
9.87,76.35,3.22
24.23,87.28,1.79
24.48,76.33,1.22
28.57,74.51,1.82
23.05,72.97,1.2
24.57,78.88,1.14
17.23,76.48,1.11
11.08,76.58,2.55
12.05,78.78,2.44
19.88,75.33,0.99
27.24,79.89,1.43
9.97,76.25,3.21
33.12,75.32,4.01
16.7,75.25,1.29
22.98,88.37,1.91
22.63,77.98,0.99
27.57,81.6,1.56
18.58,81.23,1.25
21.52,86.93,1.89
13.37,75.45,1.91
25.75,84.17,1.61
25.22,88.78,1.93
25.47,80.37,1.13
12.97,77.58,1.77
12.95,77.63,1.77
33.5,75.17,4.14
