Latitude,Longitude,PTrain_AC1
24.6,72.72,1.41
10.33,79.38,4.34
23.88,91.25,3.09
10.85,72.47,4.07
27.17,78.03,0.94
13.5,75.1,2.92
23.07,72.63,1.12
19.08,74.8,1.1
26.45,74.62,1.36
20.7,77.03,0.93
20.7,77.07,0.94
9.55,76.42,4.3
18.63,72.87,2.2
27.88,78.07,1.0
22.28,74.4,0.84
25.45,81.73,1.02
27.5,76.58,1.17
30.38,76.77,1.5
23.17,83.25,1.25
11.12,72.73,4.04
20.93,77.78,0.98
21.6,71.22,1.1
31.63,74.87,1.88
14.68,77.62,2.24
20.83,85.1,1.78
11.17,79.0,3.64
13.53,78.5,2.54
19.88,75.33,0.95
19.85,75.4,0.95
22.3,86.93,2.37
12.99,80.2,3.91
10.35,79.4,4.34
30.08,78.72,1.74
18.18,72.99,2.32
22.03,73.67,1.2
12.88,80.15,3.89
17.05,75.78,1.56
24.07,78.06,0.86
16.57,76.47,1.73
24.95,71.53,1.0
27.14,79.28,0.83
23.6,72.95,0.94
22.38,93.15,2.57
16.67,74.9,1.7
24.53,78.72,0.85
26.85,79.08,0.82
29.96,78.61,1.74
11.47,77.88,3.12
24.77,84.18,1.47
26.35,75.03,1.25
21.17,73.18,1.49
8.87,77.5,4.13
12.89,80.11,3.84
17.83,80.48,1.66
17.1,76.22,1.58
17.17,74.53,1.6
10.02,78.78,4.06
28.75,79.72,1.09
25.03,86.9,2.08
26.35,74.12,1.24
28.27,72.85,1.45
21.38,71.05,1.08
18.73,76.38,1.27
20.13,73.03,1.63
22.41,88.3,2.98
26.67,90.6,3.22
16.07,75.95,1.82
25.97,93.5,3.59
14.47,79.72,3.2
21.98,72.9,1.51
23.65,91.62,3.12
24.53,87.57,2.16
27.54,79.6,0.86
18.42,83.9,2.8
29.93,78.53,1.75
16.15,76.38,1.82
25.62,94.53,4.38
23.4,85.52,1.48
8.67,76.77,4.45
12.02,76.3,3.18
25.09,78.86,0.82
26.06,78.21,0.9
29.19,73.21,1.46
25.05,78.86,0.82
13.53,80.07,3.68
28.47,95.52,5.61
15.68,78.97,2.25
17.75,74.05,1.53
9.87,76.35,4.28
24.23,87.28,2.05
24.48,76.33,0.89
28.57,74.51,1.36
23.05,72.97,1.1
24.57,78.88,0.83
17.23,76.48,1.58
11.08,76.58,3.46
12.05,78.78,3.14
19.88,75.33,0.95
27.24,79.89,0.82
9.97,76.25,4.33
33.12,75.32,2.83
16.7,75.25,1.66
22.98,88.37,2.66
22.63,77.98,0.82
27.57,81.6,1.12
18.58,81.23,1.39
21.52,86.93,2.86
13.37,75.45,2.86
25.75,84.17,1.59
25.22,88.78,2.47
25.47,80.37,0.71
12.97,77.58,2.92
12.95,77.63,2.91
33.5,75.17,3.11
23.23,87.07,2.11
23.55,74.45,0.83
15.9,80.47,3.28
18.15,74.58,1.32
28.37,79.4,1.0
21.93,86.77,2.49
25.75,71.38,1.13
22.3,73.25,1.38
22.33,73.27,1.36
33.12,75.32,2.85
19.0,75.72,1.11
15.85,74.53,2.07
15.85,74.62,2.04
15.15,76.85,2.1
24.13,88.27,2.35
21.87,77.93,1.02
25.23,86.95,2.12
27.22,77.5,1.0
30.17,74.58,1.46
21.75,72.18,1.54
19.92,83.18,1.37
25.35,74.63,1.09
18.45,73.4,1.94
23.28,77.35,0.88
20.25,85.83,2.5
23.25,69.67,1.11
31.83,77.17,2.3
17.92,77.53,1.52
16.82,75.72,1.62
28.0,73.3,1.38
31.25,76.67,1.9
20.7,83.5,1.34
20.6,79.85,1.05
20.53,76.23,0.95
20.62,72.93,1.75
20.22,75.42,0.92
21.9,84.03,1.22
27.13,94.12,4.12
25.82,86.27,2.08
27.05,79.85,0.8
27.78,74.57,1.38
13.68,77.07,2.58
28.48,76.18,1.24
22.92,69.17,1.3
27.52,76.77,1.13
23.22,88.88,2.59
16.9,74.37,1.73
24.08,85.87,1.63
30.0,78.59,1.77
23.73,86.32,1.78
27.0,79.65,0.8
23.32,88.65,2.55
23.95,92.08,3.0
25.58,86.27,2.04
27.58,81.6,1.12
30.37,77.87,1.61
22.23,85.32,1.42
24.87,86.45,1.93
33.22,74.09,2.81
26.3,84.78,1.82
22.87,88.27,2.7
24.78,79.02,0.8
26.22,84.38,1.71
25.11,75.63,1.04
22.97,75.2,0.78
27.9,79.0,0.93
19.3,75.47,1.04
17.31,78.48,1.48
22.33,88.3,3.02
26.25,89.6,2.88
30.67,76.97,1.64
34.03,74.94,3.4
26.97,77.08,1.07
29.89,78.61,1.64
25.42,86.32,2.03
15.25,79.47,2.83
33.66,74.01,3.06
27.82,93.9,4.42
19.73,85.22,2.78
34.05,74.75,3.38
26.13,75.87,1.11
26.33,73.15,1.19
23.98,85.78,1.6
19.48,83.98,1.86
28.46,75.64,1.3
25.62,85.15,1.8
22.63,88.3,2.84
23.8,86.35,1.76
23.28,85.82,1.6
21.49,70.07,1.35
30.04,76.53,1.4
22.65,79.15,0.99
26.72,88.32,2.68
20.67,86.12,2.25
22.73,88.66,2.76
25.77,87.1,2.25
21.7,87.07,2.85
26.72,79.9,0.77
25.5,87.37,2.26
24.2,78.22,0.86
23.1,80.05,0.9
24.3,85.42,1.6
27.48,82.78,1.41
25.22,84.42,1.58
23.05,75.37,0.78
26.32,91.0,3.21
26.32,82.33,1.2
23.83,84.12,1.33
