Latitude,Longitude,PTrain_AC1
24.6,72.72,0.55
10.33,79.38,4.69
23.88,91.25,4.26
10.85,72.47,5.08
27.17,78.03,1.2
13.5,75.1,4.31
23.07,72.63,2.03
19.08,74.8,1.97
26.45,74.62,0.99
20.7,77.03,1.53
20.7,77.07,1.53
9.55,76.42,4.71
18.63,72.87,3.55
27.88,78.07,1.15
22.28,74.4,1.49
25.45,81.73,1.54
27.5,76.58,1.18
30.38,76.77,1.22
23.17,83.25,1.54
11.12,72.73,5.04
20.93,77.78,1.54
21.6,71.22,2.18
31.63,74.87,1.53
14.68,77.62,2.99
20.83,85.1,2.61
11.17,79.0,3.92
13.53,78.5,3.67
19.88,75.33,1.65
19.85,75.4,1.66
22.3,86.93,3.31
12.99,80.2,4.5
10.35,79.4,4.68
30.08,78.72,0.32
18.18,72.99,3.68
22.03,73.67,2.18
12.88,80.15,4.48
17.05,75.78,2.52
24.07,78.06,1.1
16.57,76.47,2.61
24.95,71.53,1.75
27.14,79.28,1.12
23.6,72.95,1.66
22.38,93.15,3.33
16.67,74.9,2.83
24.53,78.72,1.07
26.85,79.08,1.14
29.96,78.61,0.4
11.47,77.88,3.55
24.77,84.18,2.2
26.35,75.03,1.12
21.17,73.18,2.62
8.87,77.5,4.48
12.89,80.11,4.43
17.83,80.48,2.38
17.1,76.22,2.43
17.17,74.53,2.76
10.02,78.78,4.35
28.75,79.72,1.17
25.03,86.9,3.06
26.35,74.12,1.22
28.27,72.85,1.5
21.38,71.05,2.13
18.73,76.38,2.06
20.13,73.03,2.84
22.41,88.3,4.0
26.67,90.6,4.29
16.07,75.95,2.84
25.97,93.5,4.7
14.47,79.72,3.92
21.98,72.9,2.61
23.65,91.62,4.24
24.53,87.57,3.12
27.54,79.6,1.11
18.42,83.9,3.7
29.93,78.53,0.34
16.15,76.38,2.76
25.62,94.53,4.22
23.4,85.52,1.86
8.67,76.77,4.77
12.02,76.3,4.35
25.09,78.86,1.08
26.06,78.21,1.13
29.19,73.21,1.44
25.05,78.86,1.08
13.53,80.07,4.3
28.47,95.52,4.52
15.68,78.97,3.08
17.75,74.05,2.71
9.87,76.35,4.74
24.23,87.28,2.92
24.48,76.33,1.16
28.57,74.51,1.28
23.05,72.97,1.98
24.57,78.88,1.08
17.23,76.48,2.4
11.08,76.58,4.53
12.05,78.78,3.83
19.88,75.33,1.66
27.24,79.89,1.1
9.97,76.25,4.85
33.12,75.32,1.49
16.7,75.25,2.71
22.98,88.37,3.67
22.63,77.98,1.26
27.57,81.6,1.41
18.58,81.23,2.53
21.52,86.93,3.84
13.37,75.45,4.2
25.75,84.17,2.34
