Latitude,Longitude,PTrain_AC1
24.6,72.72,3.61
10.33,79.38,5.52
23.88,91.25,5.52
10.85,72.47,6.07
27.17,78.03,2.54
13.5,75.1,6.27
23.07,72.63,4.18
19.08,74.8,4.79
26.45,74.62,2.51
20.7,77.03,3.91
20.7,77.07,3.91
9.55,76.42,5.51
18.63,72.87,5.54
27.88,78.07,2.35
22.28,74.4,4.13
25.45,81.73,3.7
27.5,76.58,2.24
30.38,76.77,1.61
23.17,83.25,4.31
11.12,72.73,6.07
20.93,77.78,3.87
21.6,71.22,4.52
31.63,74.87,1.24
14.68,77.62,4.73
20.83,85.1,5.01
11.17,79.0,5.09
13.53,78.5,5.33
19.88,75.33,4.39
19.85,75.4,4.38
22.3,86.93,5.18
12.99,80.2,5.72
10.35,79.4,5.51
30.08,78.72,2.73
18.18,72.99,5.62
22.03,73.67,4.44
12.88,80.15,5.7
17.05,75.78,4.78
24.07,78.06,3.32
16.57,76.47,4.64
24.95,71.53,3.27
27.14,79.28,2.75
23.6,72.95,3.85
22.38,93.15,5.31
16.67,74.9,5.23
24.53,78.72,3.24
26.85,79.08,2.78
29.96,78.61,2.08
11.47,77.88,4.71
24.77,84.18,4.38
26.35,75.03,2.58
21.17,73.18,4.81
8.87,77.5,5.26
12.89,80.11,5.68
17.83,80.48,4.82
17.1,76.22,4.57
17.17,74.53,5.32
10.02,78.78,5.27
28.75,79.72,2.63
25.03,86.9,4.83
26.35,74.12,2.55
28.27,72.85,1.63
21.38,71.05,4.63
18.73,76.38,4.42
20.13,73.03,5.09
22.41,88.3,5.44
26.67,90.6,5.4
16.07,75.95,4.96
25.97,93.5,5.94
14.47,79.72,5.55
21.98,72.9,4.71
23.65,91.62,5.54
24.53,87.57,4.93
27.54,79.6,2.76
18.42,83.9,5.56
29.93,78.53,2.15
16.15,76.38,4.78
25.62,94.53,5.95
23.4,85.52,4.53
8.67,76.77,5.42
12.02,76.3,5.95
25.09,78.86,3.13
26.06,78.21,2.84
29.19,73.21,1.27
25.05,78.86,3.14
13.53,80.07,5.66
28.47,95.52,6.55
15.68,78.97,5.17
17.75,74.05,5.44
9.87,76.35,5.57
24.23,87.28,4.87
24.48,76.33,3.25
28.57,74.51,1.62
23.05,72.97,4.18
24.57,78.88,3.25
17.23,76.48,4.48
11.08,76.58,5.93
12.05,78.78,5.24
19.88,75.33,4.38
27.24,79.89,2.88
9.97,76.25,5.68
33.12,75.32,1.63
16.7,75.25,5.03
22.98,88.37,5.27
22.63,77.98,3.61
27.57,81.6,3.23
18.58,81.23,5.16
21.52,86.93,5.46
13.37,75.45,6.22
25.75,84.17,4.28
25.22,88.78,5.15
25.47,80.37,3.32
12.97,77.58,5.35
12.95,77.63,5.31
33.5,75.17,1.7
23.23,87.07,4.98
23.55,74.45,3.73
15.9,80.47,5.74
18.15,74.58,5.0
28.37,79.4,2.56
21.93,86.77,5.26
25.75,71.38,2.83
22.3,73.25,4.56
22.33,73.27,4.54
33.12,75.32,1.58
19.0,75.72,4.45
15.85,74.53,5.87
15.85,74.62,5.81
15.15,76.85,4.8
24.13,88.27,5.1
21.87,77.93,3.83
25.23,86.95,4.84
27.22,77.5,2.47
30.17,74.58,1.16
21.75,72.18,4.81
19.92,83.18,4.81
25.35,74.63,2.98
18.45,73.4,5.39
23.28,77.35,3.51
20.25,85.83,5.39
23.25,69.67,4.23
31.83,77.17,1.62
17.92,77.53,4.54
16.82,75.72,4.89
28.0,73.3,1.72
31.25,76.67,1.44
20.7,83.5,4.73
20.6,79.85,4.15
20.53,76.23,4.14
20.62,72.93,5.1
20.22,75.42,4.34
21.9,84.03,4.6
27.13,94.12,6.25
25.82,86.27,4.71
27.05,79.85,2.9
27.78,74.57,1.93
13.68,77.07,5.15
28.48,76.18,1.87
22.92,69.17,4.48
27.52,76.77,2.27
23.22,88.88,5.28
16.9,74.37,5.44
24.08,85.87,4.57
30.0,78.59,2.15
23.73,86.32,4.77
27.0,79.65,2.86
23.32,88.65,5.24
23.95,92.08,5.52
25.58,86.27,4.72
27.58,81.6,3.23
30.37,77.87,1.76
22.23,85.32,4.73
24.87,86.45,4.71
33.22,74.09,1.0
26.3,84.78,4.34
22.87,88.27,5.29
24.78,79.02,3.21
26.22,84.38,4.25
25.11,75.63,3.05
22.97,75.2,3.78
27.9,79.0,2.54
19.3,75.47,4.44
17.31,78.48,4.75
22.33,88.3,5.47
26.25,89.6,5.27
30.67,76.97,1.57
34.03,74.94,1.64
26.97,77.08,2.47
29.89,78.61,1.95
25.42,86.32,4.74
15.25,79.47,5.46
33.66,74.01,0.92
27.82,93.9,6.01
19.73,85.22,5.52
34.05,74.75,1.58
26.13,75.87,2.71
26.33,73.15,2.53
23.98,85.78,4.55
19.48,83.98,5.16
28.46,75.64,1.79
25.62,85.15,4.51
22.63,88.3,5.37
23.8,86.35,4.74
23.28,85.82,4.71
21.49,70.07,4.78
30.04,76.53,1.59
22.65,79.15,3.72
26.72,88.32,4.96
20.67,86.12,5.28
22.73,88.66,5.35
25.77,87.1,4.86
21.7,87.07,5.44
26.72,79.9,2.98
25.5,87.37,4.91
24.2,78.22,3.3
23.1,80.05,3.73
24.3,85.42,4.49
27.48,82.78,3.56
25.22,84.42,4.39
23.05,75.37,3.73
26.32,91.0,5.53
26.32,82.33,3.7
23.83,84.12,4.37
23.73,87.02,4.9
22.35,87.37,5.27
29.73,76.75,1.68
26.13,87.47,4.89
23.6,87.53,5.03
16.07,75.37,5.27
25.1,76.4,3.07
34.25,74.55,1.38
26.65,85.58,4.47
14.48,79.8,5.58
21.77,72.15,4.67
30.61,76.1,1.45
34.38,73.77,1.04
29.07,76.31,1.73
25.18,85.52,4.61
19.57,74.65,4.64
23.3,81.67,4.03
22.37,87.42,5.28
23.17,79.45,3.57
25.15,84.62,4.44
32.62,74.82,1.55
33.21,74.43,1.07
26.43,70.58,2.61
13.0,80.27,5.77
22.22,88.1,5.51
25.05,83.62,4.25
21.32,74.1,4.42
22.01,88.33,5.53
24.77,88.03,5.04
20.48,86.23,5.41
30.52,76.84,1.62
29.89,78.66,2.24
24.67,79.16,3.25
33.68,75.08,1.74
21.93,69.77,4.61
25.58,72.67,2.88
22.87,78.22,3.57
29.82,78.72,2.0
26.25,78.25,2.82
30.56,76.21,1.48
24.4,83.58,4.26
30.27,76.03,1.45
25.65,87.13,4.87
22.95,88.55,5.3
32.94,74.39,1.33
24.07,79.08,3.37
24.18,72.03,3.53
20.45,72.88,5.14
26.8,79.25,2.83
21.67,87.35,5.49
25.7,92.02,5.21
25.28,74.67,3.01
30.19,76.63,1.6
27.14,79.75,2.86
20.62,83.35,4.72
20.9,77.6,3.86
24.27,73.38,3.46
25.55,84.87,4.46
26.05,77.37,2.8
27.07,88.2,4.69
11.68,77.13,5.76
31.28,76.25,1.36
26.7,88.48,5.01
20.43,85.98,5.35
22.13,84.8,4.71
22.68,84.55,4.53
24.63,93.77,5.54
26.05,86.98,4.8
34.4,74.32,1.33
19.02,72.85,5.46
27.25,92.4,6.4
14.6,76.68,5.03
17.89,78.46,4.57
34.01,74.64,1.62
26.82,94.83,6.28
27.87,96.37,6.54
32.65,74.82,1.56
24.1,92.6,5.55
34.48,74.24,1.44
17.33,78.41,4.72
23.35,92.83,5.33
27.35,73.1,1.99
30.19,76.51,1.57
22.36,88.12,5.46
34.53,76.2,3.02
34.38,74.99,2.29
24.02,87.15,4.87
34.28,74.44,1.34
33.6,75.02,1.79
28.26,75.37,1.83
22.25,85.8,4.77
26.52,71.81,2.43
26.77,92.6,5.79
25.5,83.85,4.25
13.62,76.42,5.43
22.25,88.67,5.51
9.17,92.83,5.16
22.55,85.82,4.81
24.92,75.58,3.13
22.03,82.7,4.39
20.78,86.73,5.53
19.97,79.3,4.16
26.2,92.52,5.79
25.78,84.73,4.4
13.0,80.18,5.71
13.07,80.25,5.76
25.25,91.73,5.16
22.1,79.0,3.84
13.25,75.75,6.22
14.23,76.43,5.38
24.88,74.63,3.16
24.65,83.1,4.09
28.25,74.92,1.78
11.0,76.97,5.39
11.03,77.05,5.32
21.78,87.75,5.51
26.33,89.47,5.25
11.77,79.77,5.68
14.48,78.83,5.07
20.47,85.93,5.32
20.22,73.05,5.07
22.52,88.78,5.43
25.68,85.35,4.55
26.84,79.53,2.87
11.15,75.82,5.83
