Latitude,Longitude,PTrain_AC1
24.6,72.72,6.03
10.33,79.38,5.74
23.88,91.25,5.79
10.85,72.47,6.21
27.17,78.03,4.57
13.5,75.1,6.19
23.07,72.63,6.06
19.08,74.8,6.15
26.45,74.62,4.78
20.7,77.03,5.49
20.7,77.07,5.51
9.55,76.42,5.72
18.63,72.87,6.69
27.88,78.07,4.46
22.28,74.4,5.95
25.45,81.73,5.36
27.5,76.58,4.39
30.38,76.77,3.95
23.17,83.25,6.07
11.12,72.73,6.23
20.93,77.78,5.49
21.6,71.22,6.31
31.63,74.87,3.47
14.68,77.62,5.42
20.83,85.1,5.89
11.17,79.0,5.45
13.53,78.5,5.61
19.88,75.33,5.96
19.85,75.4,5.95
22.3,86.93,5.86
12.99,80.2,6.01
10.35,79.4,5.74
30.08,78.72,5.97
18.18,72.99,6.69
22.03,73.67,6.16
12.88,80.15,5.99
17.05,75.78,5.83
24.07,78.06,5.31
16.57,76.47,5.63
24.95,71.53,5.26
27.14,79.28,4.77
23.6,72.95,5.81
22.38,93.15,6.05
16.67,74.9,6.08
24.53,78.72,5.27
26.85,79.08,4.77
29.96,78.61,5.35
11.47,77.88,5.07
24.77,84.18,5.7
26.35,75.03,4.74
21.17,73.18,6.39
8.87,77.5,5.41
12.89,80.11,5.97
17.83,80.48,5.8
17.1,76.22,5.65
17.17,74.53,6.21
10.02,78.78,5.52
28.75,79.72,4.72
25.03,86.9,5.76
26.35,74.12,4.66
28.27,72.85,3.64
21.38,71.05,6.38
18.73,76.38,5.82
20.13,73.03,6.51
22.41,88.3,5.87
26.67,90.6,6.1
16.07,75.95,5.8
25.97,93.5,6.4
14.47,79.72,6.0
21.98,72.9,6.39
23.65,91.62,5.79
24.53,87.57,5.78
27.54,79.6,4.78
18.42,83.9,6.11
29.93,78.53,5.45
16.15,76.38,5.67
25.62,94.53,7.36
23.4,85.52,5.96
8.67,76.77,5.63
12.02,76.3,5.8
25.09,78.86,5.14
26.06,78.21,4.86
29.19,73.21,3.34
25.05,78.86,5.14
13.53,80.07,6.01
28.47,95.52,8.59
15.68,78.97,5.85
17.75,74.05,6.36
9.87,76.35,5.78
24.23,87.28,5.78
24.48,76.33,5.22
28.57,74.51,3.78
23.05,72.97,6.05
24.57,78.88,5.25
17.23,76.48,5.58
11.08,76.58,5.69
12.05,78.78,5.48
19.88,75.33,5.95
27.24,79.89,4.87
9.97,76.25,5.86
33.12,75.32,4.74
16.7,75.25,5.96
22.98,88.37,5.82
22.63,77.98,5.41
27.57,81.6,5.15
18.58,81.23,6.24
21.52,86.93,5.96
13.37,75.45,6.11
25.75,84.17,5.62
25.22,88.78,5.86
25.47,80.37,5.14
12.97,77.58,5.57
12.95,77.63,5.54
33.5,75.17,4.66
23.23,87.07,5.79
23.55,74.45,5.65
15.9,80.47,6.22
18.15,74.58,6.16
28.37,79.4,4.67
21.93,86.77,5.89
25.75,71.38,4.91
22.3,73.25,6.27
22.33,73.27,6.26
33.12,75.32,4.66
19.0,75.72,5.87
15.85,74.53,6.31
15.85,74.62,6.28
15.15,76.85,5.53
24.13,88.27,5.78
21.87,77.93,5.75
25.23,86.95,5.76
27.22,77.5,4.49
30.17,74.58,3.43
21.75,72.18,6.48
19.92,83.18,5.87
25.35,74.63,5.14
