Latitude,Longitude,PTrain_AC1
24.6,72.72,3.16
10.33,79.38,5.05
23.88,91.25,5.13
10.85,72.47,5.55
27.17,78.03,2.87
13.5,75.1,5.76
23.07,72.63,3.67
19.08,74.8,4.6
26.45,74.62,2.62
20.7,77.03,3.9
20.7,77.07,3.91
9.55,76.42,4.98
18.63,72.87,5.19
27.88,78.07,2.68
22.28,74.4,3.81
25.45,81.73,3.98
27.5,76.58,2.55
30.38,76.77,1.81
23.17,83.25,4.55
11.12,72.73,5.56
20.93,77.78,3.92
21.6,71.22,4.03
31.63,74.87,1.17
14.68,77.62,4.32
20.83,85.1,4.68
11.17,79.0,4.52
13.53,78.5,4.99
19.88,75.33,4.3
19.85,75.4,4.3
22.3,86.93,4.89
12.99,80.2,5.29
10.35,79.4,5.04
30.08,78.72,2.74
18.18,72.99,5.28
22.03,73.67,4.04
12.88,80.15,5.26
17.05,75.78,4.6
24.07,78.06,3.56
16.57,76.47,4.42
24.95,71.53,2.94
27.14,79.28,3.06
23.6,72.95,3.42
22.38,93.15,5.33
16.67,74.9,4.93
24.53,78.72,3.52
26.85,79.08,3.09
29.96,78.61,2.37
11.47,77.88,4.11
24.77,84.18,4.43
26.35,75.03,2.73
21.17,73.18,4.39
8.87,77.5,4.68
12.89,80.11,5.23
17.83,80.48,4.47
17.1,76.22,4.37
17.17,74.53,5.02
10.02,78.78,4.72
28.75,79.72,2.92
25.03,86.9,4.63
26.35,74.12,2.63
28.27,72.85,1.76
21.38,71.05,4.09
18.73,76.38,4.43
20.13,73.03,4.68
22.41,88.3,5.21
26.67,90.6,5.23
16.07,75.95,4.72
25.97,93.5,5.56
14.47,79.72,5.1
21.98,72.9,4.19
23.65,91.62,5.18
24.53,87.57,4.66
27.54,79.6,3.05
18.42,83.9,5.24
29.93,78.53,2.39
16.15,76.38,4.55
25.62,94.53,6.39
23.4,85.52,4.51
8.67,76.77,4.9
12.02,76.3,5.44
25.09,78.86,3.41
26.06,78.21,3.15
29.19,73.21,1.4
25.05,78.86,3.42
13.53,80.07,5.22
28.47,95.52,7.6
15.68,78.97,4.75
17.75,74.05,5.08
9.87,76.35,5.05
24.23,87.28,4.61
24.48,76.33,3.37
28.57,74.51,1.83
23.05,72.97,3.68
24.57,78.88,3.51
17.23,76.48,4.28
11.08,76.58,5.36
12.05,78.78,4.68
19.88,75.33,4.29
27.24,79.89,3.16
9.97,76.25,5.17
33.12,75.32,1.53
16.7,75.25,4.78
22.98,88.37,4.98
22.63,77.98,3.75
27.57,81.6,3.67
18.58,81.23,5.26
21.52,86.93,5.23
13.37,75.45,5.8
25.75,84.17,4.44
25.22,88.78,4.85
25.47,80.37,3.52
12.97,77.58,5.19
12.95,77.63,5.14
33.5,75.17,1.6
23.23,87.07,4.69
23.55,74.45,3.48
15.9,80.47,5.39
18.15,74.58,4.75
28.37,79.4,2.87
21.93,86.77,4.99
25.75,71.38,2.56
22.3,73.25,4.05
22.33,73.27,4.03
33.12,75.32,1.48
19.0,75.72,4.36
15.85,74.53,5.49
15.85,74.62,5.45
15.15,76.85,4.47
24.13,88.27,4.76
21.87,77.93,4.04
25.23,86.95,4.65
27.22,77.5,2.79
30.17,74.58,1.27
21.75,72.18,4.26
19.92,83.18,4.52
25.35,74.63,2.97
18.45,73.4,5.03
23.28,77.35,3.71
20.25,85.83,5.07
23.25,69.67,3.41
