Latitude,Longitude,PTrain_AC1
24.6,72.72,0.97
10.33,79.38,5.24
23.88,91.25,3.28
10.85,72.47,5.16
27.17,78.03,1.14
13.5,75.1,4.73
23.07,72.63,1.49
19.08,74.8,2.72
26.45,74.62,0.85
20.7,77.03,2.08
20.7,77.07,2.08
9.55,76.42,5.34
18.63,72.87,3.04
27.88,78.07,1.07
22.28,74.4,1.74
25.45,81.73,1.75
27.5,76.58,0.99
30.38,76.77,0.74
23.17,83.25,2.38
11.12,72.73,5.11
20.93,77.78,2.02
21.6,71.22,1.8
31.63,74.87,0.54
14.68,77.62,3.95
20.83,85.1,3.09
11.17,79.0,4.97
13.53,78.5,4.6
19.88,75.33,2.41
19.85,75.4,2.42
22.3,86.93,3.03
12.99,80.2,4.8
10.35,79.4,5.24
30.08,78.72,0.98
18.18,72.99,3.19
22.03,73.67,1.87
12.88,80.15,4.82
17.05,75.78,3.29
24.07,78.06,1.5
16.57,76.47,3.36
24.95,71.53,0.81
27.14,79.28,1.17
23.6,72.95,1.29
22.38,93.15,3.49
16.67,74.9,3.53
24.53,78.72,1.44
26.85,79.08,1.21
29.96,78.61,0.76
11.47,77.88,4.76
24.77,84.18,2.34
26.35,75.03,0.92
21.17,73.18,2.17
8.87,77.5,5.43
12.89,80.11,4.81
17.83,80.48,3.36
17.1,76.22,3.17
17.17,74.53,3.41
10.02,78.78,5.24
28.75,79.72,1.0
25.03,86.9,2.7
26.35,74.12,0.82
28.27,72.85,0.57
21.38,71.05,1.87
18.73,76.38,2.74
20.13,73.03,2.5
22.41,88.3,3.18
26.67,90.6,3.26
16.07,75.95,3.64
25.97,93.5,3.67
14.47,79.72,4.41
21.98,72.9,1.95
23.65,91.62,3.32
24.53,87.57,2.8
27.54,79.6,1.13
18.42,83.9,3.68
29.93,78.53,0.79
16.15,76.38,3.55
25.62,94.53,3.7
23.4,85.52,2.62
8.67,76.77,5.45
12.02,76.3,5.08
25.09,78.86,1.37
26.06,78.21,1.25
29.19,73.21,0.57
25.05,78.86,1.38
13.53,80.07,4.66
28.47,95.52,3.51
15.68,78.97,3.96
17.75,74.05,3.25
9.87,76.35,5.3
24.23,87.28,2.77
24.48,76.33,1.32
28.57,74.51,0.71
23.05,72.97,1.52
24.57,78.88,1.44
17.23,76.48,3.09
11.08,76.58,5.28
12.05,78.78,4.88
19.88,75.33,2.41
27.24,79.89,1.16
9.97,76.25,5.31
33.12,75.32,0.56
16.7,75.25,3.47
22.98,88.37,3.07
22.63,77.98,1.71
27.57,81.6,1.46
18.58,81.23,3.41
21.52,86.93,3.24
13.37,75.45,4.78
25.75,84.17,2.27
25.22,88.78,2.97
25.47,80.37,1.34
12.97,77.58,4.73
12.95,77.63,4.72
33.5,75.17,0.56
23.23,87.07,2.87
23.55,74.45,1.38
15.9,80.47,4.16
18.15,74.58,3.03
28.37,79.4,1.04
21.93,86.77,3.1
25.75,71.38,0.6
22.3,73.25,1.85
22.33,73.27,1.83
33.12,75.32,0.52
19.0,75.72,2.66
15.85,74.53,3.94
15.85,74.62,3.93
15.15,76.85,3.83
24.13,88.27,2.92
21.87,77.93,1.92
25.23,86.95,2.71
27.22,77.5,1.11
30.17,74.58,0.61
21.75,72.18,1.99
19.92,83.18,3.07
25.35,74.63,0.99
18.45,73.4,3.04
23.28,77.35,1.61
20.25,85.83,3.36
23.25,69.67,1.26
31.83,77.17,0.53
17.92,77.53,3.01
16.82,75.72,3.4
28.0,73.3,0.61
31.25,76.67,0.57
20.7,83.5,2.9
20.6,79.85,2.31
20.53,76.23,2.23
20.62,72.93,2.4
20.22,75.42,2.33
21.9,84.03,2.69
27.13,94.12,3.86
25.82,86.27,2.61
27.05,79.85,1.18
27.78,74.57,0.76
13.68,77.07,4.43
28.48,76.18,0.88
22.92,69.17,1.41
27.52,76.77,1.02
23.22,88.88,3.09
16.9,74.37,3.51
24.08,85.87,2.6
30.0,78.59,0.78
23.73,86.32,2.71
27.0,79.65,1.19
23.32,88.65,3.05
23.95,92.08,3.35
25.58,86.27,2.62
27.58,81.6,1.46
30.37,77.87,0.7
22.23,85.32,2.8
24.87,86.45,2.64
33.22,74.09,0.38
26.3,84.78,2.36
22.87,88.27,3.08
24.78,79.02,1.41
26.22,84.38,2.28
25.11,75.63,1.14
22.97,75.2,1.55
27.9,79.0,1.09
19.3,75.47,2.57
17.31,78.48,3.36
22.33,88.3,3.2
26.25,89.6,3.1
30.67,76.97,0.67
34.03,74.94,0.57
26.97,77.08,1.09
29.89,78.61,0.73
25.42,86.32,2.63
15.25,79.47,4.18
33.66,74.01,0.43
27.82,93.9,3.78
19.73,85.22,3.47
34.05,74.75,0.56
26.13,75.87,1.05
26.33,73.15,0.72
23.98,85.78,2.59
19.48,83.98,3.34
28.46,75.64,0.83
25.62,85.15,2.45
22.63,88.3,3.13
23.8,86.35,2.7
23.28,85.82,2.7
21.49,70.07,1.88
30.04,76.53,0.77
22.65,79.15,1.73
26.72,88.32,2.91
