Latitude,Longitude,PTrain_AC1
24.6,72.72,0.88
10.33,79.38,5.02
23.88,91.25,1.88
10.85,72.47,3.56
27.17,78.03,0.72
13.5,75.1,4.07
23.07,72.63,0.68
19.08,74.8,1.54
26.45,74.62,1.11
20.7,77.03,1.0
20.7,77.07,1.03
9.55,76.42,4.55
18.63,72.87,1.5
27.88,78.07,0.69
22.28,74.4,0.77
25.45,81.73,0.88
27.5,76.58,0.91
30.38,76.77,0.63
23.17,83.25,1.44
11.12,72.73,3.58
20.93,77.78,1.17
21.6,71.22,0.45
31.63,74.87,0.62
14.68,77.62,3.07
20.83,85.1,1.87
11.17,79.0,4.41
13.53,78.5,4.22
19.88,75.33,1.28
19.85,75.4,1.29
22.3,86.93,1.98
12.99,80.2,4.54
10.35,79.4,5.0
30.08,78.72,0.58
18.18,72.99,1.63
22.03,73.67,0.79
12.88,80.15,4.55
17.05,75.78,2.2
24.07,78.06,0.88
16.57,76.47,2.37
24.95,71.53,0.56
27.14,79.28,0.61
23.6,72.95,0.62
22.38,93.15,2.11
16.67,74.9,2.34
24.53,78.72,0.87
26.85,79.08,0.63
29.96,78.61,0.67
11.47,77.88,4.07
24.77,84.18,1.18
26.35,75.03,1.05
21.17,73.18,0.94
8.87,77.5,4.84
12.89,80.11,4.53
17.83,80.48,2.15
17.1,76.22,2.09
17.17,74.53,2.2
10.02,78.78,4.82
28.75,79.72,0.59
25.03,86.9,1.44
26.35,74.12,1.02
28.27,72.85,1.03
21.38,71.05,0.5
18.73,76.38,1.81
20.13,73.03,1.11
22.41,88.3,2.41
26.67,90.6,2.03
16.07,75.95,2.64
25.97,93.5,1.97
14.47,79.72,3.81
21.98,72.9,0.97
23.65,91.62,2.01
24.53,87.57,1.49
27.54,79.6,0.58
18.42,83.9,3.04
29.93,78.53,0.64
16.15,76.38,2.58
25.62,94.53,2.42
23.4,85.52,1.58
8.67,76.77,4.72
12.02,76.3,4.66
25.09,78.86,0.8
26.06,78.21,0.78
29.19,73.21,0.9
25.05,78.86,0.8
13.53,80.07,4.27
28.47,95.52,2.79
15.68,78.97,3.06
17.75,74.05,2.03
9.87,76.35,4.51
24.23,87.28,1.52
24.48,76.33,0.81
28.57,74.51,0.93
23.05,72.97,0.73
24.57,78.88,0.85
17.23,76.48,2.06
11.08,76.58,4.94
12.05,78.78,4.42
19.88,75.33,1.26
27.24,79.89,0.58
9.97,76.25,4.55
33.12,75.32,1.14
16.7,75.25,2.3
22.98,88.37,1.98
22.63,77.98,0.9
27.57,81.6,0.82
18.58,81.23,2.7
21.52,86.93,2.57
13.37,75.45,4.24
25.75,84.17,1.24
25.22,88.78,1.52
25.47,80.37,0.65
12.97,77.58,4.48
12.95,77.63,4.47
33.5,75.17,1.35
23.23,87.07,1.69
23.55,74.45,0.68
15.9,80.47,3.62
18.15,74.58,1.76
28.37,79.4,0.58
21.93,86.77,2.21
25.75,71.38,0.78
22.3,73.25,0.94
22.33,73.27,0.93
33.12,75.32,1.15
19.0,75.72,1.5
15.85,74.53,2.96
15.85,74.62,2.94
15.15,76.85,2.94
24.13,88.27,1.53
21.87,77.93,1.28
25.23,86.95,1.45
27.22,77.5,0.78
30.17,74.58,0.66
21.75,72.18,0.91
19.92,83.18,1.84
25.35,74.63,0.95
18.45,73.4,1.51
23.28,77.35,0.97
20.25,85.83,2.47
23.25,69.67,0.41
31.83,77.17,0.89
17.92,77.53,2.26
16.82,75.72,2.35
28.0,73.3,0.99
31.25,76.67,0.72
20.7,83.5,1.54
20.6,79.85,1.21
20.53,76.23,1.29
20.62,72.93,1.14
20.22,75.42,1.26
21.9,84.03,1.29
27.13,94.12,2.38
25.82,86.27,1.48
27.05,79.85,0.59
27.78,74.57,1.04
13.68,77.07,3.92
28.48,76.18,0.84
22.92,69.17,0.43
27.52,76.77,0.87
23.22,88.88,1.78
16.9,74.37,2.29
24.08,85.87,1.47
30.0,78.59,0.65
23.73,86.32,1.43
27.0,79.65,0.59
23.32,88.65,1.75
23.95,92.08,1.84
25.58,86.27,1.44
27.58,81.6,0.82
30.37,77.87,0.7
22.23,85.32,1.62
24.87,86.45,1.44
33.22,74.09,1.0
26.3,84.78,1.4
22.87,88.27,2.07
24.78,79.02,0.81
26.22,84.38,1.33
25.11,75.63,0.94
22.97,75.2,0.83
27.9,79.0,0.6
19.3,75.47,1.35
17.31,78.48,2.42
22.33,88.3,2.47
26.25,89.6,1.81
30.67,76.97,0.67
34.03,74.94,1.5
26.97,77.08,0.87
29.89,78.61,0.7
25.42,86.32,1.41
15.25,79.47,3.45
33.66,74.01,1.11
27.82,93.9,2.77
19.73,85.22,2.74
34.05,74.75,1.47
26.13,75.87,0.95
