Latitude,Longitude,PTrain_AC1
24.6,72.72,1.39
10.33,79.38,4.29
23.88,91.25,1.12
10.85,72.47,3.06
27.17,78.03,1.31
13.5,75.1,2.86
23.07,72.63,0.85
19.08,74.8,1.33
26.45,74.62,1.46
20.7,77.03,0.9
20.7,77.07,0.93
9.55,76.42,4.09
18.63,72.87,1.2
27.88,78.07,1.44
22.28,74.4,0.89
25.45,81.73,1.07
27.5,76.58,1.49
30.38,76.77,2.05
23.17,83.25,1.36
11.12,72.73,3.03
20.93,77.78,0.96
21.6,71.22,0.68
31.63,74.87,2.48
14.68,77.62,2.53
20.83,85.1,1.41
11.17,79.0,3.93
13.53,78.5,3.3
19.88,75.33,1.19
19.85,75.4,1.19
22.3,86.93,1.35
12.99,80.2,3.54
10.35,79.4,4.28
30.08,78.72,1.52
18.18,72.99,1.28
22.03,73.67,0.87
12.88,80.15,3.56
17.05,75.78,1.76
24.07,78.06,1.02
16.57,76.47,1.89
24.95,71.53,0.82
27.14,79.28,1.19
23.6,72.95,0.84
22.38,93.15,1.26
16.67,74.9,1.81
24.53,78.72,1.01
26.85,79.08,1.16
29.96,78.61,1.64
11.47,77.88,3.73
24.77,84.18,1.16
26.35,75.03,1.38
21.17,73.18,0.93
8.87,77.5,4.49
12.89,80.11,3.55
17.83,80.48,1.75
17.1,76.22,1.68
17.17,74.53,1.68
10.02,78.78,4.3
28.75,79.72,1.47
25.03,86.9,1.16
26.35,74.12,1.32
28.27,72.85,1.64
21.38,71.05,0.71
18.73,76.38,1.49
20.13,73.03,1.0
22.41,88.3,1.51
26.67,90.6,1.51
16.07,75.95,2.08
25.97,93.5,1.33
14.47,79.72,2.93
21.98,72.9,0.97
23.65,91.62,1.17
24.53,87.57,1.12
27.54,79.6,1.23
18.42,83.9,2.14
29.93,78.53,1.61
16.15,76.38,2.05
25.62,94.53,1.77
23.4,85.52,1.31
8.67,76.77,4.38
12.02,76.3,3.55
25.09,78.86,1.01
26.06,78.21,1.16
29.19,73.21,1.84
25.05,78.86,1.0
13.53,80.07,3.32
28.47,95.52,2.18
15.68,78.97,2.38
17.75,74.05,1.53
9.87,76.35,3.99
24.23,87.28,1.13
24.48,76.33,1.04
28.57,74.51,1.72
23.05,72.97,0.87
24.57,78.88,0.98
17.23,76.48,1.64
11.08,76.58,3.87
12.05,78.78,3.67
19.88,75.33,1.18
27.24,79.89,1.14
9.97,76.25,3.96
33.12,75.32,2.85
16.7,75.25,1.81
22.98,88.37,1.29
22.63,77.98,0.9
27.57,81.6,1.37
18.58,81.23,2.07
21.52,86.93,1.66
13.37,75.45,3.03
25.75,84.17,1.3
25.22,88.78,1.15
25.47,80.37,0.81
12.97,77.58,3.61
12.95,77.63,3.6
33.5,75.17,3.12
23.23,87.07,1.19
23.55,74.45,0.88
15.9,80.47,2.64
18.15,74.58,1.42
28.37,79.4,1.41
21.93,86.77,1.47
25.75,71.38,1.05
22.3,73.25,0.96
22.33,73.27,0.95
33.12,75.32,2.86
19.0,75.72,1.3
15.85,74.53,2.1
15.85,74.62,2.11
15.15,76.85,2.37
24.13,88.27,1.09
21.87,77.93,1.16
25.23,86.95,1.19
27.22,77.5,1.36
30.17,74.58,2.04
21.75,72.18,0.93
19.92,83.18,1.47
25.35,74.63,1.22
18.45,73.4,1.22
23.28,77.35,1.09
20.25,85.83,1.72
23.25,69.67,0.74
31.83,77.17,2.31
17.92,77.53,1.77
16.82,75.72,1.86
28.0,73.3,1.58
31.25,76.67,2.25
20.7,83.5,1.28
20.6,79.85,1.0
20.53,76.23,1.22
20.62,72.93,1.02
20.22,75.42,1.21
21.9,84.03,1.14
27.13,94.12,1.73
25.82,86.27,1.31
27.05,79.85,1.11
27.78,74.57,1.6
13.68,77.07,3.14
28.48,76.18,1.67
22.92,69.17,0.74
27.52,76.77,1.47
23.22,88.88,1.18
16.9,74.37,1.71
24.08,85.87,1.23
30.0,78.59,1.62
23.73,86.32,1.12
27.0,79.65,1.12
23.32,88.65,1.17
23.95,92.08,1.08
25.58,86.27,1.25
27.58,81.6,1.37
30.37,77.87,1.95
22.23,85.32,1.26
24.87,86.45,1.19
33.22,74.09,3.08
26.3,84.78,1.43
22.87,88.27,1.33
24.78,79.02,0.96
26.22,84.38,1.4
25.11,75.63,1.19
22.97,75.2,1.02
27.9,79.0,1.36
19.3,75.47,1.2
17.31,78.48,1.92
22.33,88.3,1.54
26.25,89.6,1.36
30.67,76.97,2.1
34.03,74.94,3.42
26.97,77.08,1.37
29.89,78.61,1.7
25.42,86.32,1.22
15.25,79.47,2.63
33.66,74.01,3.29
27.82,93.9,2.08
19.73,85.22,1.89
34.05,74.75,3.42
26.13,75.87,1.27
26.33,73.15,1.22
23.98,85.78,1.25
19.48,83.98,1.73
28.46,75.64,1.69
25.62,85.15,1.28
22.63,88.3,1.42
23.8,86.35,1.14
23.28,85.82,1.15
21.49,70.07,0.66
30.04,76.53,1.97
22.65,79.15,1.01
26.72,88.32,1.6
20.67,86.12,1.6
22.73,88.66,1.34
25.77,87.1,1.28
21.7,87.07,1.62
26.72,79.9,1.05
25.5,87.37,1.22
24.2,78.22,1.02
23.1,80.05,0.92
24.3,85.42,1.27
27.48,82.78,1.52
25.22,84.42,1.21
23.05,75.37,1.02
26.32,91.0,1.35
26.32,82.33,1.27
23.83,84.12,1.21
23.73,87.02,1.13
22.35,87.37,1.39
29.73,76.75,1.89
26.13,87.47,1.38
23.6,87.53,1.15
16.07,75.37,2.08
25.1,76.4,1.09
34.25,74.55,3.46
26.65,85.58,1.53
14.48,79.8,2.95
21.77,72.15,0.84
30.61,76.1,2.13
34.38,73.77,3.52
29.07,76.31,1.77
25.18,85.52,1.19
19.57,74.65,1.15
23.3,81.67,1.18
22.37,87.42,1.4
23.17,79.45,0.75
25.15,84.62,1.2
32.62,74.82,2.9
33.21,74.43,3.02
26.43,70.58,1.18
13.0,80.27,3.55
22.22,88.1,1.62
25.05,83.62,1.17
21.32,74.1,0.86
22.01,88.33,1.6
24.77,88.03,1.1
20.48,86.23,1.7
30.52,76.84,2.08
29.89,78.66,1.58
24.67,79.16,0.93
33.68,75.08,3.25
21.93,69.77,0.63
25.58,72.67,1.01
22.87,78.22,0.88
29.82,78.72,1.66
26.25,78.25,1.15
30.56,76.21,2.12
24.4,83.58,1.18
30.27,76.03,2.05
25.65,87.13,1.25
22.95,88.55,1.28
32.94,74.39,3.05
24.07,79.08,0.97
24.18,72.03,0.78
20.45,72.88,1.02
26.8,79.25,1.13
21.67,87.35,1.65
25.7,92.02,1.53
25.28,74.67,1.19
30.19,76.63,2.01
27.14,79.75,1.14
20.62,83.35,1.28
20.9,77.6,0.89
