Latitude,Longitude,PTrain_AP1
24.6,72.72,950.07
10.33,79.38,1014.18
23.88,91.25,1014.97
10.85,72.47,1012.66
27.17,78.03,1005.68
13.5,75.1,978.14
23.07,72.63,1012.39
19.08,74.8,977.6
26.45,74.62,988.64
20.7,77.03,997.55
20.7,77.07,996.15
9.55,76.42,1013.52
18.63,72.87,1014.0
27.88,78.07,1004.94
22.28,74.4,999.52
25.45,81.73,1009.81
27.5,76.58,1000.15
30.38,76.77,1000.2
23.17,83.25,982.9
11.12,72.73,1012.77
20.93,77.78,992.96
21.6,71.22,1008.38
31.63,74.87,1000.66
14.68,77.62,992.7
20.83,85.1,1008.86
11.17,79.0,1009.49
13.53,78.5,974.98
19.88,75.33,981.84
19.85,75.4,981.92
22.3,86.93,1014.38
12.99,80.2,1014.38
10.35,79.4,1014.42
30.08,78.72,904.82
18.18,72.99,1014.0
22.03,73.67,1012.33
12.88,80.15,1013.95
17.05,75.78,982.92
24.07,78.06,994.07
16.57,76.47,986.46
24.95,71.53,1011.62
27.14,79.28,1007.14
23.6,72.95,1008.46
22.38,93.15,946.98
16.67,74.9,983.2
24.53,78.72,994.62
26.85,79.08,1007.21
29.96,78.61,944.05
11.47,77.88,997.33
24.77,84.18,1009.86
26.35,75.03,993.92
21.17,73.18,1013.87
8.87,77.5,1007.42
12.89,80.11,1013.31
17.83,80.48,1004.51
17.1,76.22,988.55
17.17,74.53,980.27
10.02,78.78,1010.77
28.75,79.72,1005.81
25.03,86.9,1013.16
26.35,74.12,997.09
28.27,72.85,1003.44
21.38,71.05,1004.0
18.73,76.38,977.69
20.13,73.03,1011.16
22.41,88.3,1015.98
26.67,90.6,1010.17
16.07,75.95,982.0
25.97,93.5,1007.61
14.47,79.72,1011.07
21.98,72.9,1015.1
23.65,91.62,1012.34
24.53,87.57,1012.3
27.54,79.6,1007.79
18.42,83.9,1014.3
29.93,78.53,937.24
16.15,76.38,984.18
25.62,94.53,948.12
23.4,85.52,986.35
8.67,76.77,1013.69
12.02,76.3,976.43
25.09,78.86,998.7
26.06,78.21,1001.69
29.19,73.21,1004.26
25.05,78.86,998.69
13.53,80.07,1013.94
28.47,95.52,913.0
15.68,78.97,1001.24
17.75,74.05,978.61
9.87,76.35,1013.68
24.23,87.28,1009.77
24.48,76.33,997.71
28.57,74.51,1001.12
23.05,72.97,1011.41
24.57,78.88,996.31
17.23,76.48,989.31
11.08,76.58,980.78
12.05,78.78,997.46
19.88,75.33,982.7
27.24,79.89,1008.04
9.97,76.25,1013.72
33.12,75.32,923.79
16.7,75.25,984.16
22.98,88.37,1015.76
22.63,77.98,996.06
27.57,81.6,1008.97
18.58,81.23,950.43
21.52,86.93,1015.29
13.37,75.45,965.31
25.75,84.17,1012.1
25.22,88.78,1014.54
25.47,80.37,1008.19
12.97,77.58,962.31
12.95,77.63,963.58
33.5,75.17,927.66
23.23,87.07,1011.47
23.55,74.45,1003.41
15.9,80.47,1014.91
18.15,74.58,983.31
28.37,79.4,1006.01
21.93,86.77,1013.71
25.75,71.38,1003.16
22.3,73.25,1013.81
22.33,73.27,1013.61
33.12,75.32,929.67
19.0,75.72,984.74
15.85,74.53,972.11
15.85,74.62,972.38
15.15,76.85,987.34
24.13,88.27,1015.31
21.87,77.93,978.6
25.23,86.95,1013.5
27.22,77.5,1005.13
30.17,74.58,1002.3
21.75,72.18,1014.64
19.92,83.18,1001.59
25.35,74.63,992.05
18.45,73.4,1009.18
23.28,77.35,986.34
20.25,85.83,1013.78
23.25,69.67,1010.51
31.83,77.17,956.5
17.92,77.53,976.24
16.82,75.72,980.03
28.0,73.3,1001.06
31.25,76.67,984.08
20.7,83.5,1005.57
20.6,79.85,1000.87
20.53,76.23,978.14
20.62,72.93,1014.29
20.22,75.42,977.83
21.9,84.03,1004.07
27.13,94.12,1010.47
25.82,86.27,1013.85
27.05,79.85,1007.49
27.78,74.57,997.34
13.68,77.07,972.61
28.48,76.18,1001.84
22.92,69.17,1013.84
27.52,76.77,1001.87
23.22,88.88,1015.86
16.9,74.37,983.02
24.08,85.87,997.77
30.0,78.59,937.26
23.73,86.32,1008.42
27.0,79.65,1007.68
23.32,88.65,1016.02
23.95,92.08,1009.32
25.58,86.27,1013.88
27.58,81.6,1008.91
30.37,77.87,986.71
22.23,85.32,997.68
24.87,86.45,1009.04
33.22,74.09,974.93
26.3,84.78,1012.33
22.87,88.27,1015.69
24.78,79.02,998.51
26.22,84.38,1012.12
25.11,75.63,992.15
22.97,75.2,986.95
27.9,79.0,1006.76
19.3,75.47,987.48
17.31,78.48,983.99
22.33,88.3,1015.91
26.25,89.6,1013.66
30.67,76.97,993.29
34.03,74.94,932.55
26.97,77.08,1000.94
29.89,78.61,963.92
25.42,86.32,1013.98
15.25,79.47,1008.81
33.66,74.01,972.52
27.82,93.9,998.16
19.73,85.22,1016.04
34.05,74.75,932.05
26.13,75.87,999.32
26.33,73.15,1002.18
