Latitude,Longitude,PTrain_AP1
24.6,72.72,948.84
10.33,79.38,1013.23
23.88,91.25,1012.83
10.85,72.47,1011.85
27.17,78.03,1004.37
13.5,75.1,977.32
23.07,72.63,1010.68
19.08,74.8,976.44
26.45,74.62,987.24
20.7,77.03,996.85
20.7,77.07,995.4
9.55,76.42,1012.65
18.63,72.87,1012.63
27.88,78.07,1003.4
22.28,74.4,998.14
25.45,81.73,1009.03
27.5,76.58,998.69
30.38,76.77,998.12
23.17,83.25,981.78
11.12,72.73,1011.95
20.93,77.78,992.06
21.6,71.22,1007.01
31.63,74.87,998.77
14.68,77.62,991.63
20.83,85.1,1007.45
11.17,79.0,1008.61
13.53,78.5,973.69
19.88,75.33,980.72
19.85,75.4,980.8
22.3,86.93,1012.36
12.99,80.2,1013.28
10.35,79.4,1013.47
30.08,78.72,903.76
18.18,72.99,1012.69
22.03,73.67,1010.76
12.88,80.15,1012.86
17.05,75.78,981.77
24.07,78.06,993.05
16.57,76.47,985.31
24.95,71.53,1010.29
27.14,79.28,1005.71
23.6,72.95,1006.91
22.38,93.15,945.11
16.67,74.9,982.13
24.53,78.72,993.44
26.85,79.08,1005.9
29.96,78.61,941.79
11.47,77.88,996.28
24.77,84.18,1009.28
26.35,75.03,992.62
21.17,73.18,1012.26
8.87,77.5,1006.63
12.89,80.11,1012.24
17.83,80.48,1003.64
17.1,76.22,987.48
17.17,74.53,979.19
10.02,78.78,1009.9
28.75,79.72,1003.93
25.03,86.9,1012.14
26.35,74.12,995.82
28.27,72.85,1001.98
21.38,71.05,1002.63
18.73,76.38,976.42
20.13,73.03,1009.69
22.41,88.3,1013.43
26.67,90.6,1009.15
16.07,75.95,980.82
25.97,93.5,1006.73
14.47,79.72,1009.99
21.98,72.9,1013.24
23.65,91.62,1010.04
24.53,87.57,1010.97
27.54,79.6,1006.23
18.42,83.9,1012.63
29.93,78.53,935.14
16.15,76.38,982.99
25.62,94.53,946.7
23.4,85.52,984.92
8.67,76.77,1012.83
12.02,76.3,975.53
25.09,78.86,997.53
26.06,78.21,1000.51
29.19,73.21,1002.62
25.05,78.86,997.53
13.53,80.07,1012.84
28.47,95.52,911.2
15.68,78.97,1000.25
17.75,74.05,977.52
9.87,76.35,1012.79
24.23,87.28,1008.31
24.48,76.33,996.72
28.57,74.51,999.49
23.05,72.97,1009.69
24.57,78.88,995.15
17.23,76.48,988.25
11.08,76.58,979.97
12.05,78.78,996.51
19.88,75.33,981.59
27.24,79.89,1006.51
9.97,76.25,1012.83
33.12,75.32,922.89
16.7,75.25,983.07
22.98,88.37,1013.58
22.63,77.98,995.23
27.57,81.6,1007.46
18.58,81.23,948.93
21.52,86.93,1012.86
13.37,75.45,964.44
25.75,84.17,1011.51
25.22,88.78,1013.55
25.47,80.37,1007.01
12.97,77.58,960.56
12.95,77.63,961.83
33.5,75.17,926.83
23.23,87.07,1009.66
23.55,74.45,1002.07
15.9,80.47,1013.56
18.15,74.58,982.22
28.37,79.4,1004.23
21.93,86.77,1011.52
25.75,71.38,1001.83
22.3,73.25,1011.97
22.33,73.27,1011.77
33.12,75.32,928.62
19.0,75.72,983.67
15.85,74.53,971.11
15.85,74.62,971.37
15.15,76.85,986.16
24.13,88.27,1013.81
21.87,77.93,977.28
25.23,86.95,1012.54
27.22,77.5,1003.84
30.17,74.58,1000.38
21.75,72.18,1012.83
19.92,83.18,1000.48
25.35,74.63,990.77
18.45,73.4,1007.95
23.28,77.35,985.24
20.25,85.83,1011.93
23.25,69.67,1008.77
31.83,77.17,954.39
17.92,77.53,974.81
16.82,75.72,978.84
28.0,73.3,999.59
31.25,76.67,981.73
20.7,83.5,1004.59
20.6,79.85,1000.32
20.53,76.23,976.95
20.62,72.93,1012.63
20.22,75.42,976.66
21.9,84.03,1003.25
27.13,94.12,1009.7
25.82,86.27,1013.1
27.05,79.85,1005.99
27.78,74.57,995.82
13.68,77.07,971.09
28.48,76.18,1000.18
22.92,69.17,1012.02
27.52,76.77,1000.45
23.22,88.88,1013.94
16.9,74.37,981.98
24.08,85.87,996.56
30.0,78.59,935.16
23.73,86.32,1007.1
27.0,79.65,1006.24
23.32,88.65,1014.12
23.95,92.08,1007.31
25.58,86.27,1013.11
27.58,81.6,1007.4
30.37,77.87,984.28
22.23,85.32,996.23
24.87,86.45,1007.98
33.22,74.09,973.02
26.3,84.78,1011.63
22.87,88.27,1013.41
24.78,79.02,997.36
26.22,84.38,1011.44
25.11,75.63,990.96
22.97,75.2,985.67
27.9,79.0,1005.16
19.3,75.47,986.44
17.31,78.48,982.83
22.33,88.3,1013.31
26.25,89.6,1012.71
30.67,76.97,991.03
34.03,74.94,931.7
26.97,77.08,999.62
29.89,78.61,961.36
25.42,86.32,1013.18
15.25,79.47,1007.74
33.66,74.01,970.62
27.82,93.9,996.81
19.73,85.22,1014.12
34.05,74.75,931.19
26.13,75.87,998.17
26.33,73.15,1000.98
23.98,85.78,993.84
19.48,83.98,1002.21
28.46,75.64,998.56
25.62,85.15,1012.35
22.63,88.3,1013.49
23.8,86.35,1004.97
23.28,85.82,1003.32
21.49,70.07,1011.49
30.04,76.53,999.88
22.65,79.15,981.19
26.72,88.32,1008.08
20.67,86.12,1008.36
22.73,88.66,1013.42
25.77,87.1,1013.4
21.7,87.07,1013.5
26.72,79.9,1006.71
25.5,87.37,1013.48
24.2,78.22,992.99
23.1,80.05,991.74
24.3,85.42,995.69
27.48,82.78,1009.17
25.22,84.42,1011.07
23.05,75.37,986.96
26.32,91.0,1012.62
26.32,82.33,1010.03
23.83,84.12,997.67
23.73,87.02,1009.88
22.35,87.37,1013.36
29.73,76.75,1000.54
26.13,87.47,1012.12
23.6,87.53,1012.22
16.07,75.37,976.97
25.1,76.4,998.71
34.25,74.55,931.82
26.65,85.58,1011.81
14.48,79.8,1011.86
21.77,72.15,1012.11
30.61,76.1,998.99
34.38,73.77,941.03
29.07,76.31,1001.17
25.18,85.52,1012.46
19.57,74.65,985.44
23.3,81.67,988.89
22.37,87.42,1013.42
23.17,79.45,994.18
25.15,84.62,1011.37
32.62,74.82,995.67
33.21,74.43,963.57
26.43,70.58,1002.65
13.0,80.27,1013.73
22.22,88.1,1013.2
25.05,83.62,1010.89
21.32,74.1,1003.01
22.01,88.33,1013.4
24.77,88.03,1014.1
20.48,86.23,1012.21
30.52,76.84,997.17
29.89,78.66,931.63
24.67,79.16,997.39
33.68,75.08,928.19
21.93,69.77,1009.8
25.58,72.67,1004.58
22.87,78.22,996.33
29.82,78.72,958.63
26.25,78.25,1003.66
30.56,76.21,999.0
24.4,83.58,1003.51
30.27,76.03,999.54
25.65,87.13,1013.76
22.95,88.55,1013.73
32.94,74.39,994.71
24.07,79.08,990.16
24.18,72.03,1007.52
20.45,72.88,1012.54
26.8,79.25,1006.17
21.67,87.35,1013.42
25.7,92.02,966.8
25.28,74.67,991.93
30.19,76.63,999.62
27.14,79.75,1006.48
20.62,83.35,1004.81
20.9,77.6,996.33
24.27,73.38,985.68
25.55,84.87,1012.23
26.05,77.37,1001.49
27.07,88.2,966.3
11.68,77.13,963.91
31.28,76.25,985.76
26.7,88.48,1009.17
20.43,85.98,1012.84
22.13,84.8,1004.8
22.68,84.55,991.42
24.63,93.77,971.46
26.05,86.98,1012.0
34.4,74.32,931.99
19.02,72.85,1012.56
27.25,92.4,889.63
14.6,76.68,980.58
17.89,78.46,984.81
34.01,74.64,918.94
26.82,94.83,998.37
27.87,96.37,970.28
32.65,74.82,995.46
24.1,92.6,1004.31
34.48,74.24,919.52
17.33,78.41,983.32
23.35,92.83,982.18
27.35,73.1,996.37
30.19,76.51,999.73
22.36,88.12,1013.31
34.53,76.2,850.88
34.38,74.99,881.73
24.02,87.15,1008.24
34.28,74.44,931.65
33.6,75.02,915.54
28.26,75.37,997.54
22.25,85.8,990.18
26.52,71.81,999.06
26.77,92.6,1006.56
25.5,83.85,1011.7
13.62,76.42,973.02
22.25,88.67,1013.31
9.17,92.83,1011.56
22.55,85.82,1003.12
24.92,75.58,994.81
22.03,82.7,1001.55
20.78,86.73,1013.63
19.97,79.3,1001.6
26.2,92.52,1010.9
25.78,84.73,1011.9
13.0,80.18,1012.86
13.07,80.25,1013.41
25.25,91.73,939.72
22.1,79.0,975.23
13.25,75.75,954.76
14.23,76.43,971.35
24.88,74.63,992.01
24.65,83.1,997.95
28.25,74.92,996.91
11.0,76.97,990.67
11.03,77.05,990.97
21.78,87.75,1013.1
26.33,89.47,1012.46
11.77,79.77,1013.04
14.48,78.83,1005.52
20.47,85.93,1013.02
20.22,73.05,1010.63
22.52,88.78,1013.45
25.68,85.35,1012.7
26.84,79.53,1006.45
11.15,75.82,1012.93
17.31,78.87,992.41
26.92,79.21,1006.11
30.4,74.9,1000.89
29.66,77.45,999.73
22.97,86.05,1002.21
22.15,70.58,1005.74
29.39,76.99,1001.6
24.04,79.1,989.34
30.73,76.79,995.6
28.43,75.51,998.82
27.72,96.23,1001.44
26.57,94.7,988.08
24.05,86.9,1004.97
25.88,87.13,1013.09
28.16,75.46,995.83
25.68,93.23,998.63
21.43,71.22,1005.78
25.3,93.72,942.58
28.68,73.12,1002.51
24.88,78.97,998.96
11.83,76.07,974.54
27.22,93.12,964.18
28.78,96.27,898.83
22.22,78.43,971.16
25.68,94.3,931.72
24.47,86.25,996.55
29.98,77.1,999.48
24.79,79.08,997.36
24.52,84.95,1007.51
20.68,86.85,1013.82
28.75,73.99,1000.92
25.07,75.5,989.32
26.22,87.02,1012.4
28.67,96.15,928.02
11.4,79.7,1013.43
17.6,78.75,985.11
21.52,73.65,1001.19
16.45,74.33,983.01
25.17,82.53,1010.81
15.58,79.88,1011.19
26.63,94.92,985.21
19.07,79.07,1003.52
22.12,77.5,983.3
24.05,86.15,998.04
23.18,76.97,987.43
27.93,79.28,1005.18
17.56,78.22,984.74
10.97,77.28,994.42
17.29,78.03,977.14
27.12,79.41,1005.57
10.7,76.75,1005.57
17.23,79.13,996.35
23.67,76.23,991.54
24.45,85.17,1005.69
18.72,72.9,1009.65
12.5,76.3,970.67
26.5,75.67,997.73
21.1,85.33,1006.1
21.7,79.68,992.18
22.12,76.9,998.5
30.69,76.09,999.02
26.72,94.23,1007.65
25.27,87.22,1014.14
13.63,74.7,1012.39
20.5,85.83,1012.57
19.97,72.72,1012.96
32.53,75.97,906.79
24.05,84.07,1003.6
23.83,79.45,993.5
26.17,85.9,1012.37
27.05,88.27,895.18
25.67,78.47,1001.43
24.2,72.2,1005.81
30.32,78.03,976.88
24.92,84.18,1009.48
16.38,73.35,1010.91
23.78,86.43,1001.72
22.6,75.3,982.0
12.13,78.03,989.88
32.27,76.38,948.27
26.67,77.83,1003.99
26.02,89.98,1012.8
26.15,89.92,1012.31
22.18,88.2,1013.06
27.48,95.02,1008.07
21.83,87.78,1013.35
20.72,70.92,1012.1
22.83,74.27,996.14
17.72,83.3,1006.05
24.27,87.25,1007.41
23.83,73.67,998.31
21.18,81.28,998.03
23.48,87.32,1011.26
22.37,69.08,1012.01
26.12,92.87,1011.08
29.9,78.55,955.98
32.86,74.9,989.45
17.91,78.01,985.04
24.48,71.73,1009.11
30.27,80.52,793.84
32.58,74.93,995.11
26.91,79.6,1006.3
26.1,90.78,1012.57
24.93,92.77,1013.17
24.03,84.07,1003.98
20.42,72.85,1013.08
26.31,79.3,1006.08
30.22,74.17,1001.77
34.17,74.9,929.17
32.65,74.9,993.85
24.73,79.21,997.46
26.63,92.8,1011.68
34.33,74.38,931.7
24.02,85.55,985.86
28.45,72.5,1003.67
25.33,88.32,1013.16
30.75,76.15,998.76
27.9,96.3,1001.25
28.02,96.23,970.14
25.75,75.38,995.62
18.25,77.1,978.48
25.74,79.16,1005.17
23.13,78.68,995.08
27.98,79.42,1005.44
26.17,85.0,1012.03
29.73,78.47,995.1
23.43,73.75,1006.91
20.03,75.03,984.64
33.13,75.98,893.58
29.86,78.64,945.64
26.92,71.37,999.91
30.66,76.83,997.02
24.6,92.83,1012.57
33.27,74.55,962.38
17.65,77.47,978.45
30.58,76.82,997.4
25.98,87.13,1013.02
24.42,85.98,997.76
28.93,76.17,1001.58
33.53,74.22,935.99
29.93,78.74,970.75
24.37,92.17,1012.78
26.7,77.9,1004.02
29.91,78.7,963.41
25.6,75.61,999.02
21.48,85.82,984.11
33.58,74.09,942.67
26.47,92.47,1011.27
19.3,75.67,988.58
22.98,71.47,1009.76
22.57,70.42,1011.69
23.57,76.78,989.25
32.74,74.81,995.39
24.15,78.23,992.76
28.39,75.63,997.87
28.35,75.64,997.83
16.22,73.83,1007.48
27.13,94.77,1009.23
26.17,93.57,974.44
17.94,78.68,982.7
20.17,84.85,1004.43
27.1,79.95,1007.27
26.35,89.9,1010.82
27.27,93.07,967.82
32.56,74.92,995.08
24.53,84.92,1008.52
12.17,76.6,973.76
15.68,74.97,975.99
34.27,74.47,931.77
34.45,74.41,924.11
34.39,73.79,944.66
21.07,83.2,1003.56
18.02,78.9,984.69
34.37,73.98,832.56
23.75,86.17,1003.94
16.05,73.92,1004.73
23.42,91.67,1010.3
29.08,74.68,1001.9
28.87,75.45,1001.28
25.32,86.02,1013.06
25.55,84.15,1011.7
23.98,86.02,1001.33
22.97,74.12,999.24
24.76,79.05,997.05
23.13,84.85,982.84
