Latitude,Longitude,PTrain_AP1
24.6,72.72,946.29
10.33,79.38,1012.22
23.88,91.25,1010.91
10.85,72.47,1011.52
27.17,78.03,1001.93
13.5,75.1,976.1
23.07,72.63,1008.94
19.08,74.8,974.94
26.45,74.62,984.82
20.7,77.03,994.91
20.7,77.07,993.48
9.55,76.42,1011.85
18.63,72.87,1011.58
27.88,78.07,1000.93
22.28,74.4,995.99
25.45,81.73,1006.22
27.5,76.58,996.33
30.38,76.77,995.68
23.17,83.25,979.22
11.12,72.73,1011.58
20.93,77.78,990.12
21.6,71.22,1005.66
31.63,74.87,996.57
14.68,77.62,990.12
20.83,85.1,1004.88
11.17,79.0,1007.32
13.53,78.5,972.44
19.88,75.33,979.12
19.85,75.4,979.2
22.3,86.93,1009.92
12.99,80.2,1011.97
10.35,79.4,1012.46
30.08,78.72,902.67
18.18,72.99,1011.68
22.03,73.67,1009.0
12.88,80.15,1011.55
17.05,75.78,980.51
24.07,78.06,990.73
16.57,76.47,983.97
24.95,71.53,1008.71
27.14,79.28,1003.13
23.6,72.95,1004.96
22.38,93.15,944.1
16.67,74.9,980.88
24.53,78.72,991.06
26.85,79.08,1003.36
29.96,78.61,939.69
11.47,77.88,994.79
24.77,84.18,1006.35
26.35,75.03,990.24
21.17,73.18,1010.75
8.87,77.5,1005.51
12.89,80.11,1010.91
17.83,80.48,1001.5
17.1,76.22,986.1
17.17,74.53,977.89
10.02,78.78,1008.78
28.75,79.72,1001.25
25.03,86.9,1009.4
26.35,74.12,993.57
28.27,72.85,1000.22
21.38,71.05,1001.22
18.73,76.38,975.14
20.13,73.03,1008.29
22.41,88.3,1011.26
26.67,90.6,1006.64
16.07,75.95,979.61
25.97,93.5,1004.58
14.47,79.72,1008.44
21.98,72.9,1011.69
23.65,91.62,1008.16
24.53,87.57,1008.33
27.54,79.6,1003.6
18.42,83.9,1010.44
29.93,78.53,933.2
16.15,76.38,981.72
25.62,94.53,945.34
23.4,85.52,982.14
8.67,76.77,1012.04
12.02,76.3,974.26
25.09,78.86,995.08
26.06,78.21,998.06
29.19,73.21,1000.85
25.05,78.86,995.07
13.53,80.07,1011.45
28.47,95.52,910.16
15.68,78.97,998.51
17.75,74.05,976.13
9.87,76.35,1012.0
24.23,87.28,1005.64
24.48,76.33,994.36
28.57,74.51,997.41
23.05,72.97,1007.86
24.57,78.88,992.74
17.23,76.48,986.82
11.08,76.58,978.6
12.05,78.78,995.05
19.88,75.33,979.97
27.24,79.89,1003.86
9.97,76.25,1012.06
33.12,75.32,921.13
16.7,75.25,981.82
22.98,88.37,1011.31
22.63,77.98,993.05
27.57,81.6,1004.63
18.58,81.23,947.84
21.52,86.93,1010.58
13.37,75.45,963.34
25.75,84.17,1008.58
25.22,88.78,1010.98
25.47,80.37,1004.33
12.97,77.58,959.73
12.95,77.63,960.96
33.5,75.17,925.05
23.23,87.07,1007.1
23.55,74.45,999.84
15.9,80.47,1011.87
18.15,74.58,980.8
28.37,79.4,1001.59
21.93,86.77,1009.12
25.75,71.38,999.99
22.3,73.25,1010.26
22.33,73.27,1010.05
33.12,75.32,926.77
19.0,75.72,982.17
15.85,74.53,969.94
15.85,74.62,970.21
15.15,76.85,984.82
24.13,88.27,1011.35
21.87,77.93,975.56
25.23,86.95,1009.8
27.22,77.5,1001.46
30.17,74.58,998.29
21.75,72.18,1011.43
19.92,83.18,997.98
25.35,74.63,988.34
18.45,73.4,1006.71
23.28,77.35,983.08
20.25,85.83,1009.56
23.25,69.67,1007.48
31.83,77.17,952.01
17.92,77.53,973.59
16.82,75.72,977.64
28.0,73.3,997.7
31.25,76.67,979.16
20.7,83.5,1001.97
20.6,79.85,997.98
20.53,76.23,975.37
20.62,72.93,1011.25
20.22,75.42,975.05
21.9,84.03,1000.5
27.13,94.12,1007.42
25.82,86.27,1010.28
27.05,79.85,1003.34
27.78,74.57,993.62
13.68,77.07,970.05
28.48,76.18,997.89
22.92,69.17,1011.02
27.52,76.77,998.1
23.22,88.88,1011.66
16.9,74.37,980.68
24.08,85.87,993.67
30.0,78.59,933.22
23.73,86.32,1004.33
27.0,79.65,1003.62
23.32,88.65,1011.81
23.95,92.08,1005.39
25.58,86.27,1010.29
27.58,81.6,1004.57
30.37,77.87,981.64
22.23,85.32,993.5
24.87,86.45,1005.14
33.22,74.09,970.64
26.3,84.78,1008.7
22.87,88.27,1011.15
24.78,79.02,994.91
26.22,84.38,1008.51
25.11,75.63,988.53
22.97,75.2,983.33
27.9,79.0,1002.59
19.3,75.47,984.85
17.31,78.48,981.23
22.33,88.3,1011.15
26.25,89.6,1010.18
30.67,76.97,988.47
34.03,74.94,929.78
26.97,77.08,997.23
29.89,78.61,958.89
25.42,86.32,1010.38
15.25,79.47,1006.07
33.66,74.01,968.18
27.82,93.9,994.29
19.73,85.22,1011.84
34.05,74.75,929.27
26.13,75.87,995.83
26.33,73.15,999.0
23.98,85.78,990.96
19.48,83.98,999.77
28.46,75.64,996.31
25.62,85.15,1009.45
22.63,88.3,1011.28
23.8,86.35,1002.18
23.28,85.82,1000.52
21.49,70.07,1010.53
30.04,76.53,997.5
22.65,79.15,979.23
26.72,88.32,1005.24
20.67,86.12,1005.91
22.73,88.66,1011.19
25.77,87.1,1010.65
21.7,87.07,1011.23
26.72,79.9,1004.06
25.5,87.37,1010.77
24.2,78.22,990.65
23.1,80.05,989.39
24.3,85.42,992.76
27.48,82.78,1006.26
25.22,84.42,1008.15
23.05,75.37,984.62
26.32,91.0,1010.27
26.32,82.33,1007.17
23.83,84.12,994.78
23.73,87.02,1007.25
22.35,87.37,1011.01
29.73,76.75,998.15
26.13,87.47,1009.34
23.6,87.53,1009.72
16.07,75.37,975.81
25.1,76.4,996.35
34.25,74.55,929.78
26.65,85.58,1008.9
14.48,79.8,1010.33
21.77,72.15,1010.69
30.61,76.1,996.64
34.38,73.77,938.8
29.07,76.31,998.88
25.18,85.52,1009.6
19.57,74.65,983.78
23.3,81.67,986.37
22.37,87.42,1011.08
23.17,79.45,991.85
25.15,84.62,1008.45
32.62,74.82,993.44
33.21,74.43,961.2
26.43,70.58,1000.94
13.0,80.27,1012.43
22.22,88.1,1011.05
25.05,83.62,1007.98
21.32,74.1,1001.13
22.01,88.33,1011.25
24.77,88.03,1011.53
20.48,86.23,1009.85
30.52,76.84,994.71
29.89,78.66,929.79
24.67,79.16,994.94
33.68,75.08,926.4
21.93,69.77,1008.76
25.58,72.67,1002.7
22.87,78.22,994.09
29.82,78.72,956.21
26.25,78.25,1001.22
30.56,76.21,996.64
24.4,83.58,1000.58
30.27,76.03,997.22
25.65,87.13,1011.02
22.95,88.55,1011.47
32.94,74.39,992.49
24.07,79.08,987.84
24.18,72.03,1005.76
20.45,72.88,1011.2
26.8,79.25,1003.61
21.67,87.35,1011.18
25.7,92.02,964.58
25.28,74.67,989.5
30.19,76.63,997.22
27.14,79.75,1003.85
20.62,83.35,1002.2
20.9,77.6,994.33
24.27,73.38,983.18
25.55,84.87,1009.33
26.05,77.37,999.11
27.07,88.2,963.41
11.68,77.13,962.77
31.28,76.25,983.23
26.7,88.48,1006.35
20.43,85.98,1010.46
22.13,84.8,1002.05
22.68,84.55,988.67
24.63,93.77,969.72
26.05,86.98,1009.19
34.4,74.32,929.94
19.02,72.85,1011.45
27.25,92.4,888.35
14.6,76.68,979.37
17.89,78.46,983.14
34.01,74.64,917.19
26.82,94.83,996.07
27.87,96.37,968.09
32.65,74.82,993.22
24.1,92.6,1002.37
34.48,74.24,917.63
17.33,78.41,981.72
23.35,92.83,980.36
27.35,73.1,994.38
30.19,76.51,997.35
22.36,88.12,1011.14
34.53,76.2,849.58
34.38,74.99,880.46
24.02,87.15,1005.57
34.28,74.44,929.61
33.6,75.02,913.95
28.26,75.37,995.3
22.25,85.8,987.5
26.52,71.81,997.17
26.77,92.6,1004.22
25.5,83.85,1008.78
13.62,76.42,971.93
22.25,88.67,1011.18
9.17,92.83,1011.22
22.55,85.82,1000.4
24.92,75.58,992.41
22.03,82.7,998.83
20.78,86.73,1011.36
19.97,79.3,999.34
26.2,92.52,1008.71
25.78,84.73,1008.98
13.0,80.18,1011.54
13.07,80.25,1012.1
25.25,91.73,937.87
22.1,79.0,973.56
13.25,75.75,953.83
14.23,76.43,970.3
24.88,74.63,989.58
24.65,83.1,995.06
28.25,74.92,994.72
11.0,76.97,989.32
11.03,77.05,989.6
21.78,87.75,1010.89
26.33,89.47,1009.89
11.77,79.77,1011.88
14.48,78.83,1003.91
20.47,85.93,1010.63
20.22,73.05,1009.24
22.52,88.78,1011.28
25.68,85.35,1009.81
26.84,79.53,1003.85
11.15,75.82,1012.17
17.31,78.87,990.58
26.92,79.21,1003.55
30.4,74.9,998.76
29.66,77.45,997.24
22.97,86.05,999.47
22.15,70.58,1004.36
29.39,76.99,999.21
24.04,79.1,987.04
30.73,76.79,993.11
28.43,75.51,996.59
27.72,96.23,998.97
26.57,94.7,985.86
24.05,86.9,1002.22
25.88,87.13,1010.32
28.16,75.46,993.54
25.68,93.23,996.46
21.43,71.22,1004.41
25.3,93.72,941.17
28.68,73.12,1000.74
24.88,78.97,996.5
11.83,76.07,973.24
27.22,93.12,961.86
28.78,96.27,898.26
22.22,78.43,969.58
25.68,94.3,930.59
24.47,86.25,993.65
29.98,77.1,997.03
24.79,79.08,994.91
24.52,84.95,1004.59
20.68,86.85,1011.57
28.75,73.99,998.97
25.07,75.5,986.86
26.22,87.02,1009.59
28.67,96.15,926.61
11.4,79.7,1012.31
17.6,78.75,983.41
21.52,73.65,999.25
16.45,74.33,981.74
25.17,82.53,1007.95
15.58,79.88,1009.52
26.63,94.92,983.01
19.07,79.07,1001.34
22.12,77.5,981.38
24.05,86.15,995.17
23.18,76.97,985.23
27.93,79.28,1002.58
17.56,78.22,983.13
10.97,77.28,993.04
17.29,78.03,975.77
27.12,79.41,1002.98
10.7,76.75,1004.43
17.23,79.13,994.45
