Latitude,Longitude,PTrain_AP1
24.6,72.72,944.0
10.33,79.38,1010.46
23.88,91.25,1007.7
10.85,72.47,1010.28
27.17,78.03,996.81
13.5,75.1,974.88
23.07,72.63,1005.46
19.08,74.8,972.79
26.45,74.62,980.42
20.7,77.03,991.11
20.7,77.07,989.73
9.55,76.42,1010.09
18.63,72.87,1009.75
27.88,78.07,995.94
22.28,74.4,992.62
25.45,81.73,1000.95
27.5,76.58,991.35
30.38,76.77,991.16
23.17,83.25,974.94
11.12,72.73,1010.35
20.93,77.78,986.36
21.6,71.22,1002.88
31.63,74.87,992.13
14.68,77.62,988.18
20.83,85.1,1001.36
11.17,79.0,1005.43
13.53,78.5,970.89
19.88,75.33,976.49
19.85,75.4,976.56
22.3,86.93,1006.62
12.99,80.2,1010.29
10.35,79.4,1010.69
30.08,78.72,900.17
18.18,72.99,1009.94
22.03,73.67,1005.74
12.88,80.15,1009.86
17.05,75.78,978.52
24.07,78.06,986.14
16.57,76.47,981.91
24.95,71.53,1004.09
27.14,79.28,998.13
23.6,72.95,1001.11
22.38,93.15,942.14
16.67,74.9,979.16
24.53,78.72,986.4
26.85,79.08,998.29
29.96,78.61,936.42
11.47,77.88,993.11
24.77,84.18,1000.94
26.35,75.03,985.57
21.17,73.18,1008.01
8.87,77.5,1003.6
12.89,80.11,1009.2
17.83,80.48,998.41
17.1,76.22,983.87
17.17,74.53,976.22
10.02,78.78,1006.92
28.75,79.72,996.59
25.03,86.9,1004.35
26.35,74.12,988.82
28.27,72.85,995.17
21.38,71.05,998.69
18.73,76.38,972.74
20.13,73.03,1005.95
22.41,88.3,1008.63
26.67,90.6,1002.05
16.07,75.95,977.85
25.97,93.5,1000.49
14.47,79.72,1006.52
21.98,72.9,1008.86
23.65,91.62,1005.29
24.53,87.57,1003.71
27.54,79.6,998.69
18.42,83.9,1008.1
29.93,78.53,930.07
16.15,76.38,979.83
25.62,94.53,942.62
23.4,85.52,978.19
8.67,76.77,1010.14
12.02,76.3,972.96
25.09,78.86,990.23
26.06,78.21,993.02
29.19,73.21,995.87
25.05,78.86,990.22
13.53,80.07,1009.69
28.47,95.52,908.47
15.68,78.97,996.28
