Latitude,Longitude,PTrain_AP1
24.6,72.72,941.32
10.33,79.38,1008.1
23.88,91.25,1004.85
10.85,72.47,1009.02
27.17,78.03,993.35
13.5,75.1,973.81
23.07,72.63,1003.12
19.08,74.8,970.92
26.45,74.62,977.02
20.7,77.03,988.54
20.7,77.07,987.14
9.55,76.42,1008.28
18.63,72.87,1007.6
27.88,78.07,992.37
22.28,74.4,990.18
25.45,81.73,997.5
27.5,76.58,987.86
30.38,76.77,987.3
23.17,83.25,971.37
11.12,72.73,1008.99
20.93,77.78,983.59
21.6,71.22,1001.01
31.63,74.87,988.06
14.68,77.62,986.25
20.83,85.1,997.8
11.17,79.0,1003.18
13.53,78.5,969.08
19.88,75.33,974.32
19.85,75.4,974.39
22.3,86.93,1003.2
12.99,80.2,1007.4
10.35,79.4,1008.32
30.08,78.72,897.59
18.18,72.99,1007.79
22.03,73.67,1003.33
12.88,80.15,1007.01
17.05,75.78,976.74
24.07,78.06,982.9
16.57,76.47,980.06
24.95,71.53,1001.85
27.14,79.28,994.53
23.6,72.95,998.73
22.38,93.15,939.39
16.67,74.9,977.59
24.53,78.72,983.02
26.85,79.08,994.74
29.96,78.61,933.34
11.47,77.88,991.5
24.77,84.18,997.74
26.35,75.03,982.26
21.17,73.18,1005.66
8.87,77.5,1002.01
12.89,80.11,1006.37
17.83,80.48,995.33
17.1,76.22,981.98
17.17,74.53,974.69
10.02,78.78,1004.82
28.75,79.72,992.77
25.03,86.9,1001.41
26.35,74.12,985.65
28.27,72.85,991.74
21.38,71.05,996.92
18.73,76.38,970.59
20.13,73.03,1003.75
22.41,88.3,1005.29
26.67,90.6,999.6
16.07,75.95,976.18
25.97,93.5,998.05
14.47,79.72,1003.62
21.98,72.9,1006.44
23.65,91.62,1002.39
24.53,87.57,1000.69
27.54,79.6,995.0
18.42,83.9,1004.51
29.93,78.53,927.07
16.15,76.38,978.06
25.62,94.53,940.08
23.4,85.52,974.7
8.67,76.77,1008.42
12.02,76.3,971.87
25.09,78.86,986.8
26.06,78.21,989.61
29.19,73.21,992.22
25.05,78.86,986.8
13.53,80.07,1006.76
28.47,95.52,907.4
15.68,78.97,993.63
17.75,74.05,973.03
9.87,76.35,1008.43
24.23,87.28,998.07
24.48,76.33,986.69
28.57,74.51,988.87
23.05,72.97,1001.99
24.57,78.88,984.63
17.23,76.48,982.55
11.08,76.58,976.13
12.05,78.78,991.24
19.88,75.33,975.15
27.24,79.89,995.25
9.97,76.25,1008.52
33.12,75.32,915.17
16.7,75.25,978.34
22.98,88.37,1004.79
22.63,77.98,985.65
27.57,81.6,996.1
18.58,81.23,942.8
21.52,86.93,1004.57
13.37,75.45,961.27
25.75,84.17,999.95
25.22,88.78,1003.33
25.47,80.37,995.73
12.97,77.58,957.32
12.95,77.63,958.53
33.5,75.17,918.93
23.23,87.07,999.97
23.55,74.45,993.21
15.9,80.47,1006.75
18.15,74.58,977.09
28.37,79.4,993.07
21.93,86.77,1002.68
25.75,71.38,992.85
22.3,73.25,1004.76
22.33,73.27,1004.53
33.12,75.32,920.6
19.0,75.72,977.5
15.85,74.53,967.45
15.85,74.62,967.67
15.15,76.85,981.27
24.13,88.27,1004.0
21.87,77.93,969.05
25.23,86.95,1001.79
27.22,77.5,992.89
30.17,74.58,989.71
21.75,72.18,1006.51
19.92,83.18,990.96
25.35,74.63,980.92
18.45,73.4,1002.67
23.28,77.35,975.91
20.25,85.83,1003.19
23.25,69.67,1002.56
31.83,77.17,945.14
17.92,77.53,969.07
16.82,75.72,974.08
28.0,73.3,989.28
31.25,76.67,971.27
20.7,83.5,994.52
20.6,79.85,990.75
20.53,76.23,970.01
20.62,72.93,1006.57
20.22,75.42,970.19
21.9,84.03,992.53
27.13,94.12,1001.26
25.82,86.27,1002.06
27.05,79.85,994.73
27.78,74.57,985.25
13.68,77.07,967.35
28.48,76.18,989.35
22.92,69.17,1006.43
27.52,76.77,989.59
23.22,88.88,1004.92
16.9,74.37,977.57
24.08,85.87,985.77
30.0,78.59,927.1
23.73,86.32,996.58
27.0,79.65,995.0
23.32,88.65,1004.99
23.95,92.08,999.4
25.58,86.27,1002.07
27.58,81.6,996.04
30.37,77.87,973.73
22.23,85.32,986.18
24.87,86.45,997.09
33.22,74.09,962.86
26.3,84.78,1000.23
22.87,88.27,1004.74
24.78,79.02,986.69
26.22,84.38,999.97
25.11,75.63,980.96
22.97,75.2,977.16
27.9,79.0,994.02
19.3,75.47,980.07
17.31,78.48,976.32
22.33,88.3,1005.26
26.25,89.6,1002.81
30.67,76.97,980.31
34.03,74.94,923.53
26.97,77.08,988.77
29.89,78.61,951.81
25.42,86.32,1002.18
15.25,79.47,1001.14
33.66,74.01,960.55
27.82,93.9,988.44
19.73,85.22,1005.71
34.05,74.75,923.02
26.13,75.87,987.66
26.33,73.15,991.13
23.98,85.78,983.13
19.48,83.98,993.35
28.46,75.64,987.79
25.62,85.15,1000.97
22.63,88.3,1005.1
23.8,86.35,994.45
23.28,85.82,992.81
21.49,70.07,1006.29
30.04,76.53,989.04
22.65,79.15,972.09
26.72,88.32,997.54
20.67,86.12,999.43
