Latitude,Longitude,PTrain_AP1
24.6,72.72,937.73
10.33,79.38,1008.13
23.88,91.25,1000.63
10.85,72.47,1008.87
27.17,78.03,988.18
13.5,75.1,972.73
23.07,72.63,998.6
19.08,74.8,968.37
26.45,74.62,973.01
20.7,77.03,985.53
20.7,77.07,984.16
9.55,76.42,1008.57
18.63,72.87,1004.36
27.88,78.07,987.19
22.28,74.4,986.51
25.45,81.73,992.63
27.5,76.58,982.97
30.38,76.77,982.53
23.17,83.25,968.06
11.12,72.73,1008.76
20.93,77.78,980.42
21.6,71.22,996.92
31.63,74.87,983.17
14.68,77.62,985.02
20.83,85.1,994.67
11.17,79.0,1003.04
13.53,78.5,968.1
19.88,75.33,971.77
19.85,75.4,971.85
22.3,86.93,999.41
12.99,80.2,1006.63
10.35,79.4,1008.35
30.08,78.72,893.66
18.18,72.99,1004.76
22.03,73.67,999.27
12.88,80.15,1006.28
17.05,75.78,974.96
24.07,78.06,979.13
16.57,76.47,978.35
24.95,71.53,997.05
27.14,79.28,989.36
23.6,72.95,994.4
22.38,93.15,933.64
16.67,74.9,975.79
24.53,78.72,979.03
26.85,79.08,989.57
29.96,78.61,930.53
11.47,77.88,991.12
24.77,84.18,993.72
26.35,75.03,978.05
21.17,73.18,1001.62
8.87,77.5,1002.47
12.89,80.11,1005.64
17.83,80.48,993.32
17.1,76.22,980.14
17.17,74.53,972.6
10.02,78.78,1004.97
28.75,79.72,987.97
25.03,86.9,997.47
26.35,74.12,981.25
28.27,72.85,986.02
21.38,71.05,992.86
18.73,76.38,968.35
20.13,73.03,1000.07
22.41,88.3,1001.06
26.67,90.6,995.18
16.07,75.95,974.67
25.97,93.5,993.71
14.47,79.72,1002.44
21.98,72.9,1001.9
23.65,91.62,998.02
24.53,87.57,996.83
27.54,79.6,989.84
18.42,83.9,1001.75
29.93,78.53,924.14
16.15,76.38,976.5
25.62,94.53,935.31
23.4,85.52,970.99
8.67,76.77,1008.9
12.02,76.3,971.45
25.09,78.86,982.49
26.06,78.21,984.97
29.19,73.21,986.21
25.05,78.86,982.5
13.53,80.07,1005.85
28.47,95.52,902.85
15.68,78.97,992.16
17.75,74.05,970.51
9.87,76.35,1008.64
24.23,87.28,994.24
24.48,76.33,982.9
28.57,74.51,983.47
23.05,72.97,997.52
24.57,78.88,980.53
17.23,76.48,980.61
11.08,76.58,976.03
12.05,78.78,990.82
19.88,75.33,972.6
27.24,79.89,990.11
9.97,76.25,1008.68
33.12,75.32,912.14
16.7,75.25,976.62
22.98,88.37,1000.79
22.63,77.98,982.1
27.57,81.6,991.04
18.58,81.23,939.63
21.52,86.93,1000.54
13.37,75.45,960.26
25.75,84.17,995.42
25.22,88.78,999.29
25.47,80.37,990.65
12.97,77.58,956.51
12.95,77.63,957.72
33.5,75.17,916.03
23.23,87.07,996.14
23.55,74.45,989.31
15.9,80.47,1004.93
18.15,74.58,974.79
28.37,79.4,988.1
21.93,86.77,998.79
25.75,71.38,988.15
22.3,73.25,1000.26
22.33,73.27,1000.04
33.12,75.32,917.74
19.0,75.72,975.21
15.85,74.53,965.56
15.85,74.62,965.82
15.15,76.85,979.95
24.13,88.27,1000.16
21.87,77.93,966.02
25.23,86.95,997.77
27.22,77.5,987.73
30.17,74.58,984.19
21.75,72.18,1001.92
