Latitude,Longitude,PTrain_AP1
24.6,72.72,936.75
10.33,79.38,1008.23
23.88,91.25,1000.37
10.85,72.47,1008.74
27.17,78.03,988.38
13.5,75.1,972.35
23.07,72.63,997.61
19.08,74.8,967.85
26.45,74.62,972.52
20.7,77.03,985.61
20.7,77.07,984.22
9.55,76.42,1008.57
18.63,72.87,1003.87
27.88,78.07,987.32
22.28,74.4,985.76
25.45,81.73,993.0
27.5,76.58,983.01
30.38,76.77,982.59
23.17,83.25,968.04
11.12,72.73,1008.64
20.93,77.78,980.57
21.6,71.22,995.96
31.63,74.87,983.54
14.68,77.62,984.92
20.83,85.1,994.71
11.17,79.0,1003.02
13.53,78.5,967.89
19.88,75.33,971.28
19.85,75.4,971.38
22.3,86.93,999.25
12.99,80.2,1006.76
10.35,79.4,1008.45
30.08,78.72,892.03
18.18,72.99,1004.32
22.03,73.67,998.47
12.88,80.15,1006.4
17.05,75.78,974.6
24.07,78.06,979.11
16.57,76.47,978.15
24.95,71.53,996.17
27.14,79.28,989.5
23.6,72.95,993.44
22.38,93.15,934.51
16.67,74.9,975.31
24.53,78.72,979.04
26.85,79.08,989.76
29.96,78.61,929.16
11.47,77.88,990.91
24.77,84.18,993.99
26.35,75.03,977.7
21.17,73.18,1000.87
8.87,77.5,1002.3
12.89,80.11,1005.75
17.83,80.48,993.41
17.1,76.22,979.93
17.17,74.53,972.1
10.02,78.78,1004.95
28.75,79.72,987.87
25.03,86.9,997.49
26.35,74.12,980.87
28.27,72.85,986.22
21.38,71.05,991.88
18.73,76.38,968.08
20.13,73.03,999.4
22.41,88.3,1000.79
26.67,90.6,995.08
16.07,75.95,974.3
25.97,93.5,993.65
14.47,79.72,1002.49
21.98,72.9,1001.04
23.65,91.62,997.75
24.53,87.57,996.74
27.54,79.6,989.91
18.42,83.9,1001.81
29.93,78.53,922.69
16.15,76.38,976.23
25.62,94.53,935.05
23.4,85.52,970.95
8.67,76.77,1008.93
12.02,76.3,971.01
25.09,78.86,982.57
26.06,78.21,985.08
29.19,73.21,986.61
25.05,78.86,982.58
13.53,80.07,1005.97
28.47,95.52,901.29
15.68,78.97,992.09
17.75,74.05,970.02
9.87,76.35,1008.64
24.23,87.28,994.12
24.48,76.33,982.63
28.57,74.51,983.65
23.05,72.97,996.56
24.57,78.88,980.58
17.23,76.48,980.48
11.08,76.58,975.56
12.05,78.78,990.63
19.88,75.33,972.12
27.24,79.89,990.17
9.97,76.25,1008.7
33.12,75.32,911.1
16.7,75.25,976.18
22.98,88.37,1000.56
22.63,77.98,982.21
27.57,81.6,991.07
18.58,81.23,939.96
21.52,86.93,1000.36
13.37,75.45,959.9
25.75,84.17,995.74
25.22,88.78,999.33
25.47,80.37,990.88
12.97,77.58,956.23
12.95,77.63,957.44
33.5,75.17,915.14
23.23,87.07,995.98
23.55,74.45,988.56
15.9,80.47,1005.02
18.15,74.58,974.26
28.37,79.4,988.07
21.93,86.77,998.62
25.75,71.38,987.36
22.3,73.25,999.39
22.33,73.27,999.16
33.12,75.32,916.79
19.0,75.72,974.84
15.85,74.53,965.15
15.85,74.62,965.41
15.15,76.85,979.73
24.13,88.27,1000.05
21.87,77.93,965.85
25.23,86.95,997.82
27.22,77.5,987.92
30.17,74.58,984.52
21.75,72.18,1001.04
19.92,83.18,988.33
25.35,74.63,976.44
18.45,73.4,999.25
23.28,77.35,972.38
20.25,85.83,999.87
23.25,69.67,996.2
31.83,77.17,941.77
17.92,77.53,966.8
16.82,75.72,971.97
28.0,73.3,983.99
31.25,76.67,967.53
20.7,83.5,991.81
20.6,79.85,988.02
20.53,76.23,967.01
20.62,72.93,1001.8
20.22,75.42,967.07
21.9,84.03,989.63
27.13,94.12,996.42
25.82,86.27,997.92
27.05,79.85,989.7
27.78,74.57,980.3
13.68,77.07,966.09
28.48,76.18,984.26
22.92,69.17,999.84
27.52,76.77,984.67
23.22,88.88,1000.86
16.9,74.37,975.01
24.08,85.87,982.06
30.0,78.59,922.74
23.73,86.32,992.86
27.0,79.65,989.97
23.32,88.65,1000.93
23.95,92.08,994.89
25.58,86.27,998.02
27.58,81.6,991.01
30.37,77.87,969.73
22.23,85.32,982.67
24.87,86.45,993.23
33.22,74.09,959.84
26.3,84.78,995.84
22.87,88.27,1000.44
24.78,79.02,982.51
26.22,84.38,995.57
25.11,75.63,976.71
22.97,75.2,973.07
27.9,79.0,988.93
19.3,75.47,977.25
17.31,78.48,974.29
22.33,88.3,1000.73
26.25,89.6,998.46
30.67,76.97,976.06
34.03,74.94,920.04
26.97,77.08,984.02
29.89,78.61,947.95
25.42,86.32,998.18
15.25,79.47,999.73
33.66,74.01,957.59
27.82,93.9,983.48
19.73,85.22,1002.47
34.05,74.75,919.51
26.13,75.87,983.1
26.33,73.15,986.04
23.98,85.78,979.42
19.48,83.98,990.41
28.46,75.64,982.73
25.62,85.15,996.9
22.63,88.3,1000.7
23.8,86.35,990.69
23.28,85.82,989.19
21.49,70.07,1000.75
30.04,76.53,984.11
22.65,79.15,968.55
26.72,88.32,993.1
20.67,86.12,995.95
22.73,88.66,1000.6
25.77,87.1,998.49
21.7,87.07,1000.94
26.72,79.9,990.41
25.5,87.37,998.77
24.2,78.22,978.93
23.1,80.05,977.9
24.3,85.42,981.03
27.48,82.78,992.79
25.22,84.42,995.6
23.05,75.37,974.26
26.32,91.0,998.87
26.32,82.33,993.76
23.83,84.12,983.04
23.73,87.02,995.9
22.35,87.37,1000.39
29.73,76.75,984.68
26.13,87.47,997.15
23.6,87.53,998.53
16.07,75.37,970.67
25.1,76.4,984.14
34.25,74.55,920.06
26.65,85.58,996.13
14.48,79.8,1004.37
21.77,72.15,1000.39
30.61,76.1,983.42
34.38,73.77,929.03
29.07,76.31,985.18
25.18,85.52,997.31
19.57,74.65,976.09
23.3,81.67,974.91
22.37,87.42,1000.47
23.17,79.45,980.17
25.15,84.62,995.97
32.62,74.82,981.2
33.21,74.43,950.81
26.43,70.58,987.75
13.0,80.27,1007.21
22.22,88.1,1000.67
25.05,83.62,995.33
21.32,74.1,991.5
22.01,88.33,1000.99
24.77,88.03,999.94
20.48,86.23,1000.06
30.52,76.84,981.76
29.89,78.66,919.29
24.67,79.16,982.56
33.68,75.08,916.55
21.93,69.77,998.7
25.58,72.67,990.04
22.87,78.22,982.98
29.82,78.72,945.35
26.25,78.25,987.99
30.56,76.21,983.42
24.4,83.58,988.39
30.27,76.03,983.82
25.65,87.13,998.92
22.95,88.55,1000.76
32.94,74.39,980.3
24.07,79.08,976.1
24.18,72.03,993.92
20.45,72.88,1001.91
26.8,79.25,990.0
21.67,87.35,1000.95
25.7,92.02,953.91
25.28,74.67,977.59
30.19,76.63,983.92
27.14,79.75,990.17
20.62,83.35,992.09
20.9,77.6,984.71
24.27,73.38,972.19
25.55,84.87,996.73
26.05,77.37,986.16
27.07,88.2,952.19
11.68,77.13,959.79
31.28,76.25,971.29
26.7,88.48,994.22
20.43,85.98,1000.66
22.13,84.8,991.14
22.68,84.55,977.6
24.63,93.77,959.1
26.05,86.98,996.93
34.4,74.32,920.23
19.02,72.85,1003.41
27.25,92.4,880.03
14.6,76.68,974.75
17.89,78.46,975.82
34.01,74.64,907.29
26.82,94.83,985.18
27.87,96.37,958.17
32.65,74.82,981.02
24.1,92.6,991.84
34.48,74.24,907.83
17.33,78.41,974.78
23.35,92.83,970.04
27.35,73.1,981.14
30.19,76.51,984.01
22.36,88.12,1000.68
34.53,76.2,841.1
34.38,74.99,870.55
24.02,87.15,994.12
34.28,74.44,919.87
33.6,75.02,903.93
28.26,75.37,981.8
22.25,85.8,976.78
26.52,71.81,984.2
26.77,92.6,993.07
25.5,83.85,995.96
13.62,76.42,968.03
22.25,88.67,1000.86
9.17,92.83,1007.76
22.55,85.82,989.43
24.92,75.58,980.55
22.03,82.7,987.85
20.78,86.73,1001.52
19.97,79.3,989.88
26.2,92.52,997.65
25.78,84.73,996.27
13.0,80.18,1006.32
