Latitude,Longitude,PTrain_AP1
24.6,72.72,938.38
10.33,79.38,1008.9
23.88,91.25,1001.53
10.85,72.47,1010.01
27.17,78.03,990.05
13.5,75.1,973.81
23.07,72.63,999.77
19.08,74.8,969.45
26.45,74.62,974.33
20.7,77.03,987.04
20.7,77.07,985.65
9.55,76.42,1009.32
18.63,72.87,1005.64
27.88,78.07,989.03
22.28,74.4,987.5
25.45,81.73,994.42
27.5,76.58,984.68
30.38,76.77,984.36
23.17,83.25,969.03
11.12,72.73,1009.91
20.93,77.78,982.04
21.6,71.22,998.14
31.63,74.87,985.42
14.68,77.62,986.0
20.83,85.1,995.44
11.17,79.0,1003.64
13.53,78.5,968.96
19.88,75.33,972.87
19.85,75.4,972.96
22.3,86.93,1000.19
12.99,80.2,1007.56
10.35,79.4,1009.12
30.08,78.72,893.27
18.18,72.99,1006.06
22.03,73.67,1000.38
12.88,80.15,1007.19
17.05,75.78,976.1
24.07,78.06,980.59
16.57,76.47,979.55
24.95,71.53,998.69
27.14,79.28,991.26
23.6,72.95,995.58
22.38,93.15,934.83
16.67,74.9,976.86
24.53,78.72,980.55
26.85,79.08,991.47
29.96,78.61,930.52
11.47,77.88,991.67
24.77,84.18,995.04
26.35,75.03,979.51
21.17,73.18,1002.78
8.87,77.5,1002.91
12.89,80.11,1006.54
17.83,80.48,994.23
17.1,76.22,981.36
17.17,74.53,973.7
10.02,78.78,1005.56
28.75,79.72,989.81
25.03,86.9,998.56
26.35,74.12,982.84
28.27,72.85,988.32
21.38,71.05,994.05
18.73,76.38,969.64
20.13,73.03,1001.24
22.41,88.3,1001.88
26.67,90.6,996.28
16.07,75.95,975.75
25.97,93.5,994.76
14.47,79.72,1003.34
21.98,72.9,1003.07
23.65,91.62,998.88
24.53,87.57,997.78
27.54,79.6,991.75
18.42,83.9,1002.62
29.93,78.53,924.01
16.15,76.38,977.63
25.62,94.53,936.19
23.4,85.52,971.73
8.67,76.77,1009.57
12.02,76.3,972.24
25.09,78.86,984.11
26.06,78.21,986.66
29.19,73.21,988.62
25.05,78.86,984.12
13.53,80.07,1006.77
28.47,95.52,903.13
15.68,78.97,993.02
17.75,74.05,971.65
9.87,76.35,1009.43
24.23,87.28,995.11
24.48,76.33,984.26
28.57,74.51,985.5
23.05,72.97,998.66
24.57,78.88,982.1
17.23,76.48,981.89
11.08,76.58,976.68
12.05,78.78,991.44
19.88,75.33,973.7
27.24,79.89,992.03
9.97,76.25,1009.53
33.12,75.32,912.26
16.7,75.25,977.69
22.98,88.37,1001.61
22.63,77.98,983.66
27.57,81.6,992.76
18.58,81.23,940.87
21.52,86.93,1001.35
13.37,75.45,961.34
25.75,84.17,996.9
25.22,88.78,1000.42
25.47,80.37,992.67
12.97,77.58,957.45
12.95,77.63,958.64
33.5,75.17,916.36
23.23,87.07,996.93
23.55,74.45,990.43
15.9,80.47,1005.93
18.15,74.58,975.87
28.37,79.4,989.94
21.93,86.77,999.56
25.75,71.38,989.84
22.3,73.25,1001.39
22.33,73.27,1001.16
33.12,75.32,917.98
19.0,75.72,976.37
15.85,74.53,966.74
15.85,74.62,966.99
15.15,76.85,981.0
24.13,88.27,1001.11
21.87,77.93,967.38
25.23,86.95,998.91
27.22,77.5,989.6
30.17,74.58,986.36
21.75,72.18,1003.14
19.92,83.18,989.04
25.35,74.63,978.3
18.45,73.4,1000.94
23.28,77.35,973.87
20.25,85.83,1000.67
23.25,69.67,998.77
31.83,77.17,943.15
17.92,77.53,968.28
16.82,75.72,973.48
28.0,73.3,986.0
31.25,76.67,969.12
20.7,83.5,992.54
20.6,79.85,989.17
20.53,76.23,968.57
20.62,72.93,1003.7
20.22,75.42,968.65
21.9,84.03,990.4
27.13,94.12,997.65
25.82,86.27,999.06
27.05,79.85,991.53
27.78,74.57,982.13
13.68,77.07,967.37
28.48,76.18,985.99
22.92,69.17,1002.47
27.52,76.77,986.35
23.22,88.88,1001.89
16.9,74.37,976.61
24.08,85.87,982.94
30.0,78.59,924.07
23.73,86.32,993.78
27.0,79.65,991.76
23.32,88.65,1001.97
23.95,92.08,995.95
25.58,86.27,999.15
27.58,81.6,992.71
30.37,77.87,971.36
22.23,85.32,983.4
24.87,86.45,994.25
33.22,74.09,961.29
26.3,84.78,997.04
22.87,88.27,1001.5
24.78,79.02,984.06
26.22,84.38,996.78
25.11,75.63,978.43
22.97,75.2,974.71
27.9,79.0,990.72
19.3,75.47,978.79
17.31,78.48,975.46
22.33,88.3,1001.81
26.25,89.6,999.65
30.67,76.97,977.75
34.03,74.94,921.23
26.97,77.08,985.67
29.89,78.61,949.41
25.42,86.32,999.29
15.25,79.47,1000.61
33.66,74.01,958.94
27.82,93.9,984.71
19.73,85.22,1003.33
34.05,74.75,920.68
26.13,75.87,984.85
26.33,73.15,988.2
23.98,85.78,980.28
19.48,83.98,991.12
28.46,75.64,984.48
25.62,85.15,998.02
22.63,88.3,1001.77
23.8,86.35,991.6
23.28,85.82,990.04
21.49,70.07,1003.12
30.04,76.53,985.89
22.65,79.15,970.15
26.72,88.32,994.25
20.67,86.12,996.73
22.73,88.66,1001.64
25.77,87.1,999.63
21.7,87.07,1001.95
26.72,79.9,992.23
25.5,87.37,999.89
24.2,78.22,980.41
23.1,80.05,979.4
24.3,85.42,981.94
27.48,82.78,994.3
25.22,84.42,996.69
23.05,75.37,975.89
26.32,91.0,1000.09
26.32,82.33,995.18
23.83,84.12,983.98
23.73,87.02,996.87
22.35,87.37,1001.39
29.73,76.75,986.45
26.13,87.47,998.3
23.6,87.53,999.55
16.07,75.37,972.18
25.1,76.4,985.8
34.25,74.55,921.12
26.65,85.58,997.34
14.48,79.8,1005.21
21.77,72.15,1002.49
30.61,76.1,985.22
34.38,73.77,930.07
29.07,76.31,986.94
25.18,85.52,998.39
19.57,74.65,977.7
23.3,81.67,976.12
22.37,87.42,1001.48
23.17,79.45,981.84
25.15,84.62,997.05
32.62,74.82,983.1
33.21,74.43,952.16
26.43,70.58,990.42
13.0,80.27,1008.02
22.22,88.1,1001.77
25.05,83.62,996.45
21.32,74.1,993.25
22.01,88.33,1002.05
