Latitude,Longitude,PTrain_AP1
24.6,72.72,942.21
10.33,79.38,1009.64
23.88,91.25,1005.99
10.85,72.47,1010.26
27.17,78.03,994.93
13.5,75.1,974.56
23.07,72.63,1003.94
19.08,74.8,971.68
26.45,74.62,978.8
20.7,77.03,990.0
20.7,77.07,988.59
9.55,76.42,1009.91
18.63,72.87,1008.14
27.88,78.07,993.95
22.28,74.4,991.2
25.45,81.73,999.12
27.5,76.58,989.58
30.38,76.77,989.2
23.17,83.25,973.12
11.12,72.73,1010.2
20.93,77.78,985.06
21.6,71.22,1001.63
31.63,74.87,990.2
14.68,77.62,987.4
20.83,85.1,999.29
11.17,79.0,1004.65
13.53,78.5,970.1
19.88,75.33,975.29
19.85,75.4,975.37
22.3,86.93,1004.45
12.99,80.2,1008.65
10.35,79.4,1009.86
30.08,78.72,898.41
18.18,72.99,1008.35
22.03,73.67,1004.16
12.88,80.15,1008.27
17.05,75.78,977.62
24.07,78.06,984.54
16.57,76.47,981.06
24.95,71.53,1003.1
27.14,79.28,996.06
23.6,72.95,999.76
22.38,93.15,940.13
16.67,74.9,978.32
24.53,78.72,984.65
26.85,79.08,996.28
29.96,78.61,935.03
11.47,77.88,992.76
24.77,84.18,999.52
26.35,75.03,984.03
21.17,73.18,1006.32
8.87,77.5,1003.69
12.89,80.11,1007.63
17.83,80.48,996.83
17.1,76.22,983.0
17.17,74.53,975.34
10.02,78.78,1006.39
28.75,79.72,994.41
25.03,86.9,1003.01
26.35,74.12,987.41
28.27,72.85,993.62
21.38,71.05,997.47
18.73,76.38,971.57
20.13,73.03,1004.35
22.41,88.3,1006.24
26.67,90.6,1000.77
16.07,75.95,977.03
25.97,93.5,999.29
14.47,79.72,1004.81
21.98,72.9,1007.04
23.65,91.62,1003.44
24.53,87.57,1002.24
27.54,79.6,996.53
18.42,83.9,1005.59
29.93,78.53,928.63
16.15,76.38,979.0
25.62,94.53,941.33
23.4,85.52,976.29
8.67,76.77,1010.22
12.02,76.3,972.83
25.09,78.86,988.44
26.06,78.21,991.25
29.19,73.21,994.1
25.05,78.86,988.44
13.53,80.07,1007.99
28.47,95.52,908.28
15.68,78.97,994.83
17.75,74.05,973.58
9.87,76.35,1010.01
24.23,87.28,999.62
24.48,76.33,988.33
28.57,74.51,990.72
23.05,72.97,1002.83
24.57,78.88,986.27
17.23,76.48,983.62
11.08,76.58,977.23
12.05,78.78,992.5
19.88,75.33,976.13
27.24,79.89,996.77
9.97,76.25,1010.07
33.12,75.32,917.15
16.7,75.25,979.14
22.98,88.37,1005.98
22.63,77.98,987.25
27.57,81.6,997.56
18.58,81.23,943.72
21.52,86.93,1005.5
13.37,75.45,962.01
25.75,84.17,1001.55
25.22,88.78,1004.84
25.47,80.37,997.3
12.97,77.58,958.14
12.95,77.63,959.36
33.5,75.17,921.05
23.23,87.07,1001.37
23.55,74.45,994.45
15.9,80.47,1007.81
18.15,74.58,977.81
28.37,79.4,994.66
21.93,86.77,1003.8
25.75,71.38,994.36
22.3,73.25,1005.45
22.33,73.27,1005.22
33.12,75.32,922.74
19.0,75.72,978.51
15.85,74.53,968.01
15.85,74.62,968.24
15.15,76.85,982.27
24.13,88.27,1005.49
21.87,77.93,970.38
25.23,86.95,1003.37
27.22,77.5,994.5
30.17,74.58,991.63
21.75,72.18,1007.03
19.92,83.18,992.55
25.35,74.63,982.55
18.45,73.4,1003.3
23.28,77.35,977.43
20.25,85.83,1004.36
23.25,69.67,1003.1
31.83,77.17,947.49
17.92,77.53,970.08
16.82,75.72,974.9
28.0,73.3,991.16
31.25,76.67,973.58
20.7,83.5,996.24
20.6,79.85,992.52
20.53,76.23,971.11
20.62,72.93,1007.11
20.22,75.42,971.16
21.9,84.03,994.4
27.13,94.12,1002.09
25.82,86.27,1003.58
27.05,79.85,996.27
27.78,74.57,987.11
13.68,77.07,968.2
28.48,76.18,991.09
22.92,69.17,1006.81
27.52,76.77,991.27
23.22,88.88,1006.24
16.9,74.37,978.2
24.08,85.87,987.48
30.0,78.59,928.67
23.73,86.32,998.21
27.0,79.65,996.53
23.32,88.65,1006.32
23.95,92.08,1000.57
25.58,86.27,1003.64
27.58,81.6,997.5
30.37,77.87,975.82
22.23,85.32,987.73
24.87,86.45,998.75
33.22,74.09,965.7
26.3,84.78,1001.72
22.87,88.27,1005.88
24.78,79.02,988.32
26.22,84.38,1001.47
25.11,75.63,982.6
22.97,75.2,978.38
27.9,79.0,995.56
19.3,75.47,981.09
17.31,78.48,977.51
22.33,88.3,1006.17
26.25,89.6,1004.1
30.67,76.97,982.39
34.03,74.94,925.87
26.97,77.08,990.45
29.89,78.61,953.77
25.42,86.32,1003.76
15.25,79.47,1002.31
33.66,74.01,963.47
27.82,93.9,989.28
19.73,85.22,1006.79
34.05,74.75,925.37
26.13,75.87,989.39
26.33,73.15,992.84
23.98,85.78,984.83
19.48,83.98,994.62
28.46,75.64,989.58
25.62,85.15,1002.58
22.63,88.3,1006.14
23.8,86.35,996.08
23.28,85.82,994.45
21.49,70.07,1006.7
30.04,76.53,990.87
22.65,79.15,973.51
26.72,88.32,998.84
20.67,86.12,1000.63
22.73,88.66,1005.99
25.77,87.1,1004.11
21.7,87.07,1006.12
26.72,79.9,996.97
25.5,87.37,1004.34
24.2,78.22,984.41
23.1,80.05,983.22
24.3,85.42,986.45
27.48,82.78,999.16
25.22,84.42,1001.24
23.05,75.37,979.57
26.32,91.0,1004.49
26.32,82.33,999.99
23.83,84.12,988.32
23.73,87.02,1001.32
22.35,87.37,1005.66
29.73,76.75,991.45
26.13,87.47,1002.83
23.6,87.53,1003.97
16.07,75.37,973.43
25.1,76.4,990.07
34.25,74.55,926.02
26.65,85.58,1002.01
14.48,79.8,1006.67
21.77,72.15,1006.26
30.61,76.1,990.14
34.38,73.77,934.98
29.07,76.31,992.06
25.18,85.52,1002.87
19.57,74.65,980.18
23.3,81.67,980.09
22.37,87.42,1005.76
23.17,79.45,985.68
25.15,84.62,1001.58
32.62,74.82,987.37
33.21,74.43,956.58
26.43,70.58,995.2
13.0,80.27,1009.1
22.22,88.1,1006.15
25.05,83.62,1001.01
21.32,74.1,996.62
22.01,88.33,1006.33
24.77,88.03,1005.41
20.48,86.23,1004.66
30.52,76.84,988.3
29.89,78.66,925.26
24.67,79.16,988.36
33.68,75.08,922.39
21.93,69.77,1004.88
25.58,72.67,996.78
22.87,78.22,988.15
29.82,78.72,951.16
26.25,78.25,994.3
30.56,76.21,990.13
24.4,83.58,993.85
30.27,76.03,990.63
25.65,87.13,1004.52
22.95,88.55,1006.16
32.94,74.39,986.54
24.07,79.08,981.57
24.18,72.03,1000.45
20.45,72.88,1007.13
26.8,79.25,996.52
21.67,87.35,1006.16
25.7,92.02,959.91
25.28,74.67,983.69
30.19,76.63,990.63
27.14,79.75,996.76
20.62,83.35,996.48
20.9,77.6,989.23
24.27,73.38,978.23
25.55,84.87,1002.42
26.05,77.37,992.37
27.07,88.2,958.07
11.68,77.13,961.49
31.28,76.25,977.48
26.7,88.48,999.96
20.43,85.98,1005.18
22.13,84.8,996.03
22.68,84.55,982.67
24.63,93.77,965.1
26.05,86.98,1002.6
34.4,74.32,926.2
19.02,72.85,1007.88
27.25,92.4,886.13
14.6,76.68,977.11
17.89,78.46,979.21
34.01,74.64,913.39
26.82,94.83,991.01
27.87,96.37,964.37
32.65,74.82,987.17
24.1,92.6,997.5
34.48,74.24,914.03
17.33,78.41,978.01
23.35,92.83,975.87
27.35,73.1,988.08
30.19,76.51,990.75
22.36,88.12,1006.15
34.53,76.2,847.0
34.38,74.99,877.01
24.02,87.15,999.59
34.28,74.44,925.85
33.6,75.02,910.02
28.26,75.37,988.63
22.25,85.8,981.97
26.52,71.81,991.26
26.77,92.6,998.76
25.5,83.85,1001.75
13.62,76.42,970.13
22.25,88.67,1006.27
9.17,92.83,1009.45
22.55,85.82,994.59
24.92,75.58,986.46
22.03,82.7,992.66
20.78,86.73,1006.32
19.97,79.3,994.2
26.2,92.52,1003.26
25.78,84.73,1002.03
13.0,80.18,1008.22
13.07,80.25,1008.76
25.25,91.73,933.81
22.1,79.0,968.15
13.25,75.75,952.6
14.23,76.43,968.35
24.88,74.63,983.92
24.65,83.1,988.36
28.25,74.92,988.09
11.0,76.97,987.6
11.03,77.05,987.86
21.78,87.75,1005.92
26.33,89.47,1003.77
11.77,79.77,1008.92
14.48,78.83,1000.48
20.47,85.93,1005.32
20.22,73.05,1005.23
22.52,88.78,1006.22
25.68,85.35,1002.97
26.84,79.53,996.76
11.15,75.82,1010.02
17.31,78.87,986.59
26.92,79.21,996.47
30.4,74.9,992.11
29.66,77.45,990.59
22.97,86.05,993.58
22.15,70.58,1000.32
29.39,76.99,992.42
24.04,79.1,980.79
30.73,76.79,986.82
28.43,75.51,989.86
27.72,96.23,994.21
26.57,94.7,980.98
24.05,86.9,996.21
25.88,87.13,1003.78
28.16,75.46,986.93
25.68,93.23,991.29
21.43,71.22,1000.5
25.3,93.72,937.18
28.68,73.12,994.04
24.88,78.97,989.86
11.83,76.07,971.94
27.22,93.12,957.5
28.78,96.27,896.95
22.22,78.43,964.28
25.68,94.3,926.95
24.47,86.25,987.48
29.98,77.1,990.43
24.79,79.08,988.31
24.52,84.95,997.95
20.68,86.85,1006.58
28.75,73.99,992.25
25.07,75.5,981.02
26.22,87.02,1002.98
28.67,96.15,924.5
11.4,79.7,1009.43
17.6,78.75,979.49
21.52,73.65,994.89
16.45,74.33,979.4
25.17,82.53,1000.86
15.58,79.88,1005.59
26.63,94.92,978.23
19.07,79.07,996.53
22.12,77.5,976.1
24.05,86.15,989.05
23.18,76.97,979.66
27.93,79.28,995.56
17.56,78.22,979.38
10.97,77.28,991.19
17.29,78.03,972.29
27.12,79.41,995.91
10.7,76.75,1002.38
17.23,79.13,990.34
23.67,76.23,983.58
24.45,85.17,996.2
18.72,72.9,1005.1
12.5,76.3,968.05
26.5,75.67,988.92
21.1,85.33,997.82
21.7,79.68,984.27
22.12,76.9,990.94
30.69,76.09,990.18
26.72,94.23,1000.12
25.27,87.22,1005.05
13.63,74.7,1009.17
20.5,85.83,1004.81
19.97,72.72,1007.86
32.53,75.97,901.4
24.05,84.07,994.07
23.83,79.45,984.79
26.17,85.9,1002.69
27.05,88.27,890.38
25.67,78.47,992.17
24.2,72.2,998.65
30.32,78.03,968.71
24.92,84.18,999.68
16.38,73.35,1007.23
23.78,86.43,992.9
22.6,75.3,974.98
12.13,78.03,986.31
32.27,76.38,941.66
26.67,77.83,994.64
26.02,89.98,1004.41
26.15,89.92,1003.86
22.18,88.2,1006.04
27.48,95.02,1000.55
21.83,87.78,1006.17
20.72,70.92,1007.37
22.83,74.27,988.98
17.72,83.3,999.36
24.27,87.25,998.68
23.83,73.67,990.82
21.18,81.28,989.73
23.48,87.32,1002.97
22.37,69.08,1007.16
26.12,92.87,1003.54
29.9,78.55,948.62
32.86,74.9,981.42
17.91,78.01,979.62
24.48,71.73,1002.02
30.27,80.52,792.44
32.58,74.93,986.81
26.91,79.6,996.6
26.1,90.78,1004.45
24.93,92.77,1006.08
24.03,84.07,994.45
20.42,72.85,1007.7
26.31,79.3,996.47
30.22,74.17,993.08
34.17,74.9,923.43
32.65,74.9,985.61
24.73,79.21,988.4
26.63,92.8,1003.98
34.33,74.38,925.91
24.02,85.55,976.98
28.45,72.5,995.39
25.33,88.32,1004.3
30.75,76.15,989.93
27.9,96.3,994.05
28.02,96.23,964.23
25.75,75.38,987.06
18.25,77.1,973.63
25.74,79.16,995.68
23.13,78.68,986.73
27.98,79.42,995.8
26.17,85.0,1002.16
29.73,78.47,986.08
23.43,73.75,999.56
20.03,75.03,979.08
33.13,75.98,888.52
29.86,78.64,938.71
26.92,71.37,992.12
30.66,76.83,988.18
24.6,92.83,1005.61
33.27,74.55,955.45
17.65,77.47,973.69
30.58,76.82,988.53
25.98,87.13,1003.69
24.42,85.98,988.6
28.93,76.17,992.47
33.53,74.22,929.92
29.93,78.74,962.78
24.37,92.17,1005.9
26.7,77.9,994.66
29.91,78.7,955.75
25.6,75.61,990.4
21.48,85.82,976.36
33.58,74.09,936.41
26.47,92.47,1003.54
19.3,75.67,983.1
22.98,71.47,1003.5
22.57,70.42,1006.13
23.57,76.78,981.29
32.74,74.81,987.12
24.15,78.23,984.2
28.39,75.63,988.9
28.35,75.64,988.87
16.22,73.83,1003.65
27.13,94.77,1001.69
26.17,93.57,967.6
17.94,78.68,977.08
20.17,84.85,996.66
27.1,79.95,997.5
26.35,89.9,1002.28
27.27,93.07,960.98
32.56,74.92,986.79
24.53,84.92,998.95
12.17,76.6,971.03
15.68,74.97,972.69
34.27,74.47,925.96
34.45,74.41,918.52
34.39,73.79,938.51
21.07,83.2,995.03
18.02,78.9,978.87
34.37,73.98,829.49
23.75,86.17,994.97
16.05,73.92,1000.97
23.42,91.67,1003.87
29.08,74.68,993.07
28.87,75.45,992.3
25.32,86.02,1003.58
25.55,84.15,1001.77
23.98,86.02,992.28
22.97,74.12,992.02
24.76,79.05,988.02
23.13,84.85,974.24
20.0,76.3,979.15
27.5,95.75,999.23
16.73,76.92,984.21
21.7,74.03,959.07
26.28,79.29,996.66
25.93,90.77,1003.35
27.79,79.31,996.32
29.28,78.12,992.64
25.97,85.12,1002.7
28.19,74.69,987.56
26.13,89.47,1004.2
10.03,76.3,1010.06
11.22,76.15,1007.01
13.07,80.26,1008.39
17.58,78.54,974.3
13.25,80.33,1008.42
13.13,80.25,1008.43
8.18,77.63,1010.01
26.75,82.08,998.9
25.93,80.83,997.94
30.92,74.67,992.01
26.3,87.27,1002.4
22.37,88.78,1006.12
16.28,78.68,974.58
30.72,76.77,987.26
26.35,79.23,996.37
25.77,75.63,988.39
24.18,92.02,1005.82
11.18,75.85,1009.04
17.84,78.12,979.34
15.42,75.63,972.84
27.33,88.62,907.39
16.53,80.8,1006.35
24.75,84.95,999.55
25.4,83.55,1001.34
22.77,83.97,974.96
27.13,81.97,998.42
21.47,80.2,988.16
19.27,84.88,1006.04
26.75,83.37,1000.41
17.35,76.85,980.83
34.05,74.4,866.17
24.65,77.32,979.62
28.42,77.0,991.6
26.1,91.58,1003.75
26.23,78.25,993.2
15.42,75.62,972.36
27.23,79.28,995.95
33.89,74.29,899.26
24.05,76.45,984.67
25.58,76.3,992.85
15.73,75.98,972.86
16.27,76.83,981.95
23.52,74.0,998.61
20.1,84.57,1001.32
9.92,77.53,991.12
34.16,74.57,925.67
30.65,78.85,872.33
27.85,78.47,994.61
14.55,78.73,1000.15
29.9,78.68,935.05
26.01,79.38,996.14
32.79,74.77,987.1
29.97,78.53,951.2
26.7,94.12,1000.72
17.61,78.47,974.9
27.72,79.65,996.11
22.77,87.8,1006.3
23.28,84.55,972.73
20.88,73.72,991.73
28.3,75.71,988.63
22.9,88.16,1005.92
20.13,78.32,989.66
29.85,77.05,990.59
25.22,87.17,1004.42
23.95,87.1,999.14
22.7,70.65,1005.04
27.22,73.47,987.35
30.72,75.98,990.0
32.98,74.41,982.24
28.36,74.9,988.75
27.7,79.57,996.36
20.67,79.13,990.72
22.25,88.5,1006.24
33.26,74.14,951.4
27.32,84.32,997.7
23.27,87.97,1005.37
31.52,76.02,986.06
27.98,72.25,994.84
24.9,72.83,990.32
20.72,70.99,1008.12
34.08,74.57,924.05
14.97,78.25,994.88
34.1,74.58,925.74
21.92,85.37,973.98
22.02,69.92,1000.31
22.26,88.97,1006.19
22.86,88.04,1005.8
16.75,77.3,982.98
25.73,75.54,987.86
19.92,77.05,979.6
25.93,85.33,1002.97
18.17,73.3,1007.02
21.33,69.9,1007.1
16.72,75.43,973.91
17.21,78.9,988.58
14.83,76.63,974.67
25.96,75.59,989.16
12.84,80.06,1007.1
25.6,85.2,1002.86
18.98,84.02,985.68
20.37,83.37,997.47
17.63,80.93,1004.36
22.55,72.22,1006.95
20.28,84.7,994.73
14.98,74.92,981.74
15.17,77.38,983.04
16.28,76.62,981.07
24.67,84.77,999.56
30.64,76.81,988.41
30.1,79.97,875.32
28.07,94.57,960.62
24.67,75.6,981.07
18.02,79.57,991.66
27.38,80.17,996.23
17.82,73.1,1007.67
13.0,76.15,957.51
28.08,96.5,933.11
23.98,85.37,973.34
29.17,75.73,991.59
14.28,74.45,1008.16
22.77,77.77,988.83
10.58,92.55,1009.06
17.45,78.47,976.94
9.5,76.63,1006.8
15.8,76.98,988.1
15.02,75.95,979.27
30.03,77.89,988.39
28.18,75.39,987.61
34.28,74.2,894.12
13.0,75.7,958.32
33.39,74.23,935.58
27.65,79.95,996.23
15.43,75.8,973.79
26.86,79.06,997.05
31.03,78.73,843.08
22.57,75.82,974.76
34.53,75.13,855.74
