Latitude,Longitude,PTrain_AP1
24.6,72.72,946.79
10.33,79.38,1011.41
23.88,91.25,1009.48
10.85,72.47,1010.64
27.17,78.03,1000.05
13.5,75.1,975.08
23.07,72.63,1007.58
19.08,74.8,974.18
26.45,74.62,983.91
20.7,77.03,993.82
20.7,77.07,992.42
9.55,76.42,1011.16
18.63,72.87,1010.12
27.88,78.07,999.05
22.28,74.4,995.07
25.45,81.73,1004.52
27.5,76.58,994.66
30.38,76.77,993.97
23.17,83.25,978.44
11.12,72.73,1010.67
20.93,77.78,989.15
21.6,71.22,1004.37
31.63,74.87,994.67
14.68,77.62,989.33
20.83,85.1,1003.41
11.17,79.0,1006.44
13.53,78.5,971.49
19.88,75.33,978.33
19.85,75.4,978.41
22.3,86.93,1008.47
12.99,80.2,1010.81
10.35,79.4,1011.64
30.08,78.72,902.46
18.18,72.99,1010.23
22.03,73.67,1007.62
12.88,80.15,1010.4
17.05,75.78,979.66
24.07,78.06,989.56
16.57,76.47,983.19
24.95,71.53,1007.16
27.14,79.28,1001.26
23.6,72.95,1003.77
22.38,93.15,943.48
16.67,74.9,979.93
24.53,78.72,989.83
26.85,79.08,1001.47
29.96,78.61,939.75
11.47,77.88,994.21
24.77,84.18,1004.94
26.35,75.03,989.13
21.17,73.18,1009.29
8.87,77.5,1004.9
12.89,80.11,1009.75
17.83,80.48,1000.14
17.1,76.22,985.27
17.17,74.53,976.98
10.02,78.78,1008.01
28.75,79.72,999.53
25.03,86.9,1008.08
26.35,74.12,992.36
28.27,72.85,998.12
21.38,71.05,1000.09
18.73,76.38,974.39
20.13,73.03,1006.91
22.41,88.3,1009.79
26.67,90.6,1005.54
16.07,75.95,978.75
25.97,93.5,1003.45
14.47,79.72,1007.14
21.98,72.9,1010.21
23.65,91.62,1006.78
24.53,87.57,1007.05
27.54,79.6,1001.72
18.42,83.9,1008.89
29.93,78.53,933.22
16.15,76.38,980.92
25.62,94.53,945.53
23.4,85.52,981.47
8.67,76.77,1011.48
12.02,76.3,973.35
25.09,78.86,993.67
26.06,78.21,996.46
29.19,73.21,998.5
25.05,78.86,993.67
13.53,80.07,1010.23
28.47,95.52,911.54
15.68,78.97,997.24
17.75,74.05,975.28
9.87,76.35,1011.27
24.23,87.28,1004.44
24.48,76.33,993.24
28.57,74.51,995.44
23.05,72.97,1006.56
24.57,78.88,991.45
17.23,76.48,986.03
11.08,76.58,977.73
12.05,78.78,994.06
19.88,75.33,979.17
27.24,79.89,1002.0
9.97,76.25,1011.3
33.12,75.32,921.52
16.7,75.25,980.89
22.98,88.37,1009.85
22.63,77.98,991.88
27.57,81.6,1002.89
18.58,81.23,946.82
21.52,86.93,1009.1
13.37,75.45,962.4
25.75,84.17,1007.03
25.22,88.78,1009.61
25.47,80.37,1002.59
12.97,77.58,959.17
12.95,77.63,960.41
33.5,75.17,925.55
23.23,87.07,1005.79
23.55,74.45,998.81
15.9,80.47,1010.47
18.15,74.58,979.91
28.37,79.4,999.8
21.93,86.77,1007.67
25.75,71.38,998.75
22.3,73.25,1008.85
22.33,73.27,1008.65
33.12,75.32,927.17
19.0,75.72,981.3
15.85,74.53,969.02
15.85,74.62,969.29
15.15,76.85,984.06
24.13,88.27,1009.94
21.87,77.93,974.76
25.23,86.95,1008.46
27.22,77.5,999.59
30.17,74.58,996.13
21.75,72.18,1009.95
19.92,83.18,996.61
25.35,74.63,987.55
18.45,73.4,1005.36
23.28,77.35,982.19
20.25,85.83,1008.01
23.25,69.67,1006.12
31.83,77.17,952.23
17.92,77.53,972.89
16.82,75.72,976.8
28.0,73.3,995.77
31.25,76.67,978.39
20.7,83.5,1000.57
20.6,79.85,996.84
20.53,76.23,974.62
20.62,72.93,1009.78
20.22,75.42,974.34
21.9,84.03,999.19
27.13,94.12,1006.28
25.82,86.27,1008.86
27.05,79.85,1001.51
27.78,74.57,992.01
13.68,77.07,969.41
28.48,76.18,996.0
22.92,69.17,1009.46
27.52,76.77,996.34
23.22,88.88,1010.18
16.9,74.37,979.72
24.08,85.87,992.78
30.0,78.59,933.27
23.73,86.32,1003.12
27.0,79.65,1001.76
23.32,88.65,1010.34
23.95,92.08,1004.09
25.58,86.27,1008.89
27.58,81.6,1002.83
30.37,77.87,980.81
22.23,85.32,992.41
24.87,86.45,1003.96
33.22,74.09,970.19
26.3,84.78,1007.18
22.87,88.27,1009.7
24.78,79.02,993.54
26.22,84.38,1006.95
25.11,75.63,987.65
22.97,75.2,982.77
27.9,79.0,1000.7
19.3,75.47,983.95
17.31,78.48,980.24
22.33,88.3,1009.68
26.25,89.6,1008.9
30.67,76.97,987.22
34.03,74.94,930.36
26.97,77.08,995.59
29.89,78.61,958.75
25.42,86.32,1008.98
15.25,79.47,1004.73
33.66,74.01,967.86
27.82,93.9,993.82
19.73,85.22,1010.27
34.05,74.75,929.82
26.13,75.87,994.47
26.33,73.15,997.54
23.98,85.78,990.13
19.48,83.98,998.34
28.46,75.64,994.47
25.62,85.15,1007.98
22.63,88.3,1009.82
23.8,86.35,1001.04
23.28,85.82,999.37
21.49,70.07,1009.02
30.04,76.53,995.63
22.65,79.15,978.39
26.72,88.32,1004.11
20.67,86.12,1004.42
22.73,88.66,1009.72
25.77,87.1,1009.27
21.7,87.07,1009.74
26.72,79.9,1002.22
25.5,87.37,1009.4
24.2,78.22,989.47
23.1,80.05,988.34
24.3,85.42,991.89
27.48,82.78,1004.55
25.22,84.42,1006.67
23.05,75.37,984.0
26.32,91.0,1009.0
26.32,82.33,1005.43
23.83,84.12,993.74
23.73,87.02,1005.96
22.35,87.37,1009.53
29.73,76.75,996.26
26.13,87.47,1008.02
23.6,87.53,1008.36
16.07,75.37,974.91
25.1,76.4,995.08
34.25,74.55,930.29
26.65,85.58,1007.44
14.48,79.8,1009.03
21.77,72.15,1009.23
30.61,76.1,994.8
34.38,73.77,939.16
29.07,76.31,996.9
25.18,85.52,1008.17
19.57,74.65,982.93
23.3,81.67,985.4
22.37,87.42,1009.61
23.17,79.45,990.74
25.15,84.62,1006.99
32.62,74.82,991.89
33.21,74.43,961.09
26.43,70.58,999.58
13.0,80.27,1011.27
22.22,88.1,1009.6
25.05,83.62,1006.44
21.32,74.1,999.99
22.01,88.33,1009.76
24.77,88.03,1010.14
20.48,86.23,1008.3
30.52,76.84,993.08
29.89,78.66,929.8
24.67,79.16,993.58
33.68,75.08,926.95
21.93,69.77,1007.33
25.58,72.67,1001.27
22.87,78.22,992.88
29.82,78.72,956.12
26.25,78.25,999.47
30.56,76.21,994.81
24.4,83.58,999.34
30.27,76.03,995.31
25.65,87.13,1009.63
22.95,88.55,1010.0
32.94,74.39,990.96
24.07,79.08,986.73
24.18,72.03,1004.45
20.45,72.88,1009.73
26.8,79.25,1001.72
21.67,87.35,1009.69
25.7,92.02,964.69
25.28,74.67,988.68
30.19,76.63,995.39
27.14,79.75,1001.98
20.62,83.35,1000.8
20.9,77.6,993.26
24.27,73.38,982.85
25.55,84.87,1007.83
26.05,77.37,997.5
27.07,88.2,963.64
11.68,77.13,962.01
31.28,76.25,982.23
26.7,88.48,1005.17
20.43,85.98,1008.89
22.13,84.8,1000.74
22.68,84.55,987.72
24.63,93.77,969.28
26.05,86.98,1007.86
34.4,74.32,930.44
19.02,72.85,1009.99
27.25,92.4,889.58
14.6,76.68,978.58
17.89,78.46,982.21
34.01,74.64,917.68
26.82,94.83,995.36
27.87,96.37,968.67
32.65,74.82,991.69
24.1,92.6,1001.14
34.48,74.24,918.12
17.33,78.41,980.74
23.35,92.83,979.51
27.35,73.1,992.8
30.19,76.51,995.49
22.36,88.12,1009.68
34.53,76.2,851.1
34.38,74.99,881.09
24.02,87.15,1004.36
34.28,74.44,930.1
33.6,75.02,914.42
28.26,75.37,993.53
22.25,85.8,986.57
26.52,71.81,995.83
26.77,92.6,1003.23
25.5,83.85,1007.2
13.62,76.42,971.1
22.25,88.67,1009.7
9.17,92.83,1010.55
22.55,85.82,999.2
24.92,75.58,991.43
22.03,82.7,997.58
20.78,86.73,1009.82
19.97,79.3,998.24
26.2,92.52,1007.48
25.78,84.73,1007.48
13.0,80.18,1010.38
13.07,80.25,1010.93
25.25,91.73,938.39
22.1,79.0,972.85
13.25,75.75,952.94
14.23,76.43,969.47
24.88,74.63,988.83
24.65,83.1,993.95
28.25,74.92,992.96
11.0,76.97,988.52
11.03,77.05,988.82
21.78,87.75,1009.41
26.33,89.47,1008.62
11.77,79.77,1010.87
14.48,78.83,1002.73
20.47,85.93,1009.05
20.22,73.05,1007.83
22.52,88.78,1009.79
25.68,85.35,1008.34
26.84,79.53,1001.98
11.15,75.82,1011.26
17.31,78.87,989.46
26.92,79.21,1001.66
30.4,74.9,996.61
29.66,77.45,995.49
22.97,86.05,998.33
22.15,70.58,1003.14
29.39,76.99,997.28
24.04,79.1,985.95
30.73,76.79,991.59
28.43,75.51,994.74
27.72,96.23,998.38
26.57,94.7,985.45
24.05,86.9,1001.12
25.88,87.13,1008.95
28.16,75.46,991.88
25.68,93.23,995.6
21.43,71.22,1003.17
25.3,93.72,941.42
28.68,73.12,998.5
24.88,78.97,995.06
11.83,76.07,972.3
27.22,93.12,962.27
28.78,96.27,899.83
22.22,78.43,968.83
25.68,94.3,930.99
24.47,86.25,992.82
29.98,77.1,995.26
24.79,79.08,993.53
24.52,84.95,1003.31
20.68,86.85,1010.02
28.75,73.99,996.84
25.07,75.5,986.07
26.22,87.02,1008.24
28.67,96.15,928.08
11.4,79.7,1011.35
17.6,78.75,982.39
21.52,73.65,998.22
16.45,74.33,980.76
25.17,82.53,1006.28
15.58,79.88,1008.14
26.63,94.92,982.7
19.07,79.07,1000.21
22.12,77.5,980.5
24.05,86.15,994.26
23.18,76.97,984.33
27.93,79.28,1000.72
17.56,78.22,982.2
10.97,77.28,992.32
17.29,78.03,974.9
27.12,79.41,1001.12
10.7,76.75,1003.63
17.23,79.13,993.25
23.67,76.23,988.32
24.45,85.17,1001.57
18.72,72.9,1007.11
12.5,76.3,968.61
26.5,75.67,994.0
21.1,85.33,1002.06
21.7,79.68,988.97
22.12,76.9,995.2
30.69,76.09,994.83
26.72,94.23,1004.31
25.27,87.22,1010.06
13.63,74.7,1010.44
20.5,85.83,1008.59
19.97,72.72,1010.25
32.53,75.97,905.48
24.05,84.07,999.47
23.83,79.45,989.96
26.17,85.9,1008.06
27.05,88.27,894.37
25.67,78.47,997.37
24.2,72.2,1002.74
30.32,78.03,973.71
24.92,84.18,1005.13
16.38,73.35,1008.68
23.78,86.43,997.89
22.6,75.3,979.22
12.13,78.03,987.7
32.27,76.38,946.28
26.67,77.83,999.77
26.02,89.98,1009.07
26.15,89.92,1008.58
22.18,88.2,1009.47
27.48,95.02,1004.7
21.83,87.78,1009.66
20.72,70.92,1009.59
22.83,74.27,993.08
17.72,83.3,1002.43
24.27,87.25,1003.55
23.83,73.67,995.2
21.18,81.28,994.37
23.48,87.32,1007.39
22.37,69.08,1009.55
26.12,92.87,1007.69
29.9,78.55,953.53
32.86,74.9,986.04
17.91,78.01,982.58
24.48,71.73,1006.02
30.27,80.52,795.67
32.58,74.93,991.35
26.91,79.6,1001.83
26.1,90.78,1008.96
24.93,92.77,1009.8
24.03,84.07,999.84
20.42,72.85,1010.28
26.31,79.3,1001.69
30.22,74.17,997.48
34.17,74.9,927.91
32.65,74.9,990.17
24.73,79.21,993.63
26.63,92.8,1008.23
34.33,74.38,930.14
24.02,85.55,982.39
28.45,72.5,999.77
25.33,88.32,1009.19
30.75,76.15,994.59
27.9,96.3,998.21
28.02,96.23,968.53
25.75,75.38,992.12
18.25,77.1,976.53
25.74,79.16,1000.88
23.13,78.68,991.62
27.98,79.42,1000.95
26.17,85.0,1007.61
29.73,78.47,991.12
23.43,73.75,1003.67
20.03,75.03,982.12
33.13,75.98,892.65
29.86,78.64,943.49
26.92,71.37,996.66
30.66,76.83,992.95
24.6,92.83,1009.22
33.27,74.55,959.99
17.65,77.47,976.41
30.58,76.82,993.3
25.98,87.13,1008.88
24.42,85.98,993.96
