Latitude,Longitude,PTrain_AP1
24.6,72.72,949.83
10.33,79.38,1012.68
23.88,91.25,1012.67
10.85,72.47,1012.47
27.17,78.03,1007.77
13.5,75.1,975.54
23.07,72.63,1009.72
19.08,74.8,975.95
26.45,74.62,987.8
20.7,77.03,999.03
20.7,77.07,997.55
9.55,76.42,1012.66
18.63,72.87,1012.17
27.88,78.07,1006.8
22.28,74.4,997.02
25.45,81.73,1012.43
27.5,76.58,1001.15
30.38,76.77,1001.75
23.17,83.25,980.9
11.12,72.73,1012.49
20.93,77.78,994.89
21.6,71.22,1006.59
31.63,74.87,1004.02
14.68,77.62,992.32
20.83,85.1,1005.77
11.17,79.0,1008.42
13.53,78.5,971.99
19.88,75.33,980.6
19.85,75.4,980.73
22.3,86.93,1011.15
12.99,80.2,1012.39
10.35,79.4,1012.94
30.08,78.72,905.47
18.18,72.99,1012.23
22.03,73.67,1009.63
12.88,80.15,1011.99
17.05,75.78,981.97
24.07,78.06,994.69
16.57,76.47,986.28
24.95,71.53,1009.45
27.14,79.28,1009.33
23.6,72.95,1005.73
22.38,93.15,948.22
16.67,74.9,981.48
24.53,78.72,995.47
26.85,79.08,1009.63
29.96,78.61,940.89
11.47,77.88,996.4
24.77,84.18,1009.07
26.35,75.03,993.25
21.17,73.18,1011.45
8.87,77.5,1005.88
12.89,80.11,1011.35
17.83,80.48,1002.84
17.1,76.22,988.57
17.17,74.53,978.43
10.02,78.78,1009.42
28.75,79.72,1006.66
25.03,86.9,1010.42
26.35,74.12,996.39
28.27,72.85,1005.38
21.38,71.05,1002.42
18.73,76.38,977.45
20.13,73.03,1009.07
22.41,88.3,1013.28
26.67,90.6,1008.24
16.07,75.95,980.69
25.97,93.5,1006.41
14.47,79.72,1009.03
21.98,72.9,1012.65
23.65,91.62,1010.37
24.53,87.57,1009.13
27.54,79.6,1009.77
18.42,83.9,1011.2
29.93,78.53,934.66
16.15,76.38,983.44
25.62,94.53,946.68
23.4,85.52,983.3
8.67,76.77,1012.74
12.02,76.3,973.09
25.09,78.86,1000.0
26.06,78.21,1003.11
29.19,73.21,1007.22
25.05,78.86,1000.0
13.53,80.07,1011.96
28.47,95.52,909.37
15.68,78.97,999.35
17.75,74.05,976.79
9.87,76.35,1012.8
24.23,87.28,1006.46
24.48,76.33,996.85
28.57,74.51,1002.93
23.05,72.97,1008.69
24.57,78.88,997.43
17.23,76.48,989.84
11.08,76.58,977.34
12.05,78.78,995.36
19.88,75.33,981.47
27.24,79.89,1010.04
9.97,76.25,1012.75
33.12,75.32,927.74
16.7,75.25,982.71
22.98,88.37,1012.74
22.63,77.98,997.43
27.57,81.6,1010.62
18.58,81.23,949.0
21.52,86.93,1012.37
13.37,75.45,962.27
25.75,84.17,1012.45
25.22,88.78,1012.15
25.47,80.37,1011.13
12.97,77.58,958.95
12.95,77.63,960.25
33.5,75.17,932.13
23.23,87.07,1008.13
23.55,74.45,1000.75
15.9,80.47,1012.3
18.15,74.58,981.63
28.37,79.4,1007.3
21.93,86.77,1010.6
25.75,71.38,1001.62
22.3,73.25,1011.2
22.33,73.27,1010.99
33.12,75.32,933.27
19.0,75.72,983.92
15.85,74.53,969.95
15.85,74.62,970.22
15.15,76.85,986.66
24.13,88.27,1012.17
21.87,77.93,978.91
25.23,86.95,1010.94
27.22,77.5,1007.05
30.17,74.58,1005.17
21.75,72.18,1012.49
19.92,83.18,998.95
25.35,74.63,990.41
18.45,73.4,1007.37
23.28,77.35,985.99
20.25,85.83,1010.65
23.25,69.67,1008.94
31.83,77.17,955.65
17.92,77.53,976.13
16.82,75.72,978.81
28.0,73.3,1002.68
31.25,76.67,983.82
20.7,83.5,1003.03
20.6,79.85,1002.88
20.53,76.23,977.51
20.62,72.93,1012.09
20.22,75.42,976.58
21.9,84.03,1001.88
27.13,94.12,1010.51
25.82,86.27,1012.24
27.05,79.85,1009.47
27.78,74.57,998.08
13.68,77.07,970.15
28.48,76.18,1003.46
22.92,69.17,1012.55
27.52,76.77,1003.17
23.22,88.88,1012.87
16.9,74.37,981.17
24.08,85.87,994.65
30.0,78.59,934.6
23.73,86.32,1005.15
27.0,79.65,1009.88
23.32,88.65,1012.94
23.95,92.08,1007.37
25.58,86.27,1012.02
27.58,81.6,1010.54
30.37,77.87,985.39
22.23,85.32,994.56
24.87,86.45,1006.14
33.22,74.09,978.14
26.3,84.78,1012.31
22.87,88.27,1012.7
24.78,79.02,999.92
26.22,84.38,1012.46
25.11,75.63,990.81
22.97,75.2,984.8
27.9,79.0,1008.69
19.3,75.47,986.42
17.31,78.48,982.6
22.33,88.3,1013.26
26.25,89.6,1011.7
30.67,76.97,993.62
34.03,74.94,938.08
26.97,77.08,1001.99
29.89,78.61,960.25
25.42,86.32,1011.94
15.25,79.47,1006.7
33.66,74.01,976.51
27.82,93.9,996.09
19.73,85.22,1012.85
34.05,74.75,937.73
26.13,75.87,999.17
26.33,73.15,1001.77
23.98,85.78,991.95
19.48,83.98,1000.72
28.46,75.64,1001.66
25.62,85.15,1012.09
22.63,88.3,1013.06
23.8,86.35,1003.03
23.28,85.82,1001.4
21.49,70.07,1011.49
30.04,76.53,1003.77
22.65,79.15,982.99
26.72,88.32,1007.35
20.67,86.12,1007.14
22.73,88.66,1012.8
25.77,87.1,1012.23
21.7,87.07,1012.97
26.72,79.9,1010.43
25.5,87.37,1012.06
24.2,78.22,994.74
23.1,80.05,994.06
24.3,85.42,993.85
27.48,82.78,1012.13
25.22,84.42,1011.17
23.05,75.37,986.11
26.32,91.0,1011.84
26.32,82.33,1013.14
23.83,84.12,996.4
23.73,87.02,1008.08
22.35,87.37,1012.41
29.73,76.75,1004.34
26.13,87.47,1011.15
23.6,87.53,1010.65
16.07,75.37,976.23
25.1,76.4,999.31
34.25,74.55,939.05
26.65,85.58,1012.15
14.48,79.8,1010.91
21.77,72.15,1011.53
30.61,76.1,1003.18
34.38,73.77,948.69
29.07,76.31,1004.93
25.18,85.52,1011.5
19.57,74.65,984.85
23.3,81.67,989.55
22.37,87.42,1012.53
23.17,79.45,997.26
25.15,84.62,1011.24
32.62,74.82,1001.25
33.21,74.43,968.33
26.43,70.58,1002.64
13.0,80.27,1012.82
22.22,88.1,1013.37
25.05,83.62,1011.77
21.32,74.1,1001.97
22.01,88.33,1013.35
24.77,88.03,1012.4
20.48,86.23,1011.03
30.52,76.84,1000.67
29.89,78.66,931.18
24.67,79.16,1000.04
33.68,75.08,933.75
21.93,69.77,1009.87
25.58,72.67,1004.51
22.87,78.22,998.79
29.82,78.72,957.35
26.25,78.25,1006.79
30.56,76.21,1003.12
24.4,83.58,1003.31
30.27,76.03,1003.69
25.65,87.13,1012.5
22.95,88.55,1012.89
32.94,74.39,1000.82
24.07,79.08,992.1
24.18,72.03,1006.54
20.45,72.88,1012.01
26.8,79.25,1009.94
21.67,87.35,1013.07
25.7,92.02,966.23
25.28,74.67,991.51
30.19,76.63,1003.49
27.14,79.75,1010.1
20.62,83.35,1003.32
20.9,77.6,999.3
24.27,73.38,984.96
25.55,84.87,1012.21
26.05,77.37,1003.72
27.07,88.2,964.17
11.68,77.13,960.94
31.28,76.25,988.48
26.7,88.48,1008.54
20.43,85.98,1011.48
22.13,84.8,1003.02
22.68,84.55,989.76
24.63,93.77,971.47
26.05,86.98,1011.01
34.4,74.32,939.62
19.02,72.85,1012.07
27.25,92.4,892.05
14.6,76.68,980.23
17.89,78.46,985.19
34.01,74.64,925.8
26.82,94.83,998.03
27.87,96.37,966.84
32.65,74.82,1001.03
24.1,92.6,1004.22
34.48,74.24,927.65
17.33,78.41,983.2
23.35,92.83,983.29
27.35,73.1,998.4
30.19,76.51,1003.67
22.36,88.12,1013.28
34.53,76.2,854.68
34.38,74.99,888.66
24.02,87.15,1006.41
34.28,74.44,939.01
33.6,75.02,921.36
28.26,75.37,1000.38
22.25,85.8,988.97
26.52,71.81,999.7
26.77,92.6,1006.05
25.5,83.85,1012.78
13.62,76.42,971.55
22.25,88.67,1013.33
9.17,92.83,1010.7
22.55,85.82,1001.4
24.92,75.58,994.55
