Latitude,Longitude,PTrain_AP1
24.6,72.72,951.03
10.33,79.38,1013.65
23.88,91.25,1015.65
10.85,72.47,1012.32
27.17,78.03,1009.94
13.5,75.1,977.05
23.07,72.63,1011.93
19.08,74.8,977.6
26.45,74.62,989.95
20.7,77.03,999.84
20.7,77.07,998.39
9.55,76.42,1013.13
18.63,72.87,1013.77
27.88,78.07,1009.04
22.28,74.4,998.8
25.45,81.73,1014.39
27.5,76.58,1003.45
30.38,76.77,1003.76
23.17,83.25,983.07
11.12,72.73,1012.42
20.93,77.78,995.62
21.6,71.22,1008.02
31.63,74.87,1005.62
14.68,77.62,993.35
20.83,85.1,1008.54
11.17,79.0,1009.4
13.53,78.5,974.77
19.88,75.33,982.25
19.85,75.4,982.37
22.3,86.93,1014.53
12.99,80.2,1013.94
10.35,79.4,1013.91
30.08,78.72,903.87
18.18,72.99,1013.75
22.03,73.67,1011.84
12.88,80.15,1013.49
17.05,75.78,983.48
24.07,78.06,996.37
16.57,76.47,987.43
24.95,71.53,1011.7
27.14,79.28,1011.43
23.6,72.95,1007.82
22.38,93.15,948.35
16.67,74.9,982.98
24.53,78.72,997.13
26.85,79.08,1011.65
29.96,78.61,941.26
11.47,77.88,997.45
24.77,84.18,1011.69
26.35,75.03,995.52
21.17,73.18,1013.59
8.87,77.5,1006.83
12.89,80.11,1012.85
17.83,80.48,1004.63
17.1,76.22,989.61
17.17,74.53,979.9
10.02,78.78,1010.37
28.75,79.72,1009.24
25.03,86.9,1013.42
26.35,74.12,998.69
28.27,72.85,1007.74
21.38,71.05,1003.57
18.73,76.38,979.0
20.13,73.03,1010.8
22.41,88.3,1017.06
26.67,90.6,1011.05
16.07,75.95,982.33
25.97,93.5,1008.39
14.47,79.72,1010.7
21.98,72.9,1015.04
23.65,91.62,1013.13
24.53,87.57,1012.02
27.54,79.6,1012.0
18.42,83.9,1014.35
29.93,78.53,934.6
16.15,76.38,984.86
25.62,94.53,946.15
23.4,85.52,985.33
8.67,76.77,1013.23
12.02,76.3,975.46
25.09,78.86,1001.71
26.06,78.21,1005.1
29.19,73.21,1009.44
25.05,78.86,1001.7
13.53,80.07,1013.57
28.47,95.52,908.11
15.68,78.97,1000.98
17.75,74.05,978.07
9.87,76.35,1013.28
24.23,87.28,1009.22
24.48,76.33,998.93
28.57,74.51,1005.19
23.05,72.97,1010.89
24.57,78.88,999.04
17.23,76.48,990.67
11.08,76.58,979.64
12.05,78.78,996.99
19.88,75.33,983.09
27.24,79.89,1012.21
9.97,76.25,1013.23
33.12,75.32,926.15
16.7,75.25,984.23
22.98,88.37,1016.2
22.63,77.98,998.66
27.57,81.6,1013.19
18.58,81.23,951.71
21.52,86.93,1016.15
13.37,75.45,964.58
25.75,84.17,1015.26
25.22,88.78,1015.09
25.47,80.37,1012.66
12.97,77.58,962.18
12.95,77.63,963.43
33.5,75.17,930.86
23.23,87.07,1011.11
23.55,74.45,1002.82
15.9,80.47,1014.61
18.15,74.58,983.09
28.37,79.4,1009.71
21.93,86.77,1014.04
25.75,71.38,1003.72
22.3,73.25,1013.57
22.33,73.27,1013.34
33.12,75.32,931.88
19.0,75.72,985.42
15.85,74.53,971.53
15.85,74.62,971.86
15.15,76.85,987.93
24.13,88.27,1015.25
21.87,77.93,980.39
25.23,86.95,1013.98
27.22,77.5,1009.29
30.17,74.58,1007.07
21.75,72.18,1014.67
19.92,83.18,1001.26
25.35,74.63,992.54
18.45,73.4,1008.72
23.28,77.35,987.76
20.25,85.83,1014.0
23.25,69.67,1010.49
31.83,77.17,955.93
17.92,77.53,977.68
16.82,75.72,980.49
28.0,73.3,1004.94
31.25,76.67,985.13
20.7,83.5,1005.39
20.6,79.85,1003.59
20.53,76.23,979.21
20.62,72.93,1014.18
20.22,75.42,978.33
21.9,84.03,1004.15
27.13,94.12,1013.12
25.82,86.27,1015.4
27.05,79.85,1011.58
27.78,74.57,1000.36
13.68,77.07,972.64
28.48,76.18,1005.74
22.92,69.17,1014.23
27.52,76.77,1005.48
23.22,88.88,1016.15
16.9,74.37,982.5
24.08,85.87,996.98
30.0,78.59,934.6
23.73,86.32,1007.86
27.0,79.65,1011.95
23.32,88.65,1016.23
23.95,92.08,1009.63
25.58,86.27,1015.14
27.58,81.6,1013.11
30.37,77.87,987.22
22.23,85.32,996.89
24.87,86.45,1008.94
33.22,74.09,977.93
26.3,84.78,1015.39
22.87,88.27,1016.23
24.78,79.02,1001.53
26.22,84.38,1015.44
25.11,75.63,992.96
22.97,75.2,986.62
27.9,79.0,1010.94
19.3,75.47,987.9
17.31,78.48,984.48
22.33,88.3,1017.07
26.25,89.6,1014.72
30.67,76.97,995.42
34.03,74.94,936.5
26.97,77.08,1004.24
29.89,78.61,961.56
25.42,86.32,1015.03
15.25,79.47,1008.43
33.66,74.01,975.81
27.82,93.9,998.53
19.73,85.22,1016.43
34.05,74.75,935.98
26.13,75.87,1001.49
26.33,73.15,1004.08
23.98,85.78,994.2
19.48,83.98,1003.3
28.46,75.64,1003.92
25.62,85.15,1015.09
22.63,88.3,1016.72
23.8,86.35,1005.64
23.28,85.82,1003.94
21.49,70.07,1012.99
30.04,76.53,1005.84
22.65,79.15,984.36
26.72,88.32,1010.43
20.67,86.12,1010.2
22.73,88.66,1016.31
25.77,87.1,1015.39
21.7,87.07,1016.79
26.72,79.9,1012.43
25.5,87.37,1015.16
24.2,78.22,996.41
23.1,80.05,995.35
24.3,85.42,996.22
27.48,82.78,1014.95
25.22,84.42,1013.94
23.05,75.37,987.97
26.32,91.0,1014.68
26.32,82.33,1015.56
23.83,84.12,998.76
23.73,87.02,1010.99
22.35,87.37,1015.97
29.73,76.75,1006.48
26.13,87.47,1014.3
23.6,87.53,1013.78
16.07,75.37,978.04
25.1,76.4,1001.47
34.25,74.55,936.57
26.65,85.58,1015.42
14.48,79.8,1012.63
21.77,72.15,1013.58
30.61,76.1,1005.1
34.38,73.77,945.94
29.07,76.31,1007.16
25.18,85.52,1014.47
19.57,74.65,986.34
23.3,81.67,991.43
22.37,87.42,1016.12
23.17,79.45,998.25
25.15,84.62,1014.03
32.62,74.82,1002.73
33.21,74.43,967.73
26.43,70.58,1004.86
13.0,80.27,1014.39
22.22,88.1,1017.28
25.05,83.62,1014.32
21.32,74.1,1003.7
22.01,88.33,1017.2
24.77,88.03,1015.44
20.48,86.23,1014.45
30.52,76.84,1002.65
29.89,78.66,931.02
24.67,79.16,1001.59
33.68,75.08,932.62
21.93,69.77,1011.25
25.58,72.67,1006.76
22.87,78.22,999.98
29.82,78.72,958.6
26.25,78.25,1008.78
30.56,76.21,1005.06
24.4,83.58,1005.7
30.27,76.03,1005.67
25.65,87.13,1015.65
22.95,88.55,1016.34
32.94,74.39,1002.02
24.07,79.08,993.65
24.18,72.03,1008.58
20.45,72.88,1014.04
26.8,79.25,1011.94
21.67,87.35,1016.93
25.7,92.02,966.49
25.28,74.67,993.66
30.19,76.63,1005.54
27.14,79.75,1012.22
20.62,83.35,1005.64
20.9,77.6,999.89
24.27,73.38,986.64
25.55,84.87,1015.15
26.05,77.37,1005.85
27.07,88.2,965.61
11.68,77.13,964.36
31.28,76.25,989.84
26.7,88.48,1011.65
20.43,85.98,1014.85
22.13,84.8,1005.52
22.68,84.55,992.0
24.63,93.77,971.7
26.05,86.98,1014.17
34.4,74.32,936.95
19.02,72.85,1013.76
27.25,92.4,889.18
14.6,76.68,982.03
17.89,78.46,986.8
34.01,74.64,923.52
26.82,94.83,1000.02
27.87,96.37,968.8
32.65,74.82,1002.52
24.1,92.6,1006.05
34.48,74.24,924.46
17.33,78.41,985.02
23.35,92.83,983.99
27.35,73.1,1000.63
30.19,76.51,1005.71
22.36,88.12,1017.12
34.53,76.2,854.07
34.38,74.99,886.43
24.02,87.15,1009.18
34.28,74.44,936.42
33.6,75.02,919.75
28.26,75.37,1002.65
22.25,85.8,991.09
26.52,71.81,1001.92
26.77,92.6,1008.47
25.5,83.85,1015.48
13.62,76.42,973.99
22.25,88.67,1017.12
