Latitude,Longitude,PTrain_DT2
24.6,72.72,23.61
10.33,79.38,28.0
23.88,91.25,21.55
10.85,72.47,30.18
27.17,78.03,20.63
13.5,75.1,29.64
23.07,72.63,26.09
19.08,74.8,29.86
26.45,74.62,22.84
20.7,77.03,29.02
20.7,77.07,28.97
9.55,76.42,29.08
18.63,72.87,28.05
27.88,78.07,19.79
22.28,74.4,27.44
25.45,81.73,21.44
27.5,76.58,20.8
30.38,76.77,18.0
23.17,83.25,23.28
11.12,72.73,30.05
20.93,77.78,28.21
21.6,71.22,28.22
31.63,74.87,17.75
14.68,77.62,30.99
20.83,85.1,25.1
11.17,79.0,29.19
13.53,78.5,29.23
19.88,75.33,29.68
19.85,75.4,29.7
22.3,86.93,23.17
12.99,80.2,27.54
10.35,79.4,28.01
30.08,78.72,15.24
18.18,72.99,28.25
22.03,73.67,26.8
12.88,80.15,27.61
17.05,75.78,31.05
24.07,78.06,24.59
16.57,76.47,31.21
24.95,71.53,25.73
27.14,79.28,20.11
23.6,72.95,26.28
22.38,93.15,19.08
16.67,74.9,30.84
24.53,78.72,23.57
26.85,79.08,20.54
29.96,78.61,16.76
11.47,77.88,30.57
24.77,84.18,22.13
26.35,75.03,22.95
21.17,73.18,26.94
8.87,77.5,29.14
12.89,80.11,27.69
17.83,80.48,28.65
17.1,76.22,31.25
17.17,74.53,30.5
10.02,78.78,28.72
28.75,79.72,18.37
25.03,86.9,21.38
26.35,74.12,23.38
28.27,72.85,21.21
21.38,71.05,28.47
18.73,76.38,30.02
20.13,73.03,27.76
22.41,88.3,22.27
26.67,90.6,18.76
16.07,75.95,31.06
25.97,93.5,19.33
14.47,79.72,28.1
21.98,72.9,25.84
23.65,91.62,21.56
24.53,87.57,21.75
27.54,79.6,19.54
18.42,83.9,25.46
29.93,78.53,16.59
16.15,76.38,31.15
25.62,94.53,16.05
23.4,85.52,22.51
8.67,76.77,28.93
12.02,76.3,29.52
25.09,78.86,22.83
26.06,78.21,21.96
29.19,73.21,20.0
25.05,78.86,22.88
13.53,80.07,27.73
28.47,95.52,13.4
15.68,78.97,29.21
17.75,74.05,30.0
9.87,76.35,29.05
24.23,87.28,22.02
24.48,76.33,25.09
28.57,74.51,20.26
23.05,72.97,26.06
24.57,78.88,23.44
17.23,76.48,31.2
11.08,76.58,29.31
12.05,78.78,29.34
19.88,75.33,29.71
27.24,79.89,19.72
9.97,76.25,28.91
33.12,75.32,13.54
16.7,75.25,31.05
22.98,88.37,22.4
22.63,77.98,26.44
27.57,81.6,18.96
18.58,81.23,25.29
21.52,86.93,22.94
