Latitude,Longitude,PTrain_DT2
24.6,72.72,26.19
10.33,79.38,28.81
23.88,91.25,25.21
10.85,72.47,30.09
27.17,78.03,24.2
13.5,75.1,30.69
23.07,72.63,28.42
19.08,74.8,32.09
26.45,74.62,25.95
20.7,77.03,31.9
20.7,77.07,31.85
9.55,76.42,29.79
18.63,72.87,28.57
27.88,78.07,23.4
22.28,74.4,29.95
25.45,81.73,24.98
27.5,76.58,24.24
30.38,76.77,21.26
23.17,83.25,26.53
11.12,72.73,30.0
20.93,77.78,31.18
21.6,71.22,29.83
31.63,74.87,20.59
14.68,77.62,34.05
20.83,85.1,28.26
11.17,79.0,31.31
13.53,78.5,32.03
19.88,75.33,32.19
19.85,75.4,32.22
22.3,86.93,26.49
12.99,80.2,28.52
10.35,79.4,28.83
30.08,78.72,17.49
18.18,72.99,28.7
22.03,73.67,28.94
12.88,80.15,28.63
17.05,75.78,33.63
24.07,78.06,27.74
16.57,76.47,34.03
24.95,71.53,28.64
27.14,79.28,23.82
23.6,72.95,28.94
22.38,93.15,22.36
16.67,74.9,32.89
24.53,78.72,26.87
26.85,79.08,24.21
29.96,78.61,19.57
11.47,77.88,33.72
24.77,84.18,25.52
26.35,75.03,26.11
21.17,73.18,28.51
8.87,77.5,30.43
12.89,80.11,28.79
17.83,80.48,31.55
17.1,76.22,34.01
17.17,74.53,32.35
10.02,78.78,30.16
28.75,79.72,21.96
25.03,86.9,24.99
26.35,74.12,26.52
28.27,72.85,24.57
21.38,71.05,29.93
18.73,76.38,32.75
20.13,73.03,28.94
22.41,88.3,25.41
26.67,90.6,22.08
16.07,75.95,33.65
25.97,93.5,22.41
14.47,79.72,29.68
21.98,72.9,27.52
23.65,91.62,25.15
24.53,87.57,25.45
27.54,79.6,23.27
18.42,83.9,27.45
29.93,78.53,19.32
16.15,76.38,33.91
25.62,94.53,18.68
23.4,85.52,26.04
8.67,76.77,29.5
12.02,76.3,31.28
25.09,78.86,26.24
26.06,78.21,25.41
29.19,73.21,23.45
25.05,78.86,26.28
13.53,80.07,28.94
28.47,95.52,15.08
15.68,78.97,31.61
17.75,74.05,31.57
9.87,76.35,29.7
24.23,87.28,25.73
24.48,76.33,28.16
28.57,74.51,23.7
23.05,72.97,28.43
24.57,78.88,26.79
17.23,76.48,34.03
11.08,76.58,30.93
12.05,78.78,31.71
19.88,75.33,32.22
27.24,79.89,23.49
9.97,76.25,29.37
33.12,75.32,15.55
16.7,75.25,33.35
22.98,88.37,25.89
22.63,77.98,29.5
27.57,81.6,22.65
18.58,81.23,28.33
21.52,86.93,25.73
13.37,75.45,31.03
25.75,84.17,24.21
25.22,88.78,24.46
25.47,80.37,25.23
12.97,77.58,32.23
12.95,77.63,32.32
33.5,75.17,15.13
23.23,87.07,26.36
23.55,74.45,29.31
15.9,80.47,28.09
18.15,74.58,32.49
28.37,79.4,22.47
21.93,86.77,26.29
25.75,71.38,28.14
22.3,73.25,27.8
22.33,73.27,27.84
33.12,75.32,15.89
19.0,75.72,32.89
15.85,74.53,31.56
15.85,74.62,31.73
15.15,76.85,34.09
24.13,88.27,25.72
21.87,77.93,29.53
25.23,86.95,24.73
27.22,77.5,24.32
