Latitude,Longitude,PTrain_DT2
24.6,72.72,31.22
10.33,79.38,30.04
23.88,91.25,29.61
10.85,72.47,30.41
27.17,78.03,30.64
13.5,75.1,32.28
23.07,72.63,31.8
19.08,74.8,35.3
26.45,74.62,32.02
20.7,77.03,36.74
20.7,77.07,36.68
9.55,76.42,30.75
18.63,72.87,29.56
27.88,78.07,29.69
22.28,74.4,33.92
25.45,81.73,31.57
27.5,76.58,30.53
30.38,76.77,26.64
23.17,83.25,32.23
11.12,72.73,30.35
20.93,77.78,36.28
21.6,71.22,32.3
31.63,74.87,25.54
14.68,77.62,36.99
20.83,85.1,32.26
11.17,79.0,33.2
13.53,78.5,34.78
19.88,75.33,35.97
19.85,75.4,36.02
22.3,86.93,30.48
12.99,80.2,29.9
10.35,79.4,30.06
30.08,78.72,21.57
18.18,72.99,29.61
22.03,73.67,32.02
12.88,80.15,30.03
17.05,75.78,36.72
24.07,78.06,33.74
16.57,76.47,37.26
24.95,71.53,33.62
27.14,79.28,30.29
23.6,72.95,33.1
22.38,93.15,26.77
16.67,74.9,35.38
24.53,78.72,33.03
26.85,79.08,30.72
29.96,78.61,24.12
11.47,77.88,36.11
24.77,84.18,31.81
26.35,75.03,32.28
21.17,73.18,30.74
8.87,77.5,31.76
12.89,80.11,30.24
17.83,80.48,35.02
17.1,76.22,37.33
17.17,74.53,34.78
10.02,78.78,31.66
28.75,79.72,28.02
25.03,86.9,30.99
26.35,74.12,32.66
28.27,72.85,30.72
21.38,71.05,32.25
18.73,76.38,36.57
20.13,73.03,30.73
22.41,88.3,28.83
26.67,90.6,27.82
16.07,75.95,36.5
25.97,93.5,27.46
14.47,79.72,31.5
21.98,72.9,29.81
23.65,91.62,29.34
24.53,87.57,31.09
27.54,79.6,29.69
18.42,83.9,29.73
29.93,78.53,23.77
16.15,76.38,36.96
25.62,94.53,22.94
23.4,85.52,31.6
8.67,76.77,30.4
12.02,76.3,33.22
25.09,78.86,32.56
26.06,78.21,31.82
29.19,73.21,29.37
25.05,78.86,32.61
13.53,80.07,30.46
28.47,95.52,17.48
15.68,78.97,34.22
17.75,74.05,33.85
9.87,76.35,30.66
24.23,87.28,31.26
