Latitude,Longitude,PTrain_DT2
24.6,72.72,35.17
10.33,79.38,30.79
23.88,91.25,31.48
10.85,72.47,29.99
27.17,78.03,37.1
13.5,75.1,31.72
23.07,72.63,34.4
19.08,74.8,37.16
26.45,74.62,37.55
20.7,77.03,40.06
20.7,77.07,40.02
9.55,76.42,30.88
18.63,72.87,30.47
27.88,78.07,36.46
22.28,74.4,36.82
25.45,81.73,37.28
27.5,76.58,36.96
30.38,76.77,34.17
23.17,83.25,37.0
11.12,72.73,30.05
20.93,77.78,39.83
21.6,71.22,34.15
31.63,74.87,33.3
14.68,77.62,38.37
20.83,85.1,35.1
11.17,79.0,34.18
13.53,78.5,35.7
19.88,75.33,38.49
19.85,75.4,38.56
22.3,86.93,32.77
12.99,80.2,31.17
10.35,79.4,30.84
30.08,78.72,26.79
18.18,72.99,30.46
22.03,73.67,34.37
12.88,80.15,31.29
17.05,75.78,38.34
24.07,78.06,38.74
16.57,76.47,38.91
24.95,71.53,37.58
27.14,79.28,36.83
23.6,72.95,36.29
22.38,93.15,28.3
16.67,74.9,36.43
24.53,78.72,38.36
26.85,79.08,37.14
29.96,78.61,30.43
11.47,77.88,36.7
24.77,84.18,36.82
26.35,75.03,37.85
21.17,73.18,32.5
8.87,77.5,31.64
12.89,80.11,31.49
17.83,80.48,37.65
17.1,76.22,39.11
17.17,74.53,35.74
10.02,78.78,32.25
28.75,79.72,35.01
25.03,86.9,35.19
26.35,74.12,38.11
28.27,72.85,37.17
21.38,71.05,33.91
18.73,76.38,38.98
20.13,73.03,32.11
22.41,88.3,30.29
26.67,90.6,31.72
16.07,75.95,37.8
25.97,93.5,30.6
14.47,79.72,32.98
21.98,72.9,31.62
23.65,91.62,30.93
24.53,87.57,34.8
27.54,79.6,36.38
18.42,83.9,31.51
29.93,78.53,29.86
16.15,76.38,38.45
25.62,94.53,25.88
23.4,85.52,35.66
8.67,76.77,30.34
12.02,76.3,32.77
25.09,78.86,38.18
26.06,78.21,37.79
29.19,73.21,36.41
25.05,78.86,38.21
13.53,80.07,31.83
28.47,95.52,19.2
15.68,78.97,35.97
17.75,74.05,34.63
9.87,76.35,30.86
24.23,87.28,34.87
24.48,76.33,38.87
28.57,74.51,36.57
23.05,72.97,34.53
24.57,78.88,38.39
17.23,76.48,39.38
11.08,76.58,32.11
12.05,78.78,34.77
19.88,75.33,38.53
27.24,79.89,36.56
9.97,76.25,30.41
33.12,75.32,26.37
16.7,75.25,37.34
22.98,88.37,32.15
22.63,77.98,39.5
27.57,81.6,35.47
18.58,81.23,34.96
21.52,86.93,30.25
13.37,75.45,32.35
25.75,84.17,36.02
25.22,88.78,34.14
25.47,80.37,37.84
12.97,77.58,35.42
12.95,77.63,35.53
33.5,75.17,26.22
23.23,87.07,34.07
23.55,74.45,37.74
15.9,80.47,31.15
18.15,74.58,36.7
28.37,79.4,35.58
21.93,86.77,31.91
25.75,71.38,38.23
22.3,73.25,32.58
22.33,73.27,32.7
33.12,75.32,26.85
19.0,75.72,38.87
15.85,74.53,33.72
15.85,74.62,34.04
15.15,76.85,38.3
24.13,88.27,34.18
21.87,77.93,38.68
25.23,86.95,35.08
27.22,77.5,37.16
30.17,74.58,35.17
21.75,72.18,31.07
19.92,83.18,36.94
25.35,74.63,38.3
18.45,73.4,32.42
23.28,77.35,38.81
20.25,85.83,32.14
23.25,69.67,32.82
31.83,77.17,29.89
17.92,77.53,38.82
16.82,75.72,38.0
28.0,73.3,37.26
31.25,76.67,32.51
20.7,83.5,37.3
20.6,79.85,39.88
20.53,76.23,38.93
20.62,72.93,30.87
20.22,75.42,38.39
21.9,84.03,37.75
27.13,94.12,28.49
25.82,86.27,35.02
27.05,79.85,36.74
27.78,74.57,37.03
13.68,77.07,36.62
28.48,76.18,36.3
22.92,69.17,30.89
27.52,76.77,36.97
23.22,88.88,32.84
16.9,74.37,35.14
24.08,85.87,35.93
30.0,78.59,29.81
23.73,86.32,35.61
27.0,79.65,36.85
23.32,88.65,33.03
23.95,92.08,31.56
25.58,86.27,35.23
27.58,81.6,35.46
