Latitude,Longitude,PTrain_DT2
24.6,72.72,36.78
10.33,79.38,31.24
23.88,91.25,30.67
10.85,72.47,29.01
27.17,78.03,39.82
13.5,75.1,29.46
23.07,72.63,35.93
19.08,74.8,37.04
26.45,74.62,40.33
20.7,77.03,41.65
20.7,77.07,41.59
9.55,76.42,30.7
18.63,72.87,31.46
27.88,78.07,39.37
22.28,74.4,38.03
25.45,81.73,39.41
27.5,76.58,39.92
30.38,76.77,37.94
23.17,83.25,38.43
11.12,72.73,29.19
20.93,77.78,41.46
21.6,71.22,35.2
31.63,74.87,37.47
14.68,77.62,38.12
20.83,85.1,36.04
11.17,79.0,34.19
13.53,78.5,34.31
19.88,75.33,39.05
19.85,75.4,39.13
22.3,86.93,33.48
12.99,80.2,32.11
10.35,79.4,31.31
30.08,78.72,30.03
18.18,72.99,31.39
22.03,73.67,35.88
12.88,80.15,32.17
17.05,75.78,38.11
24.07,78.06,40.96
16.57,76.47,38.88
24.95,71.53,39.54
27.14,79.28,39.46
23.6,72.95,37.85
22.38,93.15,27.66
16.67,74.9,35.66
24.53,78.72,40.67
26.85,79.08,39.71
29.96,78.61,34.03
11.47,77.88,35.81
24.77,84.18,37.96
26.35,75.03,40.52
21.17,73.18,33.93
8.87,77.5,30.95
12.89,80.11,32.31
17.83,80.48,38.69
17.1,76.22,39.3
17.17,74.53,34.86
10.02,78.78,32.2
28.75,79.72,37.98
25.03,86.9,35.2
26.35,74.12,40.72
28.27,72.85,40.42
21.38,71.05,34.64
18.73,76.38,39.44
20.13,73.03,33.21
22.41,88.3,31.01
26.67,90.6,31.08
16.07,75.95,37.18
25.97,93.5,29.41
14.47,79.72,33.82
21.98,72.9,33.15
23.65,91.62,30.15
24.53,87.57,34.64
27.54,79.6,39.04
18.42,83.9,33.1
29.93,78.53,33.44
16.15,76.38,38.11
25.62,94.53,26.6
23.4,85.52,36.25
8.67,76.77,30.18
12.02,76.3,30.39
25.09,78.86,40.56
26.06,78.21,40.33
29.19,73.21,39.92
25.05,78.86,40.58
13.53,80.07,32.79
28.47,95.52,22.82
15.68,78.97,36.33
17.75,74.05,33.68
9.87,76.35,30.72
24.23,87.28,34.85
24.48,76.33,40.97
28.57,74.51,39.92
23.05,72.97,36.04
24.57,78.88,40.68
