Latitude,Longitude,PTrain_DT2
24.6,72.72,33.44
10.33,79.38,30.38
23.88,91.25,29.71
10.85,72.47,27.07
27.17,78.03,38.62
13.5,75.1,25.63
23.07,72.63,34.53
19.08,74.8,31.85
26.45,74.62,38.69
20.7,77.03,36.3
20.7,77.07,36.19
9.55,76.42,29.41
18.63,72.87,29.69
27.88,78.07,38.63
22.28,74.4,34.8
25.45,81.73,36.82
27.5,76.58,39.15
30.38,76.77,38.26
23.17,83.25,33.87
11.12,72.73,27.3
20.93,77.78,35.93
21.6,71.22,32.84
31.63,74.87,38.02
14.68,77.62,34.05
20.83,85.1,33.2
11.17,79.0,32.67
13.53,78.5,30.48
19.88,75.33,33.71
19.85,75.4,33.77
22.3,86.93,32.05
12.99,80.2,31.14
10.35,79.4,30.46
30.08,78.72,29.8
18.18,72.99,29.56
22.03,73.67,33.97
12.88,80.15,31.15
17.05,75.78,32.91
24.07,78.06,36.96
16.57,76.47,33.79
24.95,71.53,38.3
27.14,79.28,37.94
23.6,72.95,35.94
22.38,93.15,24.77
16.67,74.9,30.9
24.53,78.72,36.95
26.85,79.08,38.06
29.96,78.61,33.36
11.47,77.88,33.38
24.77,84.18,35.08
26.35,75.03,38.85
21.17,73.18,32.3
8.87,77.5,29.44
12.89,80.11,31.21
17.83,80.48,34.76
17.1,76.22,34.11
17.17,74.53,30.05
10.02,78.78,30.98
28.75,79.72,37.03
25.03,86.9,33.19
26.35,74.12,39.27
28.27,72.85,41.09
21.38,71.05,32.01
18.73,76.38,33.69
20.13,73.03,31.18
22.41,88.3,30.61
26.67,90.6,30.41
16.07,75.95,32.27
25.97,93.5,28.07
14.47,79.72,32.06
21.98,72.9,32.18
23.65,91.62,29.22
24.53,87.57,32.62
27.54,79.6,37.69
18.42,83.9,31.78
29.93,78.53,32.84
16.15,76.38,33.16
25.62,94.53,25.02
23.4,85.52,32.57
8.67,76.77,28.92
12.02,76.3,26.89
25.09,78.86,37.35
26.06,78.21,38.08
29.19,73.21,41.15
25.05,78.86,37.33
13.53,80.07,31.6
28.47,95.52,24.68
15.68,78.97,33.05
17.75,74.05,29.0
9.87,76.35,29.42
24.23,87.28,32.66
24.48,76.33,37.68
28.57,74.51,40.38
23.05,72.97,34.54
24.57,78.88,37.02
17.23,76.48,34.47
11.08,76.58,26.67
12.05,78.78,31.59
19.88,75.33,33.79
27.24,79.89,37.52
9.97,76.25,28.99
33.12,75.32,31.32
16.7,75.25,31.91
22.98,88.37,31.38
22.63,77.98,36.63
27.57,81.6,37.05
18.58,81.23,29.75
21.52,86.93,30.87
13.37,75.45,25.46
25.75,84.17,35.37
25.22,88.78,31.9
25.47,80.37,37.2
12.97,77.58,29.72
12.95,77.63,29.9
33.5,75.17,31.28
23.23,87.07,32.44
23.55,74.45,36.58
15.9,80.47,31.41
18.15,74.58,31.47
28.37,79.4,37.55
21.93,86.77,31.62
25.75,71.38,39.22
22.3,73.25,32.95
22.33,73.27,33.03
33.12,75.32,31.71
19.0,75.72,33.93
15.85,74.53,27.23
15.85,74.62,27.58
15.15,76.85,33.36
24.13,88.27,32.15
21.87,77.93,34.95
25.23,86.95,33.19
27.22,77.5,38.87
30.17,74.58,39.96
21.75,72.18,31.48
19.92,83.18,33.96
25.35,74.63,38.06
18.45,73.4,30.59
23.28,77.35,36.22
20.25,85.83,31.89
23.25,69.67,32.96
31.83,77.17,33.82
17.92,77.53,33.48
16.82,75.72,32.35
28.0,73.3,40.71
31.25,76.67,36.61
20.7,83.5,34.44
20.6,79.85,36.12
20.53,76.23,34.32
20.62,72.93,30.86
20.22,75.42,33.57
21.9,84.03,34.55
27.13,94.12,28.2
25.82,86.27,33.77
27.05,79.85,37.56
27.78,74.57,39.96
13.68,77.07,30.98
28.48,76.18,39.59
22.92,69.17,31.47
27.52,76.77,39.15
23.22,88.88,31.42
16.9,74.37,29.64
24.08,85.87,33.23
30.0,78.59,32.77
23.73,86.32,33.25
27.0,79.65,37.71
23.32,88.65,31.61
23.95,92.08,29.01
25.58,86.27,33.74
27.58,81.6,37.05
30.37,77.87,36.73
22.23,85.32,32.94
24.87,86.45,33.39
33.22,74.09,35.71
26.3,84.78,35.03
22.87,88.27,31.27
24.78,79.02,37.18
26.22,84.38,35.32
25.11,75.63,37.79
22.97,75.2,35.49
27.9,79.0,38.05
19.3,75.47,34.02
17.31,78.48,33.49
22.33,88.3,30.48
26.25,89.6,31.22
30.67,76.97,37.51
34.03,74.94,31.62
26.97,77.08,38.81
29.89,78.61,34.99
25.42,86.32,33.69
15.25,79.47,32.33
33.66,74.01,35.73
27.82,93.9,28.57
19.73,85.22,31.65
34.05,74.75,31.71
26.13,75.87,38.79
26.33,73.15,39.75
23.98,85.78,33.12
19.48,83.98,32.42
28.46,75.64,39.8
25.62,85.15,34.59
22.63,88.3,30.95
23.8,86.35,33.15
23.28,85.82,33.34
21.49,70.07,31.18
30.04,76.53,38.8
22.65,79.15,35.24
26.72,88.32,32.36
20.67,86.12,31.85
22.73,88.66,31.04
25.77,87.1,33.14
21.7,87.07,30.98
26.72,79.9,37.56
25.5,87.37,32.92
24.2,78.22,36.96
23.1,80.05,35.94
24.3,85.42,33.54
27.48,82.78,36.68
25.22,84.42,35.05
23.05,75.37,35.79
26.32,91.0,30.08
26.32,82.33,36.73
23.83,84.12,34.45
23.73,87.02,32.75
22.35,87.37,31.65
29.73,76.75,38.88
26.13,87.47,32.9
23.6,87.53,32.35
16.07,75.37,30.64
25.1,76.4,38.12
34.25,74.55,32.2
26.65,85.58,34.49
14.48,79.8,32.05
21.77,72.15,32.36
30.61,76.1,38.56
34.38,73.77,33.4
29.07,76.31,39.49
25.18,85.52,34.25
19.57,74.65,32.82
23.3,81.67,35.2
22.37,87.42,31.57
23.17,79.45,36.26
25.15,84.62,34.9
32.62,74.82,36.11
33.21,74.43,34.89
26.43,70.58,39.93
13.0,80.27,30.96
22.22,88.1,30.25
25.05,83.62,35.57
21.32,74.1,34.12
22.01,88.33,30.34
24.77,88.03,32.42
20.48,86.23,31.7
30.52,76.84,38.02
29.89,78.66,32.45
24.67,79.16,37.09
33.68,75.08,31.22
21.93,69.77,31.68
25.58,72.67,39.24
22.87,78.22,36.72
29.82,78.72,34.74
26.25,78.25,38.26
30.56,76.21,38.53
24.4,83.58,35.2
30.27,76.03,38.96
25.65,87.13,33.11
22.95,88.55,31.32
32.94,74.39,36.59
24.07,79.08,36.45
24.18,72.03,37.24
20.45,72.88,30.75
26.8,79.25,37.96
21.67,87.35,30.7
25.7,92.02,27.48
25.28,74.67,38.07
30.19,76.63,38.59
27.14,79.75,37.64
20.62,83.35,34.56
20.9,77.6,36.29
24.27,73.38,36.22
25.55,84.87,34.79
26.05,77.37,38.43
27.07,88.2,30.72
11.68,77.13,27.34
31.28,76.25,37.1
26.7,88.48,32.27
20.43,85.98,32.13
22.13,84.8,33.99
22.68,84.55,33.53
24.63,93.77,26.48
26.05,86.98,33.25
34.4,74.32,32.3
19.02,72.85,29.92
27.25,92.4,22.83
14.6,76.68,32.08
17.89,78.46,34.18
34.01,74.64,31.07
26.82,94.83,27.63
27.87,96.37,27.51
32.65,74.82,36.04
24.1,92.6,28.63
34.48,74.24,31.49
17.33,78.41,33.61
23.35,92.83,27.3
27.35,73.1,40.3
30.19,76.51,38.68
22.36,88.12,30.51
34.53,76.2,25.6
34.38,74.99,28.27
24.02,87.15,32.69
34.28,74.44,32.27
33.6,75.02,30.55
28.26,75.37,39.85
22.25,85.8,31.97
26.52,71.81,40.02
26.77,92.6,28.84
25.5,83.85,35.54
13.62,76.42,29.81
22.25,88.67,30.3
9.17,92.83,29.07
22.55,85.82,32.96
24.92,75.58,37.9
22.03,82.7,35.27
20.78,86.73,31.01
19.97,79.3,36.26
26.2,92.52,28.85
25.78,84.73,34.94
13.0,80.18,31.14
13.07,80.25,31.01
25.25,91.73,25.96
22.1,79.0,34.54
13.25,75.75,25.29
14.23,76.43,30.07
24.88,74.63,37.69
24.65,83.1,35.3
28.25,74.92,40.02
11.0,76.97,29.7
11.03,77.05,30.07
21.78,87.75,30.51
26.33,89.47,31.34
11.77,79.77,30.69
14.48,78.83,33.91
20.47,85.93,32.28
20.22,73.05,31.33
22.52,88.78,30.69
25.68,85.35,34.45
26.84,79.53,37.8
11.15,75.82,29.11
17.31,78.87,34.19
26.92,79.21,37.99
30.4,74.9,39.61
29.66,77.45,38.37
22.97,86.05,32.93
22.15,70.58,32.52
29.39,76.99,38.94
24.04,79.1,36.38
30.73,76.79,37.76
28.43,75.51,39.87
27.72,96.23,28.28
26.57,94.7,27.23
24.05,86.9,32.76
25.88,87.13,33.13
28.16,75.46,39.71
25.68,93.23,28.02
21.43,71.22,32.18
25.3,93.72,25.05
28.68,73.12,41.13
24.88,78.97,37.32
11.83,76.07,25.5
27.22,93.12,27.21
28.78,96.27,24.25
22.22,78.43,34.42
25.68,94.3,24.3
24.47,86.25,32.99
29.98,77.1,38.4
24.79,79.08,37.16
24.52,84.95,34.44
20.68,86.85,30.86
28.75,73.99,40.68
25.07,75.5,37.67
26.22,87.02,33.26
28.67,96.15,25.93
11.4,79.7,30.87
17.6,78.75,33.82
21.52,73.65,32.9
16.45,74.33,29.08
25.17,82.53,36.34
15.58,79.88,31.94
26.63,94.92,27.11
19.07,79.07,36.33
22.12,77.5,35.62
24.05,86.15,33.05
23.18,76.97,36.38
27.93,79.28,37.83
17.56,78.22,34.06
10.97,77.28,31.28
17.29,78.03,33.18
27.12,79.41,37.85
10.7,76.75,30.98
17.23,79.13,34.28
23.67,76.23,36.88
24.45,85.17,34.21
18.72,72.9,29.58
12.5,76.3,27.4
26.5,75.67,39.03
21.1,85.33,33.25
21.7,79.68,35.71
22.12,76.9,36.79
30.69,76.09,38.48
26.72,94.23,27.93
25.27,87.22,33.03
13.63,74.7,28.95
20.5,85.83,32.44
19.97,72.72,30.35
32.53,75.97,30.33
24.05,84.07,34.82
23.83,79.45,36.47
26.17,85.9,34.12
27.05,88.27,25.1
25.67,78.47,37.89
24.2,72.2,37.18
30.32,78.03,36.22
24.92,84.18,35.11
16.38,73.35,28.81
23.78,86.43,32.92
22.6,75.3,35.01
12.13,78.03,32.38
32.27,76.38,33.43
26.67,77.83,38.58
26.02,89.98,30.89
26.15,89.92,30.94
22.18,88.2,30.18
27.48,95.02,28.18
21.83,87.78,30.53
20.72,70.92,30.16
22.83,74.27,34.98
17.72,83.3,30.58
24.27,87.25,32.66
23.83,73.67,36.35
21.18,81.28,35.58
23.48,87.32,32.41
22.37,69.08,30.84
26.12,92.87,28.59
29.9,78.55,34.62
32.86,74.9,35.44
17.91,78.01,34.39
24.48,71.73,37.56
30.27,80.52,19.81
32.58,74.93,36.11
26.91,79.6,37.75
26.1,90.78,30.24
24.93,92.77,28.76
24.03,84.07,34.83
20.42,72.85,30.71
26.31,79.3,37.87
30.22,74.17,40.18
