Latitude,Longitude,PTrain_DT2
24.6,72.72,28.05
10.33,79.38,30.09
23.88,91.25,29.02
10.85,72.47,27.3
27.17,78.03,33.49
13.5,75.1,24.95
23.07,72.63,31.19
19.08,74.8,28.03
26.45,74.62,33.32
20.7,77.03,30.82
20.7,77.07,30.72
9.55,76.42,29.34
18.63,72.87,28.04
27.88,78.07,33.74
22.28,74.4,30.33
25.45,81.73,31.57
27.5,76.58,34.13
30.38,76.77,34.54
23.17,83.25,28.9
11.12,72.73,27.47
20.93,77.78,30.43
21.6,71.22,29.55
31.63,74.87,35.31
14.68,77.62,31.64
20.83,85.1,29.94
11.17,79.0,31.64
13.53,78.5,29.06
19.88,75.33,29.16
19.85,75.4,29.21
22.3,86.93,29.91
12.99,80.2,30.34
10.35,79.4,30.17
30.08,78.72,25.27
18.18,72.99,28.0
22.03,73.67,30.57
12.88,80.15,30.34
17.05,75.78,29.63
24.07,78.06,30.98
16.57,76.47,30.59
24.95,71.53,34.08
27.14,79.28,32.78
23.6,72.95,31.86
22.38,93.15,23.76
16.67,74.9,28.19
24.53,78.72,30.94
26.85,79.08,32.79
29.96,78.61,28.35
11.47,77.88,32.29
24.77,84.18,30.86
26.35,75.03,33.57
21.17,73.18,29.63
8.87,77.5,29.23
12.89,80.11,30.35
17.83,80.48,30.99
17.1,76.22,30.56
17.17,74.53,27.35
10.02,78.78,30.48
28.75,79.72,32.76
25.03,86.9,30.58
26.35,74.12,34.18
28.27,72.85,37.01
21.38,71.05,28.81
18.73,76.38,29.56
20.13,73.03,28.73
22.41,88.3,29.53
26.67,90.6,29.77
16.07,75.95,29.55
25.97,93.5,28.0
14.47,79.72,30.48
21.98,72.9,29.86
23.65,91.62,28.62
24.53,87.57,30.2
27.54,79.6,32.76
18.42,83.9,29.88
29.93,78.53,27.81
16.15,76.38,30.27
25.62,94.53,24.17
23.4,85.52,28.67
8.67,76.77,29.0
12.02,76.3,26.27
25.09,78.86,31.42
26.06,78.21,32.46
29.19,73.21,37.41
25.05,78.86,31.4
13.53,80.07,30.52
28.47,95.52,23.84
15.68,78.97,30.47
17.75,74.05,26.4
9.87,76.35,29.34
24.23,87.28,30.04
24.48,76.33,32.07
28.57,74.51,36.01
23.05,72.97,31.13
24.57,78.88,31.01
17.23,76.48,30.8
11.08,76.58,26.25
12.05,78.78,30.41
19.88,75.33,29.22
27.24,79.89,32.49
9.97,76.25,28.99
33.12,75.32,28.3
16.7,75.25,28.96
22.98,88.37,29.79
22.63,77.98,30.71
27.57,81.6,32.43
18.58,81.23,26.69
21.52,86.93,29.53
13.37,75.45,24.65
25.75,84.17,31.41
25.22,88.78,30.07
25.47,80.37,31.6
12.97,77.58,28.91
12.95,77.63,29.09
33.5,75.17,28.68
23.23,87.07,29.95
23.55,74.45,31.8
15.9,80.47,29.99
18.15,74.58,28.11
28.37,79.4,32.98
21.93,86.77,29.72
25.75,71.38,34.61
22.3,73.25,30.26
22.33,73.27,30.3
33.12,75.32,28.69
19.0,75.72,29.61
15.85,74.53,25.53
15.85,74.62,25.8
15.15,76.85,30.9
24.13,88.27,30.1
21.87,77.93,29.42
25.23,86.95,30.65
27.22,77.5,33.82
30.17,74.58,36.32
21.75,72.18,29.38
19.92,83.18,30.02
25.35,74.63,32.67
18.45,73.4,28.32
23.28,77.35,30.37
20.25,85.83,29.75
23.25,69.67,30.31
31.83,77.17,30.04
17.92,77.53,29.85
16.82,75.72,29.29
28.0,73.3,36.26
31.25,76.67,32.86
20.7,83.5,30.27
20.6,79.85,30.72
20.53,76.23,29.36
20.62,72.93,28.83
20.22,75.42,28.93
21.9,84.03,30.09
27.13,94.12,28.73
25.82,86.27,31.08
27.05,79.85,32.41
27.78,74.57,35.17
13.68,77.07,29.67
28.48,76.18,35.02
22.92,69.17,29.61
27.52,76.77,34.17
23.22,88.88,29.73
16.9,74.37,27.17
24.08,85.87,29.51
30.0,78.59,27.8
23.73,86.32,30.07
27.0,79.65,32.53
23.32,88.65,29.84
23.95,92.08,28.27
25.58,86.27,30.98
27.58,81.6,32.43
30.37,77.87,32.51
22.23,85.32,29.27
24.87,86.45,30.37
33.22,74.09,33.1
26.3,84.78,31.6
22.87,88.27,29.76
24.78,79.02,31.19
26.22,84.38,31.63
25.11,75.63,32.24
22.97,75.2,30.25
27.9,79.0,33.22
19.3,75.47,29.6
17.31,78.48,30.0
22.33,88.3,29.48
26.25,89.6,30.17
30.67,76.97,33.68
34.03,74.94,29.28
26.97,77.08,33.58
29.89,78.61,30.06
25.42,86.32,30.92
15.25,79.47,30.36
33.66,74.01,33.29
27.82,93.9,28.58
19.73,85.22,29.83
34.05,74.75,29.32
26.13,75.87,33.51
26.33,73.15,34.9
23.98,85.78,29.33
19.48,83.98,29.49
28.46,75.64,35.21
25.62,85.15,31.21
22.63,88.3,29.66
23.8,86.35,29.93
23.28,85.82,29.83
21.49,70.07,28.89
30.04,76.53,34.95
22.65,79.15,29.47
26.72,88.32,30.51
20.67,86.12,29.49
22.73,88.66,29.61
25.77,87.1,30.84
21.7,87.07,29.63
26.72,79.9,32.3
25.5,87.37,30.67
24.2,78.22,30.97
23.1,80.05,30.04
24.3,85.42,29.6
27.48,82.78,32.44
25.22,84.42,31.09
23.05,75.37,30.46
26.32,91.0,29.66
26.32,82.33,31.98
23.83,84.12,29.88
23.73,87.02,30.11
22.35,87.37,29.86
29.73,76.75,34.87
26.13,87.47,30.79
23.6,87.53,30.12
16.07,75.37,28.19
25.1,76.4,32.6
34.25,74.55,29.64
26.65,85.58,31.62
14.48,79.8,30.55
21.77,72.15,29.74
30.61,76.1,35.05
34.38,73.77,30.79
29.07,76.31,35.2
25.18,85.52,30.96
19.57,74.65,28.73
23.3,81.67,29.62
22.37,87.42,29.84
23.17,79.45,30.3
25.15,84.62,31.04
32.62,74.82,34.23
33.21,74.43,32.02
26.43,70.58,35.73
13.0,80.27,30.24
22.22,88.1,29.42
25.05,83.62,31.17
21.32,74.1,30.05
22.01,88.33,29.37
24.77,88.03,30.3
20.48,86.23,29.68
30.52,76.84,34.36
29.89,78.66,27.45
24.67,79.16,31.09
33.68,75.08,28.83
21.93,69.77,29.16
25.58,72.67,34.46
22.87,78.22,30.77
29.82,78.72,29.75
26.25,78.25,32.79
30.56,76.21,34.99
24.4,83.58,30.48
30.27,76.03,35.25
25.65,87.13,30.81
22.95,88.55,29.74
32.94,74.39,34.82
24.07,79.08,30.4
24.18,72.03,32.85
20.45,72.88,28.73
26.8,79.25,32.68
21.67,87.35,29.51
25.7,92.02,26.06
25.28,74.67,32.7
30.19,76.63,34.82
27.14,79.75,32.54
20.62,83.35,30.34
20.9,77.6,30.72
24.27,73.38,31.11
25.55,84.87,31.22
26.05,77.37,32.98
27.07,88.2,27.72
11.68,77.13,26.73
31.28,76.25,33.48
26.7,88.48,30.51
20.43,85.98,29.88
22.13,84.8,30.02
22.68,84.55,29.24
24.63,93.77,25.4
26.05,86.98,30.91
34.4,74.32,29.79
19.02,72.85,28.17
27.25,92.4,21.95
14.6,76.68,30.08
17.89,78.46,30.29
34.01,74.64,28.55
26.82,94.83,27.6
27.87,96.37,26.77
32.65,74.82,34.19
24.1,92.6,27.82
34.48,74.24,28.96
17.33,78.41,30.09
23.35,92.83,26.12
27.35,73.1,35.52
30.19,76.51,34.93
22.36,88.12,29.52
34.53,76.2,25.36
34.38,74.99,26.6
24.02,87.15,30.02
34.28,74.44,29.69
33.6,75.02,28.05
28.26,75.37,35.19
22.25,85.8,28.64
26.52,71.81,35.35
26.77,92.6,28.84
25.5,83.85,31.38
13.62,76.42,28.47
22.25,88.67,29.36
9.17,92.83,28.77
22.55,85.82,29.66
24.92,75.58,32.43
22.03,82.7,30.23
20.78,86.73,29.55
19.97,79.3,30.99
26.2,92.52,28.83
25.78,84.73,31.34
13.0,80.18,30.31
13.07,80.25,30.24
25.25,91.73,24.41
22.1,79.0,29.06
13.25,75.75,24.44
14.23,76.43,28.49
24.88,74.63,32.34
24.65,83.1,30.28
28.25,74.92,35.38
11.0,76.97,29.03
11.03,77.05,29.36
21.78,87.75,29.42
26.33,89.47,30.23
11.77,79.77,30.18
14.48,78.83,31.58
20.47,85.93,29.94
20.22,73.05,28.87
22.52,88.78,29.49
25.68,85.35,31.22
26.84,79.53,32.55
11.15,75.82,28.97
17.31,78.87,30.55
26.92,79.21,32.76
30.4,74.9,36.12
29.66,77.45,34.26
22.97,86.05,29.63
22.15,70.58,29.45
29.39,76.99,34.78
24.04,79.1,30.33
30.73,76.79,34.19
28.43,75.51,35.31
27.72,96.23,28.44
26.57,94.7,26.84
24.05,86.9,29.86
25.88,87.13,30.86
