Latitude,Longitude,PTrain_DT2
24.6,72.72,26.44
10.33,79.38,29.78
23.88,91.25,29.18
10.85,72.47,27.18
27.17,78.03,32.2
13.5,75.1,24.95
23.07,72.63,30.1
19.08,74.8,27.13
26.45,74.62,31.57
20.7,77.03,29.48
20.7,77.07,29.38
9.55,76.42,29.1
18.63,72.87,27.6
27.88,78.07,32.51
22.28,74.4,29.12
25.45,81.73,30.55
27.5,76.58,32.71
30.38,76.77,33.54
23.17,83.25,28.0
11.12,72.73,27.33
20.93,77.78,29.07
21.6,71.22,28.54
31.63,74.87,34.38
14.68,77.62,31.14
20.83,85.1,29.47
11.17,79.0,31.35
13.53,78.5,28.78
19.88,75.33,28.01
19.85,75.4,28.05
22.3,86.93,29.66
12.99,80.2,29.99
10.35,79.4,29.85
30.08,78.72,24.5
18.18,72.99,27.59
22.03,73.67,29.6
12.88,80.15,29.99
17.05,75.78,28.83
24.07,78.06,29.49
16.57,76.47,29.81
24.95,71.53,32.48
27.14,79.28,31.57
23.6,72.95,30.55
22.38,93.15,23.98
16.67,74.9,27.61
24.53,78.72,29.48
26.85,79.08,31.54
29.96,78.61,27.39
11.47,77.88,32.14
24.77,84.18,30.23
26.35,75.03,31.88
21.17,73.18,28.86
8.87,77.5,29.07
12.89,80.11,30.0
17.83,80.48,30.3
17.1,76.22,29.7
17.17,74.53,26.8
10.02,78.78,30.22
28.75,79.72,31.74
25.03,86.9,30.36
26.35,74.12,32.44
28.27,72.85,35.4
21.38,71.05,27.85
18.73,76.38,28.47
20.13,73.03,28.07
22.41,88.3,29.43
26.67,90.6,30.07
16.07,75.95,28.92
25.97,93.5,28.52
14.47,79.72,30.08
21.98,72.9,29.1
23.65,91.62,28.76
24.53,87.57,30.02
27.54,79.6,31.62
18.42,83.9,29.53
29.93,78.53,26.87
16.15,76.38,29.58
25.62,94.53,24.7
23.4,85.52,28.1
8.67,76.77,28.76
12.02,76.3,26.26
25.09,78.86,30.0
26.06,78.21,31.07
29.19,73.21,35.99
25.05,78.86,29.98
13.53,80.07,30.16
28.47,95.52,24.34
15.68,78.97,29.95
17.75,74.05,25.9
9.87,76.35,29.09
24.23,87.28,29.79
24.48,76.33,30.51
28.57,74.51,34.57
23.05,72.97,30.04
24.57,78.88,29.57
17.23,76.48,29.9
11.08,76.58,26.27
12.05,78.78,30.16
19.88,75.33,28.07
27.24,79.89,31.34
9.97,76.25,28.75
33.12,75.32,27.44
16.7,75.25,28.3
22.98,88.37,29.68
22.63,77.98,29.26
27.57,81.6,31.48
18.58,81.23,26.1
21.52,86.93,29.34
13.37,75.45,24.68
25.75,84.17,30.82
25.22,88.78,30.09
25.47,80.37,30.36
12.97,77.58,28.71
12.95,77.63,28.88
33.5,75.17,27.79
23.23,87.07,29.68
23.55,74.45,30.4
15.9,80.47,29.63
18.15,74.58,27.35
28.37,79.4,31.89
21.93,86.77,29.46
25.75,71.38,32.77
22.3,73.25,29.41
22.33,73.27,29.43
33.12,75.32,27.82
19.0,75.72,28.53
15.85,74.53,25.31
15.85,74.62,25.55
15.15,76.85,30.34
24.13,88.27,30.0
21.87,77.93,27.99
25.23,86.95,30.45
27.22,77.5,32.49
30.17,74.58,35.16
21.75,72.18,28.66
19.92,83.18,29.37
25.35,74.63,30.96
18.45,73.4,27.77
23.28,77.35,28.85
20.25,85.83,29.44
23.25,69.67,29.21
31.83,77.17,29.13
17.92,77.53,28.9
16.82,75.72,28.55
28.0,73.3,34.61
31.25,76.67,31.88
20.7,83.5,29.62
20.6,79.85,29.6
20.53,76.23,28.06
20.62,72.93,28.22
20.22,75.42,27.74
21.9,84.03,29.4
27.13,94.12,29.34
25.82,86.27,30.84
27.05,79.85,31.23
27.78,74.57,33.58
13.68,77.07,29.36
28.48,76.18,33.71
22.92,69.17,28.72
27.52,76.77,32.79
23.22,88.88,29.65
16.9,74.37,26.69
24.08,85.87,29.0
30.0,78.59,26.87
23.73,86.32,29.69
27.0,79.65,31.34
23.32,88.65,29.75
23.95,92.08,28.45
25.58,86.27,30.73
27.58,81.6,31.48
30.37,77.87,31.49
22.23,85.32,28.72
24.87,86.45,30.04
33.22,74.09,32.2
26.3,84.78,31.13
22.87,88.27,29.64
24.78,79.02,29.78
26.22,84.38,31.09
25.11,75.63,30.6
22.97,75.2,28.82
27.9,79.0,32.07
19.3,75.47,28.51
17.31,78.48,29.24
22.33,88.3,29.38
26.25,89.6,30.36
30.67,76.97,32.68
34.03,74.94,28.4
26.97,77.08,32.16
29.89,78.61,29.03
25.42,86.32,30.66
15.25,79.47,29.92
33.66,74.01,32.48
27.82,93.9,29.08
19.73,85.22,29.54
34.05,74.75,28.44
26.13,75.87,31.94
26.33,73.15,33.14
23.98,85.78,28.79
19.48,83.98,29.0
28.46,75.64,33.84
25.62,85.15,30.78
22.63,88.3,29.54
23.8,86.35,29.53
23.28,85.82,29.36
21.49,70.07,28.08
30.04,76.53,33.89
22.65,79.15,28.06
26.72,88.32,30.49
20.67,86.12,29.16
22.73,88.66,29.51
25.77,87.1,30.71
21.7,87.07,29.45
26.72,79.9,31.1
25.5,87.37,30.55
24.2,78.22,29.48
23.1,80.05,28.72
24.3,85.42,29.03
27.48,82.78,31.67
25.22,84.42,30.52
23.05,75.37,29.0
26.32,91.0,30.02
26.32,82.33,31.1
23.83,84.12,29.14
23.73,87.02,29.83
22.35,87.37,29.66
29.73,76.75,33.79
26.13,87.47,30.7
23.6,87.53,29.91
16.07,75.37,27.68
25.1,76.4,31.05
34.25,74.55,28.85
26.65,85.58,31.3
14.48,79.8,30.16
21.77,72.15,28.91
30.61,76.1,34.05
34.38,73.77,30.02
29.07,76.31,33.99
25.18,85.52,30.57
19.57,74.65,27.74
23.3,81.67,28.5
22.37,87.42,29.65
23.17,79.45,28.91
25.15,84.62,30.5
32.62,74.82,33.37
33.21,74.43,31.11
26.43,70.58,33.85
13.0,80.27,29.89
22.22,88.1,29.32
25.05,83.62,30.48
21.32,74.1,28.99
22.01,88.33,29.27
24.77,88.03,30.22
20.48,86.23,29.4
30.52,76.84,33.37
29.89,78.66,26.53
24.67,79.16,29.69
33.68,75.08,27.91
21.93,69.77,28.24
25.58,72.67,32.73
22.87,78.22,29.32
29.82,78.72,28.73
26.25,78.25,31.43
30.56,76.21,33.98
24.4,83.58,29.69
30.27,76.03,34.2
25.65,87.13,30.68
22.95,88.55,29.64
32.94,74.39,34.02
24.07,79.08,28.96
24.18,72.03,31.33
20.45,72.88,28.14
26.8,79.25,31.44
21.67,87.35,29.35
25.7,92.02,26.3
25.28,74.67,31.0
30.19,76.63,33.79
27.14,79.75,31.37
20.62,83.35,29.67
20.9,77.6,29.37
24.27,73.38,29.5
25.55,84.87,30.75
26.05,77.37,31.54
27.07,88.2,27.56
11.68,77.13,26.72
31.28,76.25,32.5
26.7,88.48,30.52
20.43,85.98,29.57
22.13,84.8,29.44
22.68,84.55,28.56
24.63,93.77,25.75
26.05,86.98,30.75
34.4,74.32,29.01
19.02,72.85,27.69
27.25,92.4,22.38
14.6,76.68,29.63
17.89,78.46,29.41
34.01,74.64,27.73
26.82,94.83,28.16
27.87,96.37,27.22
32.65,74.82,33.32
24.1,92.6,28.05
34.48,74.24,28.23
17.33,78.41,29.31
23.35,92.83,26.25
27.35,73.1,33.74
30.19,76.51,33.89
22.36,88.12,29.41
34.53,76.2,24.68
34.38,74.99,25.91
24.02,87.15,29.75
34.28,74.44,28.91
33.6,75.02,27.19
28.26,75.37,33.75
22.25,85.8,28.15
26.52,71.81,33.47
26.77,92.6,29.32
25.5,83.85,30.73
13.62,76.42,28.23
22.25,88.67,29.28
9.17,92.83,28.65
22.55,85.82,29.2
24.92,75.58,30.81
22.03,82.7,29.36
20.78,86.73,29.34
19.97,79.3,29.9
26.2,92.52,29.32
25.78,84.73,30.85
13.0,80.18,29.97
13.07,80.25,29.9
25.25,91.73,24.68
22.1,79.0,27.67
13.25,75.75,24.47
14.23,76.43,28.17
24.88,74.63,30.68
24.65,83.1,29.38
28.25,74.92,33.9
11.0,76.97,28.93
11.03,77.05,29.26
21.78,87.75,29.28
26.33,89.47,30.41
11.77,79.77,29.85
14.48,78.83,31.11
20.47,85.93,29.63
20.22,73.05,28.21
22.52,88.78,29.41
25.68,85.35,30.83
26.84,79.53,31.34
11.15,75.82,28.72
17.31,78.87,29.81
26.92,79.21,31.53
30.4,74.9,35.02
29.66,77.45,33.2
22.97,86.05,29.18
22.15,70.58,28.42
29.39,76.99,33.67
24.04,79.1,28.89
30.73,76.79,33.21
28.43,75.51,33.92
27.72,96.23,28.94
26.57,94.7,27.36
24.05,86.9,29.53
25.88,87.13,30.73
28.16,75.46,33.47
25.68,93.23,27.92
21.43,71.22,28.16
25.3,93.72,24.51
28.68,73.12,35.67
24.88,78.97,29.97
11.83,76.07,25.13
27.22,93.12,26.64
28.78,96.27,24.06
22.22,78.43,27.48
25.68,94.3,24.04
24.47,86.25,29.08
29.98,77.1,33.45
24.79,79.08,29.77
24.52,84.95,29.98
20.68,86.85,29.3
28.75,73.99,35.05
25.07,75.5,30.46
26.22,87.02,30.87
28.67,96.15,25.42
11.4,79.7,30.03
17.6,78.75,29.34
21.52,73.65,28.4
16.45,74.33,26.52
25.17,82.53,30.54
15.58,79.88,29.8
26.63,94.92,27.2
19.07,79.07,30.38
22.12,77.5,28.47
24.05,86.15,29.09
23.18,76.97,29.06
27.93,79.28,31.9
17.56,78.22,29.49
10.97,77.28,30.35
17.29,78.03,29.01
27.12,79.41,31.48
10.7,76.75,30.1
17.23,79.13,29.98
23.67,76.23,29.69
24.45,85.17,29.81
18.72,72.9,27.35
12.5,76.3,26.55
26.5,75.67,32.27
21.1,85.33,29.38
21.7,79.68,28.81
22.12,76.9,29.62
30.69,76.09,34.04
26.72,94.23,28.84
25.27,87.22,30.55
13.63,74.7,28.16
20.5,85.83,29.63
19.97,72.72,27.94
32.53,75.97,26.14
24.05,84.07,29.61
23.83,79.45,29.03
26.17,85.9,31.01
27.05,88.27,22.6
25.67,78.47,30.78
24.2,72.2,31.19
30.32,78.03,30.73
24.92,84.18,30.3
16.38,73.35,27.37
23.78,86.43,29.27
22.6,75.3,28.39
12.13,78.03,30.99
32.27,76.38,28.93
26.67,77.83,31.95
26.02,89.98,30.16
26.15,89.92,30.2
22.18,88.2,29.28
27.48,95.02,29.32
21.83,87.78,29.32
20.72,70.92,27.66
22.83,74.27,29.2
17.72,83.3,28.65
24.27,87.25,29.73
23.83,73.67,30.18
21.18,81.28,29.29
23.48,87.32,29.84
22.37,69.08,28.2
26.12,92.87,29.16
29.9,78.55,28.6
32.86,74.9,32.61
17.91,78.01,29.53
24.48,71.73,31.77
30.27,80.52,18.54
32.58,74.93,33.3
26.91,79.6,31.32
26.1,90.78,29.97
24.93,92.77,28.87
24.03,84.07,29.63
20.42,72.85,28.16
26.31,79.3,31.14
30.22,74.17,35.51
34.17,74.9,28.29
32.65,74.9,33.15
24.73,79.21,29.7
26.63,92.8,29.54
34.33,74.38,28.95
24.02,85.55,28.27
28.45,72.5,35.93
25.33,88.32,30.23
30.75,76.15,33.96
27.9,96.3,29.07
28.02,96.23,27.31
25.75,75.38,31.56
18.25,77.1,29.04
25.74,79.16,30.81
23.13,78.68,29.17
27.98,79.42,31.85
26.17,85.0,31.07
29.73,78.47,32.03
23.43,73.75,30.52
20.03,75.03,28.11
33.13,75.98,25.68
29.86,78.64,27.68
26.92,71.37,34.18
30.66,76.83,33.33
24.6,92.83,28.71
33.27,74.55,30.9
17.65,77.47,29.23
30.58,76.82,33.39
25.98,87.13,30.77
24.42,85.98,29.18
28.93,76.17,34.07
33.53,74.22,28.97
29.93,78.74,29.76
24.37,92.17,28.97
26.7,77.9,31.94
29.91,78.7,29.16
25.6,75.61,31.68
21.48,85.82,27.47
33.58,74.09,29.95
26.47,92.47,29.52
19.3,75.67,28.8
22.98,71.47,29.94
22.57,70.42,28.84
23.57,76.78,29.37
32.74,74.81,33.25
24.15,78.23,29.44
28.39,75.63,33.73
28.35,75.64,33.7
16.22,73.83,27.9
27.13,94.77,29.14
26.17,93.57,26.56
17.94,78.68,29.2
