Latitude,Longitude,PTrain_DT2
24.6,72.72,28.76
10.33,79.38,29.45
23.88,91.25,28.89
10.85,72.47,27.34
27.17,78.03,32.66
13.5,75.1,26.19
23.07,72.63,31.44
19.08,74.8,28.66
26.45,74.62,33.18
20.7,77.03,30.88
20.7,77.07,30.79
9.55,76.42,28.93
18.63,72.87,28.29
27.88,78.07,32.77
22.28,74.4,30.73
25.45,81.73,30.79
27.5,76.58,33.43
30.38,76.77,33.45
23.17,83.25,28.55
11.12,72.73,27.47
20.93,77.78,30.46
21.6,71.22,30.02
31.63,74.87,34.27
14.68,77.62,31.33
20.83,85.1,29.68
11.17,79.0,30.86
13.53,78.5,29.22
19.88,75.33,29.56
19.85,75.4,29.6
22.3,86.93,29.77
12.99,80.2,29.69
10.35,79.4,29.51
30.08,78.72,25.19
18.18,72.99,28.22
22.03,73.67,30.81
12.88,80.15,29.7
17.05,75.78,29.87
24.07,78.06,30.81
16.57,76.47,30.62
24.95,71.53,34.07
27.14,79.28,31.81
23.6,72.95,32.11
22.38,93.15,23.57
16.67,74.9,28.73
24.53,78.72,30.62
26.85,79.08,31.89
29.96,78.61,27.9
11.47,77.88,31.78
24.77,84.18,30.32
26.35,75.03,33.34
21.17,73.18,29.89
8.87,77.5,29.05
12.89,80.11,29.72
17.83,80.48,30.57
17.1,76.22,30.62
17.17,74.53,28.09
10.02,78.78,29.88
28.75,79.72,31.53
25.03,86.9,30.14
26.35,74.12,33.96
28.27,72.85,36.2
21.38,71.05,29.43
18.73,76.38,29.75
20.13,73.03,29.08
22.41,88.3,29.48
26.67,90.6,29.1
16.07,75.95,29.78
25.97,93.5,27.44
14.47,79.72,29.94
21.98,72.9,30.13
23.65,91.62,28.54
24.53,87.57,29.87
27.54,79.6,31.68
18.42,83.9,29.58
29.93,78.53,27.46
16.15,76.38,30.35
25.62,94.53,23.53
23.4,85.52,28.48
8.67,76.77,28.65
12.02,76.3,27.29
25.09,78.86,30.97
26.06,78.21,31.89
29.19,73.21,36.37
25.05,78.86,30.95
13.53,80.07,29.87
28.47,95.52,23.11
15.68,78.97,30.15
17.75,74.05,27.35
9.87,76.35,28.92
24.23,87.28,29.77
24.48,76.33,32.02
28.57,74.51,35.16
23.05,72.97,31.4
24.57,78.88,30.65
17.23,76.48,30.83
11.08,76.58,27.27
12.05,78.78,30.12
19.88,75.33,29.62
27.24,79.89,31.42
9.97,76.25,28.64
33.12,75.32,27.52
16.7,75.25,29.34
22.98,88.37,29.66
22.63,77.98,30.66
27.57,81.6,31.23
18.58,81.23,26.69
21.52,86.93,29.47
13.37,75.45,26.07
25.75,84.17,30.66
25.22,88.78,29.61
25.47,80.37,30.78
12.97,77.58,29.25
12.95,77.63,29.39
33.5,75.17,27.66
23.23,87.07,29.78
23.55,74.45,32.01
15.9,80.47,29.56
18.15,74.58,28.71
28.37,79.4,31.82
21.93,86.77,29.62
25.75,71.38,34.59
22.3,73.25,30.53
22.33,73.27,30.56
33.12,75.32,27.9
19.0,75.72,29.89
15.85,74.53,26.66
15.85,74.62,26.87
15.15,76.85,30.82
24.13,88.27,29.82
21.87,77.93,29.44
25.23,86.95,30.17
27.22,77.5,33.02
30.17,74.58,35.23
21.75,72.18,29.69
19.92,83.18,29.72
25.35,74.63,32.72
18.45,73.4,28.63
23.28,77.35,30.4
20.25,85.83,29.54
23.25,69.67,30.73
31.83,77.17,29.3
17.92,77.53,29.86
16.82,75.72,29.59
28.0,73.3,35.56
31.25,76.67,32.0
20.7,83.5,29.95
20.6,79.85,30.53
20.53,76.23,29.62
20.62,72.93,29.13
20.22,75.42,29.36
21.9,84.03,29.76
27.13,94.12,27.82
25.82,86.27,30.45
27.05,79.85,31.38
27.78,74.57,34.57
13.68,77.07,29.87
28.48,76.18,34.11
22.92,69.17,29.99
27.52,76.77,33.42
23.22,88.88,29.54
16.9,74.37,27.93
24.08,85.87,29.21
30.0,78.59,27.42
23.73,86.32,29.8
27.0,79.65,31.53
23.32,88.65,29.65
23.95,92.08,28.14
25.58,86.27,30.4
27.58,81.6,31.23
30.37,77.87,31.57
22.23,85.32,29.1
24.87,86.45,29.96
33.22,74.09,32.43
26.3,84.78,30.77
22.87,88.27,29.65
24.78,79.02,30.77
26.22,84.38,30.79
25.11,75.63,32.24
22.97,75.2,30.64
27.9,79.0,32.15
19.3,75.47,29.91
17.31,78.48,29.9
22.33,88.3,29.43
26.25,89.6,29.55
30.67,76.97,32.69
34.03,74.94,28.24
26.97,77.08,32.95
29.89,78.61,29.37
25.42,86.32,30.37
15.25,79.47,29.92
33.66,74.01,32.67
27.82,93.9,27.59
19.73,85.22,29.61
34.05,74.75,28.33
26.13,75.87,33.19
26.33,73.15,34.64
23.98,85.78,29.05
19.48,83.98,29.29
28.46,75.64,34.36
25.62,85.15,30.55
22.63,88.3,29.57
23.8,86.35,29.67
23.28,85.82,29.6
21.49,70.07,29.32
30.04,76.53,33.84
22.65,79.15,29.29
26.72,88.32,29.72
20.67,86.12,29.33
22.73,88.66,29.49
25.77,87.1,30.25
21.7,87.07,29.55
26.72,79.9,31.32
25.5,87.37,30.14
24.2,78.22,30.76
23.1,80.05,29.73
24.3,85.42,29.25
27.48,82.78,31.26
25.22,84.42,30.47
23.05,75.37,30.8
26.32,91.0,29.06
26.32,82.33,31.03
23.83,84.12,29.5
23.73,87.02,29.88
22.35,87.37,29.73
29.73,76.75,33.77
26.13,87.47,30.12
23.6,87.53,29.91
16.07,75.37,28.73
25.1,76.4,32.42
34.25,74.55,28.92
26.65,85.58,30.75
14.48,79.8,29.97
21.77,72.15,30.05
30.61,76.1,33.95
34.38,73.77,30.28
29.07,76.31,34.17
25.18,85.52,30.41
19.57,74.65,29.26
23.3,81.67,29.24
22.37,87.42,29.73
23.17,79.45,30.0
25.15,84.62,30.44
32.62,74.82,33.31
33.21,74.43,31.38
26.43,70.58,35.57
13.0,80.27,29.6
22.22,88.1,29.4
25.05,83.62,30.55
21.32,74.1,30.4
22.01,88.33,29.33
24.77,88.03,29.92
20.48,86.23,29.49
30.52,76.84,33.28
29.89,78.66,27.12
24.67,79.16,30.67
33.68,75.08,27.68
21.93,69.77,29.63
25.58,72.67,34.35
22.87,78.22,30.67
29.82,78.72,29.09
26.25,78.25,32.14
30.56,76.21,33.89
24.4,83.58,29.99
30.27,76.03,34.15
25.65,87.13,30.25
22.95,88.55,29.6
32.94,74.39,33.92
24.07,79.08,30.1
24.18,72.03,33.01
20.45,72.88,29.04
26.8,79.25,31.77
21.67,87.35,29.45
25.7,92.02,25.74
25.28,74.67,32.74
30.19,76.63,33.71
27.14,79.75,31.5
20.62,83.35,30.01
20.9,77.6,30.75
24.27,73.38,31.57
25.55,84.87,30.56
26.05,77.37,32.49
27.07,88.2,27.16
11.68,77.13,27.71
31.28,76.25,32.59
26.7,88.48,29.71
20.43,85.98,29.64
22.13,84.8,29.74
22.68,84.55,28.98
24.63,93.77,25.0
26.05,86.98,30.25
34.4,74.32,29.09
19.02,72.85,28.43
27.25,92.4,21.44
14.6,76.68,30.17
17.89,78.46,30.16
34.01,74.64,27.65
26.82,94.83,26.73
27.87,96.37,25.57
32.65,74.82,33.27
24.1,92.6,27.65
34.48,74.24,28.29
17.33,78.41,29.98
23.35,92.83,26.04
27.35,73.1,35.07
30.19,76.51,33.81
22.36,88.12,29.48
34.53,76.2,23.0
34.38,74.99,25.26
24.02,87.15,29.78
34.28,74.44,29.0
33.6,75.02,26.98
28.26,75.37,34.41
22.25,85.8,28.57
26.52,71.81,35.15
26.77,92.6,28.14
25.5,83.85,30.67
13.62,76.42,28.97
22.25,88.67,29.31
9.17,92.83,27.95
22.55,85.82,29.49
24.92,75.58,32.42
22.03,82.7,29.89
20.78,86.73,29.42
19.97,79.3,30.83
26.2,92.52,28.26
25.78,84.73,30.63
13.0,80.18,29.68
13.07,80.25,29.61
25.25,91.73,24.15
22.1,79.0,28.92
13.25,75.75,25.92
14.23,76.43,28.95
24.88,74.63,32.47
24.65,83.1,29.76
28.25,74.92,34.64
11.0,76.97,29.27
11.03,77.05,29.53
21.78,87.75,29.37
26.33,89.47,29.59
11.77,79.77,29.54
14.48,78.83,30.97
20.47,85.93,29.7
20.22,73.05,29.19
22.52,88.78,29.4
25.68,85.35,30.56
26.84,79.53,31.59
11.15,75.82,28.63
17.31,78.87,30.33
26.92,79.21,31.83
30.4,74.9,35.0
29.66,77.45,33.15
22.97,86.05,29.45
22.15,70.58,29.98
29.39,76.99,33.68
24.04,79.1,30.03
30.73,76.79,33.13
28.43,75.51,34.46
27.72,96.23,27.16
26.57,94.7,26.06
24.05,86.9,29.62
25.88,87.13,30.24
28.16,75.46,34.2
25.68,93.23,27.04
21.43,71.22,29.62
25.3,93.72,23.55
28.68,73.12,36.26
24.88,78.97,30.93
11.83,76.07,26.39
27.22,93.12,25.59
28.78,96.27,22.82
22.22,78.43,28.86
25.68,94.3,22.85
24.47,86.25,29.23
29.98,77.1,33.37
24.79,79.08,30.74
24.52,84.95,30.07
20.68,86.85,29.37
28.75,73.99,35.59
25.07,75.5,32.15
26.22,87.02,30.3
28.67,96.15,23.99
11.4,79.7,29.68
17.6,78.75,29.99
21.52,73.65,29.85
16.45,74.33,27.71
25.17,82.53,30.72
15.58,79.88,29.76
26.63,94.92,25.86
19.07,79.07,31.15
22.12,77.5,29.99
24.05,86.15,29.29
23.18,76.97,30.66
27.93,79.28,31.93
17.56,78.22,30.22
10.97,77.28,30.36
17.29,78.03,29.77
27.12,79.41,31.7
