Latitude,Longitude,PTrain_DT2
24.6,72.72,30.6
10.33,79.38,28.74
23.88,91.25,28.09
10.85,72.47,28.22
27.17,78.03,31.56
13.5,75.1,27.38
23.07,72.63,32.62
19.08,74.8,30.52
26.45,74.62,33.25
20.7,77.03,31.84
20.7,77.07,31.76
9.55,76.42,28.69
18.63,72.87,29.74
27.88,78.07,31.31
22.28,74.4,32.29
25.45,81.73,30.04
27.5,76.58,32.4
30.38,76.77,30.82
23.17,83.25,28.71
11.12,72.73,28.29
20.93,77.78,31.29
21.6,71.22,32.04
31.63,74.87,30.87
14.68,77.62,30.75
20.83,85.1,29.26
11.17,79.0,29.7
13.53,78.5,28.64
19.88,75.33,31.24
19.85,75.4,31.24
22.3,86.93,29.14
12.99,80.2,28.92
10.35,79.4,28.77
30.08,78.72,24.54
18.18,72.99,29.61
22.03,73.67,32.01
12.88,80.15,28.93
17.05,75.78,30.77
24.07,78.06,31.43
16.57,76.47,31.01
24.95,71.53,34.64
27.14,79.28,30.53
23.6,72.95,33.27
22.38,93.15,22.69
16.67,74.9,30.05
24.53,78.72,30.98
26.85,79.08,30.79
29.96,78.61,27.04
11.47,77.88,30.43
24.77,84.18,29.78
26.35,75.03,33.3
21.17,73.18,31.21
8.87,77.5,28.6
12.89,80.11,28.95
17.83,80.48,30.26
17.1,76.22,31.23
17.17,74.53,29.76
10.02,78.78,29.05
28.75,79.72,29.38
25.03,86.9,29.3
26.35,74.12,33.88
28.27,72.85,34.34
21.38,71.05,31.74
18.73,76.38,30.82
20.13,73.03,30.64
22.41,88.3,28.74
26.67,90.6,27.72
16.07,75.95,30.41
25.97,93.5,26.32
14.47,79.72,29.32
21.98,72.9,31.3
23.65,91.62,27.83
24.53,87.57,29.12
27.54,79.6,30.1
18.42,83.9,28.99
29.93,78.53,26.7
16.15,76.38,30.72
25.62,94.53,22.07
23.4,85.52,28.36
8.67,76.77,28.44
12.02,76.3,27.65
25.09,78.86,31.01
26.06,78.21,31.53
29.19,73.21,33.81
25.05,78.86,31.01
13.53,80.07,29.11
28.47,95.52,20.92
15.68,78.97,29.83
17.75,74.05,29.4
9.87,76.35,28.7
24.23,87.28,29.13
24.48,76.33,32.7
28.57,74.51,33.31
23.05,72.97,32.56
24.57,78.88,30.92
17.23,76.48,31.32
11.08,76.58,27.48
12.05,78.78,29.24
19.88,75.33,31.28
27.24,79.89,29.92
9.97,76.25,28.52
33.12,75.32,24.88
16.7,75.25,30.44
22.98,88.37,28.91
22.63,77.98,31.46
27.57,81.6,29.53
18.58,81.23,26.65
21.52,86.93,28.82
13.37,75.45,27.1
25.75,84.17,29.72
25.22,88.78,28.62
25.47,80.37,29.91
12.97,77.58,28.54
12.95,77.63,28.64
33.5,75.17,24.53
23.23,87.07,29.19
23.55,74.45,33.15
15.9,80.47,29.08
18.15,74.58,30.44
28.37,79.4,29.92
21.93,86.77,29.02
25.75,71.38,35.03
22.3,73.25,31.65
22.33,73.27,31.69
33.12,75.32,25.21
19.0,75.72,31.24
15.85,74.53,28.33
15.85,74.62,28.47
15.15,76.85,30.69
24.13,88.27,29.02
21.87,77.93,30.48
25.23,86.95,29.27
27.22,77.5,31.94
30.17,74.58,32.4
21.75,72.18,31.08
19.92,83.18,29.49
25.35,74.63,33.39
18.45,73.4,30.14
23.28,77.35,31.45
20.25,85.83,28.95
23.25,69.67,32.55
31.83,77.17,27.21
17.92,77.53,30.32
16.82,75.72,30.51
28.0,73.3,34.07
31.25,76.67,29.6
20.7,83.5,29.72
20.6,79.85,30.79
20.53,76.23,31.08
20.62,72.93,30.51
20.22,75.42,31.08
21.9,84.03,29.6
27.13,94.12,26.09
25.82,86.27,29.37
27.05,79.85,30.02
27.78,74.57,33.44
13.68,77.07,29.46
28.48,76.18,32.39
22.92,69.17,31.81
27.52,76.77,32.31
23.22,88.88,28.79
16.9,74.37,29.6
24.08,85.87,28.91
30.0,78.59,26.63
23.73,86.32,29.32
27.0,79.65,30.23
23.32,88.65,28.89
23.95,92.08,27.47
25.58,86.27,29.4
27.58,81.6,29.53
30.37,77.87,29.55
22.23,85.32,28.92
24.87,86.45,29.29
33.22,74.09,29.13
26.3,84.78,29.58
22.87,88.27,28.91
24.78,79.02,30.89
26.22,84.38,29.65
25.11,75.63,32.9
22.97,75.2,32.22
27.9,79.0,30.52
19.3,75.47,31.38
17.31,78.48,30.07
22.33,88.3,28.7
26.25,89.6,28.25
30.67,76.97,30.25
34.03,74.94,24.74
26.97,77.08,32.2
29.89,78.61,28.22
25.42,86.32,29.42
15.25,79.47,29.47
33.66,74.01,29.19
27.82,93.9,25.81
19.73,85.22,28.99
34.05,74.75,24.88
26.13,75.87,33.05
26.33,73.15,34.44
23.98,85.78,28.8
19.48,83.98,28.96
28.46,75.64,32.7
25.62,85.15,29.61
22.63,88.3,28.83
23.8,86.35,29.22
23.28,85.82,29.26
21.49,70.07,31.37
30.04,76.53,31.29
22.65,79.15,29.97
26.72,88.32,28.37
20.67,86.12,28.82
22.73,88.66,28.76
25.77,87.1,29.15
21.7,87.07,28.88
26.72,79.9,30.07
25.5,87.37,29.12
24.2,78.22,31.32
23.1,80.05,30.1
24.3,85.42,28.98
27.48,82.78,29.58
25.22,84.42,29.73
23.05,75.37,32.29
26.32,91.0,27.73
26.32,82.33,29.9
23.83,84.12,29.4
23.73,87.02,29.27
22.35,87.37,29.05
29.73,76.75,31.36
26.13,87.47,28.92
23.6,87.53,29.21
16.07,75.37,29.77
25.1,76.4,32.77
34.25,74.55,25.56
26.65,85.58,29.38
14.48,79.8,29.32
21.77,72.15,31.52
30.61,76.1,31.12
34.38,73.77,26.87
29.07,76.31,32.06
25.18,85.52,29.59
19.57,74.65,31.1
23.3,81.67,29.53
22.37,87.42,29.04
23.17,79.45,30.28
25.15,84.62,29.71
32.62,74.82,29.55
33.21,74.43,28.32
26.43,70.58,35.5
13.0,80.27,28.86
22.22,88.1,28.67
25.05,83.62,29.9
21.32,74.1,31.96
22.01,88.33,28.62
24.77,88.03,29.03
20.48,86.23,28.89
30.52,76.84,30.63
29.89,78.66,26.41
24.67,79.16,30.78
33.68,75.08,24.31
21.93,69.77,31.77
25.58,72.67,34.61
22.87,78.22,31.37
29.82,78.72,28.02
26.25,78.25,31.55
30.56,76.21,31.09
24.4,83.58,29.73
30.27,76.03,31.46
25.65,87.13,29.17
22.95,88.55,28.86
32.94,74.39,30.03
24.07,79.08,30.56
24.18,72.03,34.07
20.45,72.88,30.45
26.8,79.25,30.65
21.67,87.35,28.77
25.7,92.02,24.82
25.28,74.67,33.42
30.19,76.63,31.1
27.14,79.75,30.09
20.62,83.35,29.77
20.9,77.6,31.56
24.27,73.38,33.14
25.55,84.87,29.66
26.05,77.37,32.18
27.07,88.2,26.15
11.68,77.13,27.53
31.28,76.25,30.02
26.7,88.48,28.34
20.43,85.98,29.03
22.13,84.8,29.48
22.68,84.55,28.94
24.63,93.77,24.16
26.05,86.98,29.1
34.4,74.32,25.66
19.02,72.85,29.9
27.25,92.4,19.22
14.6,76.68,30.12
17.89,78.46,30.41
34.01,74.64,24.39
26.82,94.83,25.28
27.87,96.37,23.65
32.65,74.82,29.5
24.1,92.6,27.01
34.48,74.24,24.93
17.33,78.41,30.16
23.35,92.83,25.53
27.35,73.1,34.24
30.19,76.51,31.19
22.36,88.12,28.75
34.53,76.2,18.53
34.38,74.99,21.68
24.02,87.15,29.17
34.28,74.44,25.65
33.6,75.02,23.85
28.26,75.37,32.91
22.25,85.8,28.41
26.52,71.81,35.0
26.77,92.6,26.75
25.5,83.85,29.82
13.62,76.42,29.06
22.25,88.67,28.59
9.17,92.83,27.51
22.55,85.82,29.16
24.92,75.58,33.07
22.03,82.7,29.92
20.78,86.73,28.78
19.97,79.3,31.04
26.2,92.52,27.02
25.78,84.73,29.65
13.0,80.18,28.92
13.07,80.25,28.87
25.25,91.73,23.02
22.1,79.0,29.61
13.25,75.75,26.76
14.23,76.43,29.15
24.88,74.63,33.36
24.65,83.1,29.6
28.25,74.92,33.14
11.0,76.97,28.87
11.03,77.05,29.03
21.78,87.75,28.68
