Latitude,Longitude,PTrain_DT2
24.6,72.72,27.38
10.33,79.38,28.0
23.88,91.25,25.6
10.85,72.47,29.76
27.17,78.03,26.43
13.5,75.1,28.6
23.07,72.63,30.19
19.08,74.8,29.93
26.45,74.62,28.28
20.7,77.03,29.78
20.7,77.07,29.71
9.55,76.42,28.68
18.63,72.87,29.89
27.88,78.07,25.92
22.28,74.4,30.2
25.45,81.73,25.86
27.5,76.58,26.88
30.38,76.77,24.61
23.17,83.25,25.55
11.12,72.73,29.71
20.93,77.78,29.09
21.6,71.22,31.02
31.63,74.87,24.39
14.68,77.62,29.75
20.83,85.1,27.0
11.17,79.0,28.67
13.53,78.5,27.94
19.88,75.33,30.03
19.85,75.4,30.02
22.3,86.93,26.46
12.99,80.2,28.0
10.35,79.4,28.02
30.08,78.72,20.54
18.18,72.99,29.89
22.03,73.67,30.08
12.88,80.15,28.01
17.05,75.78,30.16
24.07,78.06,27.83
16.57,76.47,30.15
24.95,71.53,30.77
27.14,79.28,25.74
23.6,72.95,30.42
22.38,93.15,20.96
16.67,74.9,30.12
24.53,78.72,27.17
26.85,79.08,26.04
29.96,78.61,21.99
11.47,77.88,29.36
24.77,84.18,26.05
26.35,75.03,28.35
21.17,73.18,29.94
8.87,77.5,28.36
12.89,80.11,28.04
17.83,80.48,28.69
17.1,76.22,30.35
17.17,74.53,29.98
10.02,78.78,28.31
28.75,79.72,24.34
25.03,86.9,25.83
26.35,74.12,28.92
28.27,72.85,28.16
21.38,71.05,31.05
18.73,76.38,29.59
20.13,73.03,30.07
22.41,88.3,26.03
26.67,90.6,24.07
16.07,75.95,29.97
25.97,93.5,23.6
14.47,79.72,28.37
21.98,72.9,29.62
23.65,91.62,25.46
24.53,87.57,25.94
27.54,79.6,25.3
18.42,83.9,27.2
29.93,78.53,21.81
16.15,76.38,30.02
25.62,94.53,19.08
23.4,85.52,25.39
8.67,76.77,28.42
12.02,76.3,28.23
25.09,78.86,26.94
26.06,78.21,26.91
29.19,73.21,27.3
25.05,78.86,26.96
13.53,80.07,28.15
28.47,95.52,16.16
15.68,78.97,28.88
17.75,74.05,29.82
9.87,76.35,28.72
24.23,87.28,26.01
24.48,76.33,28.91
28.57,74.51,27.13
23.05,72.97,30.11
24.57,78.88,27.11
17.23,76.48,30.31
11.08,76.58,28.06
12.05,78.78,28.48
19.88,75.33,30.07
27.24,79.89,25.32
9.97,76.25,28.65
33.12,75.32,19.43
16.7,75.25,30.23
22.98,88.37,26.15
22.63,77.98,28.55
27.57,81.6,24.58
18.58,81.23,24.96
21.52,86.93,26.27
