Latitude,Longitude,PTrain_DT2
24.6,72.72,23.64
10.33,79.38,27.66
23.88,91.25,21.92
10.85,72.47,29.9
27.17,78.03,21.7
13.5,75.1,28.62
23.07,72.63,27.1
19.08,74.8,28.72
26.45,74.62,23.82
20.7,77.03,28.07
20.7,77.07,28.0
9.55,76.42,28.51
18.63,72.87,28.73
27.88,78.07,20.97
22.28,74.4,27.54
25.45,81.73,21.95
27.5,76.58,22.01
30.38,76.77,19.32
23.17,83.25,22.82
11.12,72.73,29.82
20.93,77.78,27.21
21.6,71.22,28.81
31.63,74.87,19.01
14.68,77.62,29.26
20.83,85.1,24.74
11.17,79.0,28.2
13.53,78.5,27.63
19.88,75.33,28.59
19.85,75.4,28.59
22.3,86.93,23.37
12.99,80.2,27.47
10.35,79.4,27.67
30.08,78.72,16.93
18.18,72.99,28.88
22.03,73.67,27.52
12.88,80.15,27.49
17.05,75.78,29.52
24.07,78.06,24.61
16.57,76.47,29.54
24.95,71.53,27.08
27.14,79.28,21.06
23.6,72.95,27.14
22.38,93.15,18.05
16.67,74.9,29.58
24.53,78.72,23.69
26.85,79.08,21.45
29.96,78.61,17.98
11.47,77.88,28.85
24.77,84.18,22.63
26.35,75.03,23.96
21.17,73.18,27.74
8.87,77.5,28.16
12.89,80.11,27.52
17.83,80.48,27.64
17.1,76.22,29.66
17.17,74.53,29.33
10.02,78.78,27.96
28.75,79.72,19.49
25.03,86.9,22.15
26.35,74.12,24.5
28.27,72.85,22.84
21.38,71.05,28.89
18.73,76.38,28.53
20.13,73.03,28.33
22.41,88.3,22.64
26.67,90.6,19.88
16.07,75.95,29.48
25.97,93.5,19.89
14.47,79.72,27.75
21.98,72.9,26.93
23.65,91.62,21.77
24.53,87.57,22.32
27.54,79.6,20.54
18.42,83.9,25.54
29.93,78.53,17.88
16.15,76.38,29.48
25.62,94.53,16.02
23.4,85.52,22.17
8.67,76.77,28.28
12.02,76.3,28.23
25.09,78.86,23.17
26.06,78.21,22.69
29.19,73.21,21.66
25.05,78.86,23.21
13.53,80.07,27.57
28.47,95.52,13.76
15.68,78.97,28.22
17.75,74.05,29.0
9.87,76.35,28.55
24.23,87.28,22.43
24.48,76.33,25.48
28.57,74.51,21.77
23.05,72.97,27.0
24.57,78.88,23.59
17.23,76.48,29.57
11.08,76.58,28.09
12.05,78.78,28.11
19.88,75.33,28.63
27.24,79.89,20.65
9.97,76.25,28.51
33.12,75.32,14.71
16.7,75.25,29.67
22.98,88.37,22.74
22.63,77.98,25.99
27.57,81.6,19.91
18.58,81.23,23.77
21.52,86.93,23.27
13.37,75.45,28.14
25.75,84.17,21.63
25.22,88.78,21.69
25.47,80.37,21.94
12.97,77.58,27.56
12.95,77.63,27.62
33.5,75.17,14.06
23.23,87.07,22.96
23.55,74.45,26.96
15.9,80.47,27.05
18.15,74.58,29.34
28.37,79.4,19.93
21.93,86.77,23.36
25.75,71.38,26.44
22.3,73.25,26.84
22.33,73.27,26.85
33.12,75.32,14.92
19.0,75.72,29.04
15.85,74.53,28.85
15.85,74.62,28.89
15.15,76.85,29.46
24.13,88.27,22.53
21.87,77.93,25.77
25.23,86.95,21.99
27.22,77.5,21.93
30.17,74.58,20.24
21.75,72.18,27.2
19.92,83.18,25.69
25.35,74.63,25.18
18.45,73.4,29.13
23.28,77.35,25.49
20.25,85.83,24.49
23.25,69.67,27.56
31.83,77.17,16.94
17.92,77.53,28.11
16.82,75.72,29.42
28.0,73.3,22.91
31.25,76.67,18.4
20.7,83.5,25.49
20.6,79.85,26.78
20.53,76.23,27.69
20.62,72.93,27.67
20.22,75.42,28.15
21.9,84.03,24.69
27.13,94.12,18.62
25.82,86.27,21.52
27.05,79.85,20.83
27.78,74.57,22.57
13.68,77.07,28.53
28.48,76.18,21.19
22.92,69.17,27.37
27.52,76.77,21.93
23.22,88.88,22.75
16.9,74.37,29.43
24.08,85.87,22.31
30.0,78.59,17.81
23.73,86.32,22.96
27.0,79.65,20.99
23.32,88.65,22.76
23.95,92.08,21.57
25.58,86.27,21.77
27.58,81.6,19.9
30.37,77.87,18.72
22.23,85.32,23.54
24.87,86.45,22.17
33.22,74.09,17.26
26.3,84.78,21.02
22.87,88.27,22.72
24.78,79.02,23.35
26.22,84.38,21.11
25.11,75.63,24.97
22.97,75.2,26.68
27.9,79.0,20.52
19.3,75.47,29.08
17.31,78.48,28.04
22.33,88.3,22.62
26.25,89.6,20.61
30.67,76.97,18.93
34.03,74.94,13.74
26.97,77.08,22.36
29.89,78.61,18.42
25.42,86.32,21.93
15.25,79.47,27.84
33.66,74.01,16.94
27.82,93.9,17.36
19.73,85.22,24.72
34.05,74.75,13.83
26.13,75.87,23.97
26.33,73.15,25.1
23.98,85.78,22.25
19.48,83.98,25.2
28.46,75.64,21.41
25.62,85.15,21.79
22.63,88.3,22.69
23.8,86.35,22.8
23.28,85.82,23.2
21.49,70.07,28.59
30.04,76.53,19.68
22.65,79.15,24.51
26.72,88.32,19.96
20.67,86.12,24.19
22.73,88.66,22.75
25.77,87.1,21.48
21.7,87.07,23.21
26.72,79.9,21.1
25.5,87.37,21.7
24.2,78.22,24.36
23.1,80.05,24.1
24.3,85.42,22.21
27.48,82.78,19.82
25.22,84.42,22.19
23.05,75.37,26.66
26.32,91.0,20.37
26.32,82.33,21.05
23.83,84.12,22.99
23.73,87.02,22.82
22.35,87.37,23.17
29.73,76.75,19.85
26.13,87.47,20.97
23.6,87.53,22.79
16.07,75.37,29.32
25.1,76.4,24.86
34.25,74.55,14.2
26.65,85.58,20.6
14.48,79.8,27.7
21.77,72.15,27.68
30.61,76.1,19.38
34.38,73.77,15.02
29.07,76.31,20.58
25.18,85.52,22.23
19.57,74.65,28.94
23.3,81.67,23.44
22.37,87.42,23.11
23.17,79.45,24.21
25.15,84.62,22.27
32.62,74.82,18.13
33.21,74.43,16.77
26.43,70.58,26.02
13.0,80.27,27.4
22.22,88.1,22.54
25.05,83.62,22.42
21.32,74.1,28.27
22.01,88.33,22.78
24.77,88.03,22.22
20.48,86.23,24.27
30.52,76.84,19.17
29.89,78.66,17.79
24.67,79.16,23.35
33.68,75.08,13.71
21.93,69.77,28.57
25.58,72.67,26.2
22.87,78.22,25.65
29.82,78.72,18.39
26.25,78.25,22.53
30.56,76.21,19.38
24.4,83.58,22.81
30.27,76.03,19.67
25.65,87.13,21.61
22.95,88.55,22.77
32.94,74.39,18.09
24.07,79.08,23.74
24.18,72.03,27.44
20.45,72.88,27.81
26.8,79.25,21.4
21.67,87.35,23.11
25.7,92.02,17.87
25.28,74.67,25.28
30.19,76.63,19.53
