Latitude,Longitude,PTrain_LC1
24.6,72.72,0.33
10.33,79.38,1.63
23.88,91.25,0.61
10.85,72.47,0.95
27.17,78.03,0.84
13.5,75.1,0.78
23.07,72.63,0.11
19.08,74.8,0.21
26.45,74.62,0.68
20.7,77.03,0.39
20.7,77.07,0.39
9.55,76.42,1.49
18.63,72.87,0.13
27.88,78.07,0.91
22.28,74.4,0.16
25.45,81.73,0.81
27.5,76.58,0.82
30.38,76.77,1.15
23.17,83.25,0.69
11.12,72.73,0.93
20.93,77.78,0.46
21.6,71.22,0.01
31.63,74.87,1.23
14.68,77.62,0.73
20.83,85.1,0.56
11.17,79.0,1.39
13.53,78.5,1.05
19.88,75.33,0.25
19.85,75.4,0.26
22.3,86.93,0.54
12.99,80.2,1.25
10.35,79.4,1.63
30.08,78.72,1.25
18.18,72.99,0.16
22.03,73.67,0.11
12.88,80.15,1.26
17.05,75.78,0.41
24.07,78.06,0.61
16.57,76.47,0.48
24.95,71.53,0.3
27.14,79.28,0.91
23.6,72.95,0.17
22.38,93.15,0.88
16.67,74.9,0.35
24.53,78.72,0.68
26.85,79.08,0.87
29.96,78.61,1.27
11.47,77.88,1.2
24.77,84.18,0.7
26.35,75.03,0.66
21.17,73.18,0.08
8.87,77.5,1.69
12.89,80.11,1.25
17.83,80.48,0.56
17.1,76.22,0.42
17.17,74.53,0.28
10.02,78.78,1.6
28.75,79.72,1.13
25.03,86.9,0.65
26.35,74.12,0.62
28.27,72.85,0.77
21.38,71.05,-0.01
18.73,76.38,0.39
20.13,73.03,0.07
22.41,88.3,0.57
26.67,90.6,0.87
16.07,75.95,0.5
25.97,93.5,0.89
14.47,79.72,0.95
21.98,72.9,0.07
23.65,91.62,0.62
24.53,87.57,0.61
27.54,79.6,0.97
18.42,83.9,0.72
29.93,78.53,1.25
16.15,76.38,0.52
25.62,94.53,1.12
23.4,85.52,0.63
8.67,76.77,1.67
12.02,76.3,1.14
25.09,78.86,0.72
26.06,78.21,0.76
29.19,73.21,0.85
25.05,78.86,0.72
13.53,80.07,1.14
28.47,95.52,1.28
15.68,78.97,0.7
17.75,74.05,0.2
9.87,76.35,1.43
24.23,87.28,0.59
24.48,76.33,0.51
28.57,74.51,0.85
23.05,72.97,0.11
24.57,78.88,0.69
17.23,76.48,0.44
11.08,76.58,1.32
12.05,78.78,1.24
19.88,75.33,0.25
27.24,79.89,0.96
9.97,76.25,1.41
33.12,75.32,1.98
16.7,75.25,0.38
22.98,88.37,0.55
22.63,77.98,0.51
27.57,81.6,1.02
18.58,81.23,0.66
21.52,86.93,0.58
13.37,75.45,0.88
25.75,84.17,0.8
25.22,88.78,0.68
25.47,80.37,0.84
12.97,77.58,1.15
12.95,77.63,1.15
33.5,75.17,2.11
