Latitude,Longitude,PTrain_LC1
24.6,72.72,0.5
10.33,79.38,1.77
23.88,91.25,1.25
10.85,72.47,1.4
27.17,78.03,0.58
13.5,75.1,0.68
23.07,72.63,0.3
19.08,74.8,0.29
26.45,74.62,0.49
20.7,77.03,0.34
20.7,77.07,0.33
9.55,76.42,1.68
18.63,72.87,0.67
27.88,78.07,0.67
22.28,74.4,0.27
25.45,81.73,0.52
27.5,76.58,0.6
30.38,76.77,1.01
23.17,83.25,0.53
11.12,72.73,1.39
20.93,77.78,0.33
21.6,71.22,0.27
31.63,74.87,1.14
14.68,77.62,0.84
20.83,85.1,0.91
11.17,79.0,1.57
13.53,78.5,0.77
19.88,75.33,0.29
19.85,75.4,0.29
22.3,86.93,1.07
12.99,80.2,1.6
10.35,79.4,1.78
30.08,78.72,1.59
18.18,72.99,0.71
22.03,73.67,0.37
12.88,80.15,1.59
17.05,75.78,0.46
24.07,78.06,0.37
16.57,76.47,0.55
24.95,71.53,0.22
27.14,79.28,0.62
23.6,72.95,0.25
22.38,93.15,1.25
16.67,74.9,0.47
24.53,78.72,0.42
26.85,79.08,0.58
29.96,78.61,1.39
11.47,77.88,1.27
24.77,84.18,0.57
26.35,75.03,0.46
21.17,73.18,0.45
8.87,77.5,1.62
12.89,80.11,1.57
17.83,80.48,0.8
17.1,76.22,0.51
17.17,74.53,0.41
10.02,78.78,1.68
28.75,79.72,0.87
25.03,86.9,0.75
26.35,74.12,0.42
28.27,72.85,0.58
21.38,71.05,0.25
18.73,76.38,0.35
20.13,73.03,0.49
22.41,88.3,1.28
26.67,90.6,0.97
16.07,75.95,0.54
25.97,93.5,1.09
14.47,79.72,1.33
21.98,72.9,0.43
23.65,91.62,1.3
24.53,87.57,0.83
27.54,79.6,0.68
18.42,83.9,1.26
29.93,78.53,1.42
16.15,76.38,0.57
25.62,94.53,1.36
23.4,85.52,0.69
8.67,76.77,1.75
12.02,76.3,0.81
25.09,78.86,0.44
26.06,78.21,0.49
29.19,73.21,0.7
25.05,78.86,0.44
13.53,80.07,1.52
28.47,95.52,1.77
15.68,78.97,0.94
17.75,74.05,0.35
9.87,76.35,1.66
24.23,87.28,0.83
24.48,76.33,0.33
28.57,74.51,0.67
23.05,72.97,0.31
24.57,78.88,0.42
17.23,76.48,0.51
11.08,76.58,0.94
12.05,78.78,1.23
19.88,75.33,0.29
27.24,79.89,0.66
9.97,76.25,1.64
33.12,75.32,2.06
16.7,75.25,0.49
22.98,88.37,1.14
22.63,77.98,0.32
27.57,81.6,0.74
18.58,81.23,0.51
21.52,86.93,1.25
13.37,75.45,0.57
25.75,84.17,0.6
25.22,88.78,0.85
25.47,80.37,0.51
12.97,77.58,0.68
12.95,77.63,0.7
33.5,75.17,2.13
23.23,87.07,0.93
23.55,74.45,0.27
15.9,80.47,1.33
18.15,74.58,0.36
28.37,79.4,0.79
21.93,86.77,1.12
25.75,71.38,0.27
22.3,73.25,0.4
22.33,73.27,0.39
33.12,75.32,2.02
19.0,75.72,0.34
15.85,74.53,0.44
15.85,74.62,0.44
15.15,76.85,0.7
24.13,88.27,0.93
21.87,77.93,0.34
25.23,86.95,0.75
27.22,77.5,0.57
30.17,74.58,0.89
21.75,72.18,0.42
19.92,83.18,0.73
25.35,74.63,0.36
18.45,73.4,0.6
23.28,77.35,0.34
20.25,85.83,1.18
23.25,69.67,0.21
31.83,77.17,1.62
17.92,77.53,0.42
16.82,75.72,0.46
28.0,73.3,0.57
31.25,76.67,1.27
20.7,83.5,0.71
20.6,79.85,0.42
20.53,76.23,0.29
20.62,72.93,0.51
20.22,75.42,0.27
21.9,84.03,0.61
27.13,94.12,1.16
25.82,86.27,0.71
27.05,79.85,0.64
27.78,74.57,0.6
13.68,77.07,0.7
28.48,76.18,0.7
22.92,69.17,0.25
27.52,76.77,0.59
23.22,88.88,1.11
16.9,74.37,0.44
24.08,85.87,0.68
30.0,78.59,1.44
23.73,86.32,0.76
27.0,79.65,0.62
23.32,88.65,1.08
23.95,92.08,1.23
25.58,86.27,0.7
27.58,81.6,0.74
30.37,77.87,1.15
22.23,85.32,0.73
24.87,86.45,0.72
33.22,74.09,1.6
26.3,84.78,0.66
22.87,88.27,1.17
24.78,79.02,0.43
26.22,84.38,0.64
25.11,75.63,0.37
22.97,75.2,0.27
27.9,79.0,0.7
19.3,75.47,0.34
17.31,78.48,0.54
22.33,88.3,1.3
26.25,89.6,0.9
30.67,76.97,1.12
34.03,74.94,2.18
26.97,77.08,0.55
29.89,78.61,1.26
25.42,86.32,0.7
15.25,79.47,1.18
33.66,74.01,1.68
27.82,93.9,1.28
19.73,85.22,1.26
34.05,74.75,2.18
26.13,75.87,0.43
26.33,73.15,0.37
23.98,85.78,0.68
19.48,83.98,0.93
28.46,75.64,0.69
25.62,85.15,0.64
22.63,88.3,1.23
23.8,86.35,0.76
23.28,85.82,0.73
21.49,70.07,0.32
30.04,76.53,0.94
22.65,79.15,0.38
26.72,88.32,0.86
20.67,86.12,1.09
22.73,88.66,1.2
25.77,87.1,0.75
21.7,87.07,1.25
26.72,79.9,0.6
25.5,87.37,0.77
24.2,78.22,0.38
23.1,80.05,0.39
24.3,85.42,0.65
27.48,82.78,0.74
25.22,84.42,0.59
23.05,75.37,0.27
26.32,91.0,0.98
26.32,82.33,0.6
23.83,84.12,0.56
23.73,87.02,0.86
22.35,87.37,1.14
29.73,76.75,0.89
26.13,87.47,0.78
23.6,87.53,0.95
16.07,75.37,0.49
25.1,76.4,0.36
34.25,74.55,2.16
26.65,85.58,0.72
14.48,79.8,1.38
21.77,72.15,0.38
30.61,76.1,1.02
34.38,73.77,2.07
29.07,76.31,0.78
25.18,85.52,0.65
19.57,74.65,0.3
23.3,81.67,0.45
22.37,87.42,1.15
23.17,79.45,0.37
25.15,84.62,0.6
32.62,74.82,1.34
33.21,74.43,1.7
26.43,70.58,0.3
13.0,80.27,1.62
22.22,88.1,1.33
25.05,83.62,0.55
21.32,74.1,0.33
22.01,88.33,1.33
24.77,88.03,0.85
20.48,86.23,1.2
30.52,76.84,1.04
29.89,78.66,1.44
24.67,79.16,0.43
33.68,75.08,2.17
21.93,69.77,0.26
25.58,72.67,0.28
22.87,78.22,0.33
29.82,78.72,1.27
26.25,78.25,0.5
30.56,76.21,1.01
24.4,83.58,0.53
30.27,76.03,0.96
25.65,87.13,0.75
22.95,88.55,1.15
32.94,74.39,1.37
24.07,79.08,0.41
24.18,72.03,0.22
20.45,72.88,0.52
26.8,79.25,0.58
21.67,87.35,1.29
25.7,92.02,1.19
25.28,74.67,0.35
30.19,76.63,0.97
27.14,79.75,0.64
20.62,83.35,0.7
20.9,77.6,0.34
24.27,73.38,0.26
25.55,84.87,0.62
26.05,77.37,0.46
27.07,88.2,1.12
11.68,77.13,0.75
31.28,76.25,1.23
26.7,88.48,0.86
20.43,85.98,1.16
22.13,84.8,0.7
22.68,84.55,0.61
24.63,93.77,1.18
26.05,86.98,0.75
34.4,74.32,2.18
19.02,72.85,0.63
27.25,92.4,1.63
14.6,76.68,0.69
