Latitude,Longitude,PTrain_LC1
24.6,72.72,0.26
10.33,79.38,2.15
23.88,91.25,2.08
10.85,72.47,1.96
27.17,78.03,0.42
13.5,75.1,1.08
23.07,72.63,0.59
19.08,74.8,0.29
26.45,74.62,0.37
20.7,77.03,0.3
20.7,77.07,0.29
9.55,76.42,2.0
18.63,72.87,1.21
27.88,78.07,0.47
22.28,74.4,0.32
25.45,81.73,0.39
27.5,76.58,0.43
30.38,76.77,0.61
23.17,83.25,0.26
11.12,72.73,1.97
20.93,77.78,0.25
21.6,71.22,0.59
31.63,74.87,0.59
14.68,77.62,1.02
20.83,85.1,1.09
11.17,79.0,1.89
13.53,78.5,1.01
19.88,75.33,0.24
19.85,75.4,0.25
22.3,86.93,1.51
12.99,80.2,2.14
10.35,79.4,2.15
30.08,78.72,1.15
18.18,72.99,1.29
22.03,73.67,0.67
12.88,80.15,2.12
17.05,75.78,0.6
24.07,78.06,0.22
16.57,76.47,0.68
24.95,71.53,0.5
27.14,79.28,0.45
23.6,72.95,0.45
22.38,93.15,1.48
16.67,74.9,0.68
24.53,78.72,0.28
26.85,79.08,0.43
29.96,78.61,1.13
11.47,77.88,1.46
24.77,84.18,0.61
26.35,75.03,0.35
21.17,73.18,0.83
8.87,77.5,1.79
12.89,80.11,2.09
17.83,80.48,0.93
17.1,76.22,0.64
17.17,74.53,0.57
10.02,78.78,1.97
28.75,79.72,0.57
25.03,86.9,1.17
26.35,74.12,0.35
28.27,72.85,0.46
21.38,71.05,0.49
18.73,76.38,0.33
20.13,73.03,0.87
22.41,88.3,1.87
26.67,90.6,1.7
16.07,75.95,0.73
25.97,93.5,1.96
14.47,79.72,1.81
21.98,72.9,0.78
23.65,91.62,2.08
24.53,87.57,1.3
27.54,79.6,0.49
18.42,83.9,1.68
29.93,78.53,1.15
16.15,76.38,0.72
25.62,94.53,1.98
23.4,85.52,0.59
8.67,76.77,1.94
12.02,76.3,1.24
25.09,78.86,0.32
26.06,78.21,0.35
29.19,73.21,0.49
25.05,78.86,0.31
13.53,80.07,2.06
28.47,95.52,2.31
15.68,78.97,1.21
17.75,74.05,0.46
9.87,76.35,2.02
24.23,87.28,1.22
24.48,76.33,0.24
28.57,74.51,0.48
23.05,72.97,0.56
24.57,78.88,0.29
17.23,76.48,0.61
11.08,76.58,1.36
12.05,78.78,1.52
19.88,75.33,0.25
27.24,79.89,0.49
9.97,76.25,2.03
33.12,75.32,1.39
16.7,75.25,0.68
22.98,88.37,1.73
22.63,77.98,0.2
27.57,81.6,0.53
18.58,81.23,0.36
21.52,86.93,1.73
13.37,75.45,1.0
25.75,84.17,0.64
25.22,88.78,1.44
25.47,80.37,0.42
12.97,77.58,1.06
12.95,77.63,1.06
33.5,75.17,1.4
23.23,87.07,1.33
23.55,74.45,0.34
15.9,80.47,1.88
18.15,74.58,0.47
28.37,79.4,0.54
21.93,86.77,1.55
25.75,71.38,0.38
22.3,73.25,0.71
22.33,73.27,0.7
33.12,75.32,1.36
19.0,75.72,0.36
15.85,74.53,0.68
15.85,74.62,0.68
15.15,76.85,0.89
24.13,88.27,1.51
21.87,77.93,0.18
25.23,86.95,1.17
27.22,77.5,0.41
30.17,74.58,0.55
21.75,72.18,0.78
19.92,83.18,0.73
25.35,74.63,0.27
18.45,73.4,1.06
23.28,77.35,0.16
20.25,85.83,1.56
23.25,69.67,0.51
31.83,77.17,1.12
17.92,77.53,0.39
16.82,75.72,0.6
28.0,73.3,0.45
31.25,76.67,0.82
20.7,83.5,0.74
20.6,79.85,0.3
20.53,76.23,0.17
20.62,72.93,0.92
20.22,75.42,0.18
21.9,84.03,0.58
27.13,94.12,2.07
25.82,86.27,1.04
27.05,79.85,0.48
27.78,74.57,0.45
13.68,77.07,0.97
28.48,76.18,0.49
22.92,69.17,0.62
27.52,76.77,0.43
23.22,88.88,1.72
16.9,74.37,0.65
24.08,85.87,0.74
30.0,78.59,1.16
23.73,86.32,1.02
27.0,79.65,0.46
23.32,88.65,1.69
23.95,92.08,1.98
25.58,86.27,1.04
27.58,81.6,0.53
30.37,77.87,0.78
22.23,85.32,0.72
24.87,86.45,1.01
33.22,74.09,0.94
26.3,84.78,0.76
22.87,88.27,1.75
24.78,79.02,0.31
26.22,84.38,0.7
25.11,75.63,0.25
22.97,75.2,0.13
27.9,79.0,0.49
19.3,75.47,0.36
17.31,78.48,0.52
22.33,88.3,1.88
26.25,89.6,1.58
30.67,76.97,0.7
34.03,74.94,1.39
26.97,77.08,0.4
29.89,78.61,0.99
25.42,86.32,1.06
15.25,79.47,1.6
33.66,74.01,0.98
27.82,93.9,2.06
19.73,85.22,1.71
34.05,74.75,1.39
26.13,75.87,0.33
26.33,73.15,0.37
23.98,85.78,0.7
19.48,83.98,1.06
28.46,75.64,0.49
25.62,85.15,0.82
22.63,88.3,1.81
23.8,86.35,0.98
23.28,85.82,0.88
21.49,70.07,0.74
30.04,76.53,0.58
22.65,79.15,0.27
26.72,88.32,1.27
20.67,86.12,1.39
22.73,88.66,1.8
25.77,87.1,1.18
21.7,87.07,1.75
26.72,79.9,0.46
25.5,87.37,1.24
24.2,78.22,0.23
23.1,80.05,0.26
24.3,85.42,0.66
27.48,82.78,0.58
25.22,84.42,0.67
23.05,75.37,0.14
26.32,91.0,1.81
26.32,82.33,0.48
23.83,84.12,0.46
23.73,87.02,1.26
22.35,87.37,1.65
29.73,76.75,0.56
26.13,87.47,1.21
23.6,87.53,1.45
16.07,75.37,0.7
25.1,76.4,0.27
34.25,74.55,1.39
26.65,85.58,0.91
14.48,79.8,1.89
21.77,72.15,0.74
30.61,76.1,0.59
34.38,73.77,1.32
29.07,76.31,0.52
25.18,85.52,0.89
19.57,74.65,0.33
23.3,81.67,0.21
22.37,87.42,1.67
23.17,79.45,0.33
25.15,84.62,0.7
32.62,74.82,0.63
33.21,74.43,1.06
26.43,70.58,0.44
13.0,80.27,2.17
22.22,88.1,1.9
25.05,83.62,0.55
21.32,74.1,0.5
22.01,88.33,1.91
24.77,88.03,1.41
20.48,86.23,1.6
30.52,76.84,0.62
29.89,78.66,1.16
24.67,79.16,0.31
33.68,75.08,1.41
21.93,69.77,0.64
25.58,72.67,0.38
22.87,78.22,0.21
29.82,78.72,1.01
26.25,78.25,0.36
30.56,76.21,0.59
24.4,83.58,0.46
30.27,76.03,0.58
25.65,87.13,1.2
22.95,88.55,1.75
32.94,74.39,0.64
24.07,79.08,0.28
24.18,72.03,0.44
20.45,72.88,0.94
26.8,79.25,0.43
21.67,87.35,1.81
25.7,92.02,1.71
25.28,74.67,0.26
30.19,76.63,0.58
27.14,79.75,0.47
20.62,83.35,0.73
20.9,77.6,0.28
24.27,73.38,0.16
25.55,84.87,0.77
26.05,77.37,0.33
27.07,88.2,1.34
11.68,77.13,1.23
31.28,76.25,0.77
26.7,88.48,1.29
20.43,85.98,1.56
22.13,84.8,0.77
22.68,84.55,0.47
24.63,93.77,1.66
26.05,86.98,1.14
34.4,74.32,1.39
19.02,72.85,1.15
27.25,92.4,2.17
14.6,76.68,0.92
17.89,78.46,0.44
34.01,74.64,1.46
26.82,94.83,2.0
27.87,96.37,2.21
32.65,74.82,0.63
24.1,92.6,1.91
34.48,74.24,1.46
17.33,78.41,0.52
23.35,92.83,1.57
27.35,73.1,0.42
30.19,76.51,0.58
22.36,88.12,1.87
34.53,76.2,1.82
34.38,74.99,1.61
24.02,87.15,1.21
34.28,74.44,1.39
33.6,75.02,1.47
28.26,75.37,0.48
22.25,85.8,0.74
26.52,71.81,0.39
26.77,92.6,1.93
25.5,83.85,0.6
13.62,76.42,1.01
22.25,88.67,1.93
9.17,92.83,2.65
22.55,85.82,0.95
24.92,75.58,0.25
22.03,82.7,0.36
20.78,86.73,1.77
19.97,79.3,0.37
26.2,92.52,1.97
25.78,84.73,0.74
13.0,80.18,2.12
13.07,80.25,2.15
25.25,91.73,1.8
22.1,79.0,0.32
13.25,75.75,1.02
14.23,76.43,0.92
24.88,74.63,0.24
24.65,83.1,0.39
28.25,74.92,0.48
11.0,76.97,1.47
11.03,77.05,1.47
21.78,87.75,1.84
26.33,89.47,1.55
11.77,79.77,2.17
14.48,78.83,1.49
20.47,85.93,1.55
20.22,73.05,0.89
22.52,88.78,1.87
25.68,85.35,0.86
26.84,79.53,0.45
11.15,75.82,2.06
17.31,78.87,0.68
26.92,79.21,0.44
30.4,74.9,0.55
29.66,77.45,0.58
22.97,86.05,0.93
22.15,70.58,0.5
29.39,76.99,0.54
24.04,79.1,0.28
30.73,76.79,0.65
28.43,75.51,0.49
27.72,96.23,2.1
26.57,94.7,1.96
24.05,86.9,1.09
25.88,87.13,1.18
28.16,75.46,0.49
25.68,93.23,1.85
21.43,71.22,0.57
25.3,93.72,1.94
28.68,73.12,0.47
24.88,78.97,0.31
11.83,76.07,1.25
27.22,93.12,2.05
28.78,96.27,2.17
22.22,78.43,0.23
25.68,94.3,2.1
24.47,86.25,0.83
29.98,77.1,0.59
24.79,79.08,0.31
24.52,84.95,0.71
20.68,86.85,1.82
28.75,73.99,0.48
25.07,75.5,0.24
26.22,87.02,1.14
28.67,96.15,2.36
11.4,79.7,2.18
17.6,78.75,0.5
21.52,73.65,0.45
16.45,74.33,0.74
25.17,82.53,0.43
15.58,79.88,1.75
26.63,94.92,1.98
19.07,79.07,0.53
22.12,77.5,0.15
24.05,86.15,0.82
23.18,76.97,0.15
27.93,79.28,0.5
17.56,78.22,0.49
10.97,77.28,1.51
