Latitude,Longitude,PTrain_LC1
24.6,72.72,0.23
10.33,79.38,2.01
23.88,91.25,2.73
10.85,72.47,2.69
27.17,78.03,0.65
13.5,75.1,1.75
23.07,72.63,1.66
19.08,74.8,0.95
26.45,74.62,0.48
20.7,77.03,0.67
20.7,77.07,0.64
9.55,76.42,2.21
18.63,72.87,2.28
27.88,78.07,0.69
22.28,74.4,1.01
25.45,81.73,0.64
27.5,76.58,0.65
30.38,76.77,0.82
23.17,83.25,0.49
11.12,72.73,2.65
20.93,77.78,0.48
21.6,71.22,1.86
31.63,74.87,0.83
14.68,77.62,1.27
20.83,85.1,1.38
11.17,79.0,1.83
13.53,78.5,1.37
19.88,75.33,0.8
19.85,75.4,0.8
22.3,86.93,1.91
12.99,80.2,1.91
10.35,79.4,2.01
30.08,78.72,1.51
18.18,72.99,2.31
22.03,73.67,1.66
12.88,80.15,1.91
17.05,75.78,1.13
24.07,78.06,0.41
16.57,76.47,1.1
24.95,71.53,1.43
27.14,79.28,0.62
23.6,72.95,1.34
22.38,93.15,2.74
16.67,74.9,1.35
24.53,78.72,0.39
26.85,79.08,0.61
29.96,78.61,1.2
11.47,77.88,1.62
24.77,84.18,0.98
26.35,75.03,0.54
21.17,73.18,1.93
8.87,77.5,2.04
12.89,80.11,1.89
17.83,80.48,1.12
17.1,76.22,1.09
17.17,74.53,1.31
10.02,78.78,1.96
28.75,79.72,0.71
25.03,86.9,1.62
26.35,74.12,0.61
28.27,72.85,0.78
21.38,71.05,1.74
18.73,76.38,0.78
20.13,73.03,1.96
22.41,88.3,2.35
26.67,90.6,2.37
16.07,75.95,1.25
25.97,93.5,2.81
14.47,79.72,1.74
21.98,72.9,1.96
23.65,91.62,2.76
24.53,87.57,1.74
27.54,79.6,0.64
18.42,83.9,1.78
29.93,78.53,1.27
16.15,76.38,1.17
25.62,94.53,3.0
23.4,85.52,0.88
8.67,76.77,2.2
12.02,76.3,1.78
25.09,78.86,0.44
26.06,78.21,0.54
29.19,73.21,0.79
25.05,78.86,0.44
13.53,80.07,1.87
28.47,95.52,3.51
15.68,78.97,1.38
17.75,74.05,1.27
9.87,76.35,2.21
24.23,87.28,1.63
24.48,76.33,0.55
28.57,74.51,0.73
23.05,72.97,1.58
24.57,78.88,0.4
17.23,76.48,1.02
11.08,76.58,1.85
12.05,78.78,1.62
19.88,75.33,0.81
27.24,79.89,0.61
9.97,76.25,2.22
33.12,75.32,1.39
16.7,75.25,1.29
22.98,88.37,2.21
22.63,77.98,0.43
27.57,81.6,0.78
18.58,81.23,0.9
21.52,86.93,2.13
13.37,75.45,1.73
25.75,84.17,1.07
25.22,88.78,1.98
25.47,80.37,0.47
12.97,77.58,1.51
12.95,77.63,1.5
33.5,75.17,1.34
23.23,87.07,1.74
23.55,74.45,0.97
15.9,80.47,1.83
18.15,74.58,1.18
28.37,79.4,0.7
21.93,86.77,1.94
25.75,71.38,1.0
22.3,73.25,1.8
22.33,73.27,1.78
33.12,75.32,1.33
19.0,75.72,0.9
15.85,74.53,1.46
15.85,74.62,1.45
15.15,76.85,1.25
24.13,88.27,1.99
21.87,77.93,0.37
25.23,86.95,1.64
27.22,77.5,0.66
30.17,74.58,0.8
21.75,72.18,2.06
19.92,83.18,0.98
25.35,74.63,0.51
18.45,73.4,2.01
23.28,77.35,0.38
20.25,85.83,1.82
23.25,69.67,1.98
31.83,77.17,1.1
17.92,77.53,0.75
16.82,75.72,1.16
28.0,73.3,0.72
31.25,76.67,0.89
20.7,83.5,1.01
20.6,79.85,0.51
20.53,76.23,0.59
20.62,72.93,2.08
20.22,75.42,0.71
21.9,84.03,0.87
27.13,94.12,3.04
25.82,86.27,1.53
27.05,79.85,0.59
27.78,74.57,0.65
13.68,77.07,1.4
28.48,76.18,0.72
22.92,69.17,2.31
27.52,76.77,0.66
23.22,88.88,2.22
16.9,74.37,1.41
24.08,85.87,1.05
30.0,78.59,1.27
23.73,86.32,1.4
27.0,79.65,0.6
23.32,88.65,2.18
23.95,92.08,2.69
25.58,86.27,1.52
27.58,81.6,0.78
30.37,77.87,0.85
22.23,85.32,1.04
24.87,86.45,1.41
33.22,74.09,0.97
26.3,84.78,1.23
22.87,88.27,2.22
24.78,79.02,0.42
26.22,84.38,1.15
25.11,75.63,0.48
22.97,75.2,0.53
27.9,79.0,0.68
19.3,75.47,0.93
17.31,78.48,0.87
22.33,88.3,2.36
26.25,89.6,2.21
30.67,76.97,0.84
34.03,74.94,1.33
26.97,77.08,0.61
29.89,78.61,1.0
25.42,86.32,1.53
15.25,79.47,1.63
33.66,74.01,1.06
27.82,93.9,2.97
19.73,85.22,1.92
34.05,74.75,1.34
26.13,75.87,0.59
26.33,73.15,0.77
23.98,85.78,1.0
19.48,83.98,1.3
28.46,75.64,0.71
25.62,85.15,1.27
22.63,88.3,2.29
23.8,86.35,1.35
23.28,85.82,1.22
21.49,70.07,2.32
30.04,76.53,0.81
22.65,79.15,0.31
26.72,88.32,1.83
20.67,86.12,1.7
22.73,88.66,2.29
25.77,87.1,1.69
21.7,87.07,2.16
26.72,79.9,0.57
25.5,87.37,1.74
24.2,78.22,0.4
23.1,80.05,0.3
24.3,85.42,0.95
27.48,82.78,0.95
25.22,84.42,1.08
23.05,75.37,0.54
26.32,91.0,2.51
26.32,82.33,0.8
23.83,84.12,0.75
23.73,87.02,1.67
22.35,87.37,2.07
29.73,76.75,0.8
26.13,87.47,1.74
23.6,87.53,1.89
16.07,75.37,1.33
25.1,76.4,0.57
34.25,74.55,1.41
26.65,85.58,1.42
14.48,79.8,1.8
21.77,72.15,1.99
30.61,76.1,0.83
34.38,73.77,1.37
29.07,76.31,0.77
25.18,85.52,1.33
19.57,74.65,1.01
23.3,81.67,0.37
22.37,87.42,2.09
23.17,79.45,0.3
25.15,84.62,1.12
32.62,74.82,0.82
33.21,74.43,1.04
26.43,70.58,1.06
13.0,80.27,1.93
22.22,88.1,2.38
25.05,83.62,0.93
21.32,74.1,1.33
22.01,88.33,2.38
24.77,88.03,1.9
20.48,86.23,1.89
30.52,76.84,0.83
29.89,78.66,1.3
24.67,79.16,0.4
33.68,75.08,1.31
21.93,69.77,2.21
25.58,72.67,0.97
22.87,78.22,0.42
29.82,78.72,1.02
26.25,78.25,0.58
30.56,76.21,0.83
24.4,83.58,0.76
30.27,76.03,0.82
25.65,87.13,1.71
22.95,88.55,2.24
32.94,74.39,0.87
24.07,79.08,0.35
24.18,72.03,1.35
20.45,72.88,2.1
26.8,79.25,0.6
21.67,87.35,2.22
25.7,92.02,2.33
25.28,74.67,0.53
30.19,76.63,0.82
27.14,79.75,0.61
20.62,83.35,0.99
20.9,77.6,0.55
24.27,73.38,0.53
25.55,84.87,1.21
26.05,77.37,0.58
27.07,88.2,1.72
11.68,77.13,1.78
31.28,76.25,0.87
26.7,88.48,1.88
20.43,85.98,1.83
22.13,84.8,1.09
22.68,84.55,0.76
24.63,93.77,2.56
26.05,86.98,1.64
34.4,74.32,1.43
19.02,72.85,2.25
27.25,92.4,3.24
14.6,76.68,1.34
17.89,78.46,0.77
34.01,74.64,1.48
26.82,94.83,2.95
27.87,96.37,3.2
32.65,74.82,0.82
24.1,92.6,2.65
34.48,74.24,1.56
17.33,78.41,0.87
23.35,92.83,2.43
27.35,73.1,0.67
30.19,76.51,0.82
22.36,88.12,2.35
34.53,76.2,2.06
34.38,74.99,1.79
24.02,87.15,1.62
34.28,74.44,1.42
33.6,75.02,1.45
28.26,75.37,0.69
22.25,85.8,1.09
26.52,71.81,0.81
26.77,92.6,2.74
25.5,83.85,1.01
13.62,76.42,1.52
22.25,88.67,2.42
9.17,92.83,3.3
22.55,85.82,1.29
24.92,75.58,0.55
22.03,82.7,0.63
20.78,86.73,2.1
19.97,79.3,0.59
26.2,92.52,2.77
25.78,84.73,1.19
13.0,80.18,1.9
13.07,80.25,1.92
25.25,91.73,2.51
22.1,79.0,0.33
13.25,75.75,1.78
14.23,76.43,1.44
24.88,74.63,0.55
24.65,83.1,0.63
28.25,74.92,0.69
11.0,76.97,1.8
11.03,77.05,1.78
21.78,87.75,2.28
26.33,89.47,2.17
11.77,79.77,1.96
14.48,78.83,1.55
20.47,85.93,1.82
20.22,73.05,1.98
22.52,88.78,2.37
25.68,85.35,1.32
26.84,79.53,0.59
11.15,75.82,2.25
17.31,78.87,0.97
26.92,79.21,0.61
30.4,74.9,0.81
29.66,77.45,0.79
22.97,86.05,1.28
22.15,70.58,1.84
29.39,76.99,0.79
24.04,79.1,0.35
30.73,76.79,0.83
28.43,75.51,0.71
27.72,96.23,3.16
26.57,94.7,2.87
24.05,86.9,1.47
25.88,87.13,1.69
28.16,75.46,0.67
25.68,93.23,2.63
21.43,71.22,1.85
25.3,93.72,2.89
28.68,73.12,0.78
24.88,78.97,0.43
11.83,76.07,1.84
27.22,93.12,2.8
28.78,96.27,3.43
22.22,78.43,0.37
25.68,94.3,3.17
24.47,86.25,1.14
29.98,77.1,0.81
24.79,79.08,0.41
24.52,84.95,1.08
20.68,86.85,2.14
28.75,73.99,0.75
25.07,75.5,0.46
26.22,87.02,1.67
28.67,96.15,3.47
11.4,79.7,1.97
17.6,78.75,0.84
21.52,73.65,1.34
16.45,74.33,1.49
25.17,82.53,0.76
15.58,79.88,1.74
26.63,94.92,2.9
19.07,79.07,0.78
22.12,77.5,0.4
24.05,86.15,1.15
23.18,76.97,0.42
27.93,79.28,0.67
17.56,78.22,0.83
10.97,77.28,1.76
17.29,78.03,0.85
27.12,79.41,0.61
10.7,76.75,1.99
17.23,79.13,1.05
23.67,76.23,0.5
24.45,85.17,1.08
18.72,72.9,2.14
12.5,76.3,1.72
26.5,75.67,0.6
21.1,85.33,1.32
21.7,79.68,0.32
22.12,76.9,0.63
30.69,76.09,0.83
26.72,94.23,2.98
25.27,87.22,1.74
13.63,74.7,2.32
20.5,85.83,1.76
19.97,72.72,2.19
32.53,75.97,1.55
24.05,84.07,0.83
23.83,79.45,0.33
26.17,85.9,1.45
27.05,88.27,2.39
25.67,78.47,0.52
24.2,72.2,1.26
30.32,78.03,0.89
24.92,84.18,0.99
16.38,73.35,2.33
23.78,86.43,1.29
22.6,75.3,0.51
12.13,78.03,1.53
32.27,76.38,1.16
26.67,77.83,0.62
26.02,89.98,2.29
26.15,89.92,2.27
22.18,88.2,2.39
27.48,95.02,3.14
21.83,87.78,2.29
20.72,70.92,2.33
22.83,74.27,0.9
17.72,83.3,1.63
24.27,87.25,1.6
23.83,73.67,0.89
21.18,81.28,0.49
23.48,87.32,1.82
22.37,69.08,2.41
26.12,92.87,2.82
29.9,78.55,1.05
32.86,74.9,0.82
17.91,78.01,0.77
24.48,71.73,1.43
30.27,80.52,1.2
32.58,74.93,0.82
26.91,79.6,0.6
26.1,90.78,2.46
24.93,92.77,2.85
24.03,84.07,0.84
20.42,72.85,2.13
26.31,79.3,0.56
30.22,74.17,0.8
34.17,74.9,1.36
32.65,74.9,0.82
24.73,79.21,0.41
26.63,92.8,2.86
34.33,74.38,1.42
24.02,85.55,0.88
28.45,72.5,0.82
25.33,88.32,1.89
30.75,76.15,0.83
27.9,96.3,3.18
28.02,96.23,3.21
25.75,75.38,0.56
18.25,77.1,0.73
25.74,79.16,0.52
23.13,78.68,0.37
27.98,79.42,0.68
26.17,85.0,1.27
29.73,78.47,0.79
23.43,73.75,1.27
20.03,75.03,0.87
33.13,75.98,1.63
29.86,78.64,1.16
26.92,71.37,0.86
30.66,76.83,0.83
24.6,92.83,2.85
33.27,74.55,1.05
17.65,77.47,0.79
30.58,76.82,0.83
25.98,87.13,1.69
24.42,85.98,1.1
28.93,76.17,0.76
33.53,74.22,1.33
29.93,78.74,0.91
24.37,92.17,2.81
26.7,77.9,0.62
29.91,78.7,0.98
25.6,75.61,0.61
21.48,85.82,1.11
33.58,74.09,1.33
26.47,92.47,2.78
19.3,75.67,0.93
22.98,71.47,1.75
22.57,70.42,2.13
23.57,76.78,0.44
32.74,74.81,0.82
24.15,78.23,0.4
28.39,75.63,0.7
28.35,75.64,0.7
16.22,73.83,2.13
27.13,94.77,3.1
26.17,93.57,2.66
17.94,78.68,0.76
20.17,84.85,1.41
27.1,79.95,0.6
26.35,89.9,2.24
27.27,93.07,2.77
32.56,74.92,0.82
24.53,84.92,1.1
12.17,76.6,1.72
15.68,74.97,1.45
34.27,74.47,1.42
34.45,74.41,1.5
34.39,73.79,1.32
21.07,83.2,0.87
18.02,78.9,0.75
34.37,73.98,1.92
23.75,86.17,1.26
16.05,73.92,2.05
23.42,91.67,2.82
29.08,74.68,0.77
28.87,75.45,0.76
25.32,86.02,1.46
25.55,84.15,1.06
23.98,86.02,1.18
22.97,74.12,1.0
24.76,79.05,0.41
23.13,84.85,0.74
20.0,76.3,0.69
27.5,95.75,3.17
16.73,76.92,1.01
21.7,74.03,0.51
26.28,79.29,0.56
25.93,90.77,2.42
27.79,79.31,0.67
29.28,78.12,0.77
25.97,85.12,1.29
28.19,74.69,0.68
26.13,89.47,2.17
10.03,76.3,2.22
11.22,76.15,2.14
13.07,80.26,1.92
17.58,78.54,0.81
13.25,80.33,1.91
13.13,80.25,1.91
8.18,77.63,2.15
26.75,82.08,0.79
25.93,80.83,0.56
30.92,74.67,0.82
26.3,87.27,1.7
22.37,88.78,2.4
16.28,78.68,1.05
30.72,76.77,0.83
