Latitude,Longitude,PTrain_LC1
24.6,72.72,2.97
10.33,79.38,2.07
23.88,91.25,3.24
10.85,72.47,2.75
27.17,78.03,1.57
13.5,75.1,3.43
23.07,72.63,2.83
19.08,74.8,3.04
26.45,74.62,1.61
20.7,77.03,2.19
20.7,77.07,2.19
9.55,76.42,2.17
18.63,72.87,3.13
27.88,78.07,1.47
22.28,74.4,2.72
25.45,81.73,2.07
27.5,76.58,1.4
30.38,76.77,1.18
23.17,83.25,2.46
11.12,72.73,2.73
20.93,77.78,2.13
21.6,71.22,3.12
31.63,74.87,1.13
14.68,77.62,2.05
20.83,85.1,2.59
11.17,79.0,1.85
13.53,78.5,2.58
19.88,75.33,2.7
19.85,75.4,2.68
22.3,86.93,2.76
12.99,80.2,2.16
10.35,79.4,2.06
30.08,78.72,1.24
18.18,72.99,3.1
22.03,73.67,2.81
12.88,80.15,2.16
17.05,75.78,2.56
24.07,78.06,1.94
16.57,76.47,2.3
24.95,71.53,2.37
27.14,79.28,1.67
23.6,72.95,2.65
22.38,93.15,4.56
16.67,74.9,2.94
24.53,78.72,1.88
26.85,79.08,1.69
29.96,78.61,1.14
11.47,77.88,1.76
24.77,84.18,2.41
26.35,75.03,1.64
21.17,73.18,2.98
8.87,77.5,2.11
12.89,80.11,2.16
17.83,80.48,2.24
17.1,76.22,2.32
17.17,74.53,3.16
10.02,78.78,1.98
28.75,79.72,1.62
25.03,86.9,2.72
26.35,74.12,1.68
28.27,72.85,1.18
21.38,71.05,3.24
18.73,76.38,2.47
20.13,73.03,3.08
22.41,88.3,2.9
26.67,90.6,3.13
16.07,75.95,2.57
25.97,93.5,3.62
14.47,79.72,2.22
21.98,72.9,3.02
23.65,91.62,3.31
24.53,87.57,2.81
27.54,79.6,1.68
18.42,83.9,2.49
29.93,78.53,1.13
16.15,76.38,2.39
25.62,94.53,3.99
23.4,85.52,2.81
8.67,76.77,2.16
12.02,76.3,3.04
25.09,78.86,1.83
26.06,78.21,1.7
29.19,73.21,1.0
25.05,78.86,1.83
13.53,80.07,2.16
28.47,95.52,3.24
15.68,78.97,2.3
17.75,74.05,3.42
9.87,76.35,2.2
24.23,87.28,2.8
24.48,76.33,2.01
28.57,74.51,1.12
23.05,72.97,2.81
24.57,78.88,1.88
17.23,76.48,2.25
11.08,76.58,2.92
12.05,78.78,2.13
19.88,75.33,2.69
27.24,79.89,1.74
9.97,76.25,2.26
33.12,75.32,1.21
16.7,75.25,2.75
22.98,88.37,2.89
22.63,77.98,2.08
27.57,81.6,1.83
18.58,81.23,3.4
21.52,86.93,2.79
13.37,75.45,3.6
25.75,84.17,2.34
25.22,88.78,2.94
25.47,80.37,1.94
12.97,77.58,2.62
12.95,77.63,2.57
33.5,75.17,1.31
23.23,87.07,2.79
23.55,74.45,2.46
15.9,80.47,2.35
18.15,74.58,3.01
28.37,79.4,1.58
21.93,86.77,2.77
25.75,71.38,2.09
22.3,73.25,2.94
22.33,73.27,2.93
33.12,75.32,1.21
19.0,75.72,2.57
15.85,74.53,3.55
15.85,74.62,3.49
15.15,76.85,2.22
24.13,88.27,2.88
21.87,77.93,2.15
25.23,86.95,2.72
27.22,77.5,1.53
30.17,74.58,0.98
21.75,72.18,3.14
19.92,83.18,2.49
25.35,74.63,1.97
18.45,73.4,3.03
23.28,77.35,2.09
20.25,85.83,2.64
23.25,69.67,3.23
31.83,77.17,1.16
17.92,77.53,2.36
16.82,75.72,2.65
28.0,73.3,1.21
31.25,76.67,1.12
20.7,83.5,2.46
20.6,79.85,2.18
20.53,76.23,2.5
20.62,72.93,3.11
20.22,75.42,2.73
21.9,84.03,2.49
27.13,94.12,3.62
25.82,86.27,2.6
27.05,79.85,1.74
27.78,74.57,1.27
13.68,77.07,2.46
28.48,76.18,1.23
22.92,69.17,3.41
27.52,76.77,1.42
23.22,88.88,2.93
16.9,74.37,3.19
24.08,85.87,2.68
30.0,78.59,1.14
23.73,86.32,2.7
27.0,79.65,1.73
23.32,88.65,2.91
23.95,92.08,3.4
25.58,86.27,2.62
27.58,81.6,1.83
30.37,77.87,1.21
22.23,85.32,2.73
24.87,86.45,2.67
33.22,74.09,1.07
26.3,84.78,2.36
22.87,88.27,2.89
24.78,79.02,1.87
26.22,84.38,2.31
25.11,75.63,1.95
22.97,75.2,2.54
27.9,79.0,1.57
19.3,75.47,2.61
17.31,78.48,2.43
22.33,88.3,2.91
26.25,89.6,3.02
30.67,76.97,1.16
34.03,74.94,1.33
26.97,77.08,1.52
29.89,78.61,1.18
25.42,86.32,2.64
15.25,79.47,2.28
33.66,74.01,1.02
27.82,93.9,3.42
19.73,85.22,2.59
34.05,74.75,1.3
26.13,75.87,1.69
26.33,73.15,1.73
23.98,85.78,2.7
19.48,83.98,2.61
28.46,75.64,1.19
25.62,85.15,2.48
22.63,88.3,2.89
23.8,86.35,2.72
23.28,85.82,2.69
21.49,70.07,3.36
30.04,76.53,1.15
22.65,79.15,2.02
26.72,88.32,2.77
20.67,86.12,2.71
22.73,88.66,2.92
25.77,87.1,2.71
21.7,87.07,2.79
26.72,79.9,1.78
25.5,87.37,2.76
24.2,78.22,1.92
23.1,80.05,2.05
24.3,85.42,2.61
27.48,82.78,1.95
25.22,84.42,2.41
23.05,75.37,2.47
26.32,91.0,3.22
26.32,82.33,2.05
23.83,84.12,2.47
23.73,87.02,2.77
22.35,87.37,2.8
29.73,76.75,1.18
26.13,87.47,2.73
23.6,87.53,2.81
16.07,75.37,2.92
25.1,76.4,1.89
34.25,74.55,1.18
26.65,85.58,2.43
14.48,79.8,2.2
21.77,72.15,3.07
30.61,76.1,1.12
34.38,73.77,1.04
29.07,76.31,1.18
25.18,85.52,2.55
19.57,74.65,2.89
23.3,81.67,2.2
22.37,87.42,2.8
23.17,79.45,2.0
25.15,84.62,2.44
32.62,74.82,1.37
33.21,74.43,1.08
26.43,70.58,1.97
13.0,80.27,2.18
22.22,88.1,2.9
25.05,83.62,2.33
21.32,74.1,2.78
22.01,88.33,2.9
24.77,88.03,2.85
20.48,86.23,2.67
30.52,76.84,1.19
29.89,78.66,1.15
24.67,79.16,1.88
33.68,75.08,1.36
21.93,69.77,3.35
25.58,72.67,2.01
22.87,78.22,2.05
29.82,78.72,1.18
26.25,78.25,1.7
30.56,76.21,1.13
24.4,83.58,2.35
30.27,76.03,1.1
25.65,87.13,2.72
22.95,88.55,2.9
32.94,74.39,1.26
24.07,79.08,1.92
24.18,72.03,2.51
20.45,72.88,3.12
26.8,79.25,1.71
21.67,87.35,2.82
25.7,92.02,3.62
25.28,74.67,1.99
30.19,76.63,1.17
27.14,79.75,1.73
20.62,83.35,2.44
20.9,77.6,2.14
24.27,73.38,2.53
25.55,84.87,2.45
26.05,77.37,1.7
27.07,88.2,2.66
11.68,77.13,2.99
31.28,76.25,1.1
26.7,88.48,2.8
20.43,85.98,2.63
22.13,84.8,2.57
22.68,84.55,2.64
24.63,93.77,3.92
26.05,86.98,2.67
34.4,74.32,1.16
19.02,72.85,3.13
27.25,92.4,3.73
14.6,76.68,2.4
17.89,78.46,2.33
34.01,74.64,1.26
26.82,94.83,3.71
27.87,96.37,3.55
32.65,74.82,1.38
24.1,92.6,3.5
34.48,74.24,1.17
17.33,78.41,2.41
23.35,92.83,3.8
27.35,73.1,1.37
30.19,76.51,1.15
22.36,88.12,2.9
34.53,76.2,1.98
34.38,74.99,1.54
24.02,87.15,2.79
34.28,74.44,1.16
33.6,75.02,1.33
28.26,75.37,1.2
22.25,85.8,2.9
26.52,71.81,1.75
26.77,92.6,3.42
25.5,83.85,2.32
13.62,76.42,2.73
22.25,88.67,2.94
9.17,92.83,2.9
22.55,85.82,2.72
24.92,75.58,1.99
22.03,82.7,2.37
20.78,86.73,2.73
19.97,79.3,2.14
26.2,92.52,3.46
25.78,84.73,2.41
13.0,80.18,2.17
13.07,80.25,2.18
25.25,91.73,4.03
22.1,79.0,2.04
13.25,75.75,3.73
14.23,76.43,2.77
24.88,74.63,2.11
24.65,83.1,2.26
28.25,74.92,1.18
11.0,76.97,2.34
11.03,77.05,2.28
21.78,87.75,2.86
26.33,89.47,2.99
11.77,79.77,2.13
14.48,78.83,2.04
20.47,85.93,2.62
20.22,73.05,3.06
22.52,88.78,2.93
25.68,85.35,2.5
26.84,79.53,1.73
11.15,75.82,2.36
17.31,78.87,2.32
26.92,79.21,1.69
30.4,74.9,1.01
