Latitude,Longitude,PTrain_LC1
24.6,72.72,4.8
10.33,79.38,2.19
23.88,91.25,3.74
10.85,72.47,2.3
27.17,78.03,3.02
13.5,75.1,3.33
23.07,72.63,3.42
19.08,74.8,3.75
26.45,74.62,3.29
20.7,77.03,3.18
20.7,77.07,3.21
9.55,76.42,2.08
18.63,72.87,3.2
27.88,78.07,2.91
22.28,74.4,3.55
25.45,81.73,3.58
27.5,76.58,2.94
30.38,76.77,2.29
23.17,83.25,4.13
11.12,72.73,2.33
20.93,77.78,3.33
21.6,71.22,3.47
31.63,74.87,1.77
14.68,77.62,2.42
20.83,85.1,3.38
11.17,79.0,2.03
13.53,78.5,2.88
19.88,75.33,3.59
19.85,75.4,3.57
22.3,86.93,3.43
12.99,80.2,2.41
10.35,79.4,2.18
30.08,78.72,3.99
18.18,72.99,3.14
22.03,73.67,3.35
12.88,80.15,2.39
17.05,75.78,3.1
24.07,78.06,3.51
16.57,76.47,2.84
24.95,71.53,3.14
27.14,79.28,3.13
23.6,72.95,3.41
22.38,93.15,5.03
16.67,74.9,3.28
24.53,78.72,3.54
26.85,79.08,3.15
29.96,78.61,3.49
11.47,77.88,1.9
24.77,84.18,3.79
26.35,75.03,3.21
21.17,73.18,3.35
8.87,77.5,2.04
12.89,80.11,2.39
17.83,80.48,2.91
17.1,76.22,2.89
17.17,74.53,3.53
10.02,78.78,2.07
28.75,79.72,2.91
25.03,86.9,3.86
26.35,74.12,3.11
28.27,72.85,2.4
21.38,71.05,3.61
18.73,76.38,3.4
20.13,73.03,3.35
22.41,88.3,3.4
26.67,90.6,4.33
16.07,75.95,3.0
25.97,93.5,4.63
14.47,79.72,2.52
21.98,72.9,3.42
23.65,91.62,3.75
24.53,87.57,3.82
27.54,79.6,3.09
18.42,83.9,3.0
29.93,78.53,3.59
16.15,76.38,2.87
25.62,94.53,5.45
23.4,85.52,4.15
8.67,76.77,2.06
12.02,76.3,2.95
25.09,78.86,3.46
26.06,78.21,3.26
29.19,73.21,2.14
25.05,78.86,3.46
13.53,80.07,2.43
28.47,95.52,5.52
15.68,78.97,2.71
17.75,74.05,3.79
9.87,76.35,2.11
24.23,87.28,3.81
24.48,76.33,3.38
28.57,74.51,2.49
23.05,72.97,3.44
24.57,78.88,3.53
17.23,76.48,2.85
11.08,76.58,2.75
12.05,78.78,2.29
19.88,75.33,3.56
27.24,79.89,3.17
9.97,76.25,2.16
33.12,75.32,2.82
16.7,75.25,3.15
22.98,88.37,3.51
22.63,77.98,3.43
27.57,81.6,3.34
18.58,81.23,4.44
21.52,86.93,3.31
13.37,75.45,3.57
25.75,84.17,3.78
25.22,88.78,3.98
25.47,80.37,3.44
12.97,77.58,2.92
12.95,77.63,2.87
33.5,75.17,2.68
23.23,87.07,3.62
23.55,74.45,3.43
15.9,80.47,2.71
18.15,74.58,3.51
28.37,79.4,2.94
21.93,86.77,3.39
25.75,71.38,3.13
22.3,73.25,3.43
22.33,73.27,3.43
33.12,75.32,2.72
19.0,75.72,3.35
15.85,74.53,3.73
15.85,74.62,3.69
15.15,76.85,2.61
24.13,88.27,3.73
21.87,77.93,3.74
