Latitude,Longitude,PTrain_LC1
24.6,72.72,4.82
10.33,79.38,2.19
23.88,91.25,3.72
10.85,72.47,2.05
27.17,78.03,3.04
13.5,75.1,3.26
23.07,72.63,3.29
19.08,74.8,3.85
26.45,74.62,3.44
20.7,77.03,3.3
20.7,77.07,3.34
9.55,76.42,2.01
18.63,72.87,2.95
27.88,78.07,2.99
22.28,74.4,3.56
25.45,81.73,3.35
27.5,76.58,3.03
30.38,76.77,2.67
23.17,83.25,4.15
11.12,72.73,2.08
20.93,77.78,3.46
21.6,71.22,3.27
31.63,74.87,2.36
14.68,77.62,2.8
20.83,85.1,3.53
11.17,79.0,2.21
13.53,78.5,3.23
19.88,75.33,3.74
19.85,75.4,3.73
22.3,86.93,3.56
12.99,80.2,2.47
10.35,79.4,2.19
30.08,78.72,4.07
18.18,72.99,2.9
22.03,73.67,3.24
12.88,80.15,2.46
17.05,75.78,3.36
24.07,78.06,3.53
16.57,76.47,3.17
24.95,71.53,3.05
27.14,79.28,3.13
23.6,72.95,3.34
22.38,93.15,5.09
16.67,74.9,3.4
24.53,78.72,3.53
26.85,79.08,3.13
29.96,78.61,3.66
11.47,77.88,2.3
24.77,84.18,3.51
26.35,75.03,3.32
21.17,73.18,3.18
8.87,77.5,2.07
12.89,80.11,2.47
17.83,80.48,3.11
17.1,76.22,3.18
17.17,74.53,3.58
10.02,78.78,2.14
28.75,79.72,3.05
25.03,86.9,3.59
26.35,74.12,3.22
28.27,72.85,2.63
21.38,71.05,3.4
18.73,76.38,3.67
20.13,73.03,3.17
22.41,88.3,3.58
26.67,90.6,3.78
16.07,75.95,3.28
25.97,93.5,4.0
14.47,79.72,2.65
21.98,72.9,3.24
23.65,91.62,3.79
24.53,87.57,3.66
27.54,79.6,3.12
18.42,83.9,3.18
29.93,78.53,3.75
16.15,76.38,3.2
25.62,94.53,5.08
23.4,85.52,4.24
8.67,76.77,1.97
12.02,76.3,3.04
25.09,78.86,3.41
26.06,78.21,3.24
29.19,73.21,2.47
25.05,78.86,3.41
13.53,80.07,2.52
28.47,95.52,4.98
15.68,78.97,2.93
17.75,74.05,3.75
9.87,76.35,2.03
24.23,87.28,3.73
24.48,76.33,3.42
28.57,74.51,2.72
23.05,72.97,3.32
24.57,78.88,3.49
17.23,76.48,3.16
11.08,76.58,2.84
12.05,78.78,2.55
19.88,75.33,3.72
27.24,79.89,3.17
9.97,76.25,2.06
33.12,75.32,3.1
16.7,75.25,3.33
22.98,88.37,3.6
22.63,77.98,3.47
27.57,81.6,3.24
18.58,81.23,4.6
21.52,86.93,3.51
13.37,75.45,3.52
25.75,84.17,3.42
25.22,88.78,3.64
25.47,80.37,3.33
12.97,77.58,3.34
12.95,77.63,3.31
33.5,75.17,2.98
23.23,87.07,3.67
23.55,74.45,3.43
15.9,80.47,2.8
18.15,74.58,3.59
28.37,79.4,3.05
21.93,86.77,3.57
25.75,71.38,3.16
22.3,73.25,3.28
22.33,73.27,3.29
33.12,75.32,3.04
19.0,75.72,3.54
15.85,74.53,3.68
15.85,74.62,3.66
15.15,76.85,2.98
24.13,88.27,3.61
21.87,77.93,3.9
25.23,86.95,3.58
27.22,77.5,3.0
30.17,74.58,2.47
21.75,72.18,3.24
19.92,83.18,3.55
25.35,74.63,3.54
18.45,73.4,3.03
23.28,77.35,3.74
20.25,85.83,3.41
23.25,69.67,3.36
31.83,77.17,3.07
17.92,77.53,3.64
16.82,75.72,3.42
28.0,73.3,2.75
31.25,76.67,2.78
20.7,83.5,3.5
20.6,79.85,3.35
20.53,76.23,3.85
20.62,72.93,3.16
20.22,75.42,3.89
21.9,84.03,3.63
27.13,94.12,3.94
25.82,86.27,3.5
27.05,79.85,3.19
27.78,74.57,2.96
13.68,77.07,3.18
28.48,76.18,2.83
22.92,69.17,3.29
27.52,76.77,3.0
23.22,88.88,3.61
16.9,74.37,3.49
24.08,85.87,3.96
30.0,78.59,3.74
23.73,86.32,3.71
27.0,79.65,3.17
23.32,88.65,3.6
23.95,92.08,3.89
25.58,86.27,3.51
27.58,81.6,3.24
30.37,77.87,2.97
22.23,85.32,3.92
24.87,86.45,3.69
33.22,74.09,2.43
26.3,84.78,3.42
22.87,88.27,3.59
24.78,79.02,3.44
26.22,84.38,3.41
25.11,75.63,3.55
22.97,75.2,3.87
27.9,79.0,3.04
19.3,75.47,3.52
17.31,78.48,3.47
22.33,88.3,3.58
26.25,89.6,3.66
30.67,76.97,2.75
34.03,74.94,2.84
26.97,77.08,3.1
29.89,78.61,3.41
25.42,86.32,3.52
15.25,79.47,2.77
33.66,74.01,2.37
27.82,93.9,4.14
19.73,85.22,3.3
34.05,74.75,2.83
26.13,75.87,3.21
26.33,73.15,3.05
23.98,85.78,4.03
19.48,83.98,3.53
28.46,75.64,2.83
25.62,85.15,3.47
22.63,88.3,3.58
23.8,86.35,3.77
23.28,85.82,3.78
21.49,70.07,3.18
30.04,76.53,2.66
22.65,79.15,3.86
26.72,88.32,3.69
20.67,86.12,3.54
22.73,88.66,3.6
25.77,87.1,3.54
21.7,87.07,3.51
26.72,79.9,3.21
25.5,87.37,3.57
24.2,78.22,3.53
23.1,80.05,3.68
24.3,85.42,3.95
27.48,82.78,3.27
25.22,84.42,3.47
23.05,75.37,3.81
26.32,91.0,3.73
26.32,82.33,3.31
23.83,84.12,3.82
23.73,87.02,3.67
22.35,87.37,3.55
29.73,76.75,2.7
26.13,87.47,3.58
23.6,87.53,3.63
16.07,75.37,3.44
25.1,76.4,3.32
34.25,74.55,2.79
26.65,85.58,3.45
14.48,79.8,2.62
21.77,72.15,3.21
30.61,76.1,2.57
34.38,73.77,2.62
29.07,76.31,2.74
25.18,85.52,3.5
19.57,74.65,3.65
23.3,81.67,3.86
22.37,87.42,3.55
23.17,79.45,3.59
25.15,84.62,3.48
32.62,74.82,2.32
