Latitude,Longitude,PTrain_LC1
24.6,72.72,2.75
10.33,79.38,2.24
23.88,91.25,3.09
10.85,72.47,1.89
27.17,78.03,1.98
13.5,75.1,2.7
23.07,72.63,2.01
19.08,74.8,2.6
26.45,74.62,1.91
20.7,77.03,2.2
20.7,77.07,2.21
9.55,76.42,2.02
18.63,72.87,2.13
27.88,78.07,1.95
22.28,74.4,2.25
25.45,81.73,2.35
27.5,76.58,1.87
30.38,76.77,1.72
23.17,83.25,2.83
11.12,72.73,1.91
20.93,77.78,2.26
21.6,71.22,2.02
31.63,74.87,1.56
14.68,77.62,2.31
20.83,85.1,2.86
11.17,79.0,2.21
13.53,78.5,2.71
19.88,75.33,2.45
19.85,75.4,2.44
22.3,86.93,2.89
12.99,80.2,2.4
10.35,79.4,2.23
30.08,78.72,2.12
18.18,72.99,2.13
22.03,73.67,2.09
12.88,80.15,2.4
17.05,75.78,2.41
24.07,78.06,2.19
16.57,76.47,2.33
24.95,71.53,1.71
27.14,79.28,2.07
23.6,72.95,2.0
22.38,93.15,4.3
16.67,74.9,2.5
24.53,78.72,2.19
26.85,79.08,2.07
29.96,78.61,1.93
11.47,77.88,2.18
24.77,84.18,2.59
26.35,75.03,1.9
21.17,73.18,2.1
8.87,77.5,2.1
12.89,80.11,2.4
17.83,80.48,2.53
17.1,76.22,2.3
17.17,74.53,2.59
10.02,78.78,2.18
28.75,79.72,2.0
25.03,86.9,2.78
26.35,74.12,1.82
28.27,72.85,1.56
21.38,71.05,2.11
18.73,76.38,2.44
20.13,73.03,2.16
22.41,88.3,2.95
26.67,90.6,3.02
16.07,75.95,2.44
25.97,93.5,3.3
14.47,79.72,2.43
21.98,72.9,2.09
23.65,91.62,3.17
24.53,87.57,2.86
27.54,79.6,2.07
18.42,83.9,2.76
29.93,78.53,1.95
16.15,76.38,2.38
25.62,94.53,3.87
23.4,85.52,3.1
8.67,76.77,2.01
12.02,76.3,2.63
25.09,78.86,2.16
26.06,78.21,2.06
29.19,73.21,1.53
25.05,78.86,2.16
13.53,80.07,2.4
28.47,95.52,3.42
15.68,78.97,2.49
17.75,74.05,2.68
9.87,76.35,2.03
24.23,87.28,2.89
24.48,76.33,2.08
28.57,74.51,1.66
23.05,72.97,2.04
24.57,78.88,2.19
17.23,76.48,2.28
11.08,76.58,2.55
12.05,78.78,2.4
19.88,75.33,2.44
27.24,79.89,2.11
9.97,76.25,2.04
33.12,75.32,1.8
16.7,75.25,2.44
22.98,88.37,2.93
22.63,77.98,2.22
27.57,81.6,2.22
18.58,81.23,3.45
21.52,86.93,2.91
13.37,75.45,2.88
25.75,84.17,2.54
25.22,88.78,2.89
25.47,80.37,2.23
12.97,77.58,2.68
12.95,77.63,2.66
33.5,75.17,1.79
23.23,87.07,2.9
23.55,74.45,2.09
15.9,80.47,2.51
18.15,74.58,2.51
28.37,79.4,2.01
21.93,86.77,2.91
25.75,71.38,1.7
22.3,73.25,2.1
22.33,73.27,2.1
33.12,75.32,1.76
19.0,75.72,2.39
15.85,74.53,2.8
15.85,74.62,2.78
15.15,76.85,2.34
24.13,88.27,2.88
21.87,77.93,2.37
25.23,86.95,2.77
27.22,77.5,1.94
30.17,74.58,1.59
21.75,72.18,2.08
19.92,83.18,2.8
25.35,74.63,2.02
18.45,73.4,2.19
23.28,77.35,2.27
20.25,85.83,2.87
23.25,69.67,1.93
31.83,77.17,1.73
17.92,77.53,2.49
16.82,75.72,2.47
28.0,73.3,1.61
31.25,76.67,1.67
20.7,83.5,2.74
20.6,79.85,2.38
20.53,76.23,2.44
20.62,72.93,2.14
20.22,75.42,2.51
21.9,84.03,2.75
27.13,94.12,3.27
25.82,86.27,2.69
27.05,79.85,2.11
27.78,74.57,1.72
13.68,77.07,2.53
28.48,76.18,1.78
22.92,69.17,1.92
27.52,76.77,1.88
23.22,88.88,2.95
16.9,74.37,2.57
24.08,85.87,2.92
30.0,78.59,1.95
23.73,86.32,2.85
27.0,79.65,2.1
23.32,88.65,2.93
23.95,92.08,3.23
25.58,86.27,2.7
27.58,81.6,2.22
30.37,77.87,1.78
22.23,85.32,3.0
24.87,86.45,2.79
33.22,74.09,1.49
26.3,84.78,2.56
22.87,88.27,2.93
24.78,79.02,2.18
26.22,84.38,2.53
25.11,75.63,2.07
22.97,75.2,2.36
27.9,79.0,2.01
19.3,75.47,2.37
17.31,78.48,2.59
22.33,88.3,2.96
26.25,89.6,2.93
30.67,76.97,1.71
34.03,74.94,1.75
26.97,77.08,1.93
29.89,78.61,1.87
25.42,86.32,2.71
15.25,79.47,2.46
33.66,74.01,1.48
27.82,93.9,3.26
19.73,85.22,2.81
34.05,74.75,1.74
26.13,75.87,1.92
26.33,73.15,1.72
23.98,85.78,2.95
19.48,83.98,2.9
28.46,75.64,1.75
25.62,85.15,2.62
22.63,88.3,2.94
23.8,86.35,2.88
23.28,85.82,2.88
21.49,70.07,1.96
30.04,76.53,1.72
22.65,79.15,2.34
26.72,88.32,2.85
20.67,86.12,2.94
22.73,88.66,2.96
25.77,87.1,2.75
21.7,87.07,2.9
26.72,79.9,2.14
