Latitude,Longitude,PTrain_LC1
24.6,72.72,0.32
10.33,79.38,2.33
23.88,91.25,1.9
10.85,72.47,2.05
27.17,78.03,0.63
13.5,75.1,2.18
23.07,72.63,0.47
19.08,74.8,1.12
26.45,74.62,0.54
20.7,77.03,0.89
20.7,77.07,0.89
9.55,76.42,2.21
18.63,72.87,1.05
27.88,78.07,0.6
22.28,74.4,0.64
25.45,81.73,0.87
27.5,76.58,0.6
30.38,76.77,0.47
23.17,83.25,1.25
11.12,72.73,2.03
20.93,77.78,0.88
21.6,71.22,0.58
31.63,74.87,0.42
14.68,77.62,1.71
20.83,85.1,1.53
11.17,79.0,2.15
13.53,78.5,2.25
19.88,75.33,1.0
19.85,75.4,1.01
22.3,86.93,1.53
12.99,80.2,2.16
10.35,79.4,2.32
30.08,78.72,0.23
18.18,72.99,1.12
22.03,73.67,0.61
12.88,80.15,2.17
17.05,75.78,1.41
24.07,78.06,0.71
16.57,76.47,1.44
24.95,71.53,0.43
27.14,79.28,0.62
23.6,72.95,0.47
22.38,93.15,2.73
16.67,74.9,1.5
24.53,78.72,0.69
26.85,79.08,0.63
29.96,78.61,0.27
11.47,77.88,2.04
24.77,84.18,1.21
26.35,75.03,0.57
21.17,73.18,0.68
8.87,77.5,2.33
12.89,80.11,2.16
17.83,80.48,1.48
17.1,76.22,1.34
17.17,74.53,1.44
10.02,78.78,2.28
28.75,79.72,0.56
25.03,86.9,1.47
26.35,74.12,0.55
28.27,72.85,0.54
21.38,71.05,0.6
18.73,76.38,1.17
20.13,73.03,0.82
22.41,88.3,1.65
26.67,90.6,1.91
16.07,75.95,1.59
25.97,93.5,2.25
14.47,79.72,1.94
21.98,72.9,0.57
23.65,91.62,1.97
24.53,87.57,1.54
27.54,79.6,0.6
18.42,83.9,1.72
29.93,78.53,0.25
16.15,76.38,1.54
25.62,94.53,2.53
23.4,85.52,1.5
8.67,76.77,2.27
12.02,76.3,2.43
25.09,78.86,0.67
26.06,78.21,0.65
29.19,73.21,0.51
25.05,78.86,0.68
13.53,80.07,2.07
28.47,95.52,2.01
15.68,78.97,1.75
17.75,74.05,1.34
9.87,76.35,2.2
24.23,87.28,1.52
24.48,76.33,0.67
28.57,74.51,0.53
23.05,72.97,0.48
24.57,78.88,0.69
17.23,76.48,1.3
11.08,76.58,2.52
12.05,78.78,2.22
19.88,75.33,1.0
27.24,79.89,0.61
9.97,76.25,2.21
33.12,75.32,0.31
16.7,75.25,1.47
22.98,88.37,1.62
22.63,77.98,0.78
27.57,81.6,0.75
18.58,81.23,1.85
21.52,86.93,1.6
13.37,75.45,2.32
25.75,84.17,1.18
25.22,88.78,1.66
25.47,80.37,0.66
12.97,77.58,2.33
12.95,77.63,2.31
33.5,75.17,0.36
23.23,87.07,1.51
23.55,74.45,0.57
15.9,80.47,1.82
18.15,74.58,1.24
28.37,79.4,0.57
21.93,86.77,1.55
25.75,71.38,0.44
22.3,73.25,0.55
22.33,73.27,0.55
33.12,75.32,0.31
19.0,75.72,1.11
15.85,74.53,1.76
15.85,74.62,1.75
15.15,76.85,1.66
24.13,88.27,1.58
21.87,77.93,0.83
25.23,86.95,1.48
27.22,77.5,0.63
30.17,74.58,0.46
21.75,72.18,0.58
19.92,83.18,1.49
25.35,74.63,0.55
18.45,73.4,1.09
23.28,77.35,0.74
20.25,85.83,1.65
23.25,69.67,0.35
31.83,77.17,0.31
17.92,77.53,1.33
16.82,75.72,1.47
28.0,73.3,0.52
31.25,76.67,0.37
20.7,83.5,1.4
20.6,79.85,1.03
20.53,76.23,0.95
20.62,72.93,0.75
20.22,75.42,0.97
21.9,84.03,1.34
27.13,94.12,2.25
25.82,86.27,1.41
27.05,79.85,0.61
27.78,74.57,0.55
13.68,77.07,2.07
28.48,76.18,0.56
22.92,69.17,0.37
27.52,76.77,0.61
23.22,88.88,1.66
16.9,74.37,1.47
24.08,85.87,1.46
30.0,78.59,0.25
23.73,86.32,1.45
27.0,79.65,0.62
23.32,88.65,1.63
23.95,92.08,2.06
25.58,86.27,1.41
27.58,81.6,0.75
30.37,77.87,0.42
22.23,85.32,1.5
24.87,86.45,1.45
33.22,74.09,0.33
26.3,84.78,1.24
22.87,88.27,1.61
24.78,79.02,0.68
26.22,84.38,1.2
25.11,75.63,0.61
22.97,75.2,0.66
27.9,79.0,0.59
19.3,75.47,1.06
17.31,78.48,1.53
22.33,88.3,1.66
26.25,89.6,1.77
30.67,76.97,0.43
34.03,74.94,0.39
26.97,77.08,0.62
29.89,78.61,0.34
25.42,86.32,1.41
15.25,79.47,1.83
33.66,74.01,0.35
27.82,93.9,2.24
19.73,85.22,1.65
34.05,74.75,0.38
26.13,75.87,0.62
26.33,73.15,0.53
23.98,85.78,1.46
19.48,83.98,1.64
28.46,75.64,0.55
25.62,85.15,1.3
22.63,88.3,1.63
23.8,86.35,1.46
23.28,85.82,1.44
21.49,70.07,0.56
30.04,76.53,0.49
22.65,79.15,0.76
26.72,88.32,1.64
20.67,86.12,1.65
22.73,88.66,1.67
