Latitude,Longitude,PTrain_LC1
24.6,72.72,0.22
10.33,79.38,2.23
23.88,91.25,0.95
10.85,72.47,1.46
27.17,78.03,0.38
13.5,75.1,1.7
23.07,72.63,0.17
19.08,74.8,0.64
26.45,74.62,0.48
20.7,77.03,0.49
20.7,77.07,0.5
9.55,76.42,2.0
18.63,72.87,0.47
27.88,78.07,0.36
22.28,74.4,0.27
25.45,81.73,0.43
27.5,76.58,0.44
30.38,76.77,0.27
23.17,83.25,0.65
11.12,72.73,1.46
20.93,77.78,0.52
21.6,71.22,0.16
31.63,74.87,0.2
14.68,77.62,1.37
20.83,85.1,0.84
11.17,79.0,2.02
13.53,78.5,1.96
19.88,75.33,0.57
19.85,75.4,0.58
22.3,86.93,0.82
12.99,80.2,1.89
10.35,79.4,2.22
30.08,78.72,0.07
18.18,72.99,0.53
22.03,73.67,0.22
12.88,80.15,1.91
17.05,75.78,0.97
24.07,78.06,0.43
16.57,76.47,1.04
24.95,71.53,0.22
27.14,79.28,0.32
23.6,72.95,0.19
22.38,93.15,1.28
16.67,74.9,0.99
24.53,78.72,0.41
26.85,79.08,0.33
29.96,78.61,0.15
11.47,77.88,1.93
24.77,84.18,0.58
26.35,75.03,0.47
21.17,73.18,0.25
8.87,77.5,2.28
12.89,80.11,1.9
17.83,80.48,0.95
17.1,76.22,0.93
17.17,74.53,0.9
10.02,78.78,2.21
28.75,79.72,0.26
25.03,86.9,0.68
26.35,74.12,0.45
28.27,72.85,0.44
21.38,71.05,0.17
18.73,76.38,0.79
20.13,73.03,0.33
22.41,88.3,0.96
26.67,90.6,0.95
16.07,75.95,1.16
25.97,93.5,1.06
14.47,79.72,1.56
21.98,72.9,0.21
23.65,91.62,1.01
24.53,87.57,0.71
27.54,79.6,0.29
18.42,83.9,1.2
29.93,78.53,0.13
16.15,76.38,1.14
25.62,94.53,1.17
23.4,85.52,0.73
8.67,76.77,2.13
12.02,76.3,2.13
25.09,78.86,0.39
26.06,78.21,0.4
29.19,73.21,0.39
25.05,78.86,0.39
13.53,80.07,1.77
28.47,95.52,0.98
15.68,78.97,1.3
17.75,74.05,0.77
9.87,76.35,1.96
24.23,87.28,0.71
24.48,76.33,0.41
28.57,74.51,0.42
23.05,72.97,0.18
24.57,78.88,0.4
17.23,76.48,0.91
11.08,76.58,2.3
12.05,78.78,2.03
19.88,75.33,0.57
27.24,79.89,0.28
9.97,76.25,1.95
33.12,75.32,0.33
16.7,75.25,1.0
22.98,88.37,0.85
22.63,77.98,0.44
27.57,81.6,0.38
18.58,81.23,1.18
21.52,86.93,0.98
13.37,75.45,1.88
25.75,84.17,0.59
25.22,88.78,0.76
25.47,80.37,0.29
12.97,77.58,2.14
12.95,77.63,2.13
33.5,75.17,0.39
23.23,87.07,0.74
23.55,74.45,0.26
15.9,80.47,1.39
18.15,74.58,0.73
28.37,79.4,0.28
21.93,86.77,0.88
25.75,71.38,0.33
22.3,73.25,0.21
22.33,73.27,0.21
33.12,75.32,0.32
19.0,75.72,0.68
15.85,74.53,1.19
15.85,74.62,1.2
15.15,76.85,1.31
24.13,88.27,0.74
21.87,77.93,0.52
25.23,86.95,0.69
27.22,77.5,0.4
30.17,74.58,0.29
21.75,72.18,0.2
19.92,83.18,0.84
25.35,74.63,0.41
18.45,73.4,0.51
23.28,77.35,0.46
20.25,85.83,1.02
23.25,69.67,0.09
31.83,77.17,0.23
17.92,77.53,0.95
16.82,75.72,1.03
28.0,73.3,0.44
31.25,76.67,0.23
20.7,83.5,0.73
20.6,79.85,0.55
20.53,76.23,0.58
20.62,72.93,0.29
20.22,75.42,0.56
21.9,84.03,0.65
27.13,94.12,1.12
25.82,86.27,0.68
27.05,79.85,0.29
27.78,74.57,0.47
13.68,77.07,1.81
28.48,76.18,0.4
22.92,69.17,0.08
27.52,76.77,0.43
23.22,88.88,0.83
16.9,74.37,0.92
24.08,85.87,0.7
30.0,78.59,0.13
23.73,86.32,0.68
27.0,79.65,0.3
23.32,88.65,0.81
23.95,92.08,1.0
25.58,86.27,0.67
27.58,81.6,0.38
30.37,77.87,0.25
22.23,85.32,0.75
24.87,86.45,0.68
