Latitude,Longitude,PTrain_LC1
24.6,72.72,0.22
10.33,79.38,1.94
23.88,91.25,0.51
10.85,72.47,0.9
27.17,78.03,0.46
13.5,75.1,0.82
23.07,72.63,0.05
19.08,74.8,0.14
26.45,74.62,0.53
20.7,77.03,0.23
20.7,77.07,0.23
9.55,76.42,1.62
18.63,72.87,0.04
27.88,78.07,0.51
22.28,74.4,0.06
25.45,81.73,0.4
27.5,76.58,0.53
30.38,76.77,0.67
23.17,83.25,0.46
11.12,72.73,0.91
20.93,77.78,0.21
21.6,71.22,-0.13
31.63,74.87,0.67
14.68,77.62,0.96
20.83,85.1,0.55
11.17,79.0,1.78
13.53,78.5,1.38
19.88,75.33,0.18
19.85,75.4,0.19
22.3,86.93,0.51
12.99,80.2,1.62
10.35,79.4,1.94
30.08,78.72,0.56
18.18,72.99,0.09
22.03,73.67,0.06
12.88,80.15,1.63
17.05,75.78,0.48
24.07,78.06,0.31
16.57,76.47,0.58
24.95,71.53,0.31
27.14,79.28,0.43
23.6,72.95,0.13
22.38,93.15,0.55
16.67,74.9,0.39
24.53,78.72,0.31
26.85,79.08,0.41
29.96,78.61,0.67
11.47,77.88,1.55
24.77,84.18,0.51
26.35,75.03,0.51
21.17,73.18,-0.01
8.87,77.5,1.83
12.89,80.11,1.62
17.83,80.48,0.71
17.1,76.22,0.49
17.17,74.53,0.26
10.02,78.78,1.9
28.75,79.72,0.59
25.03,86.9,0.57
26.35,74.12,0.5
28.27,72.85,0.52
21.38,71.05,-0.21
18.73,76.38,0.36
20.13,73.03,-0.04
22.41,88.3,0.53
26.67,90.6,0.72
16.07,75.95,0.63
25.97,93.5,0.62
14.47,79.72,1.27
21.98,72.9,-0.04
23.65,91.62,0.49
24.53,87.57,0.53
27.54,79.6,0.47
18.42,83.9,0.86
29.93,78.53,0.64
16.15,76.38,0.64
25.62,94.53,0.81
23.4,85.52,0.45
8.67,76.77,1.74
12.02,76.3,1.36
25.09,78.86,0.32
26.06,78.21,0.4
29.19,73.21,0.52
25.05,78.86,0.32
13.53,80.07,1.5
28.47,95.52,1.03
15.68,78.97,0.93
17.75,74.05,0.07
9.87,76.35,1.58
24.23,87.28,0.5
24.48,76.33,0.36
28.57,74.51,0.55
23.05,72.97,0.05
24.57,78.88,0.3
17.23,76.48,0.48
11.08,76.58,1.52
12.05,78.78,1.58
19.88,75.33,0.18
27.24,79.89,0.44
9.97,76.25,1.55
33.12,75.32,0.89
16.7,75.25,0.45
22.98,88.37,0.52
22.63,77.98,0.24
27.57,81.6,0.56
18.58,81.23,0.79
21.52,86.93,0.56
13.37,75.45,1.05
25.75,84.17,0.56
25.22,88.78,0.58
25.47,80.37,0.28
12.97,77.58,1.57
12.95,77.63,1.55
33.5,75.17,0.95
23.23,87.07,0.48
23.55,74.45,0.2
15.9,80.47,1.09
18.15,74.58,0.18
28.37,79.4,0.55
21.93,86.77,0.52
25.75,71.38,0.38
22.3,73.25,-0.01
22.33,73.27,-0.0
33.12,75.32,0.88
19.0,75.72,0.27
15.85,74.53,0.4
15.85,74.62,0.43
15.15,76.85,0.82
24.13,88.27,0.52
21.87,77.93,0.26
25.23,86.95,0.58
27.22,77.5,0.48
30.17,74.58,0.57
21.75,72.18,-0.1
19.92,83.18,0.55
25.35,74.63,0.42
18.45,73.4,0.08
23.28,77.35,0.3
20.25,85.83,0.66
23.25,69.67,-0.15
31.83,77.17,0.81
17.92,77.53,0.5
16.82,75.72,0.51
28.0,73.3,0.52
31.25,76.67,0.76
20.7,83.5,0.51
20.6,79.85,0.3
20.53,76.23,0.25
20.62,72.93,-0.06
20.22,75.42,0.18
21.9,84.03,0.45
27.13,94.12,0.78
25.82,86.27,0.62
27.05,79.85,0.42
27.78,74.57,0.56
13.68,77.07,1.22
28.48,76.18,0.56
22.92,69.17,-0.22
27.52,76.77,0.52
23.22,88.88,0.52
16.9,74.37,0.25
24.08,85.87,0.49
30.0,78.59,0.65
23.73,86.32,0.48
27.0,79.65,0.42
23.32,88.65,0.52
23.95,92.08,0.47
25.58,86.27,0.6
27.58,81.6,0.56
30.37,77.87,0.73
22.23,85.32,0.43
24.87,86.45,0.55
33.22,74.09,0.82
26.3,84.78,0.63
22.87,88.27,0.51
24.78,79.02,0.3
26.22,84.38,0.6
25.11,75.63,0.42
22.97,75.2,0.17
27.9,79.0,0.5
19.3,75.47,0.23
17.31,78.48,0.63
22.33,88.3,0.53
26.25,89.6,0.67
30.67,76.97,0.71
34.03,74.94,1.0
26.97,77.08,0.49
29.89,78.61,0.7
25.42,86.32,0.59
15.25,79.47,1.09
33.66,74.01,0.87
27.82,93.9,0.97
19.73,85.22,0.73
34.05,74.75,0.99
26.13,75.87,0.48
26.33,73.15,0.47
23.98,85.78,0.48
19.48,83.98,0.62
28.46,75.64,0.56
25.62,85.15,0.58
22.63,88.3,0.52
23.8,86.35,0.48
23.28,85.82,0.46
21.49,70.07,-0.21
30.04,76.53,0.63
22.65,79.15,0.21
26.72,88.32,0.74
20.67,86.12,0.59
22.73,88.66,0.53
25.77,87.1,0.62
21.7,87.07,0.56
26.72,79.9,0.39
25.5,87.37,0.6
24.2,78.22,0.31
23.1,80.05,0.22
24.3,85.42,0.51
27.48,82.78,0.63
25.22,84.42,0.54
23.05,75.37,0.2
26.32,91.0,0.67
26.32,82.33,0.5
23.83,84.12,0.47
23.73,87.02,0.49
22.35,87.37,0.52
29.73,76.75,0.62
26.13,87.47,0.66
23.6,87.53,0.5
16.07,75.37,0.55
25.1,76.4,0.4
34.25,74.55,1.0
26.65,85.58,0.68
14.48,79.8,1.29
21.77,72.15,-0.07
30.61,76.1,0.66
34.38,73.77,0.95
29.07,76.31,0.58
25.18,85.52,0.56
19.57,74.65,0.09
23.3,81.67,0.36
22.37,87.42,0.52
23.17,79.45,0.15
25.15,84.62,0.54
32.62,74.82,0.76
33.21,74.43,0.83
26.43,70.58,0.46
13.0,80.27,1.62
22.22,88.1,0.53
25.05,83.62,0.49
21.32,74.1,0.04
22.01,88.33,0.56
24.77,88.03,0.55
20.48,86.23,0.65
30.52,76.84,0.68
29.89,78.66,0.63
24.67,79.16,0.28
33.68,75.08,0.98
21.93,69.77,-0.22
25.58,72.67,0.4
22.87,78.22,0.23
29.82,78.72,0.69
26.25,78.25,0.4
30.56,76.21,0.66
24.4,83.58,0.47
30.27,76.03,0.63
25.65,87.13,0.61
22.95,88.55,0.52
32.94,74.39,0.77
24.07,79.08,0.27
24.18,72.03,0.21
20.45,72.88,-0.06
26.8,79.25,0.41
21.67,87.35,0.56
25.7,92.02,0.68
25.28,74.67,0.41
30.19,76.63,0.65
27.14,79.75,0.43
20.62,83.35,0.51
20.9,77.6,0.21
24.27,73.38,0.18
25.55,84.87,0.57
26.05,77.37,0.43
27.07,88.2,0.94
11.68,77.13,1.74
31.28,76.25,0.74
26.7,88.48,0.73
20.43,85.98,0.66
22.13,84.8,0.46
22.68,84.55,0.44
24.63,93.77,0.56
26.05,86.98,0.65
34.4,74.32,1.0
19.02,72.85,0.01
27.25,92.4,0.84
14.6,76.68,0.94
17.89,78.46,0.54
34.01,74.64,1.02
26.82,94.83,0.79
27.87,96.37,1.1
32.65,74.82,0.77
24.1,92.6,0.46
34.48,74.24,1.05
17.33,78.41,0.62
23.35,92.83,0.41
27.35,73.1,0.52
30.19,76.51,0.64
22.36,88.12,0.53
34.53,76.2,2.26
34.38,74.99,1.46
24.02,87.15,0.49
34.28,74.44,0.99
33.6,75.02,1.01
28.26,75.37,0.56
22.25,85.8,0.39
26.52,71.81,0.48
26.77,92.6,0.74
25.5,83.85,0.53
13.62,76.42,1.14
22.25,88.67,0.55
9.17,92.83,3.54
22.55,85.82,0.44
24.92,75.58,0.4
22.03,82.7,0.4
20.78,86.73,0.64
19.97,79.3,0.31
26.2,92.52,0.64
25.78,84.73,0.58
13.0,80.18,1.61
13.07,80.25,1.61
25.25,91.73,0.68
22.1,79.0,0.19
13.25,75.75,1.28
14.23,76.43,1.04
24.88,74.63,0.36
24.65,83.1,0.48
28.25,74.92,0.56
11.0,76.97,1.55
11.03,77.05,1.55
21.78,87.75,0.56
26.33,89.47,0.68
11.77,79.77,1.77
14.48,78.83,1.17
20.47,85.93,0.66
20.22,73.05,-0.03
22.52,88.78,0.54
25.68,85.35,0.59
26.84,79.53,0.4
11.15,75.82,1.35
17.31,78.87,0.65
26.92,79.21,0.42
30.4,74.9,0.59
29.66,77.45,0.63
22.97,86.05,0.44
22.15,70.58,-0.19
29.39,76.99,0.6
24.04,79.1,0.27
30.73,76.79,0.7
28.43,75.51,0.56
27.72,96.23,0.97
26.57,94.7,0.79
24.05,86.9,0.48
25.88,87.13,0.63
28.16,75.46,0.57
25.68,93.23,0.6
21.43,71.22,-0.17
25.3,93.72,0.75
28.68,73.12,0.52
24.88,78.97,0.3
11.83,76.07,1.33
27.22,93.12,0.98
28.78,96.27,0.94
22.22,78.43,0.28
25.68,94.3,0.85
24.47,86.25,0.52
29.98,77.1,0.65
24.79,79.08,0.3
24.52,84.95,0.51
20.68,86.85,0.66
28.75,73.99,0.53
25.07,75.5,0.41
26.22,87.02,0.67
28.67,96.15,1.14
11.4,79.7,1.83
17.6,78.75,0.6
21.52,73.65,-0.07
16.45,74.33,0.29
25.17,82.53,0.44
15.58,79.88,1.08
26.63,94.92,0.82
19.07,79.07,0.41
22.12,77.5,0.26
24.05,86.15,0.48
23.18,76.97,0.29
27.93,79.28,0.5
17.56,78.22,0.57
10.97,77.28,1.58
17.29,78.03,0.62
27.12,79.41,0.43
10.7,76.75,1.54
17.23,79.13,0.68
23.67,76.23,0.3
24.45,85.17,0.51
18.72,72.9,-0.01
12.5,76.3,1.34
26.5,75.67,0.5
21.1,85.33,0.53
21.7,79.68,0.21
22.12,76.9,0.24
30.69,76.09,0.66
26.72,94.23,0.73
25.27,87.22,0.59
13.63,74.7,0.85
