Latitude,Longitude,PTrain_RFL
24.6,72.72,4.52
10.33,79.38,18.68
23.88,91.25,10.79
10.85,72.47,4.67
27.17,78.03,8.08
13.5,75.1,0.15
23.07,72.63,1.73
19.08,74.8,-0.8
26.45,74.62,4.0
20.7,77.03,4.35
20.7,77.07,4.6
9.55,76.42,15.31
18.63,72.87,-1.02
27.88,78.07,8.89
22.28,74.4,1.61
25.45,81.73,12.96
27.5,76.58,6.11
30.38,76.77,12.63
23.17,83.25,13.97
11.12,72.73,4.42
20.93,77.78,7.44
21.6,71.22,-0.99
31.63,74.87,13.75
14.68,77.62,0.25
20.83,85.1,8.84
11.17,79.0,10.89
13.53,78.5,1.84
19.88,75.33,0.54
19.85,75.4,0.61
22.3,86.93,9.67
12.99,80.2,12.06
10.35,79.4,18.64
30.08,78.72,34.53
18.18,72.99,-1.2
22.03,73.67,1.19
12.88,80.15,12.09
17.05,75.78,-1.64
24.07,78.06,8.87
16.57,76.47,-0.58
24.95,71.53,0.34
27.14,79.28,10.91
23.6,72.95,1.63
22.38,93.15,19.41
16.67,74.9,-2.97
24.53,78.72,10.85
26.85,79.08,10.19
29.96,78.61,31.69
11.47,77.88,3.83
24.77,84.18,11.97
26.35,75.03,3.97
21.17,73.18,0.72
8.87,77.5,17.39
12.89,80.11,11.75
17.83,80.48,4.1
17.1,76.22,-0.66
17.17,74.53,-2.7
10.02,78.78,16.15
28.75,79.72,14.65
25.03,86.9,10.96
26.35,74.12,2.58
28.27,72.85,0.01
21.38,71.05,-1.04
18.73,76.38,2.06
20.13,73.03,-0.28
22.41,88.3,10.65
26.67,90.6,14.72
16.07,75.95,-2.12
25.97,93.5,16.95
14.47,79.72,6.92
21.98,72.9,2.02
23.65,91.62,11.31
24.53,87.57,10.61
27.54,79.6,11.92
18.42,83.9,9.09
29.93,78.53,31.69
16.15,76.38,-1.23
25.62,94.53,25.02
23.4,85.52,12.56
8.67,76.77,20.0
12.02,76.3,1.8
25.09,78.86,10.74
26.06,78.21,8.78
29.19,73.21,0.84
25.05,78.86,10.73
13.53,80.07,10.09
28.47,95.52,29.38
15.68,78.97,2.67
17.75,74.05,-2.07
9.87,76.35,14.16
24.23,87.28,10.6
24.48,76.33,4.77
28.57,74.51,3.01
23.05,72.97,1.94
24.57,78.88,11.07
17.23,76.48,0.24
11.08,76.58,4.62
12.05,78.78,6.36
19.88,75.33,0.49
27.24,79.89,12.39
9.97,76.25,14.18
33.12,75.32,65.79
16.7,75.25,-2.76
22.98,88.37,10.07
22.63,77.98,8.0
27.57,81.6,14.42
18.58,81.23,7.66
21.52,86.93,10.46
13.37,75.45,-0.52
25.75,84.17,12.73
25.22,88.78,11.78
25.47,80.37,12.88
12.97,77.58,0.11
12.95,77.63,0.2
33.5,75.17,71.47
23.23,87.07,9.88
23.55,74.45,2.17
15.9,80.47,7.58
18.15,74.58,-2.18
28.37,79.4,12.93
21.93,86.77,9.92
25.75,71.38,0.28
22.3,73.25,2.21
22.33,73.27,2.2
33.12,75.32,63.5
19.0,75.72,0.11
15.85,74.53,-2.31
15.85,74.62,-2.43
15.15,76.85,-0.95
24.13,88.27,10.15
21.87,77.93,9.51
25.23,86.95,11.17
27.22,77.5,6.99
30.17,74.58,6.03
21.75,72.18,1.55
19.92,83.18,7.65
25.35,74.63,3.56
18.45,73.4,-1.68
23.28,77.35,7.4
20.25,85.83,9.64
23.25,69.67,1.2
31.83,77.17,41.05
17.92,77.53,3.8
16.82,75.72,-1.88
28.0,73.3,1.0
