Latitude,Longitude,PTrain_RFL
24.6,72.72,-0.83
10.33,79.38,16.85
23.88,91.25,29.04
10.85,72.47,4.0
27.17,78.03,8.62
13.5,75.1,-2.14
23.07,72.63,3.24
19.08,74.8,-1.74
26.45,74.62,3.16
20.7,77.03,4.7
20.7,77.07,4.86
9.55,76.42,16.07
18.63,72.87,-1.54
27.88,78.07,9.8
22.28,74.4,2.55
25.45,81.73,13.0
27.5,76.58,7.48
30.38,76.77,15.15
23.17,83.25,16.12
11.12,72.73,3.34
20.93,77.78,7.57
21.6,71.22,-1.15
31.63,74.87,15.42
14.68,77.62,0.6
20.83,85.1,17.87
11.17,79.0,10.31
13.53,78.5,1.83
19.88,75.33,-0.14
19.85,75.4,-0.05
22.3,86.93,23.8
12.99,80.2,9.39
10.35,79.4,16.81
30.08,78.72,50.32
18.18,72.99,-1.99
22.03,73.67,3.36
12.88,80.15,9.41
17.05,75.78,-2.08
24.07,78.06,8.88
16.57,76.47,-0.56
24.95,71.53,1.2
27.14,79.28,10.55
23.6,72.95,2.69
22.38,93.15,42.47
16.67,74.9,-4.03
24.53,78.72,11.26
26.85,79.08,9.98
29.96,78.61,45.1
11.47,77.88,5.43
24.77,84.18,13.7
26.35,75.03,3.49
21.17,73.18,2.33
8.87,77.5,19.63
12.89,80.11,9.16
17.83,80.48,6.32
17.1,76.22,-0.68
17.17,74.53,-3.96
10.02,78.78,15.86
28.75,79.72,13.25
25.03,86.9,16.56
26.35,74.12,2.18
28.27,72.85,2.93
21.38,71.05,-1.88
18.73,76.38,1.67
20.13,73.03,0.39
22.41,88.3,28.65
26.67,90.6,19.3
16.07,75.95,-2.56
25.97,93.5,25.13
14.47,79.72,5.76
21.98,72.9,3.81
23.65,91.62,30.99
24.53,87.57,19.24
27.54,79.6,10.99
18.42,83.9,15.64
29.93,78.53,45.79
16.15,76.38,-1.33
25.62,94.53,43.05
23.4,85.52,18.91
8.67,76.77,22.19
12.02,76.3,0.95
25.09,78.86,11.13
26.06,78.21,9.22
29.19,73.21,4.79
25.05,78.86,11.11
13.53,80.07,7.96
28.47,95.52,62.29
15.68,78.97,2.73
17.75,74.05,-3.51
9.87,76.35,14.33
24.23,87.28,19.87
24.48,76.33,4.4
28.57,74.51,5.91
23.05,72.97,3.59
24.57,78.88,11.48
17.23,76.48,0.37
11.08,76.58,4.2
12.05,78.78,5.6
19.88,75.33,-0.14
27.24,79.89,11.14
9.97,76.25,13.95
33.12,75.32,85.65
16.7,75.25,-3.53
22.98,88.37,26.29
22.63,77.98,8.06
27.57,81.6,14.45
18.58,81.23,11.31
21.52,86.93,26.03
13.37,75.45,-2.15
25.75,84.17,13.46
25.22,88.78,18.54
25.47,80.37,11.53
12.97,77.58,2.04
12.95,77.63,2.13
33.5,75.17,91.04
23.23,87.07,22.36
23.55,74.45,3.03
15.9,80.47,7.98
18.15,74.58,-3.07
28.37,79.4,12.33
21.93,86.77,24.54
25.75,71.38,-0.03
22.3,73.25,4.32
22.33,73.27,4.32
33.12,75.32,82.3
19.0,75.72,-0.28
15.85,74.53,-4.17
15.85,74.62,-4.2
15.15,76.85,-0.78
24.13,88.27,21.45
21.87,77.93,9.51
25.23,86.95,16.16
27.22,77.5,7.72
30.17,74.58,9.76
21.75,72.18,2.49
19.92,83.18,12.92
25.35,74.63,2.13
18.45,73.4,-1.94
23.28,77.35,6.85
20.25,85.83,20.75
23.25,69.67,-0.06
31.83,77.17,53.68
17.92,77.53,4.06
16.82,75.72,-2.44
28.0,73.3,3.49
31.25,76.67,29.39
20.7,83.5,13.73
20.6,79.85,9.57
20.53,76.23,2.59
20.62,72.93,1.79
20.22,75.42,0.38
21.9,84.03,14.65
27.13,94.12,27.08
25.82,86.27,14.35
27.05,79.85,11.29
27.78,74.57,4.96
13.68,77.07,-0.01
28.48,76.18,8.16
22.92,69.17,-0.3
27.52,76.77,7.49
23.22,88.88,25.39
16.9,74.37,-4.23
24.08,85.87,17.65
30.0,78.59,46.93
23.73,86.32,18.62
27.0,79.65,10.87
23.32,88.65,24.84
23.95,92.08,29.75
25.58,86.27,14.59
27.58,81.6,14.49
30.37,77.87,26.1
22.23,85.32,18.62
24.87,86.45,16.54
33.22,74.09,43.83
26.3,84.78,13.66
22.87,88.27,26.76
24.78,79.02,11.52
26.22,84.38,13.62
25.11,75.63,3.5
22.97,75.2,2.51
27.9,79.0,10.81
19.3,75.47,-0.5
17.31,78.48,2.76
22.33,88.3,28.93
26.25,89.6,17.81
30.67,76.97,21.05
34.03,74.94,92.93
26.97,77.08,7.58
29.89,78.61,37.7
25.42,86.32,14.85
15.25,79.47,4.69
33.66,74.01,48.21
27.82,93.9,33.09
19.73,85.22,19.85
34.05,74.75,92.49
26.13,75.87,4.37
26.33,73.15,1.33
23.98,85.78,17.88
19.48,83.98,15.6
28.46,75.64,7.63
25.62,85.15,13.65
22.63,88.3,27.76
23.8,86.35,18.73
23.28,85.82,18.36
21.49,70.07,-1.83
30.04,76.53,12.74
22.65,79.15,14.64
26.72,88.32,17.51
20.67,86.12,21.39
22.73,88.66,27.28
25.77,87.1,15.31
21.7,87.07,26.21
26.72,79.9,10.95
25.5,87.37,16.1
24.2,78.22,9.47
23.1,80.05,14.65
24.3,85.42,16.75
27.48,82.78,15.21
25.22,84.42,13.56
23.05,75.37,2.67
26.32,91.0,19.49
26.32,82.33,13.43
23.83,84.12,15.09
23.73,87.02,20.67
22.35,87.37,25.25
29.73,76.75,11.98
26.13,87.47,15.57
23.6,87.53,22.46
16.07,75.37,-3.71
25.1,76.4,4.68
34.25,74.55,89.58
26.65,85.58,14.03
14.48,79.8,6.2
21.77,72.15,1.74
30.61,76.1,14.12
34.38,73.77,79.41
29.07,76.31,9.33
25.18,85.52,14.25
19.57,74.65,-1.29
23.3,81.67,15.63
22.37,87.42,25.54
23.17,79.45,13.75
25.15,84.62,13.66
32.62,74.82,21.07
33.21,74.43,52.69
26.43,70.58,-0.3
13.0,80.27,9.69
22.22,88.1,29.44
25.05,83.62,13.16
21.32,74.1,1.58
22.01,88.33,28.86
24.77,88.03,18.85
20.48,86.23,21.86
30.52,76.84,16.29
29.89,78.66,46.75
24.67,79.16,11.89
