Latitude,Longitude,PTrain_RFL
24.6,72.72,-3.89
10.33,79.38,23.24
23.88,91.25,41.22
10.85,72.47,18.86
27.17,78.03,2.43
13.5,75.1,6.15
23.07,72.63,2.8
19.08,74.8,2.52
26.45,74.62,0.29
20.7,77.03,7.38
20.7,77.07,7.35
9.55,76.42,28.55
18.63,72.87,-0.82
27.88,78.07,3.98
22.28,74.4,2.63
25.45,81.73,4.26
27.5,76.58,2.45
30.38,76.77,14.24
23.17,83.25,12.82
11.12,72.73,17.38
20.93,77.78,7.82
21.6,71.22,1.14
31.63,74.87,19.8
14.68,77.62,9.67
20.83,85.1,16.07
11.17,79.0,19.94
13.53,78.5,7.2
19.88,75.33,4.02
19.85,75.4,4.17
22.3,86.93,24.69
12.99,80.2,10.53
10.35,79.4,23.2
30.08,78.72,50.44
18.18,72.99,-0.69
22.03,73.67,3.08
12.88,80.15,10.93
17.05,75.78,5.68
24.07,78.06,4.48
16.57,76.47,7.6
24.95,71.53,3.68
27.14,79.28,3.41
23.6,72.95,2.91
22.38,93.15,67.29
16.67,74.9,3.49
24.53,78.72,5.02
26.85,79.08,2.81
29.96,78.61,41.43
11.47,77.88,17.64
24.77,84.18,9.61
26.35,75.03,0.5
21.17,73.18,1.61
8.87,77.5,32.56
12.89,80.11,10.96
17.83,80.48,7.91
17.1,76.22,7.57
17.17,74.53,2.28
10.02,78.78,25.53
28.75,79.72,8.12
25.03,86.9,19.66
26.35,74.12,0.39
28.27,72.85,3.03
21.38,71.05,0.02
18.73,76.38,6.47
20.13,73.03,0.39
22.41,88.3,30.33
26.67,90.6,30.45
16.07,75.95,5.73
25.97,93.5,43.22
14.47,79.72,7.48
21.98,72.9,1.61
23.65,91.62,42.92
24.53,87.57,24.3
27.54,79.6,4.14
18.42,83.9,9.73
29.93,78.53,42.61
16.15,76.38,6.91
25.62,94.53,80.39
23.4,85.52,20.12
8.67,76.77,35.12
12.02,76.3,10.45
25.09,78.86,4.19
26.06,78.21,2.72
29.19,73.21,5.54
25.05,78.86,4.21
13.53,80.07,9.3
28.47,95.52,115.74
15.68,78.97,6.61
17.75,74.05,0.93
9.87,76.35,26.27
24.23,87.28,24.29
24.48,76.33,2.37
28.57,74.51,3.83
23.05,72.97,2.84
24.57,78.88,4.9
17.23,76.48,8.28
11.08,76.58,14.41
12.05,78.78,13.7
19.88,75.33,4.08
27.24,79.89,3.81
9.97,76.25,25.24
33.12,75.32,89.37
16.7,75.25,4.56
22.98,88.37,30.58
22.63,77.98,5.78
27.57,81.6,6.62
18.58,81.23,12.98
21.52,86.93,23.74
13.37,75.45,6.6
25.75,84.17,7.91
25.22,88.78,25.33
25.47,80.37,2.79
12.97,77.58,6.33
12.95,77.63,6.51
33.5,75.17,95.83
23.23,87.07,25.43
23.55,74.45,3.0
15.9,80.47,4.94
18.15,74.58,2.61
28.37,79.4,6.59
21.93,86.77,23.95
25.75,71.38,1.93
22.3,73.25,2.34
22.33,73.27,2.39
33.12,75.32,85.69
19.0,75.72,5.29
15.85,74.53,2.39
15.85,74.62,2.52
15.15,76.85,8.2
24.13,88.27,27.88
21.87,77.93,7.76
25.23,86.95,19.13
27.22,77.5,2.03
30.17,74.58,10.65
21.75,72.18,0.5
19.92,83.18,11.17
25.35,74.63,0.4
18.45,73.4,0.55
23.28,77.35,4.72
20.25,85.83,16.95
