Latitude,Longitude,PTrain_RFL
24.6,72.72,2.11
10.33,79.38,44.16
23.88,91.25,79.97
10.85,72.47,38.05
27.17,78.03,6.46
13.5,75.1,32.54
23.07,72.63,0.63
19.08,74.8,9.96
26.45,74.62,2.8
20.7,77.03,7.6
20.7,77.07,7.55
9.55,76.42,50.6
18.63,72.87,0.21
27.88,78.07,7.78
22.28,74.4,1.28
25.45,81.73,14.45
27.5,76.58,5.94
30.38,76.77,13.27
23.17,83.25,15.07
11.12,72.73,35.45
20.93,77.78,7.68
21.6,71.22,1.52
31.63,74.87,15.69
14.68,77.62,27.56
20.83,85.1,24.08
11.17,79.0,40.99
13.53,78.5,32.57
19.88,75.33,7.55
19.85,75.4,7.66
22.3,86.93,41.61
12.99,80.2,23.48
10.35,79.4,43.97
30.08,78.72,38.5
18.18,72.99,0.81
22.03,73.67,0.3
12.88,80.15,24.29
17.05,75.78,17.39
24.07,78.06,2.48
16.57,76.47,20.65
24.95,71.53,3.48
27.14,79.28,6.93
23.6,72.95,0.99
22.38,93.15,106.69
16.67,74.9,16.76
24.53,78.72,2.88
26.85,79.08,6.46
29.96,78.61,25.95
11.47,77.88,46.86
24.77,84.18,25.02
26.35,75.03,2.9
21.17,73.18,-0.33
8.87,77.5,61.6
12.89,80.11,24.46
17.83,80.48,10.53
17.1,76.22,18.42
17.17,74.53,15.32
10.02,78.78,49.23
28.75,79.72,10.25
25.03,86.9,44.94
26.35,74.12,3.13
28.27,72.85,8.3
21.38,71.05,2.09
18.73,76.38,12.7
20.13,73.03,0.11
22.41,88.3,55.12
26.67,90.6,85.3
16.07,75.95,21.01
25.97,93.5,107.83
14.47,79.72,16.62
21.98,72.9,-0.16
23.65,91.62,82.72
24.53,87.57,48.57
27.54,79.6,7.8
18.42,83.9,18.51
29.93,78.53,27.81
16.15,76.38,21.63
25.62,94.53,123.94
23.4,85.52,30.4
8.67,76.77,60.23
12.02,76.3,42.69
25.09,78.86,3.44
26.06,78.21,4.31
29.19,73.21,10.14
25.05,78.86,3.42
13.53,80.07,20.58
28.47,95.52,168.23
15.68,78.97,14.93
17.75,74.05,13.78
9.87,76.35,47.02
24.23,87.28,45.49
24.48,76.33,1.64
28.57,74.51,7.88
23.05,72.97,0.67
24.57,78.88,3.09
17.23,76.48,18.94
11.08,76.58,48.37
12.05,78.78,36.54
19.88,75.33,7.47
27.24,79.89,7.32
9.97,76.25,45.32
33.12,75.32,57.78
16.7,75.25,17.26
22.98,88.37,54.43
22.63,77.98,3.83
27.57,81.6,18.17
18.58,81.23,22.99
21.52,86.93,42.77
13.37,75.45,38.61
25.75,84.17,29.42
25.22,88.78,60.34
25.47,80.37,5.72
12.97,77.58,39.37
12.95,77.63,39.39
33.5,75.17,61.03
23.23,87.07,43.3
23.55,74.45,0.96
15.9,80.47,11.02
18.15,74.58,11.58
28.37,79.4,9.26
21.93,86.77,40.9
25.75,71.38,4.3
22.3,73.25,0.29
22.33,73.27,0.32
33.12,75.32,54.47
19.0,75.72,10.25
15.85,74.53,23.12
15.85,74.62,22.92
15.15,76.85,26.06
24.13,88.27,53.61
21.87,77.93,4.4
25.23,86.95,46.15
27.22,77.5,6.29
30.17,74.58,11.46
