Latitude,Longitude,PTrain_RFL
24.6,72.72,8.7
10.33,79.38,140.73
23.88,91.25,160.26
10.85,72.47,136.57
27.17,78.03,14.61
13.5,75.1,95.6
23.07,72.63,-1.83
19.08,74.8,19.49
26.45,74.62,13.33
20.7,77.03,6.98
20.7,77.07,7.34
9.55,76.42,150.44
18.63,72.87,19.64
27.88,78.07,17.09
22.28,74.4,-0.34
25.45,81.73,27.18
27.5,76.58,16.52
30.38,76.77,24.08
23.17,83.25,30.91
11.12,72.73,130.92
20.93,77.78,8.42
21.6,71.22,1.33
31.63,74.87,20.26
14.68,77.62,60.71
20.83,85.1,56.22
11.17,79.0,114.87
13.53,78.5,82.24
19.88,75.33,12.0
19.85,75.4,12.19
22.3,86.93,88.28
12.99,80.2,100.11
10.35,79.4,140.23
30.08,78.72,68.72
18.18,72.99,23.78
22.03,73.67,-1.53
12.88,80.15,101.25
17.05,75.78,36.64
24.07,78.06,5.82
16.57,76.47,41.29
24.95,71.53,2.97
27.14,79.28,13.8
23.6,72.95,-1.36
22.38,93.15,158.47
16.67,74.9,42.29
24.53,78.72,6.86
26.85,79.08,12.77
29.96,78.61,50.16
11.47,77.88,104.82
24.77,84.18,54.0
26.35,75.03,12.63
21.17,73.18,1.61
8.87,77.5,158.65
12.89,80.11,100.39
17.83,80.48,29.82
17.1,76.22,35.07
17.17,74.53,38.88
10.02,78.78,139.11
28.75,79.72,21.74
25.03,86.9,94.17
26.35,74.12,11.83
28.27,72.85,16.11
21.38,71.05,4.22
18.73,76.38,23.07
20.13,73.03,7.58
22.41,88.3,116.0
26.67,90.6,164.64
16.07,75.95,47.85
25.97,93.5,198.9
14.47,79.72,72.64
21.98,72.9,0.92
23.65,91.62,165.77
24.53,87.57,100.1
27.54,79.6,15.45
18.42,83.9,63.72
29.93,78.53,53.14
16.15,76.38,46.26
25.62,94.53,168.66
23.4,85.52,58.22
8.67,76.77,167.0
12.02,76.3,112.27
25.09,78.86,7.77
26.06,78.21,10.99
29.19,73.21,16.13
25.05,78.86,7.66
13.53,80.07,89.62
28.47,95.52,196.42
15.68,78.97,50.3
17.75,74.05,35.6
9.87,76.35,145.18
24.23,87.28,93.53
24.48,76.33,5.27
28.57,74.51,17.0
23.05,72.97,-1.5
24.57,78.88,6.69
17.23,76.48,34.18
11.08,76.58,126.83
12.05,78.78,101.66
19.88,75.33,11.78
27.24,79.89,14.15
9.97,76.25,145.1
33.12,75.32,70.12
16.7,75.25,40.56
22.98,88.37,112.13
22.63,77.98,4.08
27.57,81.6,35.03
18.58,81.23,39.38
21.52,86.93,95.67
13.37,75.45,98.08
