Latitude,Longitude,PTrain_RFL
24.6,72.72,75.38
10.33,79.38,195.97
23.88,91.25,318.34
10.85,72.47,358.0
27.17,78.03,36.84
13.5,75.1,221.66
23.07,72.63,119.9
19.08,74.8,158.96
26.45,74.62,44.82
20.7,77.03,139.95
20.7,77.07,140.51
9.55,76.42,235.71
18.63,72.87,263.84
27.88,78.07,34.79
22.28,74.4,128.23
25.45,81.73,92.99
27.5,76.58,25.51
30.38,76.77,47.4
23.17,83.25,167.38
11.12,72.73,350.07
20.93,77.78,145.61
21.6,71.22,190.99
31.63,74.87,47.95
14.68,77.62,104.16
20.83,85.1,177.82
11.17,79.0,123.52
13.53,78.5,79.03
19.88,75.33,144.63
19.85,75.4,144.11
22.3,86.93,206.88
12.99,80.2,190.76
10.35,79.4,195.12
30.08,78.72,246.3
18.18,72.99,271.28
22.03,73.67,140.71
12.88,80.15,188.58
17.05,75.78,141.87
24.07,78.06,104.03
16.57,76.47,132.57
24.95,71.53,59.92
27.14,79.28,56.07
23.6,72.95,99.0
22.38,93.15,484.83
16.67,74.9,172.39
24.53,78.72,102.92
26.85,79.08,53.93
29.96,78.61,187.28
11.47,77.88,64.24
24.77,84.18,135.42
26.35,75.03,41.84
21.17,73.18,178.59
8.87,77.5,171.58
12.89,80.11,184.92
17.83,80.48,130.03
17.1,76.22,140.5
17.17,74.53,185.29
10.02,78.78,159.16
28.75,79.72,76.82
25.03,86.9,185.52
26.35,74.12,34.16
28.27,72.85,-19.11
21.38,71.05,205.63
18.73,76.38,140.17
20.13,73.03,214.49
22.41,88.3,240.8
26.67,90.6,273.78
16.07,75.95,134.51
25.97,93.5,384.04
14.47,79.72,169.37
21.98,72.9,161.38
23.65,91.62,338.78
24.53,87.57,210.14
27.54,79.6,60.97
18.42,83.9,182.06
29.93,78.53,197.47
16.15,76.38,128.15
25.62,94.53,515.92
23.4,85.52,204.78
8.67,76.77,236.93
12.02,76.3,145.22
25.09,78.86,89.44
26.06,78.21,61.38
29.19,73.21,-27.09
25.05,78.86,90.1
13.53,80.07,181.89
28.47,95.52,570.2
15.68,78.97,138.18
17.75,74.05,205.58
9.87,76.35,240.44
24.23,87.28,210.48
24.48,76.33,79.86
28.57,74.51,-6.02
23.05,72.97,118.17
24.57,78.88,101.65
17.23,76.48,140.68
11.08,76.58,146.9
12.05,78.78,105.78
19.88,75.33,145.05
27.24,79.89,67.24
9.97,76.25,254.44
33.12,75.32,192.42
16.7,75.25,157.15
22.98,88.37,235.76
22.63,77.98,123.54
