Latitude,Longitude,PTrain_RFL
24.6,72.72,232.01
10.33,79.38,227.41
23.88,91.25,356.79
10.85,72.47,342.07
27.17,78.03,174.22
13.5,75.1,232.42
23.07,72.63,268.69
19.08,74.8,207.01
26.45,74.62,167.24
20.7,77.03,277.15
20.7,77.07,272.89
9.55,76.42,229.49
18.63,72.87,383.89
27.88,78.07,158.71
22.28,74.4,246.46
25.45,81.73,283.78
27.5,76.58,148.41
30.38,76.77,129.38
23.17,83.25,317.09
11.12,72.73,342.64
20.93,77.78,275.36
21.6,71.22,313.44
31.63,74.87,91.05
14.68,77.62,148.78
20.83,85.1,310.87
11.17,79.0,169.68
13.53,78.5,93.5
19.88,75.33,211.86
19.85,75.4,211.6
22.3,86.93,316.36
12.99,80.2,277.0
10.35,79.4,227.27
30.08,78.72,668.49
18.18,72.99,387.57
22.03,73.67,291.22
12.88,80.15,272.44
17.05,75.78,176.43
24.07,78.06,262.63
16.57,76.47,172.0
24.95,71.53,219.18
27.14,79.28,202.9
23.6,72.95,242.57
22.38,93.15,585.94
16.67,74.9,203.73
24.53,78.72,269.73
26.85,79.08,204.1
29.96,78.61,515.74
11.47,77.88,80.17
24.77,84.18,317.18
26.35,75.03,169.36
21.17,73.18,323.4
8.87,77.5,159.24
12.89,80.11,268.27
17.83,80.48,264.65
17.1,76.22,192.52
17.17,74.53,216.17
10.02,78.78,181.06
28.75,79.72,211.27
25.03,86.9,318.31
26.35,74.12,157.59
28.27,72.85,51.16
21.38,71.05,307.23
18.73,76.38,186.86
20.13,73.03,340.98
22.41,88.3,325.7
26.67,90.6,355.67
16.07,75.95,157.01
25.97,93.5,432.94
14.47,79.72,273.14
21.98,72.9,308.35
23.65,91.62,364.35
24.53,87.57,321.02
27.54,79.6,203.38
18.42,83.9,321.83
29.93,78.53,545.18
16.15,76.38,156.46
25.62,94.53,704.31
23.4,85.52,313.59
8.67,76.77,212.87
12.02,76.3,146.04
25.09,78.86,259.32
26.06,78.21,219.47
29.19,73.21,10.53
25.05,78.86,260.13
13.53,80.07,276.89
28.47,95.52,1051.07
15.68,78.97,233.42
17.75,74.05,239.41
9.87,76.35,240.68
24.23,87.28,316.37
24.48,76.33,228.16
28.57,74.51,70.15
23.05,72.97,264.07
24.57,78.88,271.28
17.23,76.48,197.69
11.08,76.58,146.84
12.05,78.78,145.96
19.88,75.33,213.99
27.24,79.89,217.22
9.97,76.25,255.27
33.12,75.32,522.51
16.7,75.25,190.61
22.98,88.37,323.97
22.63,77.98,278.89
27.57,81.6,235.76
18.58,81.23,237.89
21.52,86.93,323.48
13.37,75.45,178.46
25.75,84.17,300.02
25.22,88.78,341.51
25.47,80.37,266.19
12.97,77.58,20.68
12.95,77.63,20.19
33.5,75.17,505.45
23.23,87.07,312.24
23.55,74.45,232.27
15.9,80.47,316.73
18.15,74.58,221.15
28.37,79.4,195.52
21.93,86.77,316.54
25.75,71.38,169.79
22.3,73.25,291.07
22.33,73.27,289.39
33.12,75.32,514.11
19.0,75.72,210.78
15.85,74.53,217.01
15.85,74.62,209.51
15.15,76.85,141.95
24.13,88.27,328.0
21.87,77.93,258.32
25.23,86.95,318.34
27.22,77.5,162.79
30.17,74.58,36.9
21.75,72.18,322.67
19.92,83.18,285.81
25.35,74.63,186.56
18.45,73.4,351.79
23.28,77.35,250.22
20.25,85.83,324.36
23.25,69.67,284.08
31.83,77.17,457.05
17.92,77.53,171.46
16.82,75.72,165.22
28.0,73.3,75.15
31.25,76.67,259.42
20.7,83.5,301.15
20.6,79.85,307.58
20.53,76.23,212.35
20.62,72.93,344.89
20.22,75.42,205.35
21.9,84.03,314.34
27.13,94.12,438.81
25.82,86.27,309.42
27.05,79.85,221.22
27.78,74.57,111.09
13.68,77.07,58.81
28.48,76.18,105.75
22.92,69.17,315.12
27.52,76.77,146.86
23.22,88.88,333.95
16.9,74.37,232.05
24.08,85.87,317.17
30.0,78.59,547.35
23.73,86.32,313.88
27.0,79.65,215.15
23.32,88.65,330.35
23.95,92.08,378.49
25.58,86.27,312.37
27.58,81.6,235.86
30.37,77.87,263.84
22.23,85.32,302.22
24.87,86.45,316.29
33.22,74.09,290.27
26.3,84.78,290.54
22.87,88.27,322.33
24.78,79.02,268.7
26.22,84.38,289.47
25.11,75.63,203.52
22.97,75.2,214.94
27.9,79.0,181.02
19.3,75.47,223.47
17.31,78.48,183.62
22.33,88.3,326.67
26.25,89.6,340.01
30.67,76.97,190.76
34.03,74.94,497.4
26.97,77.08,172.64
29.89,78.61,413.1
25.42,86.32,314.17
15.25,79.47,271.99
33.66,74.01,297.47
27.82,93.9,471.32
19.73,85.22,327.02
34.05,74.75,496.1
26.13,75.87,183.1
26.33,73.15,152.05
23.98,85.78,316.48
19.48,83.98,296.57
28.46,75.64,99.84
25.62,85.15,307.39
22.63,88.3,323.85
23.8,86.35,312.96
23.28,85.82,310.35
21.49,70.07,351.42
30.04,76.53,103.83
22.65,79.15,295.57
26.72,88.32,330.43
20.67,86.12,320.73
22.73,88.66,329.63
25.77,87.1,316.43
21.7,87.07,322.46
26.72,79.9,226.96
25.5,87.37,320.91
24.2,78.22,264.15
23.1,80.05,308.19
24.3,85.42,318.23
27.48,82.78,243.7
25.22,84.42,312.26
23.05,75.37,217.68
26.32,91.0,360.32
26.32,82.33,265.5
23.83,84.12,316.79
23.73,87.02,313.4
22.35,87.37,319.02
29.73,76.75,106.22
26.13,87.47,317.84
23.6,87.53,315.29
16.07,75.37,169.77
25.1,76.4,218.15
34.25,74.55,499.52
26.65,85.58,288.89
14.48,79.8,282.21
21.77,72.15,317.92
30.61,76.1,101.81
34.38,73.77,459.36
