Latitude,Longitude,PTrain_RFL
24.6,72.72,225.97
10.33,79.38,213.56
23.88,91.25,353.01
10.85,72.47,246.7
27.17,78.03,171.64
13.5,75.1,154.36
23.07,72.63,183.0
19.08,74.8,166.07
26.45,74.62,146.03
20.7,77.03,259.99
20.7,77.07,259.11
9.55,76.42,200.54
18.63,72.87,268.8
27.88,78.07,158.53
22.28,74.4,189.25
25.45,81.73,278.64
27.5,76.58,134.93
30.38,76.77,103.04
23.17,83.25,305.15
11.12,72.73,248.19
20.93,77.78,285.75
21.6,71.22,202.65
31.63,74.87,43.78
14.68,77.62,149.42
20.83,85.1,307.31
11.17,79.0,168.81
13.53,78.5,94.17
19.88,75.33,182.82
19.85,75.4,183.74
22.3,86.93,322.75
12.99,80.2,255.29
10.35,79.4,213.92
30.08,78.72,596.25
18.18,72.99,272.66
22.03,73.67,209.81
12.88,80.15,251.1
17.05,75.78,155.93
24.07,78.06,262.61
16.57,76.47,165.62
24.95,71.53,129.22
27.14,79.28,220.18
23.6,72.95,167.4
22.38,93.15,515.36
16.67,74.9,154.49
24.53,78.72,285.95
26.85,79.08,217.96
29.96,78.61,475.2
11.47,77.88,98.79
24.77,84.18,271.64
26.35,75.03,142.52
21.17,73.18,229.11
8.87,77.5,152.43
12.89,80.11,247.19
17.83,80.48,246.39
17.1,76.22,179.18
17.17,74.53,158.11
10.02,78.78,175.74
28.75,79.72,219.04
25.03,86.9,273.15
26.35,74.12,121.61
28.27,72.85,20.6
21.38,71.05,197.45
18.73,76.38,187.8
20.13,73.03,239.75
22.41,88.3,344.5
26.67,90.6,279.83
16.07,75.95,138.14
25.97,93.5,352.29
14.47,79.72,247.94
21.98,72.9,215.93
23.65,91.62,366.12
24.53,87.57,290.41
27.54,79.6,223.49
18.42,83.9,320.46
29.93,78.53,499.8
16.15,76.38,148.1
25.62,94.53,573.48
23.4,85.52,299.95
8.67,76.77,192.69
12.02,76.3,106.18
25.09,78.86,274.95
26.06,78.21,219.46
29.19,73.21,-11.12
25.05,78.86,275.75
13.53,80.07,254.7
28.47,95.52,817.14
15.68,78.97,209.64
17.75,74.05,168.5
9.87,76.35,207.26
24.23,87.28,293.53
24.48,76.33,195.2
28.57,74.51,51.91
23.05,72.97,183.5
24.57,78.88,290.02
17.23,76.48,190.76
11.08,76.58,110.56
12.05,78.78,140.22
19.88,75.33,184.04
27.24,79.89,243.96
9.97,76.25,216.04
33.12,75.32,406.43
16.7,75.25,152.93
22.98,88.37,331.05
22.63,77.98,277.36
27.57,81.6,237.6
18.58,81.23,223.57
21.52,86.93,340.59
13.37,75.45,115.75
25.75,84.17,250.34
25.22,88.78,290.8
25.47,80.37,310.43
12.97,77.58,45.81
12.95,77.63,46.47
33.5,75.17,384.6
23.23,87.07,307.75
23.55,74.45,175.2
15.9,80.47,290.41
18.15,74.58,168.45
28.37,79.4,206.37
21.93,86.77,327.81
25.75,71.38,102.22
22.3,73.25,206.75
22.33,73.27,205.7
33.12,75.32,398.12
19.0,75.72,185.82
15.85,74.53,146.29
15.85,74.62,142.98
15.15,76.85,139.71
24.13,88.27,305.9
21.87,77.93,282.92
25.23,86.95,269.12
27.22,77.5,153.17
30.17,74.58,17.3
21.75,72.18,218.86
19.92,83.18,276.25
