Latitude,Longitude,PTrain_RFL
24.6,72.72,104.51
10.33,79.38,188.56
23.88,91.25,308.55
10.85,72.47,139.84
27.17,78.03,102.92
13.5,75.1,121.66
23.07,72.63,93.29
19.08,74.8,106.86
26.45,74.62,57.71
20.7,77.03,123.45
20.7,77.07,124.18
9.55,76.42,170.69
18.63,72.87,112.5
27.88,78.07,102.07
22.28,74.4,101.53
25.45,81.73,172.54
27.5,76.58,70.54
30.38,76.77,74.19
23.17,83.25,198.05
11.12,72.73,139.76
20.93,77.78,137.7
21.6,71.22,82.68
31.63,74.87,44.13
14.68,77.62,138.91
20.83,85.1,225.42
11.17,79.0,173.15
13.53,78.5,144.56
19.88,75.33,107.82
19.85,75.4,108.4
22.3,86.93,253.26
12.99,80.2,185.23
10.35,79.4,188.79
30.08,78.72,179.98
18.18,72.99,114.28
22.03,73.67,104.57
12.88,80.15,184.6
17.05,75.78,115.57
24.07,78.06,123.88
16.57,76.47,124.06
24.95,71.53,53.42
27.14,79.28,138.63
23.6,72.95,86.22
22.38,93.15,343.78
16.67,74.9,109.92
24.53,78.72,136.63
26.85,79.08,133.05
29.96,78.61,148.76
11.47,77.88,152.06
24.77,84.18,195.43
26.35,75.03,60.96
21.17,73.18,107.01
8.87,77.5,174.15
12.89,80.11,183.43
17.83,80.48,167.19
17.1,76.22,120.67
17.17,74.53,107.37
10.02,78.78,180.0
28.75,79.72,153.0
25.03,86.9,235.97
26.35,74.12,49.7
28.27,72.85,4.97
21.38,71.05,82.16
18.73,76.38,122.09
20.13,73.03,107.07
22.41,88.3,273.45
26.67,90.6,275.36
16.07,75.95,118.57
25.97,93.5,322.7
14.47,79.72,172.58
21.98,72.9,106.86
23.65,91.62,314.36
24.53,87.57,251.15
27.54,79.6,148.44
18.42,83.9,215.78
29.93,78.53,152.27
16.15,76.38,123.06
25.62,94.53,370.31
23.4,85.52,229.56
8.67,76.77,178.95
12.02,76.3,131.81
25.09,78.86,135.98
26.06,78.21,113.24
29.19,73.21,1.94
25.05,78.86,136.2
13.53,80.07,181.42
28.47,95.52,395.0
15.68,78.97,154.2
17.75,74.05,105.42
9.87,76.35,168.7
24.23,87.28,249.5
24.48,76.33,94.16
28.57,74.51,27.59
23.05,72.97,96.13
24.57,78.88,140.14
17.23,76.48,124.15
11.08,76.58,138.91
12.05,78.78,158.72
19.88,75.33,107.62
27.24,79.89,158.75
9.97,76.25,168.27
33.12,75.32,83.26
16.7,75.25,111.79
22.98,88.37,272.21
22.63,77.98,130.57
