Latitude,Longitude,PTrain_RFL
24.6,72.72,21.08
10.33,79.38,244.61
23.88,91.25,139.21
10.85,72.47,205.45
27.17,78.03,26.33
13.5,75.1,160.68
23.07,72.63,25.95
19.08,74.8,68.76
26.45,74.62,11.61
20.7,77.03,52.33
20.7,77.07,52.14
9.55,76.42,235.73
18.63,72.87,92.57
27.88,78.07,24.21
22.28,74.4,34.45
25.45,81.73,48.12
27.5,76.58,18.62
30.38,76.77,13.27
23.17,83.25,56.04
11.12,72.73,203.42
20.93,77.78,51.05
21.6,71.22,32.71
31.63,74.87,6.7
14.68,77.62,123.85
20.83,85.1,115.01
11.17,79.0,208.03
13.53,78.5,147.05
19.88,75.33,57.83
19.85,75.4,58.19
22.3,86.93,125.09
12.99,80.2,217.51
10.35,79.4,244.48
30.08,78.72,28.24
18.18,72.99,100.14
22.03,73.67,42.34
12.88,80.15,217.56
17.05,75.78,91.26
24.07,78.06,32.58
16.57,76.47,95.32
24.95,71.53,7.7
27.14,79.28,30.87
23.6,72.95,19.37
22.38,93.15,126.17
16.67,74.9,101.71
24.53,78.72,32.45
26.85,79.08,30.95
29.96,78.61,16.5
11.47,77.88,168.67
24.77,84.18,64.46
26.35,75.03,14.24
21.17,73.18,54.11
8.87,77.5,234.82
12.89,80.11,215.48
17.83,80.48,112.1
17.1,76.22,88.75
17.17,74.53,96.28
10.02,78.78,231.57
28.75,79.72,30.63
25.03,86.9,85.53
26.35,74.12,11.8
28.27,72.85,8.24
21.38,71.05,33.42
18.73,76.38,70.72
20.13,73.03,66.49
22.41,88.3,146.11
26.67,90.6,102.11
16.07,75.95,105.11
25.97,93.5,118.62
14.47,79.72,182.89
21.98,72.9,45.06
23.65,91.62,144.02
24.53,87.57,93.94
27.54,79.6,31.76
18.42,83.9,162.58
29.93,78.53,17.69
16.15,76.38,101.86
25.62,94.53,104.76
23.4,85.52,71.57
8.67,76.77,248.03
12.02,76.3,173.66
25.09,78.86,31.7
26.06,78.21,27.86
29.19,73.21,7.01
25.05,78.86,31.85
13.53,80.07,205.81
28.47,95.52,118.18
15.68,78.97,140.1
17.75,74.05,90.36
9.87,76.35,232.76
24.23,87.28,92.64
24.48,76.33,25.43
28.57,74.51,10.25
23.05,72.97,27.32
24.57,78.88,33.11
17.23,76.48,86.25
11.08,76.58,188.75
12.05,78.78,184.04
19.88,75.33,57.76
27.24,79.89,33.52
9.97,76.25,233.89
33.12,75.32,12.28
16.7,75.25,98.76
22.98,88.37,130.4
22.63,77.98,40.43
27.57,81.6,42.81
18.58,81.23,101.23
21.52,86.93,147.64
13.37,75.45,155.89
25.75,84.17,63.66
25.22,88.78,98.3
25.47,80.37,39.25
12.97,77.58,141.93
12.95,77.63,141.78
33.5,75.17,14.58
23.23,87.07,106.9
23.55,74.45,23.94
15.9,80.47,179.85
18.15,74.58,81.0
28.37,79.4,29.0
21.93,86.77,132.19
25.75,71.38,2.64
22.3,73.25,41.0
22.33,73.27,40.46
33.12,75.32,11.13
19.0,75.72,67.59
15.85,74.53,119.73
15.85,74.62,118.87
15.15,76.85,115.02
24.13,88.27,106.95
21.87,77.93,45.47
25.23,86.95,85.08
27.22,77.5,24.51
30.17,74.58,6.13
21.75,72.18,44.28
19.92,83.18,101.12
25.35,74.63,13.93
18.45,73.4,90.76
23.28,77.35,33.77
20.25,85.83,145.89
23.25,69.67,9.31
31.83,77.17,10.42
17.92,77.53,80.87
16.82,75.72,94.82
28.0,73.3,8.35
31.25,76.67,7.36
20.7,83.5,94.11
20.6,79.85,61.9
20.53,76.23,52.71
20.62,72.93,63.67
20.22,75.42,54.77
21.9,84.03,79.47
27.13,94.12,124.66
25.82,86.27,78.62
27.05,79.85,33.29
27.78,74.57,10.96
13.68,77.07,133.3
28.48,76.18,15.56
22.92,69.17,13.27
27.52,76.77,19.94
23.22,88.88,126.83
16.9,74.37,101.69
24.08,85.87,72.22
30.0,78.59,17.92
23.73,86.32,87.55
27.0,79.65,32.75
23.32,88.65,123.74
23.95,92.08,135.53
25.58,86.27,79.28
27.58,81.6,42.76
30.37,77.87,12.96
22.23,85.32,88.61
