Latitude,Longitude,PTrain_RFL
24.6,72.72,30.74
10.33,79.38,214.57
23.88,91.25,25.08
10.85,72.47,78.07
27.17,78.03,4.92
13.5,75.1,42.62
23.07,72.63,2.44
19.08,74.8,10.23
26.45,74.62,5.04
20.7,77.03,15.03
20.7,77.07,15.65
9.55,76.42,179.28
18.63,72.87,12.4
27.88,78.07,4.13
22.28,74.4,5.0
25.45,81.73,9.82
27.5,76.58,1.2
30.38,76.77,4.08
23.17,83.25,9.83
11.12,72.73,79.27
20.93,77.78,20.16
21.6,71.22,-1.48
31.63,74.87,4.5
14.68,77.62,45.0
20.83,85.1,23.45
11.17,79.0,156.32
13.53,78.5,61.26
19.88,75.33,10.5
19.85,75.4,10.67
22.3,86.93,26.05
12.99,80.2,159.97
10.35,79.4,214.77
30.08,78.72,12.72
18.18,72.99,14.2
22.03,73.67,2.26
12.88,80.15,160.17
17.05,75.78,13.71
24.07,78.06,14.32
16.57,76.47,21.16
24.95,71.53,-3.5
27.14,79.28,7.5
23.6,72.95,1.08
22.38,93.15,53.75
16.67,74.9,9.67
24.53,78.72,14.32
26.85,79.08,7.7
29.96,78.61,10.1
11.47,77.88,105.7
24.77,84.18,5.79
26.35,75.03,3.51
21.17,73.18,6.0
8.87,77.5,190.5
12.89,80.11,156.59
17.83,80.48,29.91
17.1,76.22,17.31
17.17,74.53,8.73
10.02,78.78,193.27
28.75,79.72,6.41
25.03,86.9,6.13
26.35,74.12,2.34
28.27,72.85,-7.17
21.38,71.05,1.68
18.73,76.38,17.91
20.13,73.03,6.81
22.41,88.3,40.06
26.67,90.6,14.01
16.07,75.95,18.42
25.97,93.5,22.9
14.47,79.72,104.35
21.98,72.9,10.04
23.65,91.62,28.01
24.53,87.57,7.8
27.54,79.6,7.29
18.42,83.9,73.48
29.93,78.53,10.48
16.15,76.38,21.75
25.62,94.53,32.56
23.4,85.52,7.45
8.67,76.77,207.31
12.02,76.3,66.54
25.09,78.86,12.42
26.06,78.21,8.37
29.19,73.21,-8.3
25.05,78.86,12.53
13.53,80.07,140.32
28.47,95.52,31.55
15.68,78.97,51.75
17.75,74.05,10.25
9.87,76.35,171.99
24.23,87.28,7.48
24.48,76.33,7.15
28.57,74.51,-4.4
23.05,72.97,3.26
24.57,78.88,14.13
17.23,76.48,19.73
11.08,76.58,88.1
12.05,78.78,110.51
19.88,75.33,10.07
27.24,79.89,7.8
9.97,76.25,170.78
33.12,75.32,42.58
16.7,75.25,10.76
22.98,88.37,25.36
22.63,77.98,16.47
27.57,81.6,6.47
18.58,81.23,40.64
21.52,86.93,48.08
13.37,75.45,42.0
25.75,84.17,5.88
25.22,88.78,11.0
25.47,80.37,10.73
12.97,77.58,55.01
12.95,77.63,55.86
33.5,75.17,45.61
23.23,87.07,14.11
23.55,74.45,1.78
15.9,80.47,101.69
18.15,74.58,6.24
28.37,79.4,6.46
21.93,86.77,33.66
25.75,71.38,2.96
22.3,73.25,8.28
22.33,73.27,8.03
33.12,75.32,40.09
19.0,75.72,10.39
15.85,74.53,17.98
15.85,74.62,17.51
15.15,76.85,32.77
24.13,88.27,11.84
21.87,77.93,22.03
25.23,86.95,6.31
27.22,77.5,3.41
30.17,74.58,-1.71
21.75,72.18,10.13
19.92,83.18,19.78
25.35,74.63,6.74
18.45,73.4,7.48
23.28,77.35,15.77
20.25,85.83,47.82
23.25,69.67,8.54
31.83,77.17,17.3
17.92,77.53,23.54
16.82,75.72,14.34
28.0,73.3,-3.82
31.25,76.67,9.1
20.7,83.5,14.26
20.6,79.85,18.21
20.53,76.23,16.71
20.62,72.93,11.66
20.22,75.42,13.3
21.9,84.03,8.37
27.13,94.12,23.37
25.82,86.27,5.63
27.05,79.85,8.06
27.78,74.57,-2.03
13.68,77.07,45.35
28.48,76.18,-1.19
22.92,69.17,9.53
27.52,76.77,1.34
23.22,88.88,20.88
16.9,74.37,8.73
24.08,85.87,4.23
30.0,78.59,10.73
23.73,86.32,6.48
27.0,79.65,8.06
23.32,88.65,19.48
23.95,92.08,23.39
25.58,86.27,5.65
27.58,81.6,6.46
30.37,77.87,7.22
22.23,85.32,11.29
24.87,86.45,4.52
33.22,74.09,17.71
26.3,84.78,4.56
22.87,88.27,27.87
24.78,79.02,13.4
26.22,84.38,4.94
25.11,75.63,7.35
22.97,75.2,11.05
27.9,79.0,6.19
19.3,75.47,7.78
17.31,78.48,23.28
22.33,88.3,42.37
26.25,89.6,12.79
30.67,76.97,6.21
34.03,74.94,48.36
26.97,77.08,3.45
29.89,78.61,8.45
25.42,86.32,5.71
15.25,79.47,80.34
33.66,74.01,19.31
27.82,93.9,13.4
19.73,85.22,61.22
34.05,74.75,49.2
26.13,75.87,3.13
26.33,73.15,0.66
23.98,85.78,4.49
19.48,83.98,38.2
28.46,75.64,-2.18
25.62,85.15,5.21
22.63,88.3,33.74
23.8,86.35,6.09
23.28,85.82,6.73
21.49,70.07,-0.87
30.04,76.53,2.35
22.65,79.15,20.22
26.72,88.32,6.84
20.67,86.12,38.82
22.73,88.66,29.75
25.77,87.1,6.92
21.7,87.07,45.39
26.72,79.9,8.59
25.5,87.37,7.45
24.2,78.22,14.42
23.1,80.05,17.13
24.3,85.42,3.7
27.48,82.78,4.97
25.22,84.42,5.8
23.05,75.37,10.24
26.32,91.0,17.55
26.32,82.33,7.27
23.83,84.12,5.32
23.73,87.02,9.58
22.35,87.37,30.1
29.73,76.75,2.01
26.13,87.47,7.1
23.6,87.53,13.47
16.07,75.37,15.28
25.1,76.4,6.0
34.25,74.55,49.14
26.65,85.58,4.09
14.48,79.8,110.2
21.77,72.15,4.46
30.61,76.1,3.26
34.38,73.77,43.29
29.07,76.31,-0.62
